Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	200.000	-0.006	199.998	1.016	1.860	1.328	1783013931.745
2	200.000	-0.001	200.003	0.954	1.869	1.328	1783013931.965
3	200.000	0.021	200.001	1.054	1.839	1.328	1783013932.215
4	200.000	-0.006	200.000	0.966	1.937	1.328	1783013932.467
5	200.000	-0.012	199.998	1.510	2.270	1.328	1783013932.717
6	200.000	0.008	199.998	1.812	6.278	1.328	1783013932.965
7	200.000	-0.004	200.000	2.572	5.434	1.328	1783013933.234
8	200.000	0.047	200.002	2.253	4.758	1.328	1783013933.474
9	200.000	0.036	199.999	2.374	3.352	1.328	1783013933.721
10	200.000	-0.022	200.000	3.754	2.730	1.328	1783013933.971
11	200.000	-0.002	200.000	1.227	2.186	1.328	1783013934.197
12	200.000	0.001	200.003	2.104	6.126	1.328	1783013934.468
13	200.000	-0.015	199.999	2.756	5.798	1.328	1783013934.728
14	200.000	0.008	200.001	2.287	4.903	1.328	1783013934.957
15	200.000	0.016	199.999	2.482	3.368	1.328	1783013935.214
16	200.000	-0.026	199.998	3.375	2.695	1.328	1783013935.491
17	200.000	0.025	199.999	0.756	1.411	1.328	1783013935.763
18	200.000	0.066	200.002	2.518	6.047	1.328	1783013936.045
19	200.000	0.109	200.002	2.636	5.499	1.328	1783013936.300
20	200.000	0.012	200.001	1.891	4.282	1.328	1783013936.543
21	200.000	0.003	200.000	3.339	2.975	1.328	1783013936.794
22	200.000	0.034	199.997	2.680	2.595	1.328	1783013937.063
23	200.000	0.022	200.001	1.083	0.299	1.328	1783013937.319
24	200.000	0.022	199.999	2.644	5.942	1.328	1783013937.620
25	200.000	-0.034	199.999	2.442	5.208	1.328	1783013937.847
26	200.000	-0.015	199.999	2.005	3.727	1.328	1783013938.111
27	200.000	-0.023	199.998	3.497	2.762	1.328	1783013938.364
28	200.000	0.032	199.996	1.778	2.344	1.328	1783013938.610
29	200.000	0.010	199.999	1.776	6.247	1.328	1783013938.847
30	200.000	0.010	200.000	2.639	5.848	1.328	1783013939.094
31	200.000	-0.011	199.999	2.353	5.223	1.328	1783013939.336
32	200.000	-0.039	200.001	2.158	3.652	1.328	1783013939.597
33	200.000	-0.002	200.001	3.615	2.673	1.328	1783013939.851
34	200.000	0.005	200.002	1.375	2.098	1.328	1783013940.099
35	200.000	0.008	199.999	1.961	0.069	1.328	1783013940.343
36	200.000	0.011	199.999	2.751	5.807	1.328	1783013940.603
37	200.000	-0.017	199.999	2.341	5.090	1.328	1783013940.812
38	200.000	0.022	199.998	2.136	3.559	1.328	1783013941.109
39	200.000	-0.013	199.999	3.468	2.674	1.328	1783013941.319
40	200.000	-0.007	200.003	1.476	2.158	1.328	1783013941.614
41	200.000	-0.015	199.999	2.249	6.172	1.328	1783013941.846
42	200.000	0.015	200.000	2.987	5.774	1.328	1783013942.089
43	200.000	0.007	200.000	2.252	4.837	1.328	1783013942.341
44	200.000	0.029	199.999	2.368	3.407	1.328	1783013942.608
45	200.000	-0.008	200.003	3.425	2.584	1.328	1783013942.843
46	200.000	0.029	200.001	1.172	1.870	1.328	1783013943.075
47	200.000	0.021	199.998	2.429	6.152	1.328	1783013943.377
48	200.000	0.040	200.005	2.660	5.638	1.328	1783013943.600
49	200.000	-0.033	200.001	2.217	4.746	1.328	1783013943.875
50	200.000	0.009	200.000	2.763	3.139	1.328	1783013944.103
51	200.000	0.031	200.001	3.211	2.642	1.328	1783013944.371
52	200.000	0.001	200.000	0.893	1.011	1.328	1783013944.622
53	200.000	-0.001	199.999	2.726	6.036	1.328	1783013944.867
54	200.000	-0.054	199.998	2.571	5.557	1.328	1783013945.119
55	200.000	0.030	200.002	2.186	4.599	1.328	1783013945.344
56	200.000	-0.032	199.995	2.809	3.047	1.328	1783013945.609
57	200.000	0.036	200.000	2.966	2.475	1.328	1783013945.855
58	200.000	-0.016	199.999	0.906	0.833	1.328	1783013946.125
59	200.000	-0.014	199.999	2.749	6.081	1.328	1783013946.358
60	200.000	0.006	199.998	2.496	5.520	1.328	1783013946.626
61	200.000	0.040	199.999	2.000	4.209	1.328	1783013946.874
62	200.000	-0.023	200.003	2.974	2.956	1.328	1783013947.121
63	200.000	0.005	200.002	2.890	2.446	1.328	1783013947.365
64	200.000	-0.007	200.002	0.952	0.665	1.328	1783013947.597
65	200.000	-0.000	200.000	2.863	5.969	1.328	1783013947.875
66	200.000	0.026	199.999	2.513	5.312	1.328	1783013948.123
67	200.000	-0.024	199.996	1.929	4.023	1.328	1783013948.433
68	200.000	-0.012	199.998	3.383	2.742	1.328	1783013948.665
69	200.000	-0.011	199.997	1.940	2.207	1.328	1783013948.935
70	200.000	-0.008	199.995	1.767	6.081	1.328	1783013949.150
71	200.000	-0.002	199.999	2.881	5.859	1.328	1783013949.454
72	200.000	0.009	200.002	2.429	4.973	1.328	1783013949.737
73	200.000	0.009	199.994	2.312	3.304	1.328	1783013949.995
74	200.000	0.011	199.999	3.376	2.525	1.328	1783013950.219
75	200.000	-0.020	200.002	1.115	1.697	1.328	1783013950.490
76	200.000	-0.033	200.002	2.410	6.061	1.328	1783013950.730
77	200.000	0.003	200.001	2.822	5.750	1.328	1783013950.994
78	200.000	-0.016	199.998	2.127	4.705	1.328	1783013951.240
79	200.000	0.015	199.999	2.633	3.292	1.328	1783013951.488
80	200.000	-0.070	200.004	3.325	2.574	1.328	1783013951.742
81	200.000	0.036	200.000	0.913	1.707	1.328	1783013951.991
82	200.000	-0.012	199.997	2.504	6.202	1.328	1783013952.241
83	200.000	0.007	199.997	2.828	5.694	1.328	1783013952.473
84	200.000	0.013	200.000	2.219	4.698	1.328	1783013952.740
85	200.000	0.043	200.003	2.613	3.070	1.328	1783013952.982
86	200.000	0.042	199.996	3.279	2.521	1.328	1783013953.248
87	200.000	0.018	199.997	0.825	1.160	1.328	1783013953.471
88	200.000	-0.018	199.998	2.565	6.065	1.328	1783013953.737
89	200.000	0.001	200.005	2.723	5.587	1.328	1783013953.992
90	200.000	0.022	199.999	2.136	4.543	1.328	1783013954.214
91	200.000	0.023	200.002	2.751	2.993	1.328	1783013954.488
92	200.000	0.005	199.997	2.887	2.512	1.328	1783013954.719
93	200.000	-0.022	199.998	0.692	1.147	1.328	1783013954.976
94	200.000	-0.020	200.004	2.629	6.131	1.328	1783013955.243
95	200.000	-0.012	200.003	2.680	5.511	1.328	1783013955.513
96	200.000	0.033	199.998	1.890	4.321	1.328	1783013955.746
97	200.000	0.004	199.997	2.954	2.960	1.328	1783013955.989
98	200.000	0.017	199.996	2.939	2.447	1.328	1783013956.244
99	200.000	-0.021	200.004	0.934	0.570	1.328	1783013956.476
100	200.000	-0.030	200.003	2.884	6.056	1.328	1783013956.751
101	200.000	-0.029	200.004	2.522	5.565	1.328	1783013956.977
102	200.000	0.018	200.002	2.100	4.455	1.328	1783013957.236
103	200.000	0.001	199.998	3.002	2.949	1.328	1783013957.494
104	200.000	0.009	199.999	2.937	2.455	1.328	1783013957.729
105	200.000	0.020	200.004	1.254	0.618	1.328	1783013957.976
106	200.000	0.013	199.999	2.871	6.072	1.328	1783013958.249
107	200.000	0.041	200.001	2.648	5.356	1.328	1783013958.505
108	200.000	0.008	199.998	2.201	4.182	1.328	1783013958.725
109	200.000	0.030	200.001	3.177	2.833	1.328	1783013958.996
110	200.000	0.011	199.998	2.594	2.411	1.328	1783013959.226
111	200.000	0.039	199.998	1.201	0.399	1.328	1783013959.496
112	200.000	-0.002	200.005	2.928	6.066	1.328	1783013959.754
113	200.000	-0.005	200.001	2.407	5.386	1.328	1783013959.986
114	200.000	0.008	199.997	2.015	4.017	1.328	1783013960.241
115	200.000	0.010	199.998	3.279	2.798	1.328	1783013960.494
116	200.000	0.016	199.996	2.609	2.277	1.328	1783013960.751
117	200.000	0.018	199.999	1.445	0.164	1.328	1783013960.976
118	200.000	-0.000	199.998	3.000	5.983	1.328	1783013961.236
119	200.000	0.007	200.002	2.375	5.185	1.328	1783013961.478
120	200.000	0.045	200.004	2.065	3.899	1.328	1783013961.744
121	200.000	-0.008	199.997	3.383	2.736	1.328	1783013961.996
122	200.000	-0.005	200.002	2.437	2.394	1.328	1783013962.245
123	200.000	-0.023	200.000	1.639	6.283	1.328	1783013962.495
124	200.000	0.015	200.000	2.863	5.843	1.328	1783013962.737
125	200.000	0.036	200.001	2.359	5.098	1.328	1783013962.996
126	200.000	-0.027	200.000	2.198	3.709	1.328	1783013963.223
127	200.000	-0.000	200.001	3.243	2.715	1.328	1783013963.486
128	200.000	-0.034	200.000	2.151	2.142	1.328	1783013963.741
129	200.000	-0.012	200.000	1.850	0.009	1.328	1783013963.992
130	200.000	0.028	199.998	2.921	5.818	1.328	1783013964.241
131	200.000	0.021	200.001	2.104	5.086	1.328	1783013964.466
132	200.000	-0.018	200.000	2.079	3.621	1.328	1783013964.748
133	200.000	0.043	200.000	3.589	2.621	1.328	1783013964.979
134	200.000	-0.004	200.001	1.862	2.233	1.328	1783013965.246
135	200.000	-0.003	200.000	2.124	6.178	1.328	1783013965.496
136	200.000	-0.043	199.998	2.931	5.875	1.328	1783013965.736
137	200.000	0.039	199.999	2.065	4.962	1.328	1783013965.983
138	200.000	0.023	200.002	2.227	3.456	1.328	1783013966.226
139	200.000	-0.009	199.999	3.517	2.601	1.328	1783013966.484
140	200.000	0.008	200.003	1.724	2.093	1.328	1783013966.735
141	200.000	0.000	200.004	2.148	6.117	1.328	1783013966.995
142	200.000	-0.021	200.000	2.885	5.867	1.328	1783013967.222
143	200.000	0.040	200.001	2.079	4.954	1.328	1783013967.488
144	200.000	-0.003	200.002	2.323	3.331	1.328	1783013967.725
145	200.000	-0.031	200.003	3.543	2.673	1.328	1783013967.989
146	200.000	-0.026	200.002	1.455	1.985	1.328	1783013968.242
147	200.000	0.010	199.999	2.173	6.027	1.328	1783013968.476
148	200.000	-0.012	199.999	2.915	5.735	1.328	1783013968.746
149	200.000	0.041	200.001	2.155	4.772	1.328	1783013969.011
150	200.000	-0.031	200.002	2.552	3.291	1.328	1783013969.271
151	200.000	-0.031	200.000	3.529	2.565	1.328	1783013969.492
152	200.000	0.020	200.002	1.266	1.940	1.328	1783013969.767
153	200.000	-0.012	199.998	2.464	6.136	1.328	1783013969.992
154	200.000	-0.048	200.001	2.861	5.704	1.328	1783013970.274
155	200.000	0.029	199.995	2.106	4.591	1.328	1783013970.513
156	200.000	-0.059	199.998	2.502	3.206	1.328	1783013970.747
157	200.000	-0.010	199.999	3.594	2.531	1.328	1783013971.009
158	200.000	-0.006	200.005	0.988	1.808	1.328	1783013971.258
159	200.000	0.012	200.000	2.626	6.141	1.328	1783013971.518
160	200.000	0.028	200.004	2.713	5.673	1.328	1783013971.742
161	200.000	-0.019	200.000	2.061	4.575	1.328	1783013972.011
162	200.000	0.058	199.997	2.791	3.067	1.328	1783013972.251
163	200.000	-0.022	200.004	3.424	2.501	1.328	1783013972.531
164	200.000	0.035	199.999	0.843	1.238	1.328	1783013972.785
165	200.000	0.005	199.996	2.822	6.025	1.328	1783013973.087
166	200.000	0.012	200.002	2.260	5.306	1.328	1783013973.355
167	200.000	0.017	199.998	2.173	3.842	1.328	1783013973.606
168	200.000	-0.015	199.997	3.442	2.699	1.328	1783013973.858
169	200.000	-0.022	200.001	2.596	2.294	1.328	1783013974.114
170	200.000	-0.025	199.998	1.509	0.089	1.328	1783013974.335
171	200.000	-0.020	199.999	2.902	5.990	1.328	1783013974.601
172	200.000	-0.027	200.000	2.337	5.252	1.328	1783013974.850
173	200.000	-0.019	199.998	2.291	4.018	1.328	1783013975.098
174	200.000	-0.018	199.999	3.500	2.692	1.328	1783013975.356
175	200.000	-0.022	200.001	2.646	2.317	1.328	1783013975.604
176	200.000	0.001	200.002	1.668	0.195	1.328	1783013975.852
177	200.000	-0.009	199.999	2.829	5.982	1.328	1783013976.114
178	200.000	0.008	200.000	2.279	5.166	1.328	1783013976.366
179	200.000	-0.001	199.996	2.108	3.965	1.328	1783013976.594
180	200.000	-0.001	200.004	3.503	2.772	1.328	1783013976.860
181	200.000	-0.022	200.002	2.233	2.252	1.328	1783013977.109
182	200.000	0.029	200.003	1.639	0.021	1.328	1783013977.344
183	200.000	-0.023	199.999	3.099	5.987	1.328	1783013977.594
184	200.000	0.060	200.004	2.249	5.254	1.328	1783013977.850
185	200.000	0.033	199.996	2.237	3.852	1.328	1783013978.097
186	200.000	-0.001	200.000	3.527	2.672	1.328	1783013978.357
187	200.000	0.040	200.002	2.001	2.326	1.328	1783013978.595
188	200.000	0.019	200.000	1.873	6.110	1.328	1783013978.848
189	200.000	-0.008	199.996	3.043	5.912	1.328	1783013979.111
190	200.000	-0.003	199.999	2.115	5.123	1.328	1783013979.352
191	200.000	0.096	199.999	2.273	3.765	1.328	1783013979.578
192	200.000	-0.003	199.996	3.578	2.695	1.328	1783013979.849
193	200.000	0.002	200.001	2.213	2.350	1.328	1783013980.084
194	200.000	0.014	200.000	1.816	6.239	1.328	1783013980.360
195	200.000	0.053	200.001	3.046	5.949	1.328	1783013980.583
196	200.000	0.025	200.001	2.296	5.189	1.328	1783013980.849
197	200.000	0.004	200.004	2.217	3.662	1.328	1783013981.090
198	200.000	0.012	200.002	3.551	2.702	1.328	1783013981.344
199	200.000	0.016	200.000	2.199	2.246	1.328	1783013981.593
200	200.000	0.003	200.001	1.965	0.012	1.328	1783013981.842
201	200.000	-0.023	200.001	2.979	5.843	1.328	1783013982.091
202	200.000	-0.020	200.002	2.068	4.940	1.328	1783013982.337
203	200.000	-0.008	200.004	2.451	3.538	1.328	1783013982.597
204	200.000	0.039	200.001	3.591	2.623	1.328	1783013982.848
205	200.000	0.011	200.003	1.733	2.171	1.328	1783013983.109
206	200.000	-0.041	200.002	2.347	6.139	1.328	1783013983.363
207	200.000	-0.044	200.001	2.939	5.842	1.328	1783013983.584
208	200.000	-0.025	199.999	2.035	4.825	1.328	1783013983.855
209	200.000	0.046	200.003	2.515	3.550	1.328	1783013984.087
210	200.000	0.019	199.998	3.497	2.634	1.328	1783013984.355
211	200.000	-0.031	199.997	1.193	2.050	1.328	1783013984.601
212	200.000	0.015	200.000	2.312	6.072	1.328	1783013984.855
213	200.000	0.004	199.998	2.980	5.798	1.328	1783013985.104
214	200.000	-0.004	200.003	2.171	4.815	1.328	1783013985.333
215	200.000	0.013	200.003	2.456	3.422	1.328	1783013985.605
216	200.000	-0.041	200.002	3.688	2.616	1.328	1783013985.836
217	200.000	0.007	199.997	1.523	2.144	1.328	1783013986.102
218	200.000	0.029	200.001	2.463	6.169	1.328	1783013986.352
219	200.000	-0.025	199.995	2.878	5.872	1.328	1783013986.590
220	200.000	-0.043	200.001	2.057	4.870	1.328	1783013986.852
221	200.000	-0.013	199.997	2.662	3.477	1.328	1783013987.092
222	200.000	-0.018	200.003	3.569	2.587	1.328	1783013987.339
223	200.000	-0.008	200.000	1.193	1.997	1.328	1783013987.591
224	200.000	0.027	200.000	2.692	6.111	1.328	1783013987.852
225	200.000	0.014	200.000	2.899	5.733	1.328	1783013988.073
226	200.000	0.002	199.996	2.154	4.654	1.328	1783013988.375
227	200.000	0.022	199.999	2.947	3.152	1.328	1783013988.599
228	200.000	0.065	200.004	3.529	2.516	1.328	1783013988.868
229	200.000	-0.021	200.001	0.844	1.660	1.328	1783013989.104
230	200.000	-0.014	200.003	2.777	6.055	1.328	1783013989.368
231	200.000	-0.028	200.003	2.757	5.730	1.328	1783013989.604
232	200.000	0.016	200.001	2.134	4.507	1.328	1783013989.865
233	200.000	-0.071	199.999	2.958	3.201	1.328	1783013990.114
234	200.000	0.054	200.007	3.495	2.526	1.328	1783013990.341
235	200.000	0.023	199.997	1.099	1.695	1.328	1783013990.606
236	200.000	-0.035	199.998	2.869	5.952	1.328	1783013990.847
237	200.000	0.004	200.003	2.869	5.634	1.328	1783013991.123
238	200.000	0.024	199.998	2.151	4.277	1.328	1783013991.400
