Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	200.000	-0.014	200.002	1.649	2.475	1.328	1782937275.154
2	200.000	0.034	200.003	1.822	0.199	1.328	1782937275.391
3	200.000	-0.040	200.004	4.455	4.811	1.328	1782937275.625
4	200.000	-0.040	200.002	2.221	2.163	1.328	1782937275.914
5	200.000	-0.026	200.004	2.334	5.821	1.328	1782937276.211
6	200.000	-0.077	199.997	2.314	4.909	1.328	1782937276.473
7	200.000	-0.032	200.001	2.663	1.672	1.328	1782937276.779
8	200.000	0.022	200.003	4.216	5.062	1.328	1782937277.049
9	200.000	-0.081	200.002	1.094	3.084	1.328	1782937277.338
10	200.000	0.013	200.000	1.458	6.261	1.328	1782937277.665
11	200.000	0.002	199.997	3.127	4.552	1.328	1782937277.983
12	200.000	-0.010	199.998	2.248	1.764	1.328	1782937278.289
13	200.000	0.026	200.001	4.448	4.887	1.328	1782937278.587
14	200.000	-0.011	199.996	2.128	2.246	1.328	1782937278.841
15	200.000	-0.022	200.001	2.843	0.824	1.328	1782937279.078
16	200.000	-0.070	200.000	4.557	4.806	1.328	1782937279.340
17	200.000	0.020	200.002	2.326	2.234	1.328	1782937279.585
18	200.000	0.033	199.999	1.823	0.301	1.328	1782937279.841
19	200.000	-0.073	200.002	4.238	4.667	1.328	1782937280.106
20	200.000	0.032	200.002	3.102	2.082	1.328	1782937280.412
21	200.000	-0.004	200.002	3.475	5.256	1.328	1782937280.711
22	200.000	-0.005	200.003	1.334	4.209	1.328	1782937280.968
23	200.000	-0.107	199.996	0.893	0.687	1.328	1782937281.278
24	200.000	0.041	200.001	3.192	4.886	1.328	1782937281.533
25	200.000	-0.062	199.999	1.415	2.682	1.328	1782937281.802
26	200.000	-0.023	199.997	2.063	6.091	1.328	1782937282.108
27	200.000	0.021	199.999	3.451	4.643	1.328	1782937282.342
28	200.000	-0.045	199.998	3.118	1.916	1.328	1782937282.610
29	200.000	-0.029	200.000	2.776	5.494	1.328	1782937282.866
30	200.000	0.025	199.996	3.216	4.612	1.328	1782937283.092
31	200.000	0.016	200.002	2.943	1.918	1.328	1782937283.372
