Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	0.294	100.004	3.057	1.325	0.664	1785260485.415
2	100.000	-0.016	100.004	2.977	1.268	0.683	1785260485.605
3	100.000	0.031	99.995	3.009	1.262	0.691	1785260485.800
4	100.000	0.092	99.998	2.901	1.286	0.685	1785260486.045
5	100.000	0.342	100.003	2.980	1.237	0.692	1785260486.219
6	100.000	-0.275	99.996	3.150	1.280	0.684	1785260486.417
7	100.000	-0.213	100.004	2.976	1.315	0.690	1785260486.594
8	100.000	0.086	100.001	3.090	1.291	0.684	1785260486.773
9	100.000	0.239	100.001	3.079	1.288	0.680	1785260486.983
10	100.000	-0.081	99.998	2.919	1.254	0.690	1785260487.256
11	100.000	-0.177	99.999	3.128	1.257	0.673	1785260487.459
12	100.000	0.179	99.998	3.338	1.299	0.682	1785260487.672
13	100.000	0.109	99.999	2.991	1.329	0.680	1785260487.930
14	100.000	0.512	99.999	2.639	1.294	0.673	1785260488.146
15	100.000	-0.376	99.999	2.446	1.266	0.659	1785260488.351
16	100.000	-0.253	99.996	1.663	1.254	0.685	1785260488.604
17	100.000	-0.101	100.001	1.002	1.426	0.719	1785260488.810
18	100.000	0.441	100.004	1.032	1.671	0.642	1785260489.018
19	100.000	0.039	100.002	0.797	2.287	0.664	1785260489.189
20	100.000	0.138	100.001	0.549	2.633	0.675	1785260489.389
21	100.000	0.136	100.000	0.573	1.842	0.641	1785260489.607
22	100.000	0.124	100.001	1.156	1.328	0.673	1785260489.787
23	100.000	-0.185	99.998	1.848	1.266	0.660	1785260490.012
24	100.000	0.223	99.997	2.965	1.210	0.673	1785260490.229
25	100.000	0.312	99.999	3.359	1.235	0.685	1785260490.414
26	100.000	0.159	99.999	3.195	1.272	0.682	1785260490.621
27	100.000	-0.149	100.000	3.030	1.281	0.685	1785260490.858
28	100.000	-0.237	100.002	2.769	1.190	0.680	1785260491.059
29	100.000	-0.226	99.998	2.362	1.147	0.674	1785260491.264
30	100.000	-0.093	99.999	1.621	1.133	0.683	1785260491.438
