Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	200.000	-0.013	199.999	0.729	0.498	1.328	1783010344.940
2	200.000	0.085	200.003	0.256	0.326	1.328	1783010345.194
3	200.000	-0.027	200.002	0.919	0.698	1.328	1783010345.484
4	200.000	-0.005	200.000	0.663	0.760	1.328	1783010345.779
5	200.000	-0.022	200.001	0.629	0.433	1.328	1783010346.067
6	200.000	-0.031	199.999	0.354	0.239	1.328	1783010346.339
7	200.000	0.014	200.001	1.502	1.210	1.328	1783010346.569
8	200.000	0.047	200.002	1.338	1.212	1.328	1783010346.831
9	200.000	-0.037	200.000	1.422	1.217	1.328	1783010347.164
10	200.000	-0.057	199.996	1.341	1.339	1.328	1783010347.434
11	200.000	-0.000	200.000	1.283	1.132	1.328	1783010347.716
12	200.000	-0.024	200.001	1.432	1.158	1.328	1783010348.026
13	200.000	-0.002	200.000	1.403	1.246	1.328	1783010348.308
14	200.000	0.014	199.997	0.910	1.292	1.328	1783010348.581
15	200.000	-0.005	199.999	2.993	1.282	1.328	1783010348.897
16	200.000	-0.028	200.000	2.219	0.895	1.328	1783010349.193
17	200.000	-0.004	199.998	1.070	5.000	1.328	1783010349.454
18	200.000	0.001	199.999	3.199	4.360	1.328	1783010349.680
19	200.000	0.053	200.001	1.281	4.277	1.328	1783010349.961
20	200.000	-0.030	200.001	2.702	1.205	1.328	1783010350.252
21	200.000	-0.009	199.998	3.079	1.080	1.328	1783010350.501
22	200.000	0.003	199.997	1.302	0.366	1.328	1783010350.753
23	200.000	-0.022	200.000	2.290	4.533	1.328	1783010351.022
24	200.000	-0.023	200.002	2.486	4.342	1.328	1783010351.320
25	200.000	-0.031	199.999	1.256	1.248	1.328	1783010351.592
26	200.000	-0.037	200.006	3.319	1.119	1.328	1783010351.899
27	200.000	-0.015	200.001	1.918	0.694	1.328	1783010352.123
28	200.000	0.042	199.996	1.136	5.136	1.328	1783010352.408
29	200.000	0.020	200.000	3.066	4.344	1.328	1783010352.689
30	200.000	0.019	199.994	0.217	4.449	1.328	1783010352.946
31	200.000	-0.052	200.003	2.771	1.234	1.328	1783010353.209
32	200.000	-0.030	200.002	2.791	0.934	1.328	1783010353.508
33	200.000	-0.047	200.000	1.267	0.221	1.328	1783010353.756
34	200.000	0.040	199.999	2.500	4.452	1.328	1783010354.007
35	200.000	0.007	200.000	2.479	4.340	1.328	1783010354.238
36	200.000	0.027	199.996	0.470	1.332	1.328	1783010354.510
37	200.000	-0.026	200.002	3.360	1.214	1.328	1783010354.739
38	200.000	-0.033	199.999	2.797	0.985	1.328	1783010355.010
39	200.000	-0.010	200.002	1.044	6.013	1.328	1783010355.267
40	200.000	0.011	200.003	2.887	4.353	1.328	1783010355.567
41	200.000	-0.001	199.992	1.864	4.295	1.328	1783010355.817
42	200.000	0.034	200.001	2.179	1.182	1.328	1783010356.133
43	200.000	0.007	199.997	3.299	1.072	1.328	1783010356.351
44	200.000	-0.010	200.002	1.790	0.591	1.328	1783010356.626
45	200.000	-0.057	200.002	1.768	4.686	1.328	1783010356.881
46	200.000	0.011	199.997	2.974	4.204	1.328	1783010357.140
47	200.000	0.027	200.001	0.529	4.144	1.328	1783010357.376
48	200.000	0.012	199.998	2.861	1.181	1.328	1783010357.651
49	200.000	-0.049	200.001	3.050	0.949	1.328	1783010357.924
50	200.000	-0.029	199.998	1.188	0.144	1.328	1783010358.195
51	200.000	-0.015	199.998	2.695	4.449	1.328	1783010358.455
52	200.000	0.013	199.997	2.177	4.234	1.328	1783010358.702
53	200.000	-0.025	199.996	1.423	1.289	1.328	1783010358.939
54	200.000	0.017	200.002	3.448	1.128	1.328	1783010359.201
55	200.000	0.063	199.996	2.449	0.772	1.328	1783010359.478
56	200.000	0.014	200.002	1.031	5.690	1.328	1783010359.726
57	200.000	-0.065	199.998	2.986	4.345	1.328	1783010359.951
58	200.000	-0.003	200.002	1.880	4.245	1.328	1783010360.196
59	200.000	0.028	200.002	1.459	1.145	1.328	1783010360.459
60	200.000	-0.018	199.998	3.373	1.047	1.328	1783010360.692
61	200.000	-0.019	200.001	2.514	0.900	1.328	1783010360.956
62	200.000	0.008	200.000	1.160	5.539	1.328	1783010361.208
63	200.000	-0.010	200.001	2.863	4.377	1.328	1783010361.451
64	200.000	0.014	200.003	1.851	4.227	1.328	1783010361.709
65	200.000	0.007	200.001	1.659	1.220	1.328	1783010361.936
66	200.000	-0.001	200.003	3.265	1.185	1.328	1783010362.200
67	200.000	0.009	200.002	2.196	0.797	1.328	1783010362.448
68	200.000	0.024	199.998	1.281	5.239	1.328	1783010362.700
69	200.000	0.022	200.000	2.821	4.326	1.328	1783010362.951
70	200.000	-0.000	199.999	1.691	4.297	1.328	1783010363.186
71	200.000	-0.020	200.004	1.890	1.203	1.328	1783010363.447
72	200.000	0.001	200.001	3.306	1.126	1.328	1783010363.711
73	200.000	0.015	200.002	2.080	0.787	1.328	1783010363.958
74	200.000	-0.004	200.003	1.181	5.144	1.328	1783010364.181
75	200.000	0.000	200.000	2.889	4.361	1.328	1783010364.444
76	200.000	-0.026	199.997	1.263	4.305	1.328	1783010364.694
77	200.000	0.059	200.006	2.203	1.188	1.328	1783010364.952
78	200.000	0.019	199.998	3.139	1.153	1.328	1783010365.194
79	200.000	0.027	200.002	2.137	0.743	1.328	1783010365.430
80	200.000	0.043	200.000	1.311	5.192	1.328	1783010365.711
81	200.000	0.028	200.000	2.997	4.365	1.328	1783010365.942
82	200.000	0.003	200.000	0.839	4.303	1.328	1783010366.212
83	200.000	-0.033	199.999	2.418	1.196	1.328	1783010366.439
84	200.000	-0.021	199.999	3.231	1.122	1.328	1783010366.701
85	200.000	0.042	200.000	1.614	0.511	1.328	1783010366.954
86	200.000	-0.008	199.999	1.616	4.961	1.328	1783010367.209
87	200.000	0.019	199.995	2.834	4.265	1.328	1783010367.463
88	200.000	0.032	199.997	0.747	4.239	1.328	1783010367.681
89	200.000	0.063	199.999	2.301	1.262	1.328	1783010367.961
90	200.000	0.052	200.001	2.998	1.067	1.328	1783010368.192
91	200.000	-0.068	199.999	1.481	0.500	1.328	1783010368.454
92	200.000	0.020	199.999	1.779	4.723	1.328	1783010368.702
93	200.000	0.002	200.001	2.830	4.288	1.328	1783010368.967
94	200.000	0.067	199.999	0.167	1.635	1.328	1783010369.221
95	200.000	-0.013	200.001	2.906	1.172	1.328	1783010369.461
96	200.000	-0.019	200.003	3.269	1.028	1.328	1783010369.709
97	200.000	-0.014	200.000	1.603	0.417	1.328	1783010369.935
98	200.000	0.033	200.003	1.953	4.645	1.328	1783010370.212
99	200.000	0.052	200.001	2.951	4.237	1.328	1783010370.464
100	200.000	0.026	200.001	0.252	3.284	1.328	1783010370.706
101	200.000	-0.023	200.002	2.786	1.138	1.328	1783010370.952
102	200.000	-0.004	200.000	3.054	0.944	1.328	1783010371.212
103	200.000	0.007	200.000	1.224	6.264	1.328	1783010371.467
104	200.000	-0.037	199.999	2.069	4.566	1.328	1783010371.688
105	200.000	0.042	199.999	2.848	4.219	1.328	1783010371.954
106	200.000	0.015	200.003	0.331	1.674	1.328	1783010372.199
107	200.000	-0.017	200.002	3.169	1.183	1.328	1783010372.472
108	200.000	-0.023	200.002	2.775	0.979	1.328	1783010372.690
109	200.000	0.005	200.003	1.459	0.220	1.328	1783010372.946
110	200.000	-0.010	199.998	2.172	4.493	1.328	1783010373.206
111	200.000	0.045	199.999	2.869	4.157	1.328	1783010373.437
112	200.000	0.022	200.001	0.505	1.521	1.328	1783010373.700
113	200.000	-0.014	199.999	3.253	1.136	1.328	1783010373.932
114	200.000	0.027	199.997	2.797	0.947	1.328	1783010374.192
115	200.000	0.006	200.000	1.174	6.269	1.328	1783010374.445
116	200.000	0.012	200.004	2.566	4.427	1.328	1783010374.716
117	200.000	-0.033	199.998	2.522	4.176	1.328	1783010374.943
118	200.000	0.028	200.002	0.826	1.334	1.328	1783010375.184
119	200.000	-0.001	199.998	3.050	1.081	1.328	1783010375.475
120	200.000	0.039	200.000	2.515	0.850	1.328	1783010375.701
121	200.000	-0.040	200.002	1.145	5.851	1.328	1783010375.973
122	200.000	-0.019	200.001	2.589	4.270	1.328	1783010376.223
123	200.000	0.016	200.002	2.253	4.071	1.328	1783010376.473
124	200.000	0.006	199.999	1.334	1.263	1.328	1783010376.730
125	200.000	-0.010	200.005	3.550	1.086	1.328	1783010376.968
126	200.000	-0.007	200.003	2.210	0.810	1.328	1783010377.220
127	200.000	-0.029	200.001	1.239	5.484	1.328	1783010377.445
128	200.000	-0.013	200.000	2.734	4.319	1.328	1783010377.734
129	200.000	0.004	200.005	1.921	4.091	1.328	1783010377.956
130	200.000	0.000	200.001	1.555	1.110	1.328	1783010378.222
131	200.000	0.000	200.001	3.273	1.009	1.328	1783010378.470
132	200.000	-0.031	200.003	2.230	0.680	1.328	1783010378.734
133	200.000	0.008	200.001	1.214	5.393	1.328	1783010378.971
134	200.000	0.035	200.000	2.978	4.184	1.328	1783010379.230
135	200.000	0.011	200.002	1.656	4.018	1.328	1783010379.487
136	200.000	-0.015	199.997	1.661	1.071	1.328	1783010379.703
137	200.000	0.004	200.000	3.237	1.002	1.328	1783010379.978
138	200.000	-0.041	200.000	2.026	0.653	1.328	1783010380.199
139	200.000	-0.024	199.999	1.173	5.074	1.328	1783010380.465
140	200.000	-0.000	200.001	2.861	4.155	1.328	1783010380.719
141	200.000	0.029	200.001	1.895	4.034	1.328	1783010380.974
142	200.000	0.010	200.000	2.039	1.032	1.328	1783010381.215
143	200.000	0.008	200.001	3.429	0.960	1.328	1783010381.481
144	200.000	0.039	200.004	1.915	0.650	1.328	1783010381.717
145	200.000	-0.013	200.004	1.369	5.057	1.328	1783010381.959
146	200.000	-0.000	200.002	2.981	4.104	1.328	1783010382.236
147	200.000	-0.004	200.001	1.229	4.005	1.328	1783010382.451
148	200.000	0.021	200.001	2.028	1.092	1.328	1783010382.713
149	200.000	0.019	200.002	3.094	0.918	1.328	1783010382.986
150	200.000	0.030	200.000	1.862	0.483	1.328	1783010383.219
151	200.000	-0.006	199.999	1.266	5.003	1.328	1783010383.464
152	200.000	0.026	200.002	2.952	4.200	1.328	1783010383.711
153	200.000	0.007	199.995	1.144	3.982	1.328	1783010383.957
