Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	3.324	100.004	0.000	0.000	0.000	1783093323.452
2	100.000	2.887	99.996	0.000	0.000	0.000	1783093323.632
3	100.000	2.990	100.003	0.000	0.000	0.000	1783093323.810
4	100.000	3.318	100.003	0.000	0.000	0.000	1783093323.939
5	100.000	3.175	100.002	0.000	0.000	0.000	1783093324.138
6	100.000	3.228	100.003	0.000	0.000	0.000	1783093324.317
7	100.000	3.247	99.997	0.000	0.000	0.000	1783093324.498
8	100.000	3.664	100.004	0.000	0.000	0.000	1783093324.628
9	100.000	3.186	100.001	0.000	0.000	0.000	1783093324.821
10	100.000	3.364	99.999	0.000	0.000	0.000	1783093325.023
11	100.000	2.991	99.998	0.000	0.000	0.000	1783093325.192
12	100.000	3.073	100.003	0.000	0.000	0.000	1783093325.310
13	100.000	3.117	100.000	0.000	0.000	0.000	1783093325.499
14	100.000	3.437	99.996	0.000	0.000	0.000	1783093325.708
15	100.000	3.336	100.004	0.000	0.000	0.000	1783093325.887
16	100.000	3.276	99.995	0.000	0.000	0.000	1783093326.065
17	100.000	3.507	99.999	0.000	0.000	0.000	1783093326.183
18	100.000	3.518	100.001	0.000	0.000	0.000	1783093326.381
19	100.000	3.582	99.998	0.000	0.000	0.000	1783093326.572
20	100.000	3.810	100.002	0.000	0.000	0.000	1783093326.762
21	100.000	3.421	100.002	0.000	0.000	0.000	1783093326.940
22	100.000	3.487	100.000	0.000	0.000	0.000	1783093327.058
23	100.000	3.742	99.999	0.000	0.000	0.000	1783093327.184
24	100.000	3.531	100.001	0.000	0.000	0.000	1783093327.315
25	100.000	3.489	99.999	0.000	0.000	0.000	1783093327.449
26	100.000	3.418	99.996	0.000	0.000	0.000	1783093327.636
27	100.000	3.096	99.998	0.000	0.000	0.000	1783093327.806
28	100.000	3.598	99.998	0.000	0.000	0.000	1783093327.949
29	100.000	3.237	100.004	0.000	0.000	0.000	1783093328.125
30	100.000	2.091	99.999	0.000	0.000	0.000	1783093328.257
31	100.000	3.898	99.997	0.000	0.000	0.000	1783093328.446
32	100.000	3.085	100.002	0.000	0.000	0.000	1783093328.586
33	100.000	2.713	100.003	0.000	0.000	0.000	1783093328.773
34	100.000	4.329	99.996	0.000	0.000	0.000	1783093328.898
35	100.000	2.427	99.996	0.000	0.000	0.000	1783093329.032
36	100.000	4.048	99.997	0.000	0.000	0.000	1783093329.210
37	100.000	3.278	99.998	0.000	0.000	0.000	1783093329.345
38	100.000	2.747	100.002	0.000	0.000	0.000	1783093329.538
39	100.000	3.634	99.998	0.000	0.000	0.000	1783093329.715
40	100.000	3.157	100.002	0.000	0.000	0.000	1783093329.832
41	100.000	3.058	100.006	0.000	0.000	0.000	1783093329.958
42	100.000	3.251	100.002	0.000	0.000	0.000	1783093330.083
43	100.000	3.215	99.999	0.000	0.000	0.000	1783093330.203
44	100.000	3.330	99.996	0.000	0.000	0.000	1783093330.409
