Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	3.947	100.001	0.000	0.000	0.000	1783093047.231
2	100.000	4.025	100.000	0.000	0.000	0.000	1783093047.410
3	100.000	4.398	99.997	0.000	0.000	0.000	1783093047.529
4	100.000	3.853	99.996	0.000	0.000	0.000	1783093047.723
5	100.000	3.881	100.001	0.000	0.000	0.000	1783093047.927
6	100.000	4.224	99.999	0.000	0.000	0.000	1783093048.105
7	100.000	4.197	99.999	0.000	0.000	0.000	1783093048.295
8	100.000	4.090	99.998	0.000	0.000	0.000	1783093048.464
9	100.000	3.851	100.000	0.000	0.000	0.000	1783093048.602
10	100.000	4.199	99.997	0.000	0.000	0.000	1783093048.790
11	100.000	4.066	100.001	0.000	0.000	0.000	1783093048.986
12	100.000	3.736	100.001	0.000	0.000	0.000	1783093049.166
13	100.000	3.981	100.001	0.000	0.000	0.000	1783093049.338
14	100.000	4.330	99.999	0.000	0.000	0.000	1783093049.495
15	100.000	4.053	99.998	0.000	0.000	0.000	1783093049.685
16	100.000	4.082	99.999	0.000	0.000	0.000	1783093049.859
17	100.000	4.445	99.999	0.000	0.000	0.000	1783093050.039
18	100.000	4.326	99.998	0.000	0.000	0.000	1783093050.175
19	100.000	3.937	99.999	0.000	0.000	0.000	1783093050.368
20	100.000	4.140	100.000	0.000	0.000	0.000	1783093050.545
21	100.000	4.135	100.002	0.000	0.000	0.000	1783093050.717
22	100.000	3.957	99.999	0.000	0.000	0.000	1783093050.859
23	100.000	4.021	99.996	0.000	0.000	0.000	1783093051.051
24	100.000	3.981	100.003	0.000	0.000	0.000	1783093051.237
25	100.000	4.033	99.996	0.000	0.000	0.000	1783093051.421
26	100.000	4.023	100.000	0.000	0.000	0.000	1783093051.597
27	100.000	4.369	99.998	0.000	0.000	0.000	1783093051.736
28	100.000	3.939	99.996	0.000	0.000	0.000	1783093051.928
29	100.000	3.927	100.000	0.000	0.000	0.000	1783093052.103
30	100.000	4.037	100.004	0.000	0.000	0.000	1783093052.223
31	100.000	4.104	100.003	0.000	0.000	0.000	1783093052.350
32	100.000	4.057	99.995	0.000	0.000	0.000	1783093052.473
33	100.000	4.301	100.003	0.000	0.000	0.000	1783093052.614
34	100.000	4.241	99.999	0.000	0.000	0.000	1783093052.789
35	100.000	3.934	100.006	0.000	0.000	0.000	1783093052.911
36	100.000	4.196	99.998	0.000	0.000	0.000	1783093053.108
37	100.000	3.972	100.000	0.000	0.000	0.000	1783093053.298
38	100.000	3.937	100.005	0.000	0.000	0.000	1783093053.495
39	100.000	3.893	100.000	0.000	0.000	0.000	1783093053.665
40	100.000	3.797	100.003	0.000	0.000	0.000	1783093053.783
41	100.000	4.311	100.002	0.000	0.000	0.000	1783093053.910
42	100.000	3.899	99.999	0.000	0.000	0.000	1783093054.035
43	100.000	4.193	99.996	0.000	0.000	0.000	1783093054.181
44	100.000	3.702	100.001	0.000	0.000	0.000	1783093054.365
45	100.000	3.793	99.997	0.000	0.000	0.000	1783093054.539
46	100.000	4.478	99.998	0.000	0.000	0.000	1783093054.657
47	100.000	3.872	100.002	0.000	0.000	0.000	1783093054.850
48	100.000	4.164	99.997	0.000	0.000	0.000	1783093055.036
49	100.000	4.353	99.999	0.000	0.000	0.000	1783093055.232
50	100.000	4.236	100.000	0.000	0.000	0.000	1783093055.413
51	100.000	3.962	100.003	0.000	0.000	0.000	1783093055.591
52	100.000	4.127	99.998	0.000	0.000	0.000	1783093055.729
53	100.000	4.210	100.000	0.000	0.000	0.000	1783093055.919
54	100.000	4.146	99.998	0.000	0.000	0.000	1783093056.108
55	100.000	4.249	100.002	0.000	0.000	0.000	1783093056.277
56	100.000	4.468	99.999	0.000	0.000	0.000	1783093056.415
57	100.000	4.041	99.995	0.000	0.000	0.000	1783093056.623
58	100.000	3.988	99.996	0.000	0.000	0.000	1783093056.793
59	100.000	4.276	100.001	0.000	0.000	0.000	1783093056.979
60	100.000	4.258	99.999	0.000	0.000	0.000	1783093057.133
61	100.000	4.027	100.000	0.000	0.000	0.000	1783093057.307
62	100.000	4.249	100.001	0.000	0.000	0.000	1783093057.495
63	100.000	4.321	100.001	0.000	0.000	0.000	1783093057.630
64	100.000	4.294	100.000	0.000	0.000	0.000	1783093057.817
65	100.000	4.404	100.000	0.000	0.000	0.000	1783093058.000
66	100.000	4.438	99.999	0.000	0.000	0.000	1783093058.178
67	100.000	4.379	99.997	0.000	0.000	0.000	1783093058.307
68	100.000	4.370	100.003	0.000	0.000	0.000	1783093058.495
69	100.000	4.187	100.002	0.000	0.000	0.000	1783093058.694
70	100.000	4.149	100.004	0.000	0.000	0.000	1783093058.876
71	100.000	4.185	100.003	0.000	0.000	0.000	1783093058.993
72	100.000	4.062	100.000	0.000	0.000	0.000	1783093059.118
73	100.000	4.002	100.003	0.000	0.000	0.000	1783093059.242
74	100.000	4.263	99.998	0.000	0.000	0.000	1783093059.391
75	100.000	3.977	100.001	0.000	0.000	0.000	1783093059.571
76	100.000	4.291	100.000	0.000	0.000	0.000	1783093059.747
77	100.000	4.403	100.005	0.000	0.000	0.000	1783093059.867
78	100.000	4.556	99.997	0.000	0.000	0.000	1783093059.991
79	100.000	4.185	100.002	0.000	0.000	0.000	1783093060.116
80	100.000	4.318	99.998	0.000	0.000	0.000	1783093060.252
81	100.000	4.168	100.001	0.000	0.000	0.000	1783093060.446
82	100.000	4.161	100.003	0.000	0.000	0.000	1783093060.625
83	100.000	4.378	100.001	0.000	0.000	0.000	1783093060.802
84	100.000	4.317	100.002	0.000	0.000	0.000	1783093060.939
85	100.000	4.158	100.002	0.000	0.000	0.000	1783093061.126
86	100.000	4.409	100.002	0.000	0.000	0.000	1783093061.317
87	100.000	4.331	100.001	0.000	0.000	0.000	1783093061.486
88	100.000	4.342	99.997	0.000	0.000	0.000	1783093061.625
89	100.000	4.379	99.999	0.000	0.000	0.000	1783093061.827
90	100.000	4.300	99.998	0.000	0.000	0.000	1783093062.007
91	100.000	4.197	99.999	0.000	0.000	0.000	1783093062.187
92	100.000	4.204	100.003	0.000	0.000	0.000	1783093062.361
93	100.000	4.305	99.999	0.000	0.000	0.000	1783093062.501
94	100.000	4.258	99.998	0.000	0.000	0.000	1783093062.691
95	100.000	4.000	100.003	0.000	0.000	0.000	1783093062.870
96	100.000	4.177	100.001	0.000	0.000	0.000	1783093062.986
97	100.000	4.109	99.999	0.000	0.000	0.000	1783093063.111
98	100.000	4.314	99.999	0.000	0.000	0.000	1783093063.235
99	100.000	4.291	99.999	0.000	0.000	0.000	1783093063.380
100	100.000	4.129	99.999	0.000	0.000	0.000	1783093063.570
101	100.000	4.004	100.004	0.000	0.000	0.000	1783093063.746
102	100.000	4.073	100.003	0.000	0.000	0.000	1783093063.931
103	100.000	4.339	100.002	0.000	0.000	0.000	1783093064.107
104	100.000	4.044	100.000	0.000	0.000	0.000	1783093064.257
105	100.000	4.122	100.001	0.000	0.000	0.000	1783093064.427
106	100.000	4.309	100.003	0.000	0.000	0.000	1783093064.546
107	100.000	4.290	99.999	0.000	0.000	0.000	1783093064.672
108	100.000	4.048	99.999	0.000	0.000	0.000	1783093064.797
109	100.000	4.362	100.000	0.000	0.000	0.000	1783093064.939
110	100.000	3.917	99.998	0.000	0.000	0.000	1783093065.126
111	100.000	4.097	100.003	0.000	0.000	0.000	1783093065.316
112	100.000	4.131	100.001	0.000	0.000	0.000	1783093065.492
113	100.000	4.196	100.002	0.000	0.000	0.000	1783093065.671
114	100.000	3.939	100.000	0.000	0.000	0.000	1783093065.805
115	100.000	4.154	99.998	0.000	0.000	0.000	1783093065.997
116	100.000	4.153	99.999	0.000	0.000	0.000	1783093066.178
117	100.000	4.269	100.002	0.000	0.000	0.000	1783093066.357
118	100.000	4.139	100.003	0.000	0.000	0.000	1783093066.485
119	100.000	4.038	100.000	0.000	0.000	0.000	1783093066.691
120	100.000	4.097	100.001	0.000	0.000	0.000	1783093066.885
121	100.000	3.854	100.001	0.000	0.000	0.000	1783093067.037
122	100.000	3.977	99.998	0.000	0.000	0.000	1783093067.223
123	100.000	4.026	99.999	0.000	0.000	0.000	1783093067.401
124	100.000	4.019	100.002	0.000	0.000	0.000	1783093067.540
125	100.000	3.718	100.004	0.000	0.000	0.000	1783093067.729
126	100.000	3.898	100.001	0.000	0.000	0.000	1783093067.902
127	100.000	4.002	99.995	0.000	0.000	0.000	1783093068.081
128	100.000	4.100	100.003	0.000	0.000	0.000	1783093068.258
129	100.000	4.081	100.001	0.000	0.000	0.000	1783093068.397
130	100.000	4.068	99.999	0.000	0.000	0.000	1783093068.589
131	100.000	4.221	100.000	0.000	0.000	0.000	1783093068.712
132	100.000	4.139	100.002	0.000	0.000	0.000	1783093068.838
133	100.000	4.110	100.003	0.000	0.000	0.000	1783093068.978
134	100.000	4.043	100.002	0.000	0.000	0.000	1783093069.120
135	100.000	4.243	100.004	0.000	0.000	0.000	1783093069.292
136	100.000	4.204	100.000	0.000	0.000	0.000	1783093069.479
137	100.000	4.046	100.002	0.000	0.000	0.000	1783093069.652
138	100.000	3.852	100.000	0.000	0.000	0.000	1783093069.789
139	100.000	4.017	100.001	0.000	0.000	0.000	1783093069.969
140	100.000	3.947	99.998	0.000	0.000	0.000	1783093070.167
141	100.000	4.040	100.000	0.000	0.000	0.000	1783093070.349
142	100.000	3.957	99.996	0.000	0.000	0.000	1783093070.466
143	100.000	4.533	99.999	0.000	0.000	0.000	1783093070.602
144	100.000	-1.995	99.996	0.000	0.000	0.000	1783093070.727
145	100.000	-2.910	100.001	0.000	0.000	0.000	1783093070.858
146	100.000	-2.411	99.999	0.000	0.000	0.000	1783093070.976
147	100.000	2.058	99.999	0.000	0.000	0.000	1783093071.108
148	100.000	2.859	100.004	0.000	0.000	0.000	1783093071.285
149	100.000	-0.084	100.000	0.000	0.000	0.000	1783093071.420
150	100.000	1.288	100.001	0.000	0.000	0.000	1783093071.596
151	100.000	-1.082	100.000	0.000	0.000	0.000	1783093071.737
152	100.000	-0.971	100.001	0.000	0.000	0.000	1783093071.912
153	100.000	-1.238	100.000	0.000	0.000	0.000	1783093072.045
154	100.000	-2.279	100.002	0.000	0.000	0.000	1783093072.247
155	100.000	1.416	100.004	0.000	0.000	0.000	1783093072.430
156	100.000	2.737	100.000	0.000	0.000	0.000	1783093072.610
157	100.000	-0.780	100.000	0.000	0.000	0.000	1783093072.788
158	100.000	-2.834	100.002	0.000	0.000	0.000	1783093072.924
159	100.000	-1.770	99.999	0.000	0.000	0.000	1783093073.121
160	100.000	0.457	99.999	0.000	0.000	0.000	1783093073.298
161	100.000	2.198	100.001	0.000	0.000	0.000	1783093073.417
162	100.000	2.037	100.002	0.000	0.000	0.000	1783093073.620
163	100.000	0.764	99.999	0.000	0.000	0.000	1783093073.806
