Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	200.000	0.037	200.001	0.423	1.584	1.328	1782924051.412
2	200.000	0.014	200.001	0.380	1.435	1.328	1782924051.689
3	200.000	-0.015	200.000	0.421	1.396	1.328	1782924051.933
4	200.000	-0.019	200.000	0.406	1.337	1.328	1782924052.207
5	200.000	0.011	199.996	0.393	1.810	1.328	1782924052.507
6	200.000	0.029	199.999	0.460	1.633	1.328	1782924052.801
7	200.000	-0.005	199.998	0.303	0.367	1.328	1782924053.069
8	200.000	-0.043	199.999	1.411	1.253	1.328	1782924053.298
9	200.000	0.061	199.999	2.648	0.002	1.328	1782924053.563
10	200.000	0.042	200.000	0.419	1.018	1.328	1782924053.813
11	200.000	-0.076	199.998	1.387	0.938	1.328	1782924054.080
12	200.000	-0.010	199.997	2.398	6.199	1.328	1782924054.402
13	200.000	-0.008	200.001	1.251	2.034	1.328	1782924054.697
14	200.000	-0.010	200.000	2.197	0.329	1.328	1782924054.952
15	200.000	0.015	200.002	1.330	6.224	1.328	1782924055.215
16	200.000	0.027	199.999	1.313	1.646	1.328	1782924055.519
17	200.000	-0.034	200.002	2.584	6.225	1.328	1782924055.824
18	200.000	0.015	199.999	0.582	2.147	1.328	1782924056.073
19	200.000	0.056	200.000	1.477	0.754	1.328	1782924056.296
20	200.000	0.037	200.003	2.636	6.236	1.328	1782924056.575
21	200.000	-0.011	199.997	0.785	2.030	1.328	1782924056.844
22	200.000	0.006	199.999	1.903	0.466	1.328	1782924057.137
23	200.000	0.055	200.001	2.167	6.146	1.328	1782924057.406
24	200.000	0.015	200.001	1.193	1.735	1.328	1782924057.699
25	200.000	-0.021	200.003	2.681	6.199	1.328	1782924058.001
26	200.000	-0.008	200.000	0.274	1.567	1.328	1782924058.254
27	200.000	0.016	200.002	1.439	1.096	1.328	1782924058.491
28	200.000	-0.011	200.002	2.818	6.256	1.328	1782924058.759
29	200.000	0.048	200.006	0.524	2.130	1.328	1782924059.013
30	200.000	0.006	200.000	1.705	0.692	1.328	1782924059.318
31	200.000	-0.018	200.003	2.276	6.216	1.328	1782924059.565
