Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	200.000	-0.013	200.003	0.856	2.469	1.328	1782931816.325
2	200.000	0.045	200.003	0.973	2.334	1.328	1782931816.575
3	200.000	0.011	200.002	0.757	2.118	1.328	1782931816.820
4	200.000	-0.012	200.004	0.851	2.535	1.328	1782931817.054
5	200.000	0.016	200.001	0.799	2.387	1.328	1782931817.298
6	200.000	-0.038	199.999	0.929	2.664	1.328	1782931817.544
7	200.000	-0.047	199.998	2.859	0.907	1.328	1782931817.825
8	200.000	0.021	200.000	4.237	4.234	1.328	1782931818.072
9	200.000	-0.034	200.000	1.075	3.185	1.328	1782931818.321
10	200.000	0.053	199.998	2.205	0.478	1.328	1782931818.604
11	200.000	0.006	199.994	4.474	4.102	1.328	1782931818.876
12	200.000	-0.081	200.000	2.130	1.641	1.328	1782931819.107
13	200.000	-0.007	199.998	1.836	0.042	1.328	1782931819.400
14	200.000	-0.075	200.004	4.244	4.114	1.328	1782931819.699
15	200.000	0.009	200.003	3.101	1.205	1.328	1782931819.983
16	200.000	-0.018	199.997	3.222	4.506	1.328	1782931820.252
17	200.000	-0.034	199.999	1.833	3.774	1.328	1782931820.523
18	200.000	0.000	199.999	2.151	0.480	1.328	1782931820.815
19	200.000	-0.026	199.998	4.716	4.198	1.328	1782931821.063
20	200.000	-0.019	199.997	2.148	1.617	1.328	1782931821.389
21	200.000	0.039	199.999	2.106	5.331	1.328	1782931821.633
22	200.000	-0.030	199.995	3.662	4.061	1.328	1782931821.921
23	200.000	0.066	200.002	3.307	1.240	1.328	1782931822.186
24	200.000	0.002	200.001	3.062	4.597	1.328	1782931822.423
25	200.000	0.031	200.000	2.764	4.001	1.328	1782931822.697
26	200.000	0.011	200.002	3.001	1.112	1.328	1782931822.950
27	200.000	-0.009	200.000	3.745	4.466	1.328	1782931823.206
28	200.000	0.007	200.002	2.267	3.919	1.328	1782931823.442
29	200.000	0.054	199.999	3.063	1.050	1.328	1782931823.719
30	200.000	0.037	200.001	4.097	4.359	1.328	1782931824.007
31	200.000	-0.044	199.997	1.128	2.919	1.328	1782931824.266
32	200.000	0.028	200.001	1.915	0.238	1.328	1782931824.522
33	200.000	0.013	200.000	4.583	4.272	1.328	1782931824.768
34	200.000	-0.017	200.006	1.446	1.913	1.328	1782931825.020
35	200.000	0.032	200.004	1.909	0.152	1.328	1782931825.246
36	200.000	0.008	200.003	4.386	4.184	1.328	1782931825.522
37	200.000	0.048	200.005	1.813	1.853	1.328	1782931825.756
