Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	-0.160	100.002	15.442	1.544	0.686	1785258934.339
2	100.000	0.065	100.002	15.636	1.546	0.682	1785258934.518
3	100.000	-0.038	100.003	15.257	1.561	0.687	1785258934.702
4	100.000	-0.025	99.999	15.480	1.553	0.684	1785258934.891
5	100.000	0.312	100.002	15.616	1.548	0.686	1785258935.076
6	100.000	0.146	100.000	15.653	1.542	0.683	1785258935.289
7	100.000	-0.244	99.995	15.351	1.548	0.686	1785258935.527
8	100.000	-0.181	99.998	15.470	1.542	0.685	1785258935.744
9	100.000	-0.059	100.001	15.361	1.542	0.688	1785258935.967
10	100.000	0.368	99.996	14.725	1.616	0.684	1785258936.216
11	100.000	-0.027	99.999	12.148	2.017	0.681	1785258936.377
12	100.000	0.176	99.999	10.140	2.404	0.685	1785258936.586
13	100.000	-0.151	99.999	8.680	2.980	0.689	1785258936.767
14	100.000	0.035	99.997	8.842	3.550	0.664	1785258936.964
15	100.000	-0.426	100.000	9.254	3.962	0.664	1785258937.209
16	100.000	0.398	99.995	9.513	4.344	0.664	1785258937.368
17	100.000	-0.027	100.000	7.947	4.698	0.664	1785258937.593
18	100.000	-0.193	100.004	6.673	5.349	0.664	1785258937.764
19	100.000	-0.130	100.000	7.426	5.961	0.664	1785258937.955
20	100.000	-0.007	99.997	9.854	0.223	0.689	1785258938.139
21	100.000	-0.357	100.001	12.848	0.586	0.684	1785258938.327
22	100.000	0.233	100.000	15.494	0.850	0.681	1785258938.506
23	100.000	-0.273	99.999	16.697	1.100	0.683	1785258938.709
24	100.000	-0.092	100.002	16.311	1.323	0.685	1785258938.887
25	100.000	0.042	100.000	14.925	1.567	0.685	1785258939.072
26	100.000	0.384	100.000	12.427	1.919	0.685	1785258939.264
27	100.000	0.031	100.001	10.516	2.296	0.686	1785258939.450
28	100.000	0.217	99.997	8.559	2.896	0.683	1785258939.667
29	100.000	0.119	100.001	8.384	3.451	0.664	1785258939.853
30	100.000	-0.187	100.005	8.922	3.914	0.664	1785258940.054
31	100.000	-0.162	99.996	8.893	4.341	0.664	1785258940.281
32	100.000	0.214	100.003	7.874	4.742	0.664	1785258940.454
33	100.000	0.229	100.000	7.133	5.272	0.664	1785258940.655
34	100.000	-0.048	99.998	7.583	5.917	0.664	1785258940.853
35	100.000	-0.160	99.997	10.039	0.193	0.680	1785258941.035
36	100.000	-0.057	100.003	13.119	0.562	0.679	1785258941.214
37	100.000	0.031	99.999	14.960	0.764	0.684	1785258941.397
38	100.000	-0.291	100.001	16.362	1.021	0.682	1785258941.593
39	100.000	-0.071	99.999	16.245	1.287	0.687	1785258941.807
40	100.000	-0.332	100.003	14.729	1.648	0.686	1785258942.042
41	100.000	-0.275	100.000	11.997	2.000	0.690	1785258942.216
42	100.000	-0.376	99.999	10.011	2.418	0.690	1785258942.407
43	100.000	0.210	100.002	8.659	3.009	0.683	1785258942.603
44	100.000	-0.276	100.000	8.829	3.548	0.664	1785258942.796
45	100.000	0.185	100.002	9.387	4.040	0.664	1785258943.028
