Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	0.093	100.000	4.633	5.229	0.664	1783975208.577
2	100.000	0.014	100.001	4.397	5.219	0.664	1783975208.755
3	100.000	0.066	99.998	4.618	5.191	0.664	1783975208.949
4	100.000	0.071	100.000	4.469	5.231	0.664	1783975209.110
5	100.000	-0.096	100.000	4.601	5.175	0.664	1783975209.313
6	100.000	0.215	100.002	4.390	5.193	0.664	1783975209.512
7	100.000	-0.018	100.000	4.216	5.198	0.664	1783975209.675
8	100.000	0.004	99.999	4.356	5.198	0.664	1783975209.882
9	100.000	0.283	99.999	4.302	5.245	0.664	1783975210.077
10	100.000	0.104	99.998	4.703	5.142	0.664	1783975210.272
11	100.000	-0.659	99.997	4.725	5.135	0.664	1783975210.508
12	100.000	-0.110	100.001	4.965	5.102	0.664	1783975210.710
13	100.000	0.028	100.000	5.111	5.073	0.664	1783975210.886
14	100.000	0.073	100.004	5.388	5.074	0.664	1783975211.058
15	100.000	0.166	100.001	5.328	5.048	0.664	1783975211.251
16	100.000	0.008	100.001	5.362	5.071	0.664	1783975211.424
17	100.000	-0.093	99.999	5.421	5.040	0.664	1783975211.630
18	100.000	-0.273	100.001	5.403	5.068	0.664	1783975211.810
19	100.000	-0.149	100.002	5.435	5.125	0.664	1783975212.033
20	100.000	0.164	100.000	5.241	5.173	0.664	1783975212.247
21	100.000	-0.182	99.999	5.066	5.226	0.664	1783975212.446
22	100.000	0.328	100.001	5.203	5.326	0.664	1783975212.636
23	100.000	-0.129	100.000	5.108	5.344	0.664	1783975212.805
24	100.000	-0.064	100.000	5.343	5.380	0.664	1783975213.000
25	100.000	0.278	100.002	4.862	5.483	0.664	1783975213.209
26	100.000	0.063	100.001	4.927	5.554	0.664	1783975213.454
27	100.000	0.071	100.001	4.915	5.611	0.664	1783975213.680
28	100.000	-0.245	99.999	5.009	5.711	0.664	1783975213.877
29	100.000	0.258	100.001	4.884	5.794	0.664	1783975214.050
30	100.000	0.458	99.996	4.847	5.792	0.664	1783975214.251
31	100.000	0.025	100.005	4.828	5.818	0.664	1783975214.446
32	100.000	-0.300	99.999	4.868	5.908	0.664	1783975214.629
33	100.000	-0.009	100.001	4.823	5.914	0.664	1783975214.841
34	100.000	-0.395	100.003	4.679	5.883	0.664	1783975215.074
35	100.000	-0.052	99.995	4.454	5.841	0.664	1783975215.238
36	100.000	0.373	100.002	4.358	5.835	0.664	1783975215.443
37	100.000	-0.063	100.007	4.236	5.862	0.664	1783975215.723
38	100.000	-0.271	100.003	4.370	5.718	0.664	1783975215.941
39	100.000	0.315	100.001	4.358	5.659	0.664	1783975216.125
40	100.000	0.066	100.002	4.631	5.563	0.664	1783975216.302
41	100.000	-0.088	100.001	4.416	5.553	0.664	1783975216.508
42	100.000	-0.038	100.001	4.413	5.464	0.664	1783975216.662
43	100.000	-0.011	100.003	4.648	5.367	0.664	1783975216.883
44	100.000	0.054	100.003	4.683	5.281	0.664	1783975217.065
45	100.000	0.173	100.003	4.912	5.214	0.664	1783975217.264
46	100.000	-0.087	99.999	4.896	5.179	0.664	1783975217.452
47	100.000	0.326	100.000	4.994	5.110	0.664	1783975217.640
48	100.000	-0.348	100.000	4.986	5.081	0.664	1783975217.862
49	100.000	-0.124	100.002	5.164	5.078	0.664	1783975218.065
50	100.000	0.060	100.002	5.322	5.050	0.664	1783975218.326
51	100.000	0.308	100.005	5.430	5.088	0.664	1783975218.492
52	100.000	-0.282	99.998	5.762	5.075	0.664	1783975218.701
53	100.000	-0.362	100.005	5.599	5.043	0.664	1783975218.875
54	100.000	-0.152	100.000	5.473	5.107	0.664	1783975219.095
55	100.000	-0.031	99.999	5.331	5.136	0.664	1783975219.262
56	100.000	0.002	100.002	5.447	5.126	0.664	1783975219.430
57	100.000	0.051	100.002	5.272	5.192	0.664	1783975219.625
58	100.000	-0.130	100.005	5.097	5.263	0.664	1783975219.818
59	100.000	-0.170	99.999	5.083	5.332	0.664	1783975220.023
60	100.000	0.400	100.001	5.059	5.396	0.664	1783975220.259
61	100.000	0.005	99.998	4.992	5.475	0.664	1783975220.480
62	100.000	-0.223	100.000	4.879	5.510	0.664	1783975220.692
63	100.000	-0.065	100.000	4.873	5.619	0.664	1783975220.951
64	100.000	0.058	100.000	4.679	5.717	0.664	1783975221.140
65	100.000	0.035	100.002	4.728	5.749	0.664	1783975221.336
66	100.000	0.038	99.998	4.796	5.837	0.664	1783975221.494
67	100.000	-0.051	100.003	4.830	5.841	0.664	1783975221.692
68	100.000	-0.286	100.001	4.723	5.870	0.664	1783975221.866
69	100.000	-0.158	100.000	4.756	5.890	0.664	1783975222.062
70	100.000	0.320	99.997	4.524	5.943	0.664	1783975222.269
71	100.000	0.438	100.004	4.503	5.901	0.664	1783975222.520
72	100.000	0.083	100.003	4.377	5.901	0.664	1783975222.710
73	100.000	0.241	99.999	4.250	5.855	0.664	1783975222.901
74	100.000	-0.006	100.002	4.226	5.786	0.664	1783975223.108
75	100.000	0.009	100.000	4.051	5.737	0.664	1783975223.346
76	100.000	-0.074	100.000	4.058	5.617	0.664	1783975223.577
77	100.000	-0.080	99.999	4.098	5.559	0.664	1783975223.755
78	100.000	-0.294	100.000	4.103	5.432	0.664	1783975223.949
79	100.000	0.309	100.001	4.480	5.378	0.664	1783975224.116
80	100.000	0.047	99.999	4.143	5.362	0.664	1783975224.317
81	100.000	-0.196	99.999	4.325	5.249	0.664	1783975224.503
82	100.000	0.053	100.003	4.321	5.196	0.664	1783975224.691
83	100.000	-0.012	100.003	4.546	5.156	0.664	1783975224.903
84	100.000	0.103	100.003	4.624	5.143	0.664	1783975225.090
85	100.000	0.230	99.994	4.997	5.027	0.664	1783975225.278
86	100.000	-0.250	99.999	5.048	5.010	0.664	1783975225.461
87	100.000	0.039	100.001	5.175	5.008	0.664	1783975225.647
88	100.000	0.295	100.000	5.397	5.004	0.664	1783975225.839
89	100.000	0.304	100.000	5.409	5.047	0.664	1783975226.019
90	100.000	-0.027	100.000	5.219	5.069	0.664	1783975226.221
91	100.000	-0.115	100.002	5.328	5.064	0.664	1783975226.437
92	100.000	0.106	99.999	5.427	5.097	0.664	1783975226.642
93	100.000	-0.121	100.003	4.804	5.133	0.664	1783975226.832
94	100.000	0.085	100.002	5.305	5.162	0.664	1783975227.020
95	100.000	0.245	100.001	5.056	5.204	0.664	1783975227.211
96	100.000	0.020	100.004	5.074	5.310	0.664	1783975227.401
97	100.000	-0.024	100.003	5.121	5.339	0.664	1783975227.580
98	100.000	-0.248	100.000	5.114	5.483	0.664	1783975227.783
99	100.000	-0.145	100.002	5.040	5.553	0.664	1783975228.004
100	100.000	0.314	100.003	5.281	5.574	0.664	1783975228.204
101	100.000	-0.067	99.997	5.291	5.643	0.664	1783975228.391
102	100.000	0.220	100.003	5.103	5.732	0.664	1783975228.578
103	100.000	0.316	99.997	5.105	5.817	0.664	1783975228.773
104	100.000	0.157	100.000	5.011	5.850	0.664	1783975228.949
105	100.000	0.052	99.994	5.071	5.864	0.664	1783975229.154
106	100.000	0.109	99.998	4.942	5.836	0.664	1783975229.334
107	100.000	-0.201	100.000	4.910	5.850	0.664	1783975229.534
108	100.000	0.089	100.004	4.642	5.843	0.664	1783975229.701
109	100.000	-0.070	99.997	4.654	5.911	0.664	1783975229.892
110	100.000	-0.031	99.999	4.628	5.848	0.664	1783975230.096
111	100.000	0.166	99.998	4.595	5.830	0.664	1783975230.325
112	100.000	0.186	99.999	4.237	5.796	0.664	1783975230.536
113	100.000	0.093	99.999	4.273	5.680	0.664	1783975230.698
114	100.000	0.171	99.996	4.502	5.611	0.664	1783975230.885
115	100.000	-0.067	99.999	4.518	5.551	0.664	1783975231.090
116	100.000	0.137	100.001	4.215	5.482	0.664	1783975231.282
117	100.000	0.107	99.998	4.377	5.377	0.664	1783975231.458
118	100.000	-0.242	100.003	4.690	5.298	0.664	1783975231.632
119	100.000	0.364	100.001	4.829	5.276	0.664	1783975231.831
120	100.000	-0.064	100.004	4.732	5.260	0.664	1783975231.997
121	100.000	-0.026	100.004	4.704	5.153	0.664	1783975232.190
122	100.000	0.077	99.999	4.906	5.143	0.664	1783975232.407
123	100.000	0.031	99.994	5.044	5.119	0.664	1783975232.588
124	100.000	-0.145	99.997	5.163	5.070	0.664	1783975232.780
125	100.000	-0.122	100.004	5.282	5.002	0.664	1783975232.971
126	100.000	0.188	100.002	5.252	5.021	0.664	1783975233.137
127	100.000	0.005	100.002	5.478	5.038	0.664	1783975233.323
128	100.000	0.145	99.996	5.590	5.062	0.664	1783975233.519
129	100.000	0.035	99.998	5.499	5.018	0.664	1783975233.720
130	100.000	0.046	100.000	5.555	5.069	0.664	1783975233.878
131	100.000	-0.134	100.000	5.430	5.118	0.664	1783975234.080
132	100.000	0.023	100.002	5.440	5.138	0.664	1783975234.254
133	100.000	0.272	100.000	5.222	5.204	0.664	1783975234.446
134	100.000	0.467	100.000	5.062	5.240	0.664	1783975234.621
135	100.000	0.215	99.999	5.297	5.361	0.664	1783975234.812
136	100.000	-0.034	100.002	4.975	5.363	0.664	1783975235.012
137	100.000	0.064	100.005	5.064	5.460	0.664	1783975235.189
138	100.000	0.039	100.002	5.139	5.495	0.664	1783975235.396
139	100.000	0.236	99.999	4.959	5.567	0.664	1783975235.584
140	100.000	0.328	100.002	4.984	5.679	0.664	1783975235.769
141	100.000	-0.480	99.995	4.886	5.712	0.664	1783975235.958
142	100.000	0.110	99.996	4.736	5.773	0.664	1783975236.137
143	100.000	0.067	100.003	4.737	5.824	0.664	1783975236.333
144	100.000	0.144	99.999	4.751	5.885	0.664	1783975236.530
145	100.000	-0.369	99.999	4.663	5.896	0.664	1783975236.708
146	100.000	-0.055	99.998	4.586	5.848	0.664	1783975236.899
147	100.000	0.152	100.000	4.442	5.879	0.664	1783975237.093
148	100.000	0.246	100.001	4.393	5.881	0.664	1783975237.312
149	100.000	-0.179	100.004	4.357	5.849	0.664	1783975237.490
150	100.000	-0.033	100.003	4.224	5.835	0.664	1783975237.690
151	100.000	-0.157	99.999	4.210	5.801	0.664	1783975237.872
152	100.000	-0.197	100.006	4.023	5.710	0.664	1783975238.077
153	100.000	0.020	99.998	4.248	5.588	0.664	1783975238.293
154	100.000	-0.267	100.000	4.162	5.541	0.664	1783975238.530
155	100.000	-0.140	100.002	4.167	5.427	0.664	1783975238.775
156	100.000	0.181	100.001	4.263	5.366	0.664	1783975238.955
157	100.000	0.016	100.000	4.561	5.303	0.664	1783975239.150
158	100.000	-0.053	100.001	4.723	5.211	0.664	1783975239.321
159	100.000	-0.005	100.004	4.702	5.197	0.664	1783975239.515
160	100.000	0.093	100.001	5.088	5.129	0.664	1783975239.695
161	100.000	-0.136	99.999	5.146	5.112	0.664	1783975239.899
162	100.000	0.227	99.998	5.069	5.070	0.664	1783975240.079
163	100.000	-0.251	99.997	5.321	5.008	0.664	1783975240.283
164	100.000	0.110	99.999	5.318	5.060	0.664	1783975240.460
165	100.000	0.306	99.999	5.462	5.026	0.664	1783975240.643
166	100.000	0.177	100.003	5.499	5.045	0.664	1783975240.831
167	100.000	0.010	100.001	5.604	5.019	0.664	1783975241.017
168	100.000	-0.244	100.000	5.676	5.031	0.664	1783975241.220
169	100.000	0.322	99.999	5.252	5.112	0.664	1783975241.389
170	100.000	0.296	100.004	5.316	5.140	0.664	1783975241.586
171	100.000	-0.149	100.000	5.305	5.167	0.664	1783975241.781
172	100.000	0.212	100.005	5.300	5.241	0.664	1783975241.959
173	100.000	0.377	100.000	5.205	5.290	0.664	1783975242.127
174	100.000	0.032	100.002	5.306	5.310	0.664	1783975242.325
175	100.000	0.116	100.000	5.012	5.415	0.664	1783975242.553
176	100.000	0.004	100.000	4.835	5.561	0.664	1783975242.770
177	100.000	0.151	100.003	5.067	5.623	0.664	1783975242.961
178	100.000	-0.249	99.996	4.834	5.663	0.664	1783975243.166
179	100.000	0.209	99.998	4.951	5.720	0.664	1783975243.393
