Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	400.000	-0.013	400.001	0.083	5.837	2.655	1783029415.213
2	400.000	0.027	399.999	0.136	4.997	2.655	1783029415.461
3	400.000	0.020	399.997	0.051	3.561	2.655	1783029415.710
4	400.000	-0.026	400.000	0.169	0.018	2.655	1783029415.984
5	400.000	0.043	400.002	0.357	6.063	2.655	1783029416.231
6	400.000	-0.009	399.996	0.129	5.941	2.655	1783029416.503
7	400.000	-0.019	400.002	0.207	3.436	2.655	1783029416.737
8	400.000	0.006	400.000	0.134	2.052	2.655	1783029416.960
9	400.000	0.005	399.999	0.366	0.542	2.655	1783029417.246
10	400.000	-0.031	399.998	0.639	0.231	2.655	1783029417.478
11	400.000	0.042	399.998	0.119	6.227	2.655	1783029417.720
12	400.000	0.017	400.001	0.207	3.067	2.655	1783029417.970
13	400.000	-0.067	399.999	0.129	2.529	2.655	1783029418.236
14	400.000	0.016	399.998	0.310	0.065	2.655	1783029418.487
15	400.000	0.024	399.998	0.517	6.159	2.655	1783029418.733
16	400.000	0.032	400.001	0.071	5.984	2.655	1783029418.985
17	400.000	0.022	400.001	0.097	4.217	2.655	1783029419.206
18	400.000	-0.021	400.002	0.065	2.455	2.655	1783029419.489
19	400.000	-0.018	400.000	0.269	6.189	2.655	1783029419.716
20	400.000	0.021	399.998	0.408	6.136	2.655	1783029419.978
21	400.000	0.002	400.002	0.109	5.701	2.655	1783029420.230
22	400.000	-0.021	400.000	0.229	3.609	2.655	1783029420.488
23	400.000	0.017	400.002	0.121	2.301	2.655	1783029420.741
24	400.000	-0.036	399.999	0.382	5.985	2.655	1783029420.978
25	400.000	-0.028	400.000	0.375	6.193	2.655	1783029421.234
26	400.000	0.003	399.999	0.074	0.981	2.655	1783029421.458
27	400.000	0.014	399.998	0.245	3.559	2.655	1783029421.739
28	400.000	-0.005	399.999	0.176	3.267	2.655	1783029421.972
29	400.000	0.002	399.998	0.297	6.046	2.655	1783029422.233
30	400.000	0.010	400.001	0.434	5.956	2.655	1783029422.483
31	400.000	0.011	400.001	0.071	5.514	2.655	1783029422.732
32	400.000	-0.003	399.998	0.240	3.335	2.655	1783029422.977
33	400.000	0.004	400.000	0.112	3.627	2.655	1783029423.235
