Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	300.000	0.054	300.001	1.026	0.063	1.991	1783027832.801
2	300.000	-0.004	300.002	1.006	6.238	1.991	1783027833.062
3	300.000	0.049	300.000	1.017	6.276	1.991	1783027833.317
4	300.000	0.027	300.001	0.974	6.263	1.991	1783027833.551
5	300.000	-0.004	299.999	1.086	0.003	1.991	1783027833.809
6	300.000	-0.008	300.003	0.986	0.188	1.991	1783027834.075
7	300.000	0.009	299.999	1.196	6.234	1.991	1783027834.312
8	300.000	-0.004	299.999	1.070	0.032	1.991	1783027834.563
9	300.000	0.051	299.999	0.995	0.091	1.991	1783027834.829
10	300.000	0.022	300.002	1.044	0.188	1.991	1783027835.062
11	300.000	-0.005	299.998	1.042	0.226	1.991	1783027835.311
12	300.000	-0.027	300.004	1.090	6.260	1.991	1783027835.558
13	300.000	-0.040	300.004	1.077	0.024	1.991	1783027835.822
14	300.000	-0.035	300.002	1.065	6.246	1.991	1783027836.060
15	300.000	0.014	299.999	1.131	0.095	1.991	1783027836.286
16	300.000	0.005	300.000	1.056	0.073	1.991	1783027836.559
17	300.000	-0.001	300.001	0.936	6.216	1.991	1783027836.810
18	300.000	-0.001	300.001	1.119	0.057	1.991	1783027837.064
19	300.000	-0.030	300.000	0.915	0.072	1.991	1783027837.321
20	300.000	-0.010	299.999	1.005	6.243	1.991	1783027837.551
21	300.000	-0.010	299.998	1.122	0.052	1.991	1783027837.806
22	300.000	-0.076	299.999	1.021	6.268	1.991	1783027838.060
23	300.000	0.019	300.000	1.076	0.030	1.991	1783027838.306
24	300.000	-0.024	299.995	0.987	0.036	1.991	1783027838.541
25	300.000	-0.027	299.998	1.118	0.000	1.991	1783027838.801
26	300.000	-0.069	299.999	1.119	0.148	1.991	1783027839.058
27	300.000	0.039	299.999	1.169	6.280	1.991	1783027839.303
28	300.000	-0.036	299.999	1.128	0.085	1.991	1783027839.549
29	300.000	-0.013	300.000	1.061	0.136	1.991	1783027839.799
30	300.000	0.005	299.999	0.898	6.246	1.991	1783027840.066
31	300.000	0.016	300.003	1.221	0.050	1.991	1783027840.292
32	300.000	-0.001	299.998	0.997	6.164	1.991	1783027840.561
33	300.000	-0.020	299.999	1.050	0.085	1.991	1783027840.797
34	300.000	0.023	300.001	1.078	6.263	1.991	1783027841.059
35	300.000	-0.008	300.003	1.027	0.091	1.991	1783027841.309
36	300.000	-0.032	299.999	0.986	6.199	1.991	1783027841.537
37	300.000	-0.042	299.997	0.935	6.181	1.991	1783027841.816
38	300.000	0.004	300.000	1.055	6.271	1.991	1783027842.038
39	300.000	-0.056	299.998	0.900	6.152	1.991	1783027842.333
40	300.000	0.026	299.999	1.051	6.190	1.991	1783027842.620
41	300.000	-0.012	299.999	1.114	6.276	1.991	1783027842.876
42	300.000	-0.047	300.002	1.003	6.058	1.991	1783027843.099
43	300.000	-0.013	300.004	1.055	0.165	1.991	1783027843.375
44	300.000	-0.017	299.999	1.119	5.974	1.991	1783027843.603
45	300.000	-0.042	299.999	0.647	3.826	1.991	1783027843.862
46	300.000	0.023	300.003	1.021	2.935	1.991	1783027844.110
47	300.000	0.067	299.997	0.222	1.613	1.991	1783027844.374
48	300.000	0.015	300.000	0.948	0.335	1.991	1783027844.623
49	300.000	0.019	300.000	0.759	5.764	1.991	1783027844.904
50	300.000	-0.042	300.001	0.927	3.542	1.991	1783027845.188
51	300.000	-0.015	300.002	0.909	2.812	1.991	1783027845.439
52	300.000	0.006	299.998	0.674	0.793	1.991	1783027845.669
53	300.000	0.034	300.002	1.103	0.054	1.991	1783027845.926
54	300.000	0.020	300.001	0.687	5.155	1.991	1783027846.190
55	300.000	0.056	300.002	0.919	3.292	1.991	1783027846.460
56	300.000	-0.001	299.998	0.621	2.416	1.991	1783027846.695
57	300.000	-0.034	299.999	0.512	0.579	1.991	1783027846.914
58	300.000	0.015	299.995	1.091	0.087	1.991	1783027847.176
59	300.000	0.004	300.001	0.696	4.917	1.991	1783027847.433
60	300.000	0.016	299.998	0.925	3.173	1.991	1783027847.679
61	300.000	-0.037	300.002	0.725	2.550	1.991	1783027847.930
62	300.000	0.063	300.000	0.600	0.735	1.991	1783027848.188
63	300.000	0.018	300.000	0.942	6.247	1.991	1783027848.444
64	300.000	-0.033	300.001	0.673	4.706	1.991	1783027848.667
65	300.000	-0.054	299.999	0.985	3.165	1.991	1783027848.931
66	300.000	-0.024	300.002	0.818	2.604	1.991	1783027849.164
67	300.000	-0.026	299.997	0.658	0.814	1.991	1783027849.431
68	300.000	0.003	299.997	1.035	6.159	1.991	1783027849.669
69	300.000	0.018	299.998	0.597	4.808	1.991	1783027849.924
70	300.000	-0.016	300.001	1.059	3.285	1.991	1783027850.207
