Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	0.005	99.999	3.225	5.787	0.664	1783969957.994
2	100.000	-0.035	100.008	3.444	5.769	0.664	1783969958.162
3	100.000	-0.196	100.002	3.141	5.874	0.664	1783969958.348
4	100.000	0.031	99.999	3.379	5.837	0.664	1783969958.531
5	100.000	0.262	99.998	3.242	5.816	0.664	1783969958.736
6	100.000	-0.264	99.997	3.311	5.805	0.664	1783969958.915
7	100.000	0.042	100.000	3.292	5.772	0.664	1783969959.110
8	100.000	-0.119	99.999	3.288	5.759	0.664	1783969959.291
9	100.000	-0.377	100.001	3.133	5.767	0.664	1783969959.481
10	100.000	0.148	99.999	3.302	5.877	0.664	1783969959.673
11	100.000	0.107	100.001	3.476	5.770	0.664	1783969959.848
12	100.000	0.237	100.001	3.230	5.842	0.664	1783969960.053
13	100.000	0.085	100.002	3.152	5.805	0.664	1783969960.229
14	100.000	-0.152	100.000	3.551	5.726	0.664	1783969960.428
15	100.000	-0.209	99.999	3.324	5.822	0.664	1783969960.597
16	100.000	-0.166	100.001	3.205	5.778	0.664	1783969960.795
17	100.000	0.131	100.000	3.499	5.707	0.664	1783969960.968
18	100.000	0.102	100.000	3.280	5.748	0.664	1783969961.168
19	100.000	-0.039	99.996	3.307	5.827	0.664	1783969961.401
20	100.000	-0.093	99.995	3.268	5.788	0.664	1783969961.558
21	100.000	0.020	99.997	3.318	5.642	0.664	1783969961.768
22	100.000	-0.109	99.998	3.251	5.765	0.664	1783969961.948
23	100.000	-0.343	99.999	3.293	5.715	0.664	1783969962.154
24	100.000	-0.010	99.999	3.195	5.759	0.664	1783969962.358
25	100.000	-0.064	100.002	3.182	5.746	0.664	1783969962.589
26	100.000	0.203	100.004	3.054	5.802	0.664	1783969962.758
27	100.000	-0.080	99.997	3.312	5.744	0.664	1783969962.971
28	100.000	-0.190	100.000	3.252	5.773	0.664	1783969963.158
29	100.000	-0.319	99.996	3.214	5.714	0.664	1783969963.342
30	100.000	-0.287	99.999	3.163	5.818	0.664	1783969963.525
31	100.000	-0.209	99.999	3.224	5.795	0.664	1783969963.719
32	100.000	-0.267	100.004	3.349	5.731	0.664	1783969963.883
33	100.000	-0.082	99.999	3.251	5.779	0.664	1783969964.103
34	100.000	0.315	100.001	3.343	5.770	0.664	1783969964.334
35	100.000	0.007	99.992	3.163	5.791	0.664	1783969964.522
36	100.000	-0.100	99.994	3.524	5.709	0.664	1783969964.704
37	100.000	-0.255	99.998	3.308	5.757	0.664	1783969964.912
38	100.000	0.026	100.005	3.272	5.845	0.664	1783969965.135
39	100.000	-0.032	99.999	3.351	5.823	0.664	1783969965.326
40	100.000	0.252	100.002	3.401	5.732	0.664	1783969965.507
41	100.000	-0.031	100.002	3.325	5.836	0.664	1783969965.689
42	100.000	-0.156	100.003	3.307	5.847	0.664	1783969965.897
43	100.000	0.353	100.002	3.390	5.798	0.664	1783969966.082
44	100.000	0.363	99.999	3.484	5.733	0.664	1783969966.272
45	100.000	-0.012	99.997	3.384	5.818	0.664	1783969966.454
46	100.000	-0.014	100.001	3.384	5.801	0.664	1783969966.673
47	100.000	0.005	100.002	3.287	5.781	0.664	1783969966.896
48	100.000	-0.221	100.000	3.241	5.795	0.664	1783969967.072
49	100.000	-0.299	100.002	3.287	5.815	0.664	1783969967.251
50	100.000	0.103	100.001	3.329	5.796	0.664	1783969967.443
51	100.000	-0.247	100.003	3.355	5.728	0.664	1783969967.610
52	100.000	-0.209	100.001	3.358	5.820	0.664	1783969967.830
53	100.000	-0.576	100.004	3.344	5.791	0.664	1783969968.023
54	100.000	-0.005	100.004	3.345	5.826	0.664	1783969968.219
55	100.000	-0.059	99.998	3.153	5.784	0.664	1783969968.438
56	100.000	-0.450	100.001	3.284	5.773	0.664	1783969968.663
57	100.000	0.380	100.001	3.189	5.733	0.664	1783969968.864
58	100.000	-0.036	100.000	3.137	5.806	0.664	1783969969.050
59	100.000	-0.106	99.998	3.072	5.753	0.664	1783969969.260
60	100.000	0.096	99.998	3.147	5.801	0.664	1783969969.410
61	100.000	0.148	100.005	3.234	5.803	0.664	1783969969.613
62	100.000	-0.339	99.999	3.017	5.752	0.664	1783969969.813
63	100.000	0.205	100.003	3.255	5.680	0.664	1783969969.976
64	100.000	0.098	99.998	3.092	5.808	0.664	1783969970.186
65	100.000	-0.023	99.998	3.219	5.734	0.664	1783969970.348
66	100.000	-0.079	100.000	3.178	5.741	0.664	1783969970.547
67	100.000	-0.006	99.997	3.019	5.754	0.664	1783969970.723
68	100.000	-0.011	100.000	3.199	5.723	0.664	1783969970.934
69	100.000	0.087	100.000	3.160	5.721	0.664	1783969971.116
70	100.000	0.084	99.999	3.036	5.710	0.664	1783969971.303
71	100.000	0.084	100.005	3.167	5.787	0.664	1783969971.492
72	100.000	-0.078	100.001	3.132	5.693	0.664	1783969971.672
73	100.000	0.131	100.001	3.066	5.758	0.664	1783969971.879
74	100.000	0.514	100.004	3.000	5.734	0.664	1783969972.063
75	100.000	-0.159	100.001	3.168	5.765	0.664	1783969972.239
76	100.000	-0.536	100.002	3.080	5.782	0.664	1783969972.446
77	100.000	-0.247	99.999	3.046	5.748	0.664	1783969972.616
78	100.000	-0.584	99.999	3.239	5.742	0.664	1783969972.792
79	100.000	-0.245	99.998	3.116	5.732	0.664	1783969972.963
80	100.000	-0.059	100.005	3.099	5.711	0.664	1783969973.164
81	100.000	-0.250	99.998	3.285	5.776	0.664	1783969973.332
82	100.000	-0.319	100.000	3.258	5.754	0.664	1783969973.560
83	100.000	-0.005	99.999	3.192	5.805	0.664	1783969973.749
84	100.000	0.056	99.998	3.363	5.757	0.664	1783969973.934
85	100.000	-0.135	100.001	3.186	5.739	0.664	1783969974.122
86	100.000	-0.109	99.998	3.286	5.738	0.664	1783969974.304
87	100.000	0.498	100.001	3.330	5.749	0.664	1783969974.501
88	100.000	0.099	100.001	3.187	5.736	0.664	1783969974.703
89	100.000	0.065	99.996	3.329	5.687	0.664	1783969974.869
90	100.000	0.255	100.000	3.399	5.663	0.664	1783969975.053
91	100.000	0.242	99.995	3.391	5.750	0.664	1783969975.222
92	100.000	-0.146	100.000	3.287	5.775	0.664	1783969975.419
93	100.000	-0.378	100.002	3.035	5.743	0.664	1783969975.583
94	100.000	-0.003	100.001	3.369	5.821	0.664	1783969975.786
95	100.000	-0.166	99.998	3.205	5.786	0.664	1783969976.007
96	100.000	-0.156	99.994	3.327	5.808	0.664	1783969976.245
97	100.000	-0.072	100.003	3.283	5.806	0.664	1783969976.439
98	100.000	-0.141	99.999	3.359	5.738	0.664	1783969976.611
99	100.000	-0.155	99.999	3.422	5.769	0.664	1783969976.788
100	100.000	-0.423	99.997	3.293	5.709	0.664	1783969976.968
101	100.000	0.149	100.000	3.438	5.735	0.664	1783969977.163
102	100.000	0.081	100.002	3.249	5.815	0.664	1783969977.363
103	100.000	-0.364	100.002	3.218	5.797	0.664	1783969977.536
104	100.000	0.053	99.999	3.432	5.744	0.664	1783969977.745
105	100.000	-0.199	100.001	3.263	5.795	0.664	1783969977.928
106	100.000	-0.084	100.001	3.395	5.729	0.664	1783969978.109
107	100.000	-0.056	100.003	3.291	5.799	0.664	1783969978.313
108	100.000	0.261	99.999	3.234	5.743	0.664	1783969978.545
109	100.000	0.221	99.999	3.239	5.779	0.664	1783969978.721
110	100.000	0.408	99.997	3.231	5.819	0.664	1783969978.923
111	100.000	0.141	99.994	3.127	5.833	0.664	1783969979.099
112	100.000	-0.247	99.998	3.203	5.813	0.664	1783969979.311
113	100.000	0.012	100.001	3.138	5.790	0.664	1783969979.500
114	100.000	0.110	99.998	3.228	5.782	0.664	1783969979.679
115	100.000	-0.214	100.000	3.236	5.742	0.664	1783969979.865
116	100.000	0.202	100.001	3.305	5.775	0.664	1783969980.040
117	100.000	-0.013	99.998	3.252	5.754	0.664	1783969980.249
118	100.000	-0.443	100.002	3.114	5.812	0.664	1783969980.424
119	100.000	0.218	100.001	3.144	5.774	0.664	1783969980.626
120	100.000	0.037	100.002	3.237	5.740	0.664	1783969980.872
121	100.000	-0.016	99.997	3.180	5.737	0.664	1783969981.124
122	100.000	-0.128	100.002	3.165	5.807	0.664	1783969981.304
123	100.000	0.163	100.002	3.384	5.791	0.664	1783969981.478
