Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	300.000	0.076	299.998	0.074	1.103	1.991	1783019631.005
2	300.000	0.048	300.000	0.145	3.070	1.991	1783019631.266
3	300.000	0.007	300.001	0.094	2.537	1.991	1783019631.491
4	300.000	-0.047	300.003	0.115	0.688	1.991	1783019631.745
5	300.000	-0.056	299.999	0.161	2.297	1.991	1783019631.995
6	300.000	0.026	300.002	0.165	1.415	1.991	1783019632.263
7	300.000	0.076	300.002	0.187	2.100	1.991	1783019632.482
8	300.000	0.029	299.998	0.285	3.870	1.991	1783019632.726
9	300.000	0.014	299.999	0.152	2.320	1.991	1783019633.008
10	300.000	0.070	299.999	0.224	3.138	1.991	1783019633.281
11	300.000	0.033	299.999	0.347	3.580	1.991	1783019633.518
12	300.000	-0.028	300.000	0.136	4.925	1.991	1783019633.748
13	300.000	0.056	300.001	0.195	3.771	1.991	1783019634.012
14	300.000	0.073	299.999	0.032	2.675	1.991	1783019634.259
15	300.000	0.098	300.003	0.080	4.326	1.991	1783019634.530
16	300.000	-0.003	300.001	0.213	3.843	1.991	1783019634.748
17	300.000	-0.027	300.000	0.162	3.532	1.991	1783019635.016
18	300.000	0.032	300.004	0.167	4.344	1.991	1783019635.264
19	300.000	-0.000	299.997	0.100	1.715	1.991	1783019635.538
20	300.000	-0.096	299.998	0.220	3.468	1.991	1783019635.780
21	300.000	-0.019	300.001	0.089	4.559	1.991	1783019636.003
22	300.000	0.054	299.999	0.173	3.882	1.991	1783019636.265
23	300.000	0.054	300.001	0.123	4.551	1.991	1783019636.516
24	300.000	-0.034	299.998	0.050	0.403	1.991	1783019636.783
25	300.000	-0.068	299.999	0.093	2.463	1.991	1783019637.010
26	300.000	-0.021	300.001	0.077	0.214	1.991	1783019637.283
27	300.000	0.022	300.001	0.097	1.079	1.991	1783019637.521
28	300.000	0.082	300.002	0.266	3.580	1.991	1783019637.758
29	300.000	-0.017	300.000	0.122	2.986	1.991	1783019638.000
30	300.000	-0.019	300.002	0.058	3.507	1.991	1783019638.244
31	300.000	0.034	300.002	0.062	0.438	1.991	1783019638.522
32	300.000	0.029	300.001	0.086	1.291	1.991	1783019638.760
33	300.000	-0.028	300.001	0.174	3.749	1.991	1783019639.033
34	300.000	-0.058	299.998	0.051	4.334	1.991	1783019639.308
35	300.000	0.004	300.004	0.122	1.408	1.991	1783019639.575
36	300.000	0.011	300.001	0.080	1.067	1.991	1783019639.821
37	300.000	-0.010	299.999	0.030	6.186	1.991	1783019640.079
38	300.000	-0.036	300.000	0.172	4.738	1.991	1783019640.324
39	300.000	0.047	299.997	0.031	0.742	1.991	1783019640.583
40	300.000	0.036	299.997	0.009	5.972	1.991	1783019640.842
41	300.000	0.046	300.001	0.148	2.192	1.991	1783019641.058
42	300.000	0.051	300.000	0.034	0.893	1.991	1783019641.320
43	300.000	-0.029	300.004	0.095	3.511	1.991	1783019641.574
44	300.000	-0.039	299.999	0.095	1.351	1.991	1783019641.839
45	300.000	-0.023	300.000	0.147	4.813	1.991	1783019642.066
46	300.000	-0.030	300.002	0.185	3.913	1.991	1783019642.327
47	300.000	-0.035	300.001	0.065	4.514	1.991	1783019642.600
48	300.000	-0.034	299.998	0.087	3.767	1.991	1783019642.859
49	300.000	0.005	300.000	0.079	3.279	1.991	1783019643.108
50	300.000	-0.053	299.998	0.083	3.363	1.991	1783019643.358
51	300.000	-0.021	299.998	0.250	4.472	1.991	1783019643.587
52	300.000	0.024	299.999	0.140	3.012	1.991	1783019643.838
53	300.000	0.027	299.999	0.090	1.451	1.991	1783019644.103
54	300.000	0.032	299.999	0.110	0.808	1.991	1783019644.341
55	300.000	-0.012	300.003	0.077	3.563	1.991	1783019644.614
56	300.000	0.054	299.997	0.064	3.619	1.991	1783019644.846
57	300.000	-0.009	300.000	0.092	3.772	1.991	1783019645.110
58	300.000	0.010	300.001	0.137	2.352	1.991	1783019645.360
59	300.000	0.030	299.999	0.029	2.753	1.991	1783019645.601
60	300.000	-0.016	299.998	0.051	1.390	1.991	1783019645.842
61	300.000	-0.002	299.997	0.051	3.562	1.991	1783019646.095
62	300.000	0.015	299.997	0.138	3.762	1.991	1783019646.360
63	300.000	0.014	300.000	0.132	2.667	1.991	1783019646.595
64	300.000	-0.047	300.001	0.201	4.141	1.991	1783019646.835
65	300.000	-0.004	300.001	0.090	3.923	1.991	1783019647.089
66	300.000	0.019	300.001	0.104	3.345	1.991	1783019647.354
67	300.000	-0.023	300.003	0.091	1.539	1.991	1783019647.596
68	300.000	-0.038	300.002	0.099	4.081	1.991	1783019647.819
69	300.000	-0.006	300.002	0.053	2.742	1.991	1783019648.110
70	300.000	0.030	300.001	0.166	2.876	1.991	1783019648.332
71	300.000	0.016	300.002	0.143	3.728	1.991	1783019648.619
72	300.000	0.016	299.999	0.127	1.234	1.991	1783019648.849
73	300.000	-0.046	299.999	0.234	4.126	1.991	1783019649.086
74	300.000	0.004	300.001	0.122	4.200	1.991	1783019649.334
75	300.000	0.040	300.002	0.171	4.560	1.991	1783019649.591
76	300.000	0.007	300.000	0.227	2.231	1.991	1783019649.896
77	300.000	-0.070	300.001	0.122	5.157	1.991	1783019650.132
78	300.000	-0.003	299.999	0.156	3.946	1.991	1783019650.385
79	300.000	-0.001	300.001	0.102	3.187	1.991	1783019650.613
80	300.000	-0.063	299.998	0.038	3.918	1.991	1783019650.893
81	300.000	0.054	300.002	0.080	3.651	1.991	1783019651.146
82	300.000	0.047	300.003	0.117	3.612	1.991	1783019651.395
83	300.000	-0.037	300.002	0.081	4.497	1.991	1783019651.645
84	300.000	0.005	299.999	0.085	3.308	1.991	1783019651.939
85	300.000	-0.043	299.998	0.239	4.295	1.991	1783019652.184
86	300.000	-0.033	299.997	0.085	2.754	1.991	1783019652.463
87	300.000	-0.007	299.998	0.199	3.827	1.991	1783019652.685
88	300.000	0.042	299.998	0.014	2.775	1.991	1783019652.963
89	300.000	0.041	300.003	0.122	5.944	1.991	1783019653.195
90	300.000	-0.004	300.002	0.878	1.431	1.991	1783019653.466
91	300.000	-0.011	299.999	0.455	1.503	1.991	1783019653.718
92	300.000	-0.013	300.001	0.374	5.042	1.991	1783019653.945
93	300.000	-0.098	299.998	0.168	4.535	1.991	1783019654.220
94	300.000	-0.016	299.999	0.024	0.039	1.991	1783019654.454
95	300.000	0.005	300.001	0.077	3.909	1.991	1783019654.722
96	300.000	0.010	299.998	0.059	3.804	1.991	1783019654.945
97	300.000	0.015	300.000	0.073	2.242	1.991	1783019655.211
98	300.000	0.049	300.002	0.231	3.624	1.991	1783019655.457
99	300.000	0.003	300.000	0.510	3.922	1.991	1783019655.709
100	300.000	-0.033	300.001	0.032	6.274	1.991	1783019655.949
101	300.000	-0.005	300.001	0.059	0.000	1.991	1783019656.212
102	300.000	0.057	299.995	0.139	1.944	1.991	1783019656.462
103	300.000	-0.014	299.998	0.245	4.081	1.991	1783019656.690
104	300.000	0.014	300.000	0.115	4.274	1.991	1783019656.954
105	300.000	-0.008	300.002	0.055	2.520	1.991	1783019657.184
106	300.000	-0.002	300.000	0.090	4.417	1.991	1783019657.439
107	300.000	0.040	299.999	0.187	1.686	1.991	1783019657.712
108	300.000	-0.003	300.000	0.098	3.482	1.991	1783019657.959
109	300.000	-0.042	300.000	0.104	4.345	1.991	1783019658.211
110	300.000	-0.009	300.001	0.240	4.443	1.991	1783019658.438
111	300.000	0.050	299.999	0.085	3.950	1.991	1783019658.708
112	300.000	-0.027	300.002	0.081	2.913	1.991	1783019658.942
113	300.000	0.021	300.002	0.102	3.318	1.991	1783019659.207
114	300.000	0.009	300.001	0.100	4.098	1.991	1783019659.428
115	300.000	0.012	299.998	0.031	6.143	1.991	1783019659.712
116	300.000	0.034	300.001	0.106	2.133	1.991	1783019659.959
117	300.000	0.005	299.997	0.086	4.761	1.991	1783019660.172
118	300.000	0.008	299.999	0.144	3.439	1.991	1783019660.448
119	300.000	-0.011	299.998	0.260	5.882	1.991	1783019660.701
120	300.000	-0.038	300.001	0.157	0.062	1.991	1783019660.952
121	300.000	-0.001	300.000	0.142	3.816	1.991	1783019661.179
122	300.000	-0.024	299.999	0.099	3.677	1.991	1783019661.452
123	300.000	-0.052	299.998	0.019	3.488	1.991	1783019661.698
124	300.000	0.005	299.998	0.072	3.860	1.991	1783019661.961
125	300.000	0.033	299.997	0.141	0.469	1.991	1783019662.202
126	300.000	0.030	299.998	0.007	1.939	1.991	1783019662.430
127	300.000	0.029	299.998	0.034	5.594	1.991	1783019662.707
128	300.000	0.009	299.999	0.013	0.865	1.991	1783019662.937
129	300.000	-0.006	299.999	0.243	3.873	1.991	1783019663.220
130	300.000	-0.026	300.004	0.062	0.115	1.991	1783019663.468
131	300.000	-0.027	299.999	0.006	2.722	1.991	1783019663.744
132	300.000	-0.026	300.001	0.158	1.391	1.991	1783019663.992
133	300.000	0.043	299.998	0.053	2.520	1.991	1783019664.264
134	300.000	-0.009	300.000	0.143	4.305	1.991	1783019664.493
135	300.000	0.019	300.001	0.149	3.868	1.991	1783019664.748
136	300.000	0.013	299.998	0.129	3.317	1.991	1783019664.995
137	300.000	-0.057	299.999	0.165	3.666	1.991	1783019665.227
138	300.000	0.022	300.003	0.208	3.375	1.991	1783019665.500
139	300.000	-0.038	300.005	0.162	1.253	1.991	1783019665.729
140	300.000	-0.013	300.002	0.137	3.893	1.991	1783019665.998
141	300.000	-0.028	300.000	0.112	4.793	1.991	1783019666.217
142	300.000	0.000	300.002	0.068	1.829	1.991	1783019666.508
143	300.000	0.083	300.000	0.256	1.734	1.991	1783019666.763
144	300.000	-0.022	299.998	0.100	3.500	1.991	1783019667.026
145	300.000	-0.028	300.001	0.139	3.700	1.991	1783019667.302
146	300.000	0.012	300.004	0.149	4.013	1.991	1783019667.554
147	300.000	0.032	299.998	0.202	4.108	1.991	1783019667.794
148	300.000	-0.126	299.994	0.634	4.417	1.991	1783019668.040
149	300.000	0.018	299.999	0.560	3.592	1.991	1783019668.291
150	300.000	-0.052	300.000	0.287	3.851	1.991	1783019668.562
151	300.000	0.043	299.998	0.130	1.072	1.991	1783019668.808
152	300.000	-0.005	300.003	0.122	3.088	1.991	1783019669.036
153	300.000	-0.059	299.999	0.050	4.140	1.991	1783019669.308
154	300.000	0.028	299.999	0.125	5.077	1.991	1783019669.534
155	300.000	-0.031	299.998	0.026	2.952	1.991	1783019669.802
