Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	200.000	-0.003	200.001	0.236	2.845	1.328	1783013449.526
2	200.000	0.019	200.001	0.283	3.771	1.328	1783013449.796
3	200.000	0.015	200.004	0.333	3.641	1.328	1783013450.042
4	200.000	0.073	200.001	0.620	1.083	1.328	1783013450.306
5	200.000	0.047	200.004	0.164	2.329	1.328	1783013450.582
6	200.000	0.032	200.001	0.310	2.827	1.328	1783013450.880
7	200.000	0.047	200.000	0.149	2.251	1.328	1783013451.162
8	200.000	0.039	200.004	0.182	2.369	1.328	1783013451.422
9	200.000	-0.020	200.002	0.132	2.594	1.328	1783013451.647
10	200.000	-0.011	200.000	0.400	2.510	1.328	1783013451.910
11	200.000	-0.027	199.999	0.336	3.139	1.328	1783013452.163
12	200.000	-0.016	199.998	0.263	2.582	1.328	1783013452.411
13	200.000	0.002	200.002	0.233	2.552	1.328	1783013452.657
14	200.000	0.040	199.997	0.327	3.191	1.328	1783013452.918
15	200.000	0.044	200.003	0.389	2.804	1.328	1783013453.155
16	200.000	0.012	200.001	0.318	2.608	1.328	1783013453.429
17	200.000	-0.081	200.005	0.428	1.858	1.328	1783013453.682
18	200.000	-0.012	199.999	0.280	2.543	1.328	1783013453.927
19	200.000	-0.010	200.000	0.265	3.253	1.328	1783013454.161
20	200.000	0.018	200.000	0.327	2.175	1.328	1783013454.409
21	200.000	-0.038	199.999	0.300	2.718	1.328	1783013454.661
22	200.000	-0.054	199.998	0.257	2.705	1.328	1783013454.918
23	200.000	-0.051	199.998	0.248	2.575	1.328	1783013455.150
24	200.000	0.004	200.002	0.274	2.791	1.328	1783013455.422
25	200.000	-0.011	199.999	0.387	3.552	1.328	1783013455.671
26	200.000	0.004	199.998	0.460	3.930	1.328	1783013455.924
27	200.000	-0.017	200.002	0.215	2.494	1.328	1783013456.141
28	200.000	0.007	199.995	0.251	3.133	1.328	1783013456.432
29	200.000	0.090	199.999	0.396	2.644	1.328	1783013456.723
30	200.000	-0.005	200.002	0.291	2.627	1.328	1783013456.970
31	200.000	-0.034	199.998	0.268	2.416	1.328	1783013457.202
32	200.000	-0.046	200.002	0.328	2.817	1.328	1783013457.478
33	200.000	0.004	199.999	0.324	2.491	1.328	1783013457.701
34	200.000	0.008	200.002	0.347	3.188	1.328	1783013457.999
35	200.000	0.020	200.001	0.260	3.022	1.328	1783013458.223
36	200.000	0.028	199.999	0.334	2.565	1.328	1783013458.487
37	200.000	0.027	199.999	0.246	2.423	1.328	1783013458.739
38	200.000	-0.031	200.000	0.296	1.936	1.328	1783013458.973
39	200.000	0.035	200.001	0.199	3.026	1.328	1783013459.234
40	200.000	0.039	200.000	0.316	2.265	1.328	1783013459.472
41	200.000	-0.049	199.996	0.113	2.347	1.328	1783013459.708
42	200.000	0.149	200.001	0.191	3.320	1.328	1783013459.961
43	200.000	0.002	200.001	0.259	2.470	1.328	1783013460.235
44	200.000	0.030	200.004	0.329	3.469	1.328	1783013460.459
45	200.000	0.030	199.998	0.191	2.989	1.328	1783013460.725
46	200.000	-0.038	200.000	0.338	2.569	1.328	1783013460.972
47	200.000	-0.018	199.999	0.392	3.449	1.328	1783013461.246
48	200.000	0.051	200.002	0.260	2.391	1.328	1783013461.476
49	200.000	0.058	200.004	0.389	4.491	1.328	1783013461.716
50	200.000	-0.002	200.001	0.221	2.821	1.328	1783013461.989
51	200.000	-0.012	200.001	0.195	2.906	1.328	1783013462.219
52	200.000	-0.015	200.000	0.296	3.809	1.328	1783013462.497
53	200.000	-0.074	200.002	0.306	2.906	1.328	1783013462.722
54	200.000	0.045	199.996	0.256	2.760	1.328	1783013462.999
55	200.000	-0.015	200.002	0.248	2.516	1.328	1783013463.250
56	200.000	0.036	199.999	0.379	3.078	1.328	1783013463.476
57	200.000	0.053	199.997	0.312	3.078	1.328	1783013463.723
58	200.000	0.004	199.998	0.370	2.839	1.328	1783013463.970
59	200.000	0.035	199.998	0.319	2.990	1.328	1783013464.236
60	200.000	-0.001	200.001	0.149	2.646	1.328	1783013464.470
61	200.000	-0.026	200.004	0.267	2.788	1.328	1783013464.720
62	200.000	-0.008	200.001	0.269	2.374	1.328	1783013464.995
63	200.000	0.084	199.996	0.265	3.187	1.328	1783013465.236
64	200.000	-0.004	200.001	0.271	2.895	1.328	1783013465.473
65	200.000	-0.025	199.999	0.356	2.048	1.328	1783013465.701
66	200.000	-0.061	200.003	0.311	2.525	1.328	1783013465.970
67	200.000	-0.024	199.997	0.446	2.441	1.328	1783013466.214
68	200.000	0.055	199.998	0.306	3.077	1.328	1783013466.488
69	200.000	0.013	200.002	0.293	3.137	1.328	1783013466.723
70	200.000	0.009	200.001	0.410	2.665	1.328	1783013466.952
71	200.000	-0.016	200.001	0.166	2.763	1.328	1783013467.215
72	200.000	-0.026	200.000	0.237	2.554	1.328	1783013467.465
73	200.000	-0.050	200.000	0.323	2.625	1.328	1783013467.722
74	200.000	0.026	200.003	0.208	2.794	1.328	1783013467.984
75	200.000	-0.032	199.994	0.214	2.369	1.328	1783013468.250
76	200.000	-0.015	199.999	0.262	2.605	1.328	1783013468.479
77	200.000	-0.063	199.999	0.455	2.061	1.328	1783013468.750
78	200.000	-0.008	199.999	0.302	2.487	1.328	1783013468.985
79	200.000	-0.093	200.002	0.200	2.589	1.328	1783013469.253
80	200.000	0.022	199.997	0.218	2.532	1.328	1783013469.494
81	200.000	-0.006	199.996	0.344	2.770	1.328	1783013469.746
82	200.000	-0.032	200.001	0.333	2.558	1.328	1783013470.009
83	200.000	-0.045	200.002	0.287	2.616	1.328	1783013470.231
84	200.000	0.058	199.999	0.262	2.714	1.328	1783013470.487
85	200.000	-0.023	200.003	0.203	3.180	1.328	1783013470.738
86	200.000	-0.007	200.002	0.296	2.467	1.328	1783013470.996
87	200.000	0.005	199.998	0.393	1.792	1.328	1783013471.245
88	200.000	-0.026	200.003	0.212	4.716	1.328	1783013471.490
89	200.000	-0.044	199.998	0.591	1.583	1.328	1783013471.751
90	200.000	0.017	200.000	0.318	3.537	1.328	1783013471.981
91	200.000	-0.075	199.995	0.356	2.546	1.328	1783013472.255
92	200.000	0.019	200.002	0.276	2.426	1.328	1783013472.468
93	200.000	0.052	200.000	0.339	3.147	1.328	1783013472.768
94	200.000	-0.008	200.002	0.381	2.155	1.328	1783013473.061
95	200.000	0.039	200.001	0.253	2.388	1.328	1783013473.303
96	200.000	-0.014	200.002	0.313	2.384	1.328	1783013473.532
97	200.000	0.008	199.997	0.309	2.518	1.328	1783013473.802
98	200.000	-0.029	199.997	0.308	2.618	1.328	1783013474.032
99	200.000	-0.040	199.997	0.240	2.731	1.328	1783013474.306
100	200.000	-0.015	199.997	0.282	3.252	1.328	1783013474.567
101	200.000	0.001	200.005	0.372	2.341	1.328	1783013474.803
102	200.000	-0.070	200.001	0.241	2.413	1.328	1783013475.054
103	200.000	-0.001	200.000	0.310	1.976	1.328	1783013475.284
104	200.000	-0.026	200.003	0.287	2.753	1.328	1783013475.559
105	200.000	-0.018	200.004	0.348	2.753	1.328	1783013475.785
106	200.000	-0.088	200.002	0.326	2.902	1.328	1783013476.047
107	200.000	0.011	199.997	0.184	3.076	1.328	1783013476.294
108	200.000	0.039	199.998	0.269	2.904	1.328	1783013476.565
109	200.000	-0.024	199.999	0.320	2.205	1.328	1783013476.794
110	200.000	-0.058	200.003	0.333	3.633	1.328	1783013477.059
111	200.000	-0.020	199.998	0.385	1.630	1.328	1783013477.302
112	200.000	0.039	199.997	0.275	2.214	1.328	1783013477.532
113	200.000	-0.032	199.998	0.339	3.427	1.328	1783013477.806
114	200.000	0.008	199.996	0.354	3.232	1.328	1783013478.033
115	200.000	-0.015	200.000	0.224	2.984	1.328	1783013478.286
116	200.000	0.020	199.999	0.258	2.176	1.328	1783013478.561
117	200.000	-0.013	199.999	0.396	2.751	1.328	1783013478.811
118	200.000	-0.024	200.003	0.300	3.055	1.328	1783013479.058
119	200.000	0.037	200.005	0.157	2.103	1.328	1783013479.286
120	200.000	-0.009	199.998	0.192	2.595	1.328	1783013479.561
121	200.000	-0.018	200.002	0.252	2.264	1.328	1783013479.785
122	200.000	0.006	199.998	0.087	2.907	1.328	1783013480.051
123	200.000	-0.026	199.999	0.325	2.772	1.328	1783013480.281
124	200.000	0.016	200.004	0.234	2.614	1.328	1783013480.547
125	200.000	0.028	200.001	0.222	2.665	1.328	1783013480.802
126	200.000	0.003	200.003	0.333	3.023	1.328	1783013481.054
127	200.000	0.060	199.996	0.221	2.083	1.328	1783013481.300
128	200.000	-0.024	200.004	0.152	2.086	1.328	1783013481.529
129	200.000	0.041	200.001	0.207	2.405	1.328	1783013481.808
130	200.000	0.009	199.998	0.222	2.743	1.328	1783013482.039
131	200.000	-0.048	200.006	0.283	2.987	1.328	1783013482.306
132	200.000	-0.024	199.998	0.243	2.738	1.328	1783013482.557
133	200.000	0.015	200.000	0.121	1.871	1.328	1783013482.804
134	200.000	0.013	199.999	0.161	2.643	1.328	1783013483.060
135	200.000	-0.003	199.998	0.330	2.655	1.328	1783013483.275
136	200.000	0.009	199.999	0.303	2.207	1.328	1783013483.554
137	200.000	0.010	199.997	0.105	2.253	1.328	1783013483.782
138	200.000	-0.014	199.999	0.245	2.840	1.328	1783013484.055
139	200.000	-0.066	200.004	0.233	3.297	1.328	1783013484.301
140	200.000	-0.033	200.002	0.220	3.168	1.328	1783013484.546
141	200.000	-0.064	200.003	0.212	2.596	1.328	1783013484.792
142	200.000	0.035	199.998	0.225	2.384	1.328	1783013485.061
143	200.000	0.013	200.004	0.105	2.517	1.328	1783013485.322
144	200.000	-0.058	199.999	0.249	2.194	1.328	1783013485.573
145	200.000	-0.017	199.999	0.201	2.786	1.328	1783013485.854
146	200.000	-0.042	199.999	0.196	2.685	1.328	1783013486.121
147	200.000	0.012	199.997	0.364	1.789	1.328	1783013486.367
148	200.000	0.010	199.998	0.276	2.047	1.328	1783013486.610
149	200.000	-0.021	199.999	0.336	2.555	1.328	1783013486.856
150	200.000	-0.028	199.999	0.238	2.312	1.328	1783013487.095
151	200.000	-0.006	200.001	0.161	2.404	1.328	1783013487.382
152	200.000	-0.026	200.005	0.255	1.985	1.328	1783013487.614
153	200.000	-0.049	200.001	0.162	1.978	1.328	1783013487.857
154	200.000	0.011	200.000	0.746	1.843	1.328	1783013488.107
155	200.000	0.027	200.001	0.412	2.067	1.328	1783013488.371
156	200.000	-0.019	199.998	0.288	1.740	1.328	1783013488.623
157	200.000	-0.026	200.000	0.256	4.200	1.328	1783013488.842
158	200.000	0.079	199.999	0.122	3.639	1.328	1783013489.121
159	200.000	-0.002	199.999	0.057	2.078	1.328	1783013489.342
160	200.000	-0.019	199.999	0.151	2.765	1.328	1783013489.616
161	200.000	-0.054	200.000	0.157	2.284	1.328	1783013489.849
162	200.000	0.007	200.001	0.328	2.196	1.328	1783013490.113
163	200.000	-0.007	199.997	0.144	2.436	1.328	1783013490.364
164	200.000	-0.042	199.996	0.119	2.580	1.328	1783013490.619
165	200.000	0.036	200.004	0.287	2.127	1.328	1783013490.863
166	200.000	0.010	199.999	0.308	2.106	1.328	1783013491.124
167	200.000	-0.008	199.998	0.222	1.516	1.328	1783013491.349
168	200.000	0.027	200.002	0.210	2.000	1.328	1783013491.584
169	200.000	0.027	200.003	0.302	2.124	1.328	1783013491.871
170	200.000	-0.030	199.998	0.138	2.548	1.328	1783013492.114
171	200.000	-0.021	200.000	0.249	2.101	1.328	1783013492.365
172	200.000	-0.066	199.999	0.125	1.600	1.328	1783013492.644
173	200.000	-0.019	199.999	0.171	1.350	1.328	1783013492.927
174	200.000	-0.040	199.999	0.249	2.917	1.328	1783013493.170
175	200.000	-0.002	199.998	0.257	2.094	1.328	1783013493.437
176	200.000	-0.021	199.998	0.309	2.216	1.328	1783013493.692
177	200.000	0.067	199.996	0.359	1.957	1.328	1783013493.928
178	200.000	0.031	200.000	0.156	2.967	1.328	1783013494.189
179	200.000	0.023	200.003	0.074	1.778	1.328	1783013494.402
180	200.000	-0.016	199.999	0.184	2.745	1.328	1783013494.675
181	200.000	-0.042	200.001	0.291	1.910	1.328	1783013494.910
182	200.000	-0.030	200.001	0.281	1.733	1.328	1783013495.203
183	200.000	0.052	200.001	0.271	2.332	1.328	1783013495.478
184	200.000	0.001	199.997	0.083	1.933	1.328	1783013495.753
185	200.000	-0.017	200.003	0.214	2.134	1.328	1783013495.985
186	200.000	0.034	200.000	0.202	2.797	1.328	1783013496.237
187	200.000	0.002	199.997	0.321	2.241	1.328	1783013496.485
188	200.000	-0.033	199.999	0.277	2.026	1.328	1783013496.733
189	200.000	0.021	199.998	0.275	2.250	1.328	1783013496.983
190	200.000	-0.011	199.998	0.339	1.867	1.328	1783013497.228
191	200.000	0.060	200.001	0.216	2.194	1.328	1783013497.509
192	200.000	-0.031	199.999	0.183	2.982	1.328	1783013497.775
193	200.000	0.070	200.003	0.206	1.673	1.328	1783013498.004
194	200.000	-0.003	199.998	0.263	1.997	1.328	1783013498.256
195	200.000	-0.002	199.998	0.414	2.329	1.328	1783013498.505
196	200.000	-0.049	199.997	0.363	2.325	1.328	1783013498.757
197	200.000	0.005	200.001	0.220	2.541	1.328	1783013499.010
198	200.000	0.002	200.002	0.025	2.775	1.328	1783013499.228
199	200.000	0.044	199.999	0.284	2.877	1.328	1783013499.515
200	200.000	0.008	199.998	0.278	2.266	1.328	1783013499.765
201	200.000	-0.033	199.998	0.239	1.910	1.328	1783013500.013
202	200.000	-0.044	200.002	0.121	2.881	1.328	1783013500.238
203	200.000	-0.054	200.002	0.124	2.379	1.328	1783013500.492
204	200.000	0.003	200.000	0.209	2.716	1.328	1783013500.749
205	200.000	0.022	199.999	0.244	2.686	1.328	1783013501.010
206	200.000	-0.024	200.001	0.285	2.890	1.328	1783013501.274
207	200.000	0.051	200.000	0.237	2.075	1.328	1783013501.565
208	200.000	0.011	200.000	0.249	2.132	1.328	1783013501.823
209	200.000	-0.014	200.002	0.113	2.585	1.328	1783013502.100
210	200.000	0.216	199.998	1.132	1.204	1.328	1783013502.351
211	200.000	0.048	199.998	0.462	1.581	1.328	1783013502.576
212	200.000	0.009	199.999	0.164	2.020	1.328	1783013502.833
213	200.000	0.012	200.001	0.194	2.425	1.328	1783013503.071
214	200.000	-0.015	199.998	0.278	2.202	1.328	1783013503.344
215	200.000	-0.021	199.998	0.317	2.542	1.328	1783013503.598
216	200.000	0.018	200.002	0.293	2.325	1.328	1783013503.838
217	200.000	-0.005	200.001	0.314	2.163	1.328	1783013504.090
218	200.000	0.051	200.005	0.483	2.283	1.328	1783013504.319
219	200.000	-0.053	200.001	0.211	2.182	1.328	1783013504.595
220	200.000	0.002	199.998	0.351	2.066	1.328	1783013504.817
221	200.000	-0.026	200.004	0.220	1.922	1.328	1783013505.079
222	200.000	-0.014	199.999	0.320	2.092	1.328	1783013505.315
223	200.000	-0.060	200.001	0.348	2.139	1.328	1783013505.573
224	200.000	0.037	200.000	0.361	2.027	1.328	1783013505.820
225	200.000	-0.031	200.000	0.277	2.611	1.328	1783013506.071
226	200.000	0.036	200.000	0.226	2.446	1.328	1783013506.334
227	200.000	-0.070	199.999	0.260	2.783	1.328	1783013506.587
228	200.000	0.019	200.003	0.265	2.768	1.328	1783013506.843
229	200.000	0.027	200.000	0.356	2.218	1.328	1783013507.070
230	200.000	0.029	200.003	0.200	2.196	1.328	1783013507.336
231	200.000	-0.033	199.999	0.209	2.447	1.328	1783013507.571
232	200.000	0.036	199.996	0.441	1.906	1.328	1783013507.842
233	200.000	-0.001	199.997	0.289	2.165	1.328	1783013508.089
234	200.000	-0.022	199.999	0.300	2.448	1.328	1783013508.320
235	200.000	0.022	200.001	0.257	2.578	1.328	1783013508.588
236	200.000	0.002	200.000	0.337	2.174	1.328	1783013508.819
237	200.000	-0.009	200.001	0.318	2.503	1.328	1783013509.094
238	200.000	-0.006	199.998	0.235	2.160	1.328	1783013509.326
239	200.000	0.018	200.002	0.404	2.080	1.328	1783013509.583
240	200.000	0.001	200.007	0.250	2.573	1.328	1783013509.840
241	200.000	0.023	199.999	0.332	2.134	1.328	1783013510.079
242	200.000	0.008	200.001	0.277	2.767	1.328	1783013510.334
243	200.000	0.031	200.001	0.319	2.483	1.328	1783013510.587
244	200.000	0.050	199.999	0.307	2.417	1.328	1783013510.840
245	200.000	-0.004	199.998	0.425	2.213	1.328	1783013511.068
246	200.000	-0.068	199.999	0.372	2.015	1.328	1783013511.331
247	200.000	0.012	200.006	0.359	2.026	1.328	1783013511.572
248	200.000	0.005	199.997	0.325	1.766	1.328	1783013511.836
249	200.000	0.025	199.999	0.203	2.149	1.328	1783013512.090
250	200.000	0.016	200.002	0.451	1.847	1.328	1783013512.309
251	200.000	-0.006	200.001	0.335	2.484	1.328	1783013512.588
252	200.000	-0.043	199.999	0.369	1.846	1.328	1783013512.816
253	200.000	-0.006	199.995	0.415	2.493	1.328	1783013513.093
254	200.000	0.024	200.001	0.243	1.915	1.328	1783013513.319
255	200.000	0.001	199.997	0.446	1.811	1.328	1783013513.583
256	200.000	0.002	199.999	0.267	2.238	1.328	1783013513.835
257	200.000	0.052	199.998	0.388	2.077	1.328	1783013514.095
258	200.000	-0.011	200.001	0.292	2.507	1.328	1783013514.346
259	200.000	-0.024	200.000	0.403	2.396	1.328	1783013514.570
260	200.000	-0.049	199.999	0.287	2.581	1.328	1783013514.827
261	200.000	0.015	200.003	0.409	2.212	1.328	1783013515.078
262	200.000	-0.050	200.004	0.240	2.316	1.328	1783013515.326
263	200.000	-0.062	200.000	0.212	2.739	1.328	1783013515.580
264	200.000	0.032	200.000	0.356	2.114	1.328	1783013515.830
265	200.000	-0.046	199.996	0.288	1.894	1.328	1783013516.079
266	200.000	0.002	199.997	0.332	2.052	1.328	1783013516.347
267	200.000	-0.075	199.999	0.381	2.129	1.328	1783013516.601
268	200.000	0.019	199.998	0.412	2.104	1.328	1783013516.818
269	200.000	-0.029	199.998	0.457	1.710	1.328	1783013517.091
270	200.000	0.112	200.001	0.201	2.984	1.328	1783013517.327
271	200.000	-0.102	199.999	0.287	1.976	1.328	1783013517.614
272	200.000	0.033	200.001	0.359	1.970	1.328	1783013517.825
273	200.000	-0.032	200.001	0.370	2.188	1.328	1783013518.081
274	200.000	0.015	200.000	0.353	1.948	1.328	1783013518.355
275	200.000	0.006	200.001	0.225	2.252	1.328	1783013518.589
276	200.000	0.043	200.001	0.326	2.697	1.328	1783013518.846
277	200.000	-0.067	199.997	0.352	2.203	1.328	1783013519.079
278	200.000	-0.033	199.999	0.473	1.809	1.328	1783013519.336
279	200.000	-0.028	200.006	0.219	2.589	1.328	1783013519.592
280	200.000	-0.064	200.002	0.249	2.471	1.328	1783013519.856
281	200.000	-0.004	199.997	0.323	2.047	1.328	1783013520.091
282	200.000	-0.004	199.998	0.410	2.101	1.328	1783013520.386
283	200.000	-0.000	200.000	0.375	1.923	1.328	1783013520.634
284	200.000	-0.038	200.004	0.384	1.912	1.328	1783013520.869
285	200.000	-0.038	200.000	0.258	1.887	1.328	1783013521.121
286	200.000	-0.038	199.997	0.345	2.179	1.328	1783013521.379
287	200.000	-0.038	200.001	0.268	1.942	1.328	1783013521.624
288	200.000	-0.020	199.999	0.339	2.053	1.328	1783013521.862
289	200.000	-0.015	200.002	0.263	2.627	1.328	1783013522.160
290	200.000	0.010	200.003	0.263	1.802	1.328	1783013522.388
291	200.000	-0.059	200.002	0.213	2.387	1.328	1783013522.653
292	200.000	0.014	200.001	0.314	2.033	1.328	1783013522.885
293	200.000	0.007	200.002	0.277	2.553	1.328	1783013523.158
294	200.000	-0.026	200.000	0.301	2.669	1.328	1783013523.394
295	200.000	-0.028	200.000	0.338	2.090	1.328	1783013523.622
296	200.000	-0.013	199.998	0.239	2.203	1.328	1783013523.906
297	200.000	-0.048	200.003	0.252	2.332	1.328	1783013524.139
298	200.000	-0.035	200.002	0.194	2.616	1.328	1783013524.415
299	200.000	0.028	200.000	0.303	2.560	1.328	1783013524.644
300	200.000	0.006	199.996	0.306	2.323	1.328	1783013524.891
301	200.000	-0.011	200.000	0.294	2.309	1.328	1783013525.139
302	200.000	0.016	200.000	0.391	1.905	1.328	1783013525.410
303	200.000	0.013	200.001	0.343	2.002	1.328	1783013525.658
304	200.000	-0.020	199.998	0.298	2.995	1.328	1783013525.879
305	200.000	-0.049	200.000	0.381	3.433	1.328	1783013526.147
306	200.000	0.050	200.000	0.243	2.481	1.328	1783013526.373
307	200.000	-0.005	199.999	0.220	2.486	1.328	1783013526.627
308	200.000	0.035	200.001	0.344	2.390	1.328	1783013526.868
309	200.000	-0.005	199.999	0.415	2.332	1.328	1783013527.137
310	200.000	-0.017	199.998	0.221	2.306	1.328	1783013527.402
311	200.000	-0.009	200.003	0.249	2.081	1.328	1783013527.635
312	200.000	-0.021	200.004	0.411	2.286	1.328	1783013527.890
313	200.000	-0.079	200.001	0.218	2.648	1.328	1783013528.133
314	200.000	0.169	200.001	0.101	0.335	1.328	1783013528.396
315	200.000	-0.008	200.002	0.355	1.981	1.328	1783013528.625
316	200.000	-0.035	199.997	0.323	2.667	1.328	1783013528.893
317	200.000	-0.027	200.002	0.152	2.806	1.328	1783013529.145
318	200.000	-0.006	200.000	0.248	2.383	1.328	1783013529.394
319	200.000	0.013	199.999	0.364	2.041	1.328	1783013529.648
320	200.000	-0.011	200.001	0.297	2.442	1.328	1783013529.872
321	200.000	-0.038	199.996	0.309	2.189	1.328	1783013530.147
322	200.000	-0.024	199.998	0.292	2.722	1.328	1783013530.388
323	200.000	-0.042	200.001	0.415	2.280	1.328	1783013530.650
324	200.000	-0.056	200.002	0.376	1.779	1.328	1783013530.896
325	200.000	-0.036	200.002	0.292	2.724	1.328	1783013531.138
326	200.000	-0.014	200.004	0.354	2.488	1.328	1783013531.392
327	200.000	0.021	200.002	0.490	2.212	1.328	1783013531.662
328	200.000	-0.021	200.002	0.363	1.847	1.328	1783013531.887
329	200.000	-0.021	199.998	0.317	2.639	1.328	1783013532.124
330	200.000	0.010	199.998	0.191	2.330	1.328	1783013532.399
331	200.000	0.016	200.002	0.282	2.156	1.328	1783013532.692
332	200.000	-0.046	200.000	0.263	1.833	1.328	1783013532.956
333	200.000	-0.022	199.999	0.338	2.625	1.328	1783013533.233
334	200.000	0.011	200.002	0.263	2.193	1.328	1783013533.480
