Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	-0.002	100.001	2.801	6.224	0.664	1783023985.576
2	100.000	-0.030	100.002	2.478	6.272	0.664	1783023985.831
3	100.000	-0.026	99.999	2.467	6.057	0.664	1783023986.083
4	100.000	-0.022	100.001	2.062	5.936	0.664	1783023986.313
5	100.000	0.069	100.000	2.249	0.010	0.664	1783023986.575
6	100.000	-0.002	99.998	2.386	5.644	0.664	1783023986.824
7	100.000	-0.019	99.998	2.403	5.845	0.664	1783023987.097
8	100.000	-0.034	99.999	1.772	5.624	0.664	1783023987.324
9	100.000	-0.042	100.002	4.109	0.026	0.664	1783023987.554
10	100.000	-0.000	99.998	8.579	4.182	0.664	1783023987.842
11	100.000	-0.045	100.000	8.704	4.101	0.664	1783023988.106
12	100.000	0.001	100.004	8.493	4.179	0.664	1783023988.344
13	100.000	0.030	100.003	8.388	4.159	0.664	1783023988.570
14	100.000	-0.006	99.999	8.687	4.180	0.664	1783023988.839
15	100.000	0.007	100.000	8.412	4.173	0.664	1783023989.088
16	100.000	-0.022	100.001	8.448	4.159	0.664	1783023989.355
17	100.000	0.005	100.002	8.085	4.239	0.664	1783023989.605
18	100.000	0.030	100.001	7.836	4.148	0.664	1783023989.849
19	100.000	0.025	100.001	8.482	4.319	0.664	1783023990.110
20	100.000	-0.056	100.004	7.682	4.495	0.664	1783023990.363
21	100.000	0.018	100.000	6.164	4.983	0.664	1783023990.619
22	100.000	-0.016	99.998	5.707	5.501	0.664	1783023990.849
23	100.000	-0.023	100.002	6.673	6.194	0.664	1783023991.115
24	100.000	0.022	100.000	9.098	0.248	0.664	1783023991.362
25	100.000	-0.033	99.998	11.210	0.499	0.664	1783023991.635
26	100.000	-0.005	99.995	12.420	0.722	0.664	1783023991.858
27	100.000	-0.009	99.999	11.393	0.841	0.664	1783023992.113
28	100.000	0.007	100.001	8.568	0.988	0.664	1783023992.391
29	100.000	0.041	99.997	4.759	1.299	0.664	1783023992.645
30	100.000	-0.055	99.994	2.052	2.477	0.664	1783023992.888
31	100.000	0.076	99.997	4.186	3.637	0.664	1783023993.109
32	100.000	-0.023	99.999	6.497	4.056	0.664	1783023993.390
33	100.000	-0.026	100.001	8.001	4.110	0.664	1783023993.642
34	100.000	0.018	100.000	7.819	4.385	0.664	1783023993.892
35	100.000	0.034	99.999	6.972	4.616	0.664	1783023994.114
36	100.000	-0.009	100.001	5.792	5.116	0.664	1783023994.384
37	100.000	-0.010	99.998	6.197	5.817	0.664	1783023994.644
38	100.000	-0.021	100.001	7.835	0.007	0.664	1783023994.899
39	100.000	0.020	100.003	10.255	0.333	0.664	1783023995.150
40	100.000	0.024	100.000	11.843	0.546	0.664	1783023995.363
