Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	-0.020	100.003	1.105	2.734	0.664	1783023320.176
2	100.000	-0.001	100.008	0.285	0.159	0.664	1783023320.423
3	100.000	-0.034	100.005	0.132	0.520	0.664	1783023320.671
4	100.000	-0.023	100.001	0.153	2.390	0.664	1783023320.937
5	100.000	-0.017	99.999	0.348	5.127	0.664	1783023321.169
6	100.000	-0.035	100.002	1.384	2.743	0.664	1783023321.403
7	100.000	-0.008	100.001	0.192	0.588	0.664	1783023321.668
8	100.000	-0.007	99.999	1.093	2.526	0.664	1783023321.921
9	100.000	0.073	99.998	0.722	2.712	0.664	1783023322.179
10	100.000	-0.006	100.002	1.303	2.692	0.664	1783023322.411
11	100.000	0.009	100.001	0.710	2.447	0.664	1783023322.682
12	100.000	-0.001	99.998	1.053	2.896	0.664	1783023322.931
13	100.000	0.045	100.001	1.681	2.606	0.664	1783023323.188
14	100.000	0.032	99.998	0.325	4.400	0.664	1783023323.442
15	100.000	-0.012	100.001	0.060	4.160	0.664	1783023323.681
16	100.000	-0.002	100.002	7.658	2.848	0.664	1783023323.933
17	100.000	-0.029	100.002	9.324	2.492	0.664	1783023324.171
18	100.000	-0.011	100.002	9.138	2.438	0.664	1783023324.429
19	100.000	-0.026	100.001	9.420	2.509	0.664	1783023324.660
20	100.000	0.016	99.998	9.494	2.562	0.664	1783023324.927
21	100.000	-0.025	100.001	9.322	2.553	0.664	1783023325.184
22	100.000	-0.015	100.001	9.247	2.454	0.664	1783023325.431
23	100.000	0.017	99.998	9.384	2.485	0.664	1783023325.681
24	100.000	0.024	100.000	9.305	2.453	0.664	1783023325.912
25	100.000	0.016	100.002	9.068	2.475	0.664	1783023326.181
26	100.000	0.059	100.004	9.540	2.690	0.664	1783023326.411
27	100.000	0.011	100.001	9.091	2.893	0.664	1783023326.676
28	100.000	0.003	100.001	7.321	3.140	0.664	1783023326.910
29	100.000	0.014	99.999	5.669	3.603	0.664	1783023327.174
30	100.000	-0.003	100.001	4.670	4.299	0.664	1783023327.420
31	100.000	-0.061	100.001	5.399	4.917	0.664	1783023327.646
32	100.000	0.013	100.001	7.065	5.310	0.664	1783023327.930
33	100.000	0.050	99.997	8.211	5.683	0.664	1783023328.144
34	100.000	-0.018	100.006	8.094	5.906	0.664	1783023328.445
35	100.000	-0.027	100.001	6.976	6.227	0.664	1783023328.660
