Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	-0.303	100.001	9.003	4.237	0.664	1785275776.269
2	100.000	0.181	99.996	11.048	4.563	0.664	1785275776.497
3	100.000	-0.438	99.996	11.365	4.832	0.664	1785275776.719
4	100.000	-0.027	99.997	10.174	5.101	0.664	1785275776.918
5	100.000	-0.332	100.003	7.291	5.670	0.664	1785275777.163
6	100.000	-0.014	100.002	6.729	0.172	0.673	1785275777.373
7	100.000	-0.219	100.002	8.874	0.830	0.682	1785275777.611
8	100.000	-0.018	100.000	10.752	1.141	0.683	1785275777.806
9	100.000	0.002	99.999	11.760	1.382	0.687	1785275778.013
10	100.000	0.134	100.005	10.918	1.660	0.685	1785275778.232
11	100.000	-0.069	100.001	9.286	1.946	0.679	1785275778.419
12	100.000	0.053	100.000	7.109	2.344	0.673	1785275778.584
13	100.000	-0.071	100.000	5.630	3.073	0.680	1785275778.815
14	100.000	-0.043	100.003	7.490	4.013	0.664	1785275779.063
15	100.000	-0.145	100.001	10.026	4.406	0.664	1785275779.244
16	100.000	0.270	99.998	11.769	4.627	0.664	1785275779.424
17	100.000	-0.001	100.002	11.751	4.850	0.664	1785275779.597
18	100.000	-0.029	99.998	10.204	5.086	0.664	1785275779.798
19	100.000	-0.060	100.001	8.063	5.462	0.664	1785275779.994
20	100.000	0.237	100.003	6.705	6.086	0.675	1785275780.191
21	100.000	0.191	99.997	7.474	0.460	0.682	1785275780.370
22	100.000	0.345	99.997	9.488	0.928	0.684	1785275780.598
23	100.000	-0.370	99.997	11.648	1.258	0.681	1785275780.831
24	100.000	-0.170	100.001	11.739	1.546	0.683	1785275781.057
25	100.000	-0.151	99.998	10.160	1.816	0.685	1785275781.261
26	100.000	0.249	99.999	7.990	2.152	0.687	1785275781.443
27	100.000	0.012	100.001	6.018	2.702	0.666	1785275781.634
28	100.000	-0.035	100.005	5.820	3.535	0.664	1785275781.812
29	100.000	0.175	100.002	7.932	4.090	0.664	1785275781.995
30	100.000	0.138	100.002	10.093	4.431	0.664	1785275782.179
31	100.000	0.385	99.999	11.354	4.657	0.664	1785275782.362
32	100.000	-0.321	99.997	11.441	4.879	0.664	1785275782.564
33	100.000	0.203	100.002	9.780	5.156	0.664	1785275782.752
34	100.000	0.103	100.001	7.802	5.590	0.664	1785275782.953
35	100.000	0.075	100.001	6.636	6.273	0.664	1785275783.127
36	100.000	0.067	100.001	7.894	0.597	0.687	1785275783.336
37	100.000	0.039	100.002	9.889	0.994	0.680	1785275783.524
38	100.000	-0.210	100.001	11.368	1.229	0.683	1785275783.695
39	100.000	-0.077	99.999	11.874	1.451	0.682	1785275783.905
40	100.000	-0.146	100.002	10.790	1.673	0.685	1785275784.077
41	100.000	-0.151	100.004	8.981	1.943	0.684	1785275784.273
42	100.000	0.055	100.001	6.475	2.446	0.683	1785275784.458
43	100.000	-0.234	99.996	5.446	3.228	0.664	1785275784.639
44	100.000	0.473	100.003	6.707	3.927	0.664	1785275784.834
45	100.000	0.014	100.000	9.080	4.342	0.664	1785275785.022
46	100.000	-0.099	100.002	11.257	4.593	0.664	1785275785.190
47	100.000	0.010	100.001	11.435	4.776	0.664	1785275785.382
48	100.000	-0.063	99.997	10.754	5.015	0.664	1785275785.576
49	100.000	-0.217	100.002	8.436	5.366	0.664	1785275785.790
50	100.000	0.001	100.000	6.717	5.939	0.664	1785275785.967
51	100.000	0.002	100.002	7.177	0.367	0.676	1785275786.180
52	100.000	0.677	100.001	9.450	0.883	0.684	1785275786.345
53	100.000	0.190	99.996	11.313	1.140	0.680	1785275786.533
54	100.000	0.114	100.001	12.131	1.360	0.680	1785275786.727
55	100.000	0.148	100.000	11.498	1.567	0.685	1785275786.906
56	100.000	-0.133	100.006	10.055	1.811	0.682	1785275787.091
57	100.000	0.048	100.001	7.557	2.175	0.691	1785275787.321
58	100.000	-0.310	99.999	5.375	3.048	0.664	1785275787.550
59	100.000	-0.070	99.999	6.632	3.849	0.664	1785275787.725
60	100.000	0.151	100.001	8.972	4.297	0.664	1785275787.921
61	100.000	-0.065	99.999	11.328	4.560	0.664	1785275788.125
62	100.000	-0.116	99.999	11.576	4.802	0.664	1785275788.307
63	100.000	-0.023	100.003	10.418	5.024	0.664	1785275788.497
64	100.000	0.070	100.002	8.609	5.349	0.664	1785275788.659
65	100.000	0.020	100.002	6.709	5.857	0.664	1785275788.845
66	100.000	0.123	100.002	6.941	0.242	0.679	1785275789.031
67	100.000	0.044	100.000	8.681	0.791	0.683	1785275789.221
68	100.000	0.123	100.000	10.690	1.085	0.680	1785275789.437
69	100.000	-0.412	100.002	12.033	1.340	0.680	1785275789.623
70	100.000	-0.166	99.999	11.528	1.555	0.688	1785275789.820
71	100.000	0.029	100.005	10.169	1.778	0.685	1785275789.991
72	100.000	-0.003	99.999	7.949	2.159	0.681	1785275790.203
73	100.000	-0.041	99.996	5.750	2.782	0.676	1785275790.388
74	100.000	0.335	100.001	5.909	3.606	0.664	1785275790.567
75	100.000	-0.276	100.000	7.755	4.079	0.664	1785275790.760
76	100.000	-0.118	99.999	10.120	4.419	0.664	1785275790.929
77	100.000	0.188	100.001	11.231	4.679	0.664	1785275791.154
78	100.000	-0.323	100.001	11.050	4.924	0.664	1785275791.319
79	100.000	-0.102	100.001	9.106	5.185	0.664	1785275791.522
80	100.000	0.019	99.999	6.979	5.607	0.664	1785275791.724
81	100.000	-0.289	100.000	6.340	0.071	0.682	1785275791.907
82	100.000	-0.231	100.002	8.325	0.728	0.680	1785275792.110
83	100.000	0.016	99.997	10.441	1.042	0.680	1785275792.282
84	100.000	0.170	100.003	11.826	1.282	0.684	1785275792.469
85	100.000	-0.296	100.004	11.987	1.488	0.680	1785275792.661
86	100.000	-0.206	99.999	10.735	1.705	0.679	1785275792.843
87	100.000	0.166	99.998	8.529	2.008	0.686	1785275793.035
88	100.000	0.112	99.997	6.347	2.494	0.682	1785275793.227
89	100.000	-0.258	100.003	5.453	3.278	0.664	1785275793.429
90	100.000	0.134	99.999	7.390	4.019	0.664	1785275793.587
91	100.000	0.056	100.001	9.479	4.337	0.664	1785275793.802
92	100.000	0.178	100.002	10.913	4.608	0.664	1785275793.986
