Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	200.000	-0.021	200.000	1.078	5.665	1.328	1785287796.427
2	200.000	0.185	200.003	1.369	3.207	1.334	1785287796.662
3	200.000	-0.261	200.002	2.564	2.804	1.328	1785287796.852
4	200.000	-0.201	200.000	2.355	2.592	1.328	1785287797.045
5	200.000	0.080	199.997	0.632	1.748	1.354	1785287797.232
6	200.000	-0.248	200.000	2.190	0.130	1.334	1785287797.421
7	200.000	-0.161	200.003	2.968	0.044	1.328	1785287797.606
8	200.000	-0.114	199.998	1.843	6.091	1.328	1785287797.806
9	200.000	0.114	199.999	0.544	3.894	1.327	1785287798.048
10	200.000	-0.070	199.998	2.119	2.925	1.356	1785287798.238
11	200.000	-0.205	200.000	2.671	2.616	1.328	1785287798.419
12	200.000	-0.416	199.997	1.694	2.521	1.328	1785287798.602
13	200.000	0.224	199.999	1.155	0.409	1.330	1785287798.791
14	200.000	-0.014	199.997	2.749	0.060	1.340	1785287798.982
15	200.000	-0.127	200.001	2.512	0.001	1.358	1785287799.167
16	200.000	-0.070	199.999	1.206	5.829	1.326	1785287799.364
17	200.000	0.078	200.003	1.147	3.284	1.365	1785287799.523
18	200.000	0.110	200.002	2.299	2.833	1.328	1785287799.731
19	200.000	-0.073	200.001	2.693	2.627	1.328	1785287799.899
20	200.000	0.108	200.001	1.359	2.435	1.345	1785287800.103
21	200.000	0.233	200.000	1.637	0.208	1.339	1785287800.342
22	200.000	0.200	199.999	2.979	0.034	1.350	1785287800.520
23	200.000	-0.162	200.001	2.347	6.209	1.351	1785287800.713
24	200.000	-0.019	199.998	0.752	5.187	1.328	1785287800.913
25	200.000	-0.080	199.999	1.630	3.119	1.371	1785287801.111
26	200.000	-0.479	200.003	2.786	2.711	1.328	1785287801.292
27	200.000	0.198	200.004	2.313	2.581	1.328	1785287801.455
28	200.000	0.004	200.003	0.729	1.674	1.348	1785287801.662
29	200.000	-0.251	200.002	2.194	0.110	1.351	1785287801.847
30	200.000	-0.006	200.001	2.806	0.046	1.342	1785287802.060
31	200.000	-0.049	200.000	1.302	5.933	1.365	1785287802.306
32	200.000	-0.218	199.997	1.040	3.471	1.323	1785287802.474
33	200.000	-0.056	200.002	2.399	2.802	1.342	1785287802.698
34	200.000	-0.060	199.999	2.400	2.541	1.349	1785287802.932
