Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	-0.021	100.002	10.657	4.240	0.664	1785269513.568
2	100.000	0.076	99.999	10.634	4.461	0.664	1785269513.762
3	100.000	0.451	100.001	8.782	4.739	0.664	1785269513.964
4	100.000	-0.087	99.996	6.314	5.172	0.664	1785269514.149
5	100.000	0.087	100.001	5.286	5.967	0.664	1785269514.322
6	100.000	0.281	100.003	7.137	0.389	0.676	1785269514.540
7	100.000	-0.080	99.994	10.490	0.786	0.685	1785269514.742
8	100.000	-0.213	100.000	13.213	1.034	0.677	1785269514.950
9	100.000	-0.228	99.997	13.735	1.217	0.683	1785269515.154
10	100.000	0.122	99.999	12.566	1.410	0.683	1785269515.329
11	100.000	-0.115	100.001	10.621	1.630	0.687	1785269515.535
12	100.000	0.077	100.003	7.634	2.065	0.677	1785269515.729
13	100.000	-0.066	99.999	5.515	2.926	0.700	1785269515.955
14	100.000	0.156	99.999	6.916	3.648	0.664	1785269516.139
15	100.000	0.338	100.003	9.112	4.049	0.664	1785269516.299
16	100.000	-0.192	100.000	10.444	4.276	0.664	1785269516.524
17	100.000	-0.042	100.006	10.305	4.495	0.664	1785269516.691
18	100.000	-0.111	100.004	8.947	4.714	0.664	1785269516.885
19	100.000	-0.157	99.999	6.338	5.136	0.664	1785269517.086
20	100.000	-0.078	100.001	5.288	6.089	0.664	1785269517.258
21	100.000	0.184	99.999	7.457	0.410	0.668	1785269517.460
22	100.000	0.178	100.001	10.981	0.809	0.681	1785269517.674
23	100.000	-0.028	99.999	13.375	1.046	0.682	1785269517.875
24	100.000	-0.221	99.998	13.777	1.227	0.679	1785269518.142
25	100.000	0.059	100.002	11.582	1.512	0.686	1785269518.389
26	100.000	0.002	100.002	8.271	1.914	0.686	1785269518.597
27	100.000	-0.115	100.003	5.900	2.564	0.677	1785269518.809
28	100.000	0.048	100.004	6.258	3.443	0.664	1785269519.001
29	100.000	0.040	100.003	8.538	3.916	0.664	1785269519.189
30	100.000	0.139	100.001	9.858	4.209	0.664	1785269519.367
31	100.000	0.040	100.005	10.494	4.419	0.664	1785269519.546
32	100.000	0.320	99.997	9.246	4.619	0.664	1785269519.731
33	100.000	-0.027	100.003	7.224	4.982	0.664	1785269519.937
34	100.000	0.018	100.000	5.079	5.870	0.664	1785269520.155
35	100.000	0.177	100.000	7.031	0.397	0.671	1785269520.368
36	100.000	0.010	100.001	10.296	0.787	0.684	1785269520.564
37	100.000	0.211	100.004	12.547	0.988	0.679	1785269520.755
38	100.000	0.194	100.000	13.488	1.178	0.682	1785269520.946
39	100.000	-0.318	100.005	12.978	1.371	0.681	1785269521.147
40	100.000	-0.016	100.003	11.241	1.586	0.675	1785269521.313
41	100.000	0.007	100.000	8.190	1.940	0.686	1785269521.514
42	100.000	-0.079	100.002	5.981	2.579	0.693	1785269521.699
43	100.000	-0.086	100.002	6.357	3.340	0.664	1785269521.874
44	100.000	0.055	99.998	8.409	3.816	0.664	1785269522.073
45	100.000	-0.165	99.999	9.818	4.098	0.664	1785269522.227
46	100.000	0.267	100.000	10.627	4.327	0.664	1785269522.441
47	100.000	0.045	100.001	9.746	4.570	0.664	1785269522.636
48	100.000	0.096	100.003	7.157	4.877	0.664	1785269522.825
49	100.000	0.113	99.999	4.995	5.556	0.664	1785269523.021
50	100.000	0.011	100.000	5.947	0.185	0.673	1785269523.198
51	100.000	-0.130	99.997	9.154	0.638	0.687	1785269523.398
52	100.000	0.309	100.005	12.238	0.935	0.675	1785269523.586
53	100.000	0.008	99.996	13.450	1.111	0.685	1785269523.807
54	100.000	0.104	100.002	12.957	1.314	0.680	1785269524.011
55	100.000	0.100	100.001	11.160	1.539	0.683	1785269524.201
56	100.000	0.210	100.001	8.512	1.840	0.682	1785269524.393
57	100.000	-0.318	99.997	6.024	2.452	0.691	1785269524.576
58	100.000	0.030	100.002	6.166	3.304	0.664	1785269524.764
59	100.000	-0.249	99.998	7.778	3.817	0.664	1785269524.962
60	100.000	0.084	99.997	10.001	4.132	0.664	1785269525.174
61	100.000	0.094	99.999	10.703	4.347	0.664	1785269525.371
62	100.000	-0.037	100.003	9.250	4.553	0.664	1785269525.577
63	100.000	0.035	100.002	6.584	4.893	0.664	1785269525.771
64	100.000	0.184	99.999	4.676	5.738	0.664	1785269526.018
65	100.000	0.073	100.001	7.210	0.471	0.695	1785269526.187
66	100.000	0.102	100.001	10.415	0.801	0.675	1785269526.394
67	100.000	-0.195	100.000	12.684	0.994	0.685	1785269526.577
68	100.000	-0.052	100.002	13.505	1.173	0.684	1785269526.748
69	100.000	-0.236	100.003	13.383	1.333	0.681	1785269526.951
70	100.000	-0.026	99.999	10.582	1.610	0.681	1785269527.200
71	100.000	-0.006	99.999	7.573	2.013	0.680	1785269527.393
72	100.000	-0.077	99.999	5.813	2.651	0.667	1785269527.588
73	100.000	0.017	99.997	6.963	3.615	0.664	1785269527.815
74	100.000	-0.548	100.003	9.203	4.035	0.664	1785269528.001
75	100.000	0.045	100.001	10.561	4.280	0.664	1785269528.268
76	100.000	-0.108	99.999	9.867	4.509	0.664	1785269528.448
77	100.000	0.054	99.997	7.447	4.817	0.664	1785269528.642
78	100.000	0.281	99.997	4.846	5.419	0.664	1785269528.838
79	100.000	-0.388	99.996	5.729	0.235	0.674	1785269529.065
80	100.000	0.096	99.999	8.973	0.713	0.685	1785269529.268
81	100.000	0.151	100.002	12.393	0.964	0.682	1785269529.461
82	100.000	0.152	100.003	13.908	1.120	0.679	1785269529.614
83	100.000	0.059	100.000	13.268	1.292	0.681	1785269529.828
84	100.000	-0.279	100.001	11.854	1.511	0.681	1785269530.019
85	100.000	-0.061	100.002	9.046	1.814	0.686	1785269530.202
86	100.000	0.331	99.999	6.555	2.345	0.679	1785269530.410
87	100.000	-0.256	100.007	6.164	3.255	0.665	1785269530.604
88	100.000	-0.178	100.002	8.000	3.819	0.664	1785269530.818
89	100.000	-0.244	99.998	10.313	4.162	0.664	1785269530.991
90	100.000	-0.168	100.001	10.604	4.332	0.664	1785269531.205
91	100.000	-0.501	100.003	9.317	4.542	0.664	1785269531.394
92	100.000	-0.293	99.999	6.425	4.878	0.664	1785269531.620
93	100.000	-0.113	99.999	4.201	5.781	0.664	1785269531.809
94	100.000	-0.133	99.995	6.163	0.394	0.680	1785269531.993
95	100.000	-0.212	100.005	9.708	0.784	0.680	1785269532.190
96	100.000	0.351	99.996	12.476	1.002	0.682	1785269532.380
97	100.000	-0.081	100.003	13.737	1.167	0.683	1785269532.576
98	100.000	-0.361	100.000	13.442	1.352	0.684	1785269532.774
99	100.000	-0.040	99.998	11.832	1.520	0.683	1785269532.945
100	100.000	-0.429	99.999	8.945	1.809	0.685	1785269533.150
101	100.000	0.158	99.998	6.080	2.476	0.682	1785269533.367
102	100.000	-0.034	99.998	6.177	3.376	0.664	1785269533.533
103	100.000	0.264	100.003	7.835	3.874	0.664	1785269533.745
104	100.000	-0.196	99.998	10.238	4.192	0.664	1785269533.923
105	100.000	-0.509	99.999	10.335	4.380	0.664	1785269534.146
106	100.000	-0.300	99.999	9.667	4.591	0.664	1785269534.317
107	100.000	0.059	99.999	6.821	4.894	0.664	1785269534.511
108	100.000	0.117	100.000	4.725	5.633	0.664	1785269534.714
109	100.000	-0.592	99.998	6.107	0.307	0.676	1785269534.880
110	100.000	0.104	99.998	9.664	0.734	0.681	1785269535.072
111	100.000	-0.351	99.998	12.309	0.937	0.682	1785269535.276
112	100.000	-0.041	100.001	14.095	1.132	0.683	1785269535.455
113	100.000	-0.217	100.000	13.351	1.285	0.683	1785269535.633
114	100.000	-0.173	100.002	12.166	1.454	0.686	1785269535.809
115	100.000	-0.086	100.005	9.450	1.730	0.679	1785269536.003
116	100.000	0.171	100.001	6.693	2.191	0.681	1785269536.194
117	100.000	-0.136	100.003	5.514	2.951	0.693	1785269536.391
118	100.000	-0.121	99.999	7.366	3.734	0.664	1785269536.581
119	100.000	0.276	99.999	9.598	4.084	0.664	1785269536.770
120	100.000	0.148	100.000	10.492	4.318	0.664	1785269536.961
121	100.000	0.188	99.999	10.151	4.495	0.664	1785269537.140
122	100.000	-0.385	99.999	8.399	4.692	0.664	1785269537.344
123	100.000	0.237	100.002	5.307	5.245	0.664	1785269537.573
124	100.000	0.127	100.003	4.893	6.258	0.679	1785269537.771
125	100.000	0.509	99.997	8.106	0.658	0.673	1785269537.961
126	100.000	-0.096	99.999	11.655	0.908	0.682	1785269538.141
127	100.000	0.118	100.001	13.313	1.049	0.683	1785269538.333
128	100.000	-0.061	99.996	14.044	1.234	0.682	1785269538.527
129	100.000	-0.064	99.998	12.693	1.419	0.683	1785269538.687
130	100.000	-0.011	100.000	10.509	1.629	0.685	1785269538.872
131	100.000	-0.382	100.000	7.227	2.079	0.683	1785269539.084
132	100.000	-0.063	100.001	5.668	2.834	0.665	1785269539.254
133	100.000	-0.158	99.999	6.703	3.538	0.664	1785269539.457
134	100.000	-0.098	99.998	9.172	4.003	0.664	1785269539.640
135	100.000	0.145	99.996	10.694	4.229	0.664	1785269539.817
136	100.000	-0.086	100.003	10.800	4.406	0.664	1785269540.013
137	100.000	0.383	99.999	9.191	4.637	0.664	1785269540.197
138	100.000	0.194	99.999	6.563	4.942	0.664	1785269540.381
139	100.000	0.114	100.000	4.507	5.625	0.664	1785269540.580
140	100.000	0.229	99.999	6.116	0.375	0.687	1785269540.775
141	100.000	0.053	99.995	10.432	0.823	0.675	1785269541.034
142	100.000	0.110	100.001	13.752	1.071	0.681	1785269541.272
143	100.000	-0.049	99.997	14.232	1.250	0.681	1785269541.470
144	100.000	0.058	99.998	12.505	1.440	0.681	1785269541.700
145	100.000	0.034	100.004	9.317	1.768	0.687	1785269541.893
146	100.000	0.223	99.999	6.385	2.293	0.678	1785269542.078
147	100.000	0.307	100.002	5.618	3.179	0.670	1785269542.264
148	100.000	-0.228	100.000	7.240	3.786	0.664	1785269542.450
149	100.000	0.044	100.001	9.750	4.145	0.664	1785269542.693
150	100.000	-0.382	99.997	10.783	4.360	0.664	1785269542.891
151	100.000	0.128	100.002	9.711	4.562	0.664	1785269543.061
152	100.000	-0.063	100.000	7.195	4.854	0.664	1785269543.268
153	100.000	-0.202	100.002	4.771	5.567	0.664	1785269543.443
154	100.000	-0.038	99.999	5.531	0.221	0.664	1785269543.645
155	100.000	0.056	100.000	9.000	0.716	0.680	1785269543.819
156	100.000	-0.229	99.998	11.596	0.925	0.682	1785269543.989
157	100.000	-0.314	99.999	14.015	1.087	0.681	1785269544.207
158	100.000	0.008	99.999	14.445	1.251	0.681	1785269544.364
159	100.000	0.262	100.003	12.946	1.427	0.689	1785269544.589
160	100.000	-0.340	99.998	9.648	1.742	0.687	1785269544.830
161	100.000	-0.527	100.001	6.379	2.342	0.675	1785269545.031
162	100.000	0.378	100.000	6.103	3.326	0.664	1785269545.270
163	100.000	-0.083	100.000	8.709	3.972	0.664	1785269545.518
164	100.000	0.044	100.004	10.340	4.203	0.664	1785269545.697
165	100.000	-0.066	100.005	10.329	4.422	0.664	1785269545.893
166	100.000	-0.632	99.998	8.630	4.602	0.664	1785269546.054
167	100.000	-0.165	100.003	6.256	4.928	0.664	1785269546.249
168	100.000	0.227	99.999	4.238	5.745	0.664	1785269546.430
169	100.000	0.223	100.003	6.194	0.360	0.684	1785269546.613
170	100.000	0.177	99.999	9.879	0.750	0.688	1785269546.821
171	100.000	-0.016	100.002	13.370	0.980	0.681	1785269547.013
172	100.000	-0.230	100.001	14.373	1.113	0.683	1785269547.203
173	100.000	-0.179	100.001	14.215	1.282	0.684	1785269547.388
174	100.000	-0.516	100.001	12.469	1.467	0.678	1785269547.581
175	100.000	0.269	99.998	8.887	1.792	0.686	1785269547.803
176	100.000	-0.037	100.001	5.900	2.434	0.677	1785269548.005
177	100.000	0.020	99.996	6.108	3.340	0.664	1785269548.191
178	100.000	-0.083	99.998	7.894	3.807	0.664	1785269548.366
179	100.000	0.066	99.999	9.675	4.103	0.664	1785269548.566
180	100.000	0.167	100.002	10.367	4.311	0.664	1785269548.764
181	100.000	-0.154	100.002	9.277	4.538	0.664	1785269548.967
182	100.000	-0.350	100.004	6.460	4.900	0.664	1785269549.191
183	100.000	0.044	100.006	4.632	5.853	0.664	1785269549.354
184	100.000	0.253	100.002	6.556	0.452	0.668	1785269549.565
185	100.000	-0.117	100.003	10.340	0.809	0.683	1785269549.774
186	100.000	-0.122	100.000	13.015	0.999	0.680	1785269549.965
187	100.000	-0.155	100.000	14.669	1.143	0.683	1785269550.146
188	100.000	0.311	100.003	14.241	1.280	0.680	1785269550.337
189	100.000	-0.235	100.001	11.771	1.520	0.685	1785269550.581
190	100.000	-0.118	99.996	8.388	1.883	0.681	1785269550.750
191	100.000	-0.039	99.996	5.714	2.461	0.686	1785269550.956
192	100.000	-0.305	100.000	5.935	3.370	0.667	1785269551.139
193	100.000	-0.265	100.001	7.985	3.894	0.664	1785269551.339
194	100.000	0.138	99.999	9.976	4.153	0.664	1785269551.519
195	100.000	0.062	100.001	10.381	4.357	0.664	1785269551.726
196	100.000	-0.129	100.005	9.114	4.605	0.664	1785269551.913
197	100.000	0.135	100.001	6.273	4.947	0.664	1785269552.096
198	100.000	0.203	99.997	4.445	5.680	0.664	1785269552.272
199	100.000	0.065	100.001	5.960	0.281	0.675	1785269552.465
200	100.000	0.057	100.002	10.102	0.746	0.674	1785269552.676
201	100.000	0.035	99.996	13.257	0.952	0.683	1785269552.894
202	100.000	-0.291	100.001	14.741	1.123	0.682	1785269553.078
203	100.000	-0.032	99.999	14.282	1.259	0.681	1785269553.280
204	100.000	0.075	100.002	11.953	1.492	0.686	1785269553.474
205	100.000	-0.034	99.998	9.051	1.779	0.684	1785269553.666
206	100.000	0.144	99.997	5.874	2.529	0.681	1785269553.902
207	100.000	0.040	100.002	6.358	3.425	0.664	1785269554.076
208	100.000	0.053	99.999	8.521	3.910	0.664	1785269554.256
209	100.000	0.169	100.000	10.134	4.163	0.664	1785269554.453
210	100.000	-0.338	100.002	10.218	4.347	0.664	1785269554.635
