Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	-0.126	100.004	3.276	5.840	0.664	1783972472.935
2	100.000	0.106	100.003	3.371	5.819	0.664	1783972473.119
3	100.000	-0.228	100.004	3.202	5.897	0.664	1783972473.284
4	100.000	0.033	100.002	3.267	5.765	0.664	1783972473.477
5	100.000	0.023	99.999	3.381	5.806	0.664	1783972473.667
6	100.000	0.233	99.999	3.202	5.937	0.664	1783972473.862
7	100.000	-0.118	100.002	3.329	5.849	0.664	1783972474.034
8	100.000	0.178	100.003	3.256	5.771	0.664	1783972474.261
9	100.000	-0.055	99.998	3.175	5.847	0.664	1783972474.443
10	100.000	-0.281	100.003	3.319	5.836	0.664	1783972474.632
11	100.000	-0.093	99.996	3.168	5.816	0.664	1783972474.828
12	100.000	0.157	100.004	3.190	5.814	0.664	1783972475.012
13	100.000	-0.015	99.997	3.239	5.835	0.664	1783972475.213
14	100.000	0.158	99.997	3.372	5.840	0.664	1783972475.439
15	100.000	0.014	99.999	3.373	5.861	0.664	1783972475.628
16	100.000	0.136	99.998	3.553	5.793	0.664	1783972475.820
17	100.000	-0.048	100.003	3.231	5.850	0.664	1783972476.006
18	100.000	0.211	99.999	3.304	5.926	0.664	1783972476.182
19	100.000	0.341	100.002	3.315	5.847	0.664	1783972476.395
20	100.000	-0.120	99.998	3.474	5.873	0.664	1783972476.565
21	100.000	0.354	100.000	3.434	5.876	0.664	1783972476.764
22	100.000	-0.119	99.999	3.400	5.886	0.664	1783972476.962
23	100.000	0.258	99.999	3.367	5.878	0.664	1783972477.189
24	100.000	-0.009	100.001	3.537	5.815	0.664	1783972477.384
25	100.000	-0.380	99.996	3.423	5.844	0.664	1783972477.569
26	100.000	0.181	99.999	3.401	5.936	0.664	1783972477.763
27	100.000	-0.254	99.999	3.432	5.926	0.664	1783972477.949
28	100.000	0.263	99.998	3.357	5.880	0.664	1783972478.133
29	100.000	0.101	100.001	3.485	5.883	0.664	1783972478.324
30	100.000	-0.297	99.997	3.258	5.905	0.664	1783972478.525
31	100.000	0.036	99.996	3.209	5.892	0.664	1783972478.772
32	100.000	-0.234	99.999	3.076	5.855	0.664	1783972479.005
33	100.000	-0.103	99.997	3.081	5.913	0.664	1783972479.193
34	100.000	-0.008	100.001	3.201	5.866	0.664	1783972479.384
35	100.000	0.058	99.999	3.033	5.882	0.664	1783972479.558
36	100.000	0.246	99.998	3.064	5.851	0.664	1783972479.753
37	100.000	0.064	99.999	3.203	5.900	0.664	1783972479.923
38	100.000	-0.316	100.002	3.115	5.871	0.664	1783972480.121
39	100.000	-0.066	100.002	3.100	5.774	0.664	1783972480.306
40	100.000	0.065	99.998	3.071	5.916	0.664	1783972480.478
41	100.000	0.031	100.001	3.180	5.844	0.664	1783972480.705
42	100.000	0.063	100.001	3.262	5.708	0.664	1783972480.884
43	100.000	-0.049	100.000	3.233	5.766	0.664	1783972481.067
44	100.000	0.284	100.002	3.336	5.716	0.664	1783972481.253
45	100.000	0.030	100.003	3.180	5.843	0.664	1783972481.443
46	100.000	-0.134	99.999	3.167	5.893	0.664	1783972481.651
47	100.000	-0.252	99.999	3.243	5.889	0.664	1783972481.824
48	100.000	-0.070	100.001	3.421	5.804	0.664	1783972482.005
49	100.000	-0.057	99.999	3.376	5.754	0.664	1783972482.182
50	100.000	0.212	100.004	3.524	5.769	0.664	1783972482.357
51	100.000	-0.192	99.997	3.505	5.793	0.664	1783972482.554
52	100.000	-0.023	99.997	3.591	5.758	0.664	1783972482.728
53	100.000	0.300	99.998	3.302	5.914	0.664	1783972482.949
54	100.000	-0.200	100.004	3.504	5.855	0.664	1783972483.129
55	100.000	0.107	100.002	3.423	5.835	0.664	1783972483.314
56	100.000	0.198	100.001	3.719	5.828	0.664	1783972483.486
57	100.000	0.269	100.003	3.548	5.856	0.664	1783972483.693
58	100.000	-0.005	100.001	3.602	5.864	0.664	1783972483.900
59	100.000	-0.020	100.000	3.442	5.886	0.664	1783972484.117
60	100.000	-0.068	100.001	3.663	5.903	0.664	1783972484.306
61	100.000	-0.178	100.000	3.657	5.888	0.664	1783972484.523
62	100.000	-0.072	99.999	3.701	5.865	0.664	1783972484.702
63	100.000	-0.040	99.999	3.570	5.807	0.664	1783972484.887
64	100.000	-0.002	100.001	3.411	5.885	0.664	1783972485.066
65	100.000	-0.106	100.000	3.491	5.827	0.664	1783972485.268
66	100.000	0.001	99.998	3.404	5.938	0.664	1783972485.439
67	100.000	0.086	100.001	3.369	5.982	0.664	1783972485.644
