Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	200.000	0.022	199.998	0.281	5.405	1.328	1782941703.608
2	200.000	-0.011	200.000	0.300	0.632	1.328	1782941703.895
3	200.000	-0.007	199.998	0.328	4.958	1.328	1782941704.137
4	200.000	-0.013	200.006	0.474	4.503	1.328	1782941704.387
5	200.000	0.031	199.998	0.390	3.575	1.328	1782941704.659
6	200.000	-0.029	200.003	0.417	5.750	1.328	1782941704.920
7	200.000	0.020	199.997	0.254	4.418	1.328	1782941705.239
8	200.000	0.034	199.998	0.151	3.883	1.328	1782941705.561
9	200.000	-0.031	199.997	1.758	3.149	1.328	1782941705.854
10	200.000	0.033	200.001	2.669	3.681	1.328	1782941706.120
11	200.000	-0.048	199.999	2.644	3.694	1.328	1782941706.435
12	200.000	-0.001	200.003	2.625	3.646	1.328	1782941706.712
13	200.000	-0.038	199.999	2.697	3.671	1.328	1782941706.980
14	200.000	0.001	200.002	2.642	3.699	1.328	1782941707.204
15	200.000	-0.017	200.001	2.619	3.688	1.328	1782941707.483
16	200.000	-0.011	199.999	2.684	3.622	1.328	1782941707.731
17	200.000	0.010	199.996	2.578	3.480	1.328	1782941708.054
18	200.000	0.003	200.004	2.509	1.218	1.328	1782941708.295
19	200.000	-0.019	200.002	2.614	4.754	1.328	1782941708.618
20	200.000	-0.042	200.001	2.544	2.738	1.328	1782941708.873
21	200.000	0.003	200.000	2.753	6.264	1.328	1782941709.152
22	200.000	0.010	200.001	2.868	4.169	1.328	1782941709.400
23	200.000	0.003	200.000	2.446	2.124	1.328	1782941709.665
24	200.000	0.003	200.003	2.918	5.966	1.328	1782941709.905
25	200.000	0.012	199.998	2.601	3.960	1.328	1782941710.156
26	200.000	0.027	200.002	2.483	2.136	1.328	1782941710.422
27	200.000	-0.026	200.001	2.822	5.807	1.328	1782941710.690
28	200.000	0.004	200.000	2.445	3.666	1.328	1782941710.996
29	200.000	0.045	200.000	2.385	1.061	1.328	1782941711.300
30	200.000	0.037	199.994	2.713	4.572	1.328	1782941711.611
31	200.000	-0.028	199.998	2.513	2.420	1.328	1782941711.893
32	200.000	-0.010	199.996	2.554	5.746	1.328	1782941712.208
33	200.000	-0.022	200.000	2.586	3.336	1.328	1782941712.521
34	200.000	0.031	199.998	2.557	0.462	1.328	1782941712.812
35	200.000	-0.005	199.999	2.789	4.251	1.328	1782941713.106
36	200.000	0.059	200.000	2.476	2.157	1.328	1782941713.378
37	200.000	-0.001	200.000	2.763	5.635	1.328	1782941713.686
38	200.000	-0.041	200.003	2.618	3.530	1.328	1782941713.935
39	200.000	-0.020	200.000	2.503	1.324	1.328	1782941714.203
