Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	200.000	-0.001	200.003	0.340	2.691	1.328	1783012345.496
2	200.000	-0.075	200.004	0.075	0.677	1.328	1783012345.769
3	200.000	0.003	199.998	0.535	4.072	1.328	1783012346.038
4	200.000	-0.003	199.997	0.421	2.944	1.328	1783012346.297
5	200.000	0.011	199.999	0.337	3.804	1.328	1783012346.559
6	200.000	-0.075	200.001	0.244	2.702	1.328	1783012346.813
7	200.000	0.018	199.999	0.067	2.911	1.328	1783012347.052
8	200.000	0.014	200.007	0.275	3.421	1.328	1783012347.300
9	200.000	0.016	199.997	0.238	2.601	1.328	1783012347.563
10	200.000	0.026	200.003	0.114	2.177	1.328	1783012347.796
11	200.000	-0.033	200.000	0.251	2.525	1.328	1783012348.037
12	200.000	0.029	199.998	0.240	2.570	1.328	1783012348.300
13	200.000	-0.022	199.998	0.365	3.764	1.328	1783012348.550
14	200.000	0.001	199.998	0.400	2.773	1.328	1783012348.812
15	200.000	0.008	199.998	0.382	3.665	1.328	1783012349.066
16	200.000	-0.020	199.999	0.419	2.817	1.328	1783012349.297
17	200.000	0.011	200.002	0.217	2.646	1.328	1783012349.550
18	200.000	-0.004	200.001	0.431	3.027	1.328	1783012349.797
19	200.000	0.052	199.997	0.385	2.847	1.328	1783012350.060
20	200.000	-0.028	200.004	0.573	3.881	1.328	1783012350.288
21	200.000	-0.016	200.007	0.511	0.843	1.328	1783012350.554
22	200.000	-0.031	200.001	2.260	1.533	1.328	1783012350.808
23	200.000	0.004	199.999	2.358	1.424	1.328	1783012351.052
24	200.000	0.048	199.999	2.222	1.426	1.328	1783012351.300
25	200.000	-0.011	199.998	2.322	1.482	1.328	1783012351.548
26	200.000	0.013	199.998	2.192	1.556	1.328	1783012351.792
27	200.000	0.029	200.001	2.238	1.620	1.328	1783012352.047
28	200.000	-0.004	199.997	2.225	1.575	1.328	1783012352.294
29	200.000	-0.007	200.002	2.162	1.546	1.328	1783012352.547
30	200.000	0.050	200.000	2.375	1.472	1.328	1783012352.790
31	200.000	-0.060	200.004	1.874	0.415	1.328	1783012353.051
32	200.000	0.006	199.999	2.007	5.545	1.328	1783012353.279
33	200.000	-0.032	199.999	2.504	4.473	1.328	1783012353.554
34	200.000	0.018	199.999	2.893	3.444	1.328	1783012353.777
35	200.000	0.005	199.999	2.661	2.486	1.328	1783012354.050
36	200.000	0.005	200.002	2.207	1.361	1.328	1783012354.286
37	200.000	-0.025	200.003	1.747	0.196	1.328	1783012354.551
38	200.000	-0.032	199.995	2.050	5.328	1.328	1783012354.804
39	200.000	0.029	200.003	2.582	4.190	1.328	1783012355.069
40	200.000	-0.038	199.998	2.866	3.122	1.328	1783012355.323
41	200.000	-0.011	199.999	2.618	2.110	1.328	1783012355.556
42	200.000	0.028	199.999	2.015	1.099	1.328	1783012355.806
43	200.000	0.021	199.996	1.856	0.005	1.328	1783012356.053
44	200.000	0.038	199.996	2.167	5.345	1.328	1783012356.312
45	200.000	0.049	199.999	2.741	4.114	1.328	1783012356.535
46	200.000	0.037	200.000	2.946	3.209	1.328	1783012356.813
47	200.000	0.002	200.000	2.575	1.960	1.328	1783012357.052
48	200.000	0.025	200.000	2.002	1.079	1.328	1783012357.314
49	200.000	0.036	199.998	1.982	0.033	1.328	1783012357.549
50	200.000	-0.000	200.002	2.143	5.251	1.328	1783012357.783
51	200.000	0.026	200.002	2.666	4.266	1.328	1783012358.051
