Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	0.012	100.000	4.405	5.701	0.664	1783967046.964
2	100.000	0.058	100.002	4.665	5.765	0.664	1783967047.144
3	100.000	0.447	99.999	4.598	5.829	0.664	1783967047.353
4	100.000	0.081	100.003	4.716	5.855	0.664	1783967047.534
5	100.000	-0.154	100.000	4.630	5.910	0.664	1783967047.713
6	100.000	-0.317	99.997	4.766	5.950	0.664	1783967047.915
7	100.000	0.012	100.000	4.713	5.978	0.664	1783967048.075
8	100.000	-0.155	99.995	4.622	5.970	0.664	1783967048.274
9	100.000	-0.441	100.000	4.569	5.953	0.664	1783967048.456
10	100.000	0.119	99.997	4.450	6.022	0.664	1783967048.640
11	100.000	0.216	100.000	4.433	5.921	0.664	1783967048.849
12	100.000	0.165	99.999	4.283	5.900	0.664	1783967049.040
13	100.000	-0.537	100.000	3.932	5.788	0.664	1783967049.225
14	100.000	-0.112	100.002	4.074	5.676	0.664	1783967049.407
15	100.000	-0.198	100.002	3.723	5.669	0.664	1783967049.586
16	100.000	-0.183	100.000	3.791	5.558	0.664	1783967049.774
17	100.000	-0.049	100.001	3.691	5.423	0.664	1783967049.969
18	100.000	0.359	100.001	3.637	5.372	0.664	1783967050.154
19	100.000	-0.162	99.997	3.549	5.332	0.664	1783967050.350
20	100.000	0.137	99.997	3.646	5.255	0.664	1783967050.516
21	100.000	-0.057	100.000	3.875	5.141	0.664	1783967050.727
22	100.000	0.045	100.000	4.028	5.069	0.664	1783967050.953
23	100.000	0.095	99.999	3.794	5.056	0.664	1783967051.162
24	100.000	0.020	99.995	4.095	5.021	0.664	1783967051.339
25	100.000	0.148	100.000	4.071	4.986	0.664	1783967051.530
26	100.000	0.212	100.005	4.009	4.989	0.664	1783967051.734
27	100.000	0.119	99.999	4.331	4.995	0.664	1783967051.899
28	100.000	-0.061	100.004	4.246	4.981	0.664	1783967052.090
29	100.000	-0.075	100.000	4.009	5.033	0.664	1783967052.264
30	100.000	-0.047	100.002	4.361	5.038	0.664	1783967052.461
31	100.000	-0.018	100.001	4.381	5.090	0.664	1783967052.729
32	100.000	0.123	99.999	4.194	5.168	0.664	1783967052.910
33	100.000	0.034	100.003	4.545	5.192	0.664	1783967053.096
34	100.000	-0.068	99.998	4.272	5.245	0.664	1783967053.274
35	100.000	-0.035	100.001	4.193	5.315	0.664	1783967053.479
36	100.000	-0.028	100.001	4.245	5.432	0.664	1783967053.654
37	100.000	0.064	100.004	4.209	5.540	0.664	1783967053.823
38	100.000	-0.112	99.995	4.399	5.523	0.664	1783967054.025
39	100.000	-0.138	100.001	4.414	5.628	0.664	1783967054.203
40	100.000	-0.027	99.998	4.453	5.678	0.664	1783967054.401
41	100.000	0.097	99.999	4.724	5.715	0.664	1783967054.598
42	100.000	0.106	100.001	4.599	5.797	0.664	1783967054.784
43	100.000	-0.057	99.998	4.858	5.775	0.664	1783967054.985
44	100.000	-0.194	100.001	4.728	5.888	0.664	1783967055.153
45	100.000	0.046	99.998	4.667	5.914	0.664	1783967055.355
46	100.000	0.013	99.997	4.550	5.867	0.664	1783967055.521
