Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	300.000	0.008	300.001	0.376	4.026	1.991	1783018914.100
2	300.000	-0.002	300.003	0.313	4.102	1.991	1783018914.360
3	300.000	-0.017	300.002	0.297	3.465	1.991	1783018914.606
4	300.000	-0.030	299.996	0.184	3.772	1.991	1783018914.871
5	300.000	-0.022	299.997	0.294	4.607	1.991	1783018915.113
6	300.000	-0.031	299.999	0.462	4.288	1.991	1783018915.342
7	300.000	0.025	300.003	0.308	4.109	1.991	1783018915.608
8	300.000	-0.018	300.000	0.306	5.024	1.991	1783018915.857
9	300.000	0.004	300.003	0.894	3.218	1.991	1783018916.130
10	300.000	-0.017	300.000	0.857	3.157	1.991	1783018916.429
11	300.000	0.043	300.003	0.963	3.302	1.991	1783018916.667
12	300.000	-0.034	300.002	0.875	3.472	1.991	1783018916.917
13	300.000	-0.031	299.996	0.860	3.317	1.991	1783018917.182
14	300.000	0.015	300.001	0.892	3.250	1.991	1783018917.414
15	300.000	0.004	300.002	0.887	3.260	1.991	1783018917.669
16	300.000	0.005	299.999	0.888	3.499	1.991	1783018917.912
17	300.000	-0.019	299.999	1.009	3.095	1.991	1783018918.157
18	300.000	0.003	300.000	0.709	5.420	1.991	1783018918.414
19	300.000	0.023	299.999	1.237	5.628	1.991	1783018918.655
20	300.000	0.021	300.003	0.177	4.592	1.991	1783018918.929
21	300.000	-0.006	300.003	1.452	2.843	1.991	1783018919.177
22	300.000	0.030	300.000	0.877	3.271	1.991	1783018919.449
23	300.000	-0.020	300.001	1.041	5.322	1.991	1783018919.686
24	300.000	-0.030	300.003	1.100	5.744	1.991	1783018919.956
25	300.000	-0.016	300.003	0.445	2.799	1.991	1783018920.261
26	300.000	0.006	299.997	1.478	3.024	1.991	1783018920.500
27	300.000	0.004	300.004	0.517	3.714	1.991	1783018920.738
28	300.000	0.014	299.998	1.303	5.556	1.991	1783018920.991
29	300.000	0.016	300.003	0.807	5.540	1.991	1783018921.243
30	300.000	-0.053	300.004	0.820	2.582	1.991	1783018921.505
31	300.000	0.049	299.998	1.414	2.776	1.991	1783018921.757
32	300.000	-0.007	300.001	0.408	4.241	1.991	1783018922.008
33	300.000	-0.006	300.001	1.289	5.477	1.991	1783018922.247
34	300.000	-0.032	300.000	0.759	5.601	1.991	1783018922.467
35	300.000	-0.005	300.000	0.802	3.294	1.991	1783018922.697
36	300.000	0.034	300.000	1.489	2.811	1.991	1783018922.954
37	300.000	-0.012	299.998	0.544	3.591	1.991	1783018923.173
38	300.000	-0.049	299.997	1.114	5.527	1.991	1783018923.445
39	300.000	0.020	299.997	1.029	5.766	1.991	1783018923.680
40	300.000	-0.012	300.000	0.637	2.628	1.991	1783018923.949
41	300.000	-0.024	300.000	1.484	2.896	1.991	1783018924.207
42	300.000	0.030	300.003	0.503	3.947	1.991	1783018924.442
43	300.000	0.013	299.996	1.127	5.682	1.991	1783018924.699
44	300.000	-0.007	300.000	0.872	5.822	1.991	1783018924.950
45	300.000	-0.043	300.003	0.788	2.628	1.991	1783018925.208
46	300.000	0.004	299.998	1.407	3.035	1.991	1783018925.433
47	300.000	-0.014	300.001	0.506	4.029	1.991	1783018925.688
48	300.000	-0.003	300.000	1.297	5.762	1.991	1783018925.941
49	300.000	-0.009	300.004	0.876	5.635	1.991	1783018926.189
50	300.000	0.010	300.001	0.809	2.608	1.991	1783018926.438
51	300.000	0.056	300.000	1.470	2.916	1.991	1783018926.700
52	300.000	-0.007	300.003	0.487	4.475	1.991	1783018926.948
53	300.000	0.009	299.997	1.266	5.657	1.991	1783018927.178
54	300.000	-0.007	300.001	0.793	5.687	1.991	1783018927.436
55	300.000	-0.048	300.002	0.968	2.685	1.991	1783018927.684
56	300.000	-0.026	300.004	1.340	2.855	1.991	1783018927.948
57	300.000	0.005	300.002	0.454	4.652	1.991	1783018928.189
58	300.000	0.017	300.000	1.262	5.717	1.991	1783018928.456
59	300.000	-0.011	300.002	0.664	5.495	1.991	1783018928.690
60	300.000	-0.004	300.001	0.905	2.647	1.991	1783018928.912
61	300.000	-0.025	299.996	1.451	2.870	1.991	1783018929.198
62	300.000	0.003	300.002	0.544	4.710	1.991	1783018929.423
63	300.000	0.002	299.997	1.250	5.817	1.991	1783018929.685
64	300.000	0.020	300.000	0.598	5.628	1.991	1783018929.923
65	300.000	-0.060	300.001	0.992	2.745	1.991	1783018930.192
66	300.000	-0.034	299.999	1.382	2.958	1.991	1783018930.452
67	300.000	0.012	299.999	0.457	4.834	1.991	1783018930.698
68	300.000	0.016	299.997	1.217	5.560	1.991	1783018930.932
69	300.000	-0.020	300.000	0.392	5.805	1.991	1783018931.191
