Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	300.000	0.014	299.995	0.121	2.052	1.991	1783021556.814
2	300.000	0.020	300.001	0.220	4.431	1.991	1783021557.067
3	300.000	-0.050	300.002	0.023	1.449	1.991	1783021557.301
4	300.000	-0.001	299.999	0.175	4.743	1.991	1783021557.551
5	300.000	-0.020	300.002	0.025	3.269	1.991	1783021557.796
6	300.000	0.042	300.001	0.133	4.847	1.991	1783021558.054
7	300.000	-0.040	300.001	0.040	0.514	1.991	1783021558.308
8	300.000	0.026	299.999	0.111	0.454	1.991	1783021558.538
9	300.000	-0.010	300.003	0.026	5.792	1.991	1783021558.799
10	300.000	-0.016	300.003	0.069	1.399	1.991	1783021559.054
11	300.000	0.003	300.002	0.057	5.656	1.991	1783021559.315
12	300.000	0.032	299.999	0.192	4.391	1.991	1783021559.553
13	300.000	-0.013	300.002	0.039	1.693	1.991	1783021559.815
14	300.000	0.016	299.999	0.081	5.963	1.991	1783021560.056
15	300.000	0.022	300.005	0.055	6.189	1.991	1783021560.311
16	300.000	-0.007	299.996	0.025	0.066	1.991	1783021560.558
17	300.000	-0.008	300.001	0.186	3.779	1.991	1783021560.815
18	300.000	-0.002	299.999	0.116	0.724	1.991	1783021561.063
19	300.000	-0.029	300.001	0.116	5.887	1.991	1783021561.345
20	300.000	-0.035	299.999	0.099	4.683	1.991	1783021561.626
21	300.000	-0.025	300.000	0.086	0.058	1.991	1783021561.878
22	300.000	0.056	299.999	0.004	4.915	1.991	1783021562.132
23	300.000	-0.022	300.001	0.011	2.511	1.991	1783021562.420
24	300.000	0.060	300.002	0.018	2.529	1.991	1783021562.653
25	300.000	0.051	300.000	0.062	4.273	1.991	1783021562.922
26	300.000	0.068	300.002	0.083	5.174	1.991	1783021563.156
27	300.000	-0.015	299.997	0.020	3.590	1.991	1783021563.417
28	300.000	0.039	300.001	0.096	1.386	1.991	1783021563.670
29	300.000	0.015	299.999	0.102	4.363	1.991	1783021563.916
30	300.000	0.042	300.001	0.078	4.714	1.991	1783021564.140
31	300.000	0.005	299.999	0.017	3.835	1.991	1783021564.381
32	300.000	0.016	299.998	0.087	1.233	1.991	1783021564.652
33	300.000	-0.001	300.002	0.057	5.318	1.991	1783021564.902
34	300.000	-0.016	299.999	0.034	4.117	1.991	1783021565.148
35	300.000	0.018	300.001	0.165	4.227	1.991	1783021565.398
36	300.000	-0.023	300.002	0.159	4.393	1.991	1783021565.665
37	300.000	0.039	300.001	0.102	3.093	1.991	1783021565.906
38	300.000	-0.031	299.999	0.166	5.254	1.991	1783021566.132
39	300.000	-0.036	300.001	0.141	5.651	1.991	1783021566.389
40	300.000	0.061	299.998	0.055	0.957	1.991	1783021566.643
41	300.000	0.027	300.002	0.148	5.292	1.991	1783021566.912
42	300.000	-0.016	300.001	0.290	4.333	1.991	1783021567.169
43	300.000	0.034	299.999	0.106	1.069	1.991	1783021567.412
44	300.000	0.000	300.005	0.082	3.636	1.991	1783021567.661
45	300.000	-0.023	299.998	0.074	1.325	1.991	1783021567.893
46	300.000	0.018	300.000	0.090	5.013	1.991	1783021568.165
47	300.000	-0.034	300.000	0.142	3.864	1.991	1783021568.388
48	300.000	0.034	300.000	0.118	1.275	1.991	1783021568.652
49	300.000	-0.012	299.995	0.126	3.806	1.991	1783021568.898
50	300.000	0.036	300.000	0.092	4.090	1.991	1783021569.164
51	300.000	-0.014	300.001	0.106	0.172	1.991	1783021569.416
52	300.000	0.046	300.000	0.089	5.565	1.991	1783021569.642
53	300.000	0.005	299.997	0.120	3.736	1.991	1783021569.883
54	300.000	0.002	299.997	0.103	4.329	1.991	1783021570.131
55	300.000	0.015	299.997	0.068	4.274	1.991	1783021570.401
56	300.000	0.001	299.999	0.106	5.489	1.991	1783021570.633
57	300.000	-0.027	300.001	0.079	4.359	1.991	1783021570.895
58	300.000	-0.013	300.001	0.241	5.254	1.991	1783021571.145
59	300.000	-0.009	300.000	0.107	3.952	1.991	1783021571.406
60	300.000	0.010	300.000	0.069	1.983	1.991	1783021571.654
61	300.000	0.036	300.000	0.042	2.858	1.991	1783021571.882
62	300.000	-0.019	300.002	0.079	1.163	1.991	1783021572.150
63	300.000	0.003	300.001	0.071	3.810	1.991	1783021572.401
64	300.000	0.013	300.001	0.039	3.578	1.991	1783021572.685
65	300.000	-0.079	300.000	0.138	2.828	1.991	1783021572.941
66	300.000	-0.020	300.002	0.049	2.250	1.991	1783021573.202
67	300.000	-0.014	300.001	0.234	0.658	1.991	1783021573.458
68	300.000	-0.027	299.999	0.211	3.604	1.991	1783021573.769
69	300.000	-0.015	299.998	0.053	5.086	1.991	1783021574.015
70	300.000	-0.003	299.997	0.070	4.781	1.991	1783021574.265
71	300.000	-0.006	300.001	0.066	5.686	1.991	1783021574.531
72	300.000	-0.020	299.999	0.107	3.443	1.991	1783021574.768
73	300.000	0.016	300.001	0.120	4.178	1.991	1783021575.005
74	300.000	0.020	300.001	0.096	5.106	1.991	1783021575.292
75	300.000	-0.035	300.002	0.089	4.491	1.991	1783021575.586
76	300.000	-0.020	299.998	0.082	2.848	1.991	1783021575.835
77	300.000	-0.045	299.999	0.073	5.820	1.991	1783021576.069
78	300.000	0.028	299.997	0.091	3.460	1.991	1783021576.333
79	300.000	0.023	300.000	0.018	4.127	1.991	1783021576.562
80	300.000	-0.012	300.001	0.186	5.046	1.991	1783021576.829
81	300.000	0.001	299.999	0.056	1.342	1.991	1783021577.078
82	300.000	0.019	300.001	0.097	4.077	1.991	1783021577.338
83	300.000	0.054	300.000	0.103	4.494	1.991	1783021577.597
84	300.000	-0.011	299.999	0.103	0.631	1.991	1783021577.841
85	300.000	0.029	299.997	0.270	3.950	1.991	1783021578.075
86	300.000	-0.001	300.004	0.035	0.610	1.991	1783021578.340
87	300.000	-0.036	300.001	0.029	1.360	1.991	1783021578.584
88	300.000	-0.031	300.001	0.073	3.226	1.991	1783021578.805
89	300.000	-0.022	300.000	0.048	4.982	1.991	1783021579.076
90	300.000	0.018	300.000	0.060	5.569	1.991	1783021579.332
91	300.000	-0.010	300.003	0.056	3.563	1.991	1783021579.580
92	300.000	0.027	299.997	0.133	5.312	1.991	1783021579.836
93	300.000	0.089	300.001	0.121	4.413	1.991	1783021580.063
94	300.000	-0.019	299.995	0.132	1.525	1.991	1783021580.321
95	300.000	0.068	300.001	0.099	2.617	1.991	1783021580.571
96	300.000	0.031	299.999	0.066	2.825	1.991	1783021580.836
97	300.000	-0.045	299.999	0.066	1.837	1.991	1783021581.059
98	300.000	-0.065	300.002	0.040	4.555	1.991	1783021581.324
99	300.000	-0.010	300.000	0.088	1.904	1.991	1783021581.574
100	300.000	0.049	299.997	0.159	4.392	1.991	1783021581.825
101	300.000	0.023	299.998	0.110	2.837	1.991	1783021582.077
102	300.000	0.068	300.001	0.228	0.792	1.991	1783021582.330
103	300.000	-0.040	300.001	0.061	3.016	1.991	1783021582.575
104	300.000	-0.017	300.002	0.129	3.765	1.991	1783021582.813
105	300.000	-0.027	300.000	0.107	4.493	1.991	1783021583.070
106	300.000	-0.006	300.001	0.140	4.593	1.991	1783021583.323
107	300.000	-0.055	299.998	0.133	1.492	1.991	1783021583.568
108	300.000	-0.009	300.000	0.082	5.208	1.991	1783021583.827
109	300.000	0.039	299.998	0.069	4.268	1.991	1783021584.056
110	300.000	-0.026	300.003	0.002	1.778	1.991	1783021584.329
111	300.000	-0.061	300.002	0.031	1.661	1.991	1783021584.541
112	300.000	-0.045	299.999	0.035	5.467	1.991	1783021584.842
113	300.000	-0.013	300.001	0.067	1.092	1.991	1783021585.063
114	300.000	0.040	300.001	0.069	3.814	1.991	1783021585.325
115	300.000	0.031	300.002	0.008	2.967	1.991	1783021585.576
116	300.000	0.014	300.000	0.098	1.977	1.991	1783021585.846
117	300.000	0.061	299.999	0.092	5.176	1.991	1783021586.099
118	300.000	-0.032	300.002	0.113	4.385	1.991	1783021586.359
119	300.000	-0.023	299.999	0.111	3.520	1.991	1783021586.595
120	300.000	0.016	299.998	0.081	3.945	1.991	1783021586.888
121	300.000	0.007	299.998	0.136	4.752	1.991	1783021587.138
122	300.000	-0.009	300.002	0.205	1.607	1.991	1783021587.416
123	300.000	-0.044	299.999	0.037	2.460	1.991	1783021587.662
124	300.000	0.019	299.997	0.014	5.644	1.991	1783021587.898
125	300.000	0.049	300.002	0.125	4.476	1.991	1783021588.133
126	300.000	-0.027	300.002	0.075	4.818	1.991	1783021588.374
127	300.000	-0.009	300.004	0.078	0.777	1.991	1783021588.651
128	300.000	0.040	299.998	0.072	1.139	1.991	1783021588.883
129	300.000	0.012	299.997	0.152	0.847	1.991	1783021589.182
130	300.000	0.024	300.002	0.142	4.111	1.991	1783021589.467
131	300.000	0.020	300.000	0.147	5.299	1.991	1783021589.718
132	300.000	-0.038	299.999	0.048	4.666	1.991	1783021589.990
133	300.000	-0.002	300.001	0.115	3.978	1.991	1783021590.231
134	300.000	0.020	299.999	0.114	1.797	1.991	1783021590.455
135	300.000	-0.001	300.001	0.054	5.680	1.991	1783021590.715
136	300.000	-0.076	300.001	0.216	1.098	1.991	1783021590.962
137	300.000	-0.048	299.995	0.097	3.801	1.991	1783021591.225
138	300.000	0.044	300.001	0.115	3.457	1.991	1783021591.455
139	300.000	0.018	300.003	0.019	2.987	1.991	1783021591.724
140	300.000	0.025	299.997	0.088	1.292	1.991	1783021591.978
141	300.000	-0.007	300.004	0.032	3.330	1.991	1783021592.202
142	300.000	0.072	300.006	0.039	1.798	1.991	1783021592.465
143	300.000	-0.030	299.999	0.015	3.415	1.991	1783021592.701
144	300.000	0.004	299.996	0.153	3.486	1.991	1783021592.957
145	300.000	0.008	300.002	0.065	2.696	1.991	1783021593.203
146	300.000	0.032	299.998	0.062	3.506	1.991	1783021593.467
147	300.000	0.018	299.997	0.069	5.283	1.991	1783021593.708
148	300.000	0.013	300.000	0.123	3.277	1.991	1783021593.964
149	300.000	-0.021	299.997	0.182	4.546	1.991	1783021594.223
150	300.000	0.002	299.998	0.013	3.793	1.991	1783021594.450
151	300.000	-0.045	299.999	0.058	5.555	1.991	1783021594.716
152	300.000	-0.032	300.004	0.082	0.482	1.991	1783021594.956
153	300.000	0.035	300.000	0.058	2.404	1.991	1783021595.228
154	300.000	0.024	299.999	0.114	1.114	1.991	1783021595.478
155	300.000	0.003	299.999	0.080	2.990	1.991	1783021595.718
156	300.000	-0.011	300.002	0.114	1.386	1.991	1783021595.971
157	300.000	-0.044	300.000	0.051	5.018	1.991	1783021596.204
158	300.000	-0.034	299.998	0.011	3.912	1.991	1783021596.470
159	300.000	0.000	300.004	0.081	4.073	1.991	1783021596.694
160	300.000	0.020	299.998	0.183	1.399	1.991	1783021596.957
161	300.000	0.038	299.999	0.290	1.543	1.991	1783021597.214
162	300.000	0.017	300.003	0.037	0.841	1.991	1783021597.484
163	300.000	0.016	300.002	0.078	4.305	1.991	1783021597.721
164	300.000	-0.053	299.994	0.092	3.555	1.991	1783021597.948
165	300.000	-0.017	299.999	0.137	1.133	1.991	1783021598.199
166	300.000	0.015	300.000	0.089	5.489	1.991	1783021598.456
167	300.000	-0.013	299.998	0.109	4.366	1.991	1783021598.725
168	300.000	-0.015	300.001	0.125	1.938	1.991	1783021598.951
169	300.000	0.013	300.000	0.038	5.712	1.991	1783021599.205
170	300.000	0.024	299.999	0.039	0.210	1.991	1783021599.474
171	300.000	-0.015	299.998	0.134	2.228	1.991	1783021599.712
172	300.000	0.005	300.000	0.015	2.731	1.991	1783021599.960
173	300.000	-0.021	300.002	0.179	4.479	1.991	1783021600.207
174	300.000	-0.035	300.002	0.166	4.718	1.991	1783021600.478
175	300.000	-0.030	299.998	0.056	3.815	1.991	1783021600.700
176	300.000	0.004	300.000	0.071	0.251	1.991	1783021600.967
177	300.000	0.009	300.002	0.069	3.060	1.991	1783021601.215
178	300.000	-0.006	299.998	0.080	4.534	1.991	1783021601.476
179	300.000	-0.042	300.001	0.073	0.779	1.991	1783021601.720
180	300.000	0.021	299.998	0.103	3.870	1.991	1783021601.945
181	300.000	-0.054	300.001	0.085	4.011	1.991	1783021602.230
182	300.000	0.020	300.001	0.107	3.824	1.991	1783021602.454
183	300.000	0.004	300.000	0.046	5.416	1.991	1783021602.728
184	300.000	-0.016	300.000	0.111	4.228	1.991	1783021602.961
185	300.000	-0.019	300.000	0.070	5.406	1.991	1783021603.220
186	300.000	-0.010	299.999	0.066	4.354	1.991	1783021603.473
187	300.000	0.022	299.995	0.105	3.384	1.991	1783021603.735
188	300.000	0.065	300.001	0.037	4.933	1.991	1783021603.996
189	300.000	0.010	300.002	0.144	4.479	1.991	1783021604.233
190	300.000	-0.012	300.004	0.085	0.623	1.991	1783021604.465
191	300.000	0.028	300.004	0.073	5.664	1.991	1783021604.712
192	300.000	-0.013	299.996	0.085	3.586	1.991	1783021604.980
193	300.000	0.011	299.999	0.101	4.424	1.991	1783021605.225
194	300.000	0.022	300.002	0.098	1.115	1.991	1783021605.487
195	300.000	0.002	299.998	0.114	3.723	1.991	1783021605.734
196	300.000	0.001	300.001	0.031	0.684	1.991	1783021605.977
197	300.000	0.028	300.001	0.130	0.612	1.991	1783021606.232
198	300.000	-0.013	300.005	0.091	3.401	1.991	1783021606.460
199	300.000	-0.058	300.000	0.084	5.190	1.991	1783021606.733
200	300.000	0.005	299.999	0.017	1.995	1.991	1783021606.980
201	300.000	0.037	300.000	0.033	6.165	1.991	1783021607.230
202	300.000	0.005	299.998	0.021	2.247	1.991	1783021607.481
203	300.000	0.002	300.000	0.040	0.418	1.991	1783021607.745
204	300.000	-0.006	299.999	0.067	1.103	1.991	1783021607.971
205	300.000	0.010	299.997	0.076	1.510	1.991	1783021608.241
206	300.000	-0.037	300.001	0.129	5.370	1.991	1783021608.486
207	300.000	0.036	300.003	0.104	0.682	1.991	1783021608.708
208	300.000	-0.057	300.002	0.040	3.762	1.991	1783021608.976
209	300.000	0.004	299.996	0.103	5.122	1.991	1783021609.228
210	300.000	0.037	300.000	0.101	6.114	1.991	1783021609.470
211	300.000	-0.059	299.999	0.095	0.372	1.991	1783021609.721
212	300.000	-0.011	300.002	0.050	5.246	1.991	1783021609.992
213	300.000	0.045	300.003	0.063	4.869	1.991	1783021610.227
214	300.000	-0.017	300.003	0.066	4.339	1.991	1783021610.502
215	300.000	-0.011	300.004	0.095	5.181	1.991	1783021610.739
216	300.000	-0.005	299.997	0.128	5.517	1.991	1783021610.951
217	300.000	0.008	300.001	0.053	5.344	1.991	1783021611.245
218	300.000	-0.012	300.000	0.025	4.781	1.991	1783021611.464
219	300.000	-0.022	300.000	0.009	0.163	1.991	1783021611.733
220	300.000	-0.039	299.998	0.045	4.556	1.991	1783021611.986
221	300.000	0.007	299.997	0.135	5.636	1.991	1783021612.216
222	300.000	-0.024	300.001	0.090	4.409	1.991	1783021612.490
223	300.000	0.024	300.000	0.027	0.485	1.991	1783021612.750
224	300.000	-0.045	299.998	0.083	5.350	1.991	1783021613.009
225	300.000	0.036	300.000	0.077	0.708	1.991	1783021613.230
226	300.000	0.010	300.001	0.032	2.301	1.991	1783021613.526
227	300.000	-0.031	300.003	0.195	4.410	1.991	1783021613.753
228	300.000	-0.041	299.999	0.031	0.265	1.991	1783021613.987
229	300.000	0.005	299.998	0.058	0.089	1.991	1783021614.239
230	300.000	0.018	300.003	0.214	0.398	1.991	1783021614.502
231	300.000	-0.035	300.000	0.052	2.247	1.991	1783021614.749
232	300.000	-0.034	300.000	0.058	6.185	1.991	1783021614.964
233	300.000	-0.021	299.998	0.029	3.973	1.991	1783021615.255
234	300.000	-0.038	299.999	0.079	0.143	1.991	1783021615.479
235	300.000	0.029	299.998	0.047	5.253	1.991	1783021615.754
236	300.000	0.019	300.002	0.034	6.139	1.991	1783021616.008
237	300.000	-0.020	300.000	0.115	4.662	1.991	1783021616.237
238	300.000	-0.000	300.002	0.156	0.220	1.991	1783021616.489
239	300.000	0.017	299.998	0.043	1.527	1.991	1783021616.741
240	300.000	-0.036	300.000	0.135	0.506	1.991	1783021617.040
241	300.000	-0.002	300.003	0.046	6.258	1.991	1783021617.338
242	300.000	-0.060	299.999	0.030	5.337	1.991	1783021617.559
