Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	-0.251	99.996	3.811	5.953	0.664	1783971087.965
2	100.000	-0.215	100.001	3.834	5.929	0.664	1783971088.173
3	100.000	-0.401	99.998	3.329	6.015	0.664	1783971088.364
4	100.000	0.157	100.002	3.696	5.960	0.664	1783971088.552
5	100.000	0.077	99.999	4.132	5.872	0.664	1783971088.746
6	100.000	0.307	100.003	3.407	5.828	0.664	1783971088.925
7	100.000	0.269	100.001	3.754	5.911	0.664	1783971089.116
8	100.000	0.151	100.001	3.939	5.832	0.664	1783971089.306
9	100.000	0.269	100.000	3.882	5.885	0.664	1783971089.497
10	100.000	-0.017	99.997	3.575	6.009	0.664	1783971089.689
11	100.000	0.157	100.002	4.324	5.799	0.664	1783971089.867
12	100.000	-0.009	99.998	4.293	5.780	0.664	1783971090.084
13	100.000	0.057	100.001	4.174	5.790	0.664	1783971090.277
14	100.000	0.065	100.001	4.275	5.765	0.664	1783971090.507
15	100.000	0.007	100.002	4.226	5.826	0.664	1783971090.695
16	100.000	-0.194	99.997	4.305	5.806	0.664	1783971090.877
17	100.000	0.031	99.996	4.000	5.834	0.664	1783971091.078
18	100.000	-0.077	99.996	4.094	5.954	0.664	1783971091.244
19	100.000	-0.076	100.000	4.273	5.777	0.664	1783971091.417
20	100.000	-0.294	99.998	4.146	5.834	0.664	1783971091.609
21	100.000	0.223	99.998	4.231	5.802	0.664	1783971091.805
22	100.000	0.021	100.001	4.167	5.823	0.664	1783971091.996
23	100.000	0.017	100.001	4.352	5.879	0.664	1783971092.180
24	100.000	0.008	99.998	4.407	5.834	0.664	1783971092.392
25	100.000	0.095	99.998	4.411	5.798	0.664	1783971092.572
26	100.000	0.049	99.998	4.582	5.775	0.664	1783971092.753
27	100.000	-0.381	100.002	4.570	5.803	0.664	1783971092.943
28	100.000	0.022	99.999	4.578	5.859	0.664	1783971093.133
29	100.000	0.005	100.003	4.598	5.850	0.664	1783971093.336
30	100.000	-0.265	100.000	4.631	5.894	0.664	1783971093.491
31	100.000	0.051	99.997	4.501	5.931	0.664	1783971093.688
32	100.000	0.026	100.001	4.446	5.845	0.664	1783971093.858
33	100.000	0.020	99.997	4.655	5.891	0.664	1783971094.053
34	100.000	0.300	100.002	4.508	5.926	0.664	1783971094.261
35	100.000	0.144	100.000	4.380	5.904	0.664	1783971094.450
36	100.000	-0.303	99.999	4.001	5.960	0.664	1783971094.643
37	100.000	0.300	99.997	3.971	6.007	0.664	1783971094.824
38	100.000	-0.210	99.995	3.981	5.964	0.664	1783971094.992
39	100.000	-0.035	100.001	3.819	6.049	0.664	1783971095.202
40	100.000	-0.008	99.998	3.555	6.072	0.664	1783971095.372
41	100.000	-0.007	100.001	3.637	6.042	0.664	1783971095.578
42	100.000	-0.002	100.001	3.486	5.999	0.664	1783971095.746
43	100.000	-0.084	100.002	3.468	6.112	0.664	1783971095.931
44	100.000	0.027	100.003	3.269	6.050	0.664	1783971096.112
45	100.000	-0.273	99.999	3.176	6.160	0.664	1783971096.292
46	100.000	0.029	99.995	3.270	5.958	0.664	1783971096.472
47	100.000	-0.226	100.001	3.417	5.979	0.664	1783971096.633
48	100.000	-0.273	100.000	3.141	6.026	0.664	1783971096.826
49	100.000	0.138	100.002	3.172	5.984	0.664	1783971096.997
50	100.000	-0.017	99.997	3.216	5.927	0.664	1783971097.183
51	100.000	-0.185	100.004	3.329	5.933	0.664	1783971097.356
52	100.000	-0.068	99.998	3.287	6.011	0.664	1783971097.558
53	100.000	-0.115	99.998	3.298	5.974	0.664	1783971097.734
54	100.000	-0.203	99.999	3.510	5.970	0.664	1783971097.952
55	100.000	0.117	99.998	3.681	5.802	0.664	1783971098.134
56	100.000	-0.059	99.999	3.678	5.897	0.664	1783971098.314
57	100.000	0.261	100.002	3.580	5.851	0.664	1783971098.500
58	100.000	0.010	99.998	3.900	5.848	0.664	1783971098.685
59	100.000	-0.192	100.000	3.825	5.836	0.664	1783971098.874
60	100.000	0.533	100.001	4.076	5.813	0.664	1783971099.065
61	100.000	0.144	99.999	4.165	5.798	0.664	1783971099.266
62	100.000	0.062	100.001	4.385	5.779	0.664	1783971099.426
63	100.000	0.201	100.007	4.342	5.786	0.664	1783971099.626
64	100.000	0.190	100.001	4.526	5.784	0.664	1783971099.793
65	100.000	-0.083	100.000	4.583	5.864	0.664	1783971099.989
66	100.000	0.089	99.998	4.700	5.832	0.664	1783971100.199
67	100.000	-0.344	99.999	4.650	5.807	0.664	1783971100.380
68	100.000	0.212	100.001	4.644	5.814	0.664	1783971100.569
69	100.000	-0.150	99.995	4.666	5.863	0.664	1783971100.766
70	100.000	-0.066	100.003	4.645	5.865	0.664	1783971100.953
71	100.000	-0.001	100.000	4.664	5.889	0.664	1783971101.126
72	100.000	-0.137	100.000	4.386	5.988	0.664	1783971101.319
73	100.000	0.247	100.000	4.433	5.858	0.664	1783971101.516
74	100.000	-0.268	99.999	4.427	5.969	0.664	1783971101.689
75	100.000	-0.101	99.998	4.337	5.913	0.664	1783971101.859
76	100.000	0.148	100.001	4.337	5.985	0.664	1783971102.053
77	100.000	0.062	100.001	4.291	5.914	0.664	1783971102.235
78	100.000	-0.062	99.999	3.954	5.991	0.664	1783971102.462
79	100.000	-0.011	99.998	3.835	5.959	0.664	1783971102.701
80	100.000	0.125	100.001	3.885	5.999	0.664	1783971102.874
81	100.000	0.122	100.001	3.698	5.964	0.664	1783971103.075
82	100.000	-0.106	99.999	3.612	6.032	0.664	1783971103.247
83	100.000	0.367	99.999	3.487	6.060	0.664	1783971103.428
84	100.000	0.029	100.002	3.424	6.049	0.664	1783971103.602
85	100.000	-0.046	100.002	3.479	5.992	0.664	1783971103.799
86	100.000	-0.050	99.998	3.219	5.954	0.664	1783971103.981
