Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	-0.020	100.001	0.621	5.381	0.664	1783022250.521
2	100.000	0.015	100.001	0.560	2.487	0.664	1783022250.774
3	100.000	0.054	99.999	1.638	3.852	0.664	1783022251.056
4	100.000	0.029	100.003	8.467	2.407	0.664	1783022251.358
5	100.000	0.039	99.997	8.228	2.537	0.664	1783022251.587
6	100.000	-0.016	99.999	8.605	2.431	0.664	1783022251.830
7	100.000	0.014	99.998	8.570	2.349	0.664	1783022252.087
8	100.000	-0.041	100.001	8.411	2.365	0.664	1783022252.349
9	100.000	0.033	100.001	8.475	2.309	0.664	1783022252.586
10	100.000	0.043	100.002	8.518	2.284	0.664	1783022252.812
11	100.000	0.027	100.002	8.620	2.383	0.664	1783022253.091
12	100.000	-0.022	99.999	8.379	2.284	0.664	1783022253.342
13	100.000	-0.009	99.999	8.668	2.531	0.664	1783022253.587
14	100.000	-0.038	100.002	7.907	2.801	0.664	1783022253.825
15	100.000	-0.018	99.997	6.667	3.095	0.664	1783022254.094
16	100.000	-0.041	100.001	5.226	3.685	0.664	1783022254.334
17	100.000	-0.044	99.999	4.871	4.293	0.664	1783022254.596
18	100.000	-0.031	100.003	6.208	4.906	0.664	1783022254.856
19	100.000	0.042	100.001	7.970	5.154	0.664	1783022255.079
20	100.000	0.006	100.001	8.815	5.436	0.664	1783022255.342
21	100.000	-0.052	99.998	8.724	5.649	0.664	1783022255.596
22	100.000	-0.039	99.994	7.306	6.034	0.664	1783022255.839
23	100.000	0.014	99.998	5.610	0.146	0.664	1783022256.092
24	100.000	0.011	100.001	4.783	1.004	0.664	1783022256.337
25	100.000	0.046	100.000	5.663	1.776	0.664	1783022256.603
26	100.000	0.073	99.998	7.270	2.178	0.664	1783022256.833
27	100.000	-0.060	99.997	8.114	2.448	0.664	1783022257.120
28	100.000	-0.084	100.001	7.953	2.710	0.664	1783022257.416
29	100.000	-0.006	100.004	6.668	2.941	0.664	1783022257.641
30	100.000	-0.016	100.000	5.167	3.435	0.664	1783022257.907
31	100.000	0.006	100.009	4.663	4.153	0.664	1783022258.154
32	100.000	0.001	100.001	5.593	4.666	0.664	1783022258.385
33	100.000	0.023	100.000	7.090	5.118	0.664	1783022258.651
34	100.000	-0.000	100.004	8.483	5.315	0.664	1783022258.887
35	100.000	-0.013	100.000	8.668	5.564	0.664	1783022259.160
36	100.000	-0.027	99.995	7.739	5.876	0.664	1783022259.397
37	100.000	0.020	100.000	6.041	6.262	0.664	1783022259.669
38	100.000	0.006	100.002	4.665	0.749	0.664	1783022259.900
39	100.000	0.006	100.001	5.294	1.462	0.664	1783022260.163
40	100.000	-0.003	100.002	7.166	1.938	0.664	1783022260.409
41	100.000	0.052	99.997	8.293	2.232	0.664	1783022260.619
42	100.000	0.003	99.998	8.164	2.458	0.664	1783022260.909
43	100.000	-0.056	100.002	7.679	2.703	0.664	1783022261.136
44	100.000	-0.002	99.998	6.266	3.060	0.664	1783022261.406
45	100.000	0.039	100.005	4.793	3.603	0.664	1783022261.654
46	100.000	0.019	100.003	5.378	4.297	0.664	1783022261.904
47	100.000	-0.007	99.997	6.512	4.795	0.664	1783022262.159
48	100.000	0.012	100.000	8.075	5.131	0.664	1783022262.395
49	100.000	-0.027	100.000	8.687	5.312	0.664	1783022262.656
50	100.000	-0.011	100.003	8.519	5.544	0.664	1783022262.887
51	100.000	-0.026	100.002	7.307	5.957	0.664	1783022263.147
52	100.000	-0.028	99.999	5.224	0.261	0.664	1783022263.396
53	100.000	0.047	100.002	4.814	1.085	0.664	1783022263.664
54	100.000	0.021	99.995	6.015	1.786	0.664	1783022263.899
55	100.000	-0.062	100.000	7.414	2.097	0.664	1783022264.132
56	100.000	-0.036	100.004	8.597	2.358	0.664	1783022264.403
57	100.000	-0.019	100.000	8.655	2.615	0.664	1783022264.643
