Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	200.000	0.000	200.002	1.314	5.854	1.328	1782941362.908
2	200.000	0.001	200.001	0.975	2.857	1.328	1782941363.199
3	200.000	0.047	199.998	1.671	4.803	1.328	1782941363.513
4	200.000	-0.010	200.005	0.760	0.962	1.328	1782941363.803
5	200.000	-0.027	199.999	1.221	3.916	1.328	1782941364.077
6	200.000	0.028	200.002	1.649	5.486	1.328	1782941364.371
7	200.000	0.001	199.999	0.855	2.305	1.328	1782941364.633
8	200.000	0.042	199.999	1.301	4.193	1.328	1782941364.861
9	200.000	-0.003	200.000	1.427	5.747	1.328	1782941365.138
10	200.000	-0.037	200.001	0.933	2.759	1.328	1782941365.378
11	200.000	-0.051	200.002	1.518	4.527	1.328	1782941365.655
12	200.000	-0.015	200.001	1.314	6.221	1.328	1782941365.910
13	200.000	0.053	199.998	1.047	3.408	1.328	1782941366.227
14	200.000	0.019	200.004	1.696	4.955	1.328	1782941366.460
15	200.000	0.008	200.000	1.073	0.460	1.328	1782941366.721
16	200.000	0.003	200.000	1.057	3.603	1.328	1782941366.974
17	200.000	0.002	200.001	1.779	5.007	1.328	1782941367.229
18	200.000	-0.010	200.000	0.978	0.853	1.328	1782941367.496
19	200.000	0.015	199.997	1.195	3.962	1.328	1782941367.793
20	200.000	0.032	200.001	1.542	5.647	1.328	1782941368.131
21	200.000	0.027	200.000	0.902	2.988	1.328	1782941368.441
22	200.000	-0.041	200.000	1.596	5.104	1.328	1782941368.742
23	200.000	-0.039	200.001	0.841	1.435	1.328	1782941369.050
24	200.000	-0.038	200.003	1.460	4.424	1.328	1782941369.360
25	200.000	-0.028	200.000	1.173	0.019	1.328	1782941369.669
26	200.000	0.048	200.001	1.168	3.423	1.328	1782941369.928
27	200.000	0.039	200.004	1.814	5.041	1.328	1782941370.164
28	200.000	-0.030	199.998	0.938	0.452	1.328	1782941370.437
29	200.000	0.017	200.001	1.227	3.946	1.328	1782941370.739
30	200.000	-0.080	200.001	1.696	5.216	1.328	1782941370.979
31	200.000	-0.033	200.003	0.779	1.474	1.328	1782941371.236
32	200.000	0.007	199.998	1.471	4.037	1.328	1782941371.479
33	200.000	0.011	200.001	1.719	5.258	1.328	1782941371.714
34	200.000	-0.013	199.999	0.893	1.328	1.328	1782941371.983
35	200.000	-0.007	200.000	1.315	4.074	1.328	1782941372.208
