Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	300.000	0.058	299.998	0.872	4.618	1.991	1783020916.732
2	300.000	-0.004	299.999	0.865	4.496	1.991	1783020916.998
3	300.000	-0.017	300.002	0.917	4.568	1.991	1783020917.241
4	300.000	-0.043	300.000	0.729	4.091	1.991	1783020917.506
5	300.000	0.029	299.998	0.729	5.400	1.991	1783020917.756
6	300.000	-0.028	300.002	0.851	0.344	1.991	1783020917.979
7	300.000	0.031	299.999	0.883	1.435	1.991	1783020918.238
8	300.000	0.050	300.001	0.887	2.739	1.991	1783020918.495
9	300.000	-0.024	300.002	0.831	3.862	1.991	1783020918.733
10	300.000	-0.019	299.998	0.673	5.498	1.991	1783020918.984
11	300.000	0.010	299.998	0.767	0.301	1.991	1783020919.250
12	300.000	-0.063	299.998	0.786	1.529	1.991	1783020919.501
13	300.000	0.012	299.999	0.832	2.517	1.991	1783020919.752
14	300.000	-0.004	300.001	0.840	4.063	1.991	1783020919.997
15	300.000	0.016	300.000	0.757	5.556	1.991	1783020920.243
16	300.000	0.028	300.000	0.709	0.472	1.991	1783020920.512
17	300.000	-0.010	300.001	0.760	1.539	1.991	1783020920.745
18	300.000	-0.030	299.999	0.818	2.676	1.991	1783020921.017
19	300.000	0.020	299.998	0.807	4.280	1.991	1783020921.245
20	300.000	-0.028	300.001	0.770	5.503	1.991	1783020921.509
21	300.000	0.002	300.004	0.797	0.545	1.991	1783020921.763
22	300.000	0.021	300.002	0.610	1.733	1.991	1783020921.998
23	300.000	-0.006	299.999	0.781	2.919	1.991	1783020922.246
24	300.000	-0.054	300.000	0.681	4.293	1.991	1783020922.465
25	300.000	-0.022	300.000	0.763	5.505	1.991	1783020922.768
26	300.000	0.035	300.004	0.830	0.463	1.991	1783020922.992
27	300.000	0.042	299.999	0.889	1.742	1.991	1783020923.259
28	300.000	-0.041	299.998	0.801	2.755	1.991	1783020923.494
29	300.000	-0.028	299.999	0.734	4.378	1.991	1783020923.758
30	300.000	-0.005	300.001	0.767	5.667	1.991	1783020924.001
31	300.000	-0.044	300.003	0.765	0.582	1.991	1783020924.218
32	300.000	0.010	300.003	0.864	1.646	1.991	1783020924.505
33	300.000	-0.046	300.003	0.972	3.223	1.991	1783020924.740
34	300.000	0.013	300.000	0.685	4.404	1.991	1783020925.013
35	300.000	0.073	299.998	0.880	5.676	1.991	1783020925.231
36	300.000	0.067	300.000	0.800	0.563	1.991	1783020925.483
37	300.000	-0.013	300.000	0.832	1.934	1.991	1783020925.755
38	300.000	-0.021	300.001	0.977	3.285	1.991	1783020925.994
39	300.000	-0.026	300.003	0.799	4.477	1.991	1783020926.239
40	300.000	0.001	299.998	0.636	5.652	1.991	1783020926.499
41	300.000	0.046	299.999	0.770	0.774	1.991	1783020926.748
42	300.000	-0.003	299.999	0.794	1.941	1.991	1783020926.986
43	300.000	-0.014	300.000	0.911	3.348	1.991	1783020927.259
44	300.000	0.042	299.997	0.775	4.565	1.991	1783020927.486
45	300.000	-0.043	299.998	0.685	5.801	1.991	1783020927.761
46	300.000	0.020	299.999	0.842	0.911	1.991	1783020928.013
47	300.000	0.029	300.001	0.918	2.103	1.991	1783020928.240
48	300.000	-0.027	299.999	0.926	3.221	1.991	1783020928.485
49	300.000	-0.029	299.997	0.846	4.606	1.991	1783020928.730
50	300.000	-0.021	300.000	0.852	5.750	1.991	1783020928.996
51	300.000	-0.006	299.997	0.681	0.726	1.991	1783020929.236
52	300.000	-0.041	300.004	0.836	2.041	1.991	1783020929.503
53	300.000	-0.015	299.995	0.935	3.493	1.991	1783020929.757
54	300.000	-0.000	300.000	0.803	4.708	1.991	1783020930.000
55	300.000	-0.046	300.000	0.750	6.215	1.991	1783020930.275
56	300.000	-0.021	299.999	0.772	1.048	1.991	1783020930.508
57	300.000	0.042	300.004	0.983	2.396	1.991	1783020930.749
58	300.000	-0.007	299.998	0.868	3.531	1.991	1783020931.003
59	300.000	0.031	299.998	0.725	4.984	1.991	1783020931.275
60	300.000	0.012	300.001	0.644	6.245	1.991	1783020931.504
61	300.000	0.027	299.998	0.810	1.113	1.991	1783020931.770
62	300.000	0.006	300.003	0.841	2.473	1.991	1783020932.020
63	300.000	0.020	300.004	0.797	3.590	1.991	1783020932.263
64	300.000	0.062	300.001	0.721	5.104	1.991	1783020932.524
65	300.000	-0.033	300.000	0.732	6.277	1.991	1783020932.746
66	300.000	0.011	300.000	0.791	1.124	1.991	1783020933.023
