Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	200.000	0.021	200.002	0.892	4.449	1.328	1783012918.515
2	200.000	-0.069	200.002	1.045	4.019	1.328	1783012918.777
3	200.000	-0.007	200.001	1.045	4.040	1.328	1783012919.025
4	200.000	-0.049	200.005	1.073	3.983	1.328	1783012919.307
5	200.000	-0.013	199.998	0.875	3.998	1.328	1783012919.563
6	200.000	-0.003	199.998	1.083	4.012	1.328	1783012919.817
7	200.000	-0.037	200.001	0.990	4.059	1.328	1783012920.082
8	200.000	-0.001	199.999	1.020	4.089	1.328	1783012920.336
9	200.000	-0.013	199.998	1.082	3.810	1.328	1783012920.594
10	200.000	-0.026	200.000	0.611	4.706	1.328	1783012920.827
11	200.000	-0.044	200.002	0.734	5.912	1.328	1783012921.090
12	200.000	-0.004	200.000	0.741	0.706	1.328	1783012921.312
13	200.000	0.004	199.999	1.233	1.470	1.328	1783012921.586
14	200.000	-0.043	200.004	1.365	2.488	1.328	1783012921.840
15	200.000	0.005	200.003	1.119	3.399	1.328	1783012922.079
16	200.000	-0.099	199.999	0.760	4.834	1.328	1783012922.321
17	200.000	0.012	199.997	0.599	6.216	1.328	1783012922.591
18	200.000	-0.007	199.999	0.814	0.765	1.328	1783012922.844
19	200.000	-0.087	200.001	0.641	2.196	1.328	1783012923.069
20	200.000	-0.013	200.001	1.467	2.466	1.328	1783012923.336
21	200.000	-0.073	200.000	1.260	3.650	1.328	1783012923.589
22	200.000	-0.043	199.998	0.786	4.688	1.328	1783012923.836
23	200.000	0.001	199.998	0.528	0.222	1.328	1783012924.070
24	200.000	0.042	199.998	0.730	0.847	1.328	1783012924.333
25	200.000	0.007	200.001	1.376	1.795	1.328	1783012924.608
26	200.000	0.002	199.996	1.438	2.606	1.328	1783012924.895
27	200.000	0.005	199.997	1.277	3.948	1.328	1783012925.141
28	200.000	0.015	200.003	0.566	5.295	1.328	1783012925.412
29	200.000	0.015	200.002	0.685	0.227	1.328	1783012925.634
30	200.000	-0.030	200.001	0.860	1.011	1.328	1783012925.894
31	200.000	-0.025	200.001	1.242	2.026	1.328	1783012926.148
32	200.000	-0.042	200.000	1.528	3.045	1.328	1783012926.418
33	200.000	-0.021	200.002	0.979	4.262	1.328	1783012926.656
34	200.000	-0.016	199.996	0.642	5.431	1.328	1783012926.884
35	200.000	0.032	200.001	0.148	5.654	1.328	1783012927.169
36	200.000	0.071	200.002	1.087	1.268	1.328	1783012927.394
37	200.000	0.008	200.000	1.335	1.984	1.328	1783012927.660
38	200.000	0.062	200.002	1.438	3.188	1.328	1783012927.893
39	200.000	0.009	200.001	0.929	4.379	1.328	1783012928.146
40	200.000	0.007	200.000	0.648	5.670	1.328	1783012928.409
41	200.000	0.047	199.998	1.709	0.813	1.328	1783012928.627
42	200.000	0.013	200.002	0.963	1.282	1.328	1783012928.906
43	200.000	-0.004	200.003	1.405	2.222	1.328	1783012929.128
44	200.000	-0.019	200.000	1.712	3.206	1.328	1783012929.406
45	200.000	-0.019	199.997	0.653	4.263	1.328	1783012929.641
46	200.000	0.005	200.005	0.562	5.768	1.328	1783012929.877
47	200.000	0.003	199.998	0.568	0.614	1.328	1783012930.140
48	200.000	0.018	200.002	0.948	1.245	1.328	1783012930.395
49	200.000	-0.028	199.995	1.370	2.153	1.328	1783012930.649
50	200.000	0.008	200.003	1.483	3.249	1.328	1783012930.864
51	200.000	0.031	200.001	0.850	4.413	1.328	1783012931.147
52	200.000	0.030	200.000	0.599	5.879	1.328	1783012931.393
53	200.000	0.091	199.999	0.740	0.654	1.328	1783012931.645
54	200.000	-0.006	199.995	1.097	1.374	1.328	1783012931.883
