Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	300.000	0.058	300.000	0.609	1.739	1.991	1783020333.800
2	300.000	0.011	300.000	0.621	1.958	1.991	1783020334.027
3	300.000	0.007	299.998	0.640	0.484	1.991	1783020334.294
4	300.000	-0.015	300.003	0.664	5.628	1.991	1783020334.528
5	300.000	0.017	300.001	0.544	4.338	1.991	1783020334.765
6	300.000	0.011	299.999	0.585	3.020	1.991	1783020335.042
7	300.000	0.007	300.000	0.601	1.706	1.991	1783020335.307
8	300.000	0.004	300.003	0.551	0.309	1.991	1783020335.551
9	300.000	-0.008	300.002	0.689	5.609	1.991	1783020335.774
10	300.000	-0.053	300.005	0.714	4.197	1.991	1783020336.041
11	300.000	-0.006	300.000	0.693	2.973	1.991	1783020336.275
12	300.000	0.051	300.001	0.502	1.668	1.991	1783020336.540
13	300.000	-0.052	300.000	0.563	0.225	1.991	1783020336.787
14	300.000	0.060	299.999	0.603	5.380	1.991	1783020337.041
15	300.000	-0.032	299.999	0.621	3.946	1.991	1783020337.301
16	300.000	-0.059	299.996	0.642	2.805	1.991	1783020337.533
17	300.000	0.044	300.004	0.598	1.347	1.991	1783020337.781
18	300.000	-0.003	300.002	0.588	0.040	1.991	1783020338.024
19	300.000	-0.047	300.001	0.598	5.245	1.991	1783020338.290
20	300.000	0.005	300.000	0.640	3.676	1.991	1783020338.539
21	300.000	0.015	300.000	0.637	2.819	1.991	1783020338.790
22	300.000	-0.016	299.999	0.731	1.449	1.991	1783020339.044
23	300.000	0.072	300.005	0.554	0.025	1.991	1783020339.274
24	300.000	0.025	300.001	0.592	5.149	1.991	1783020339.545
25	300.000	-0.017	300.003	0.593	3.703	1.991	1783020339.819
26	300.000	0.029	299.999	0.604	2.580	1.991	1783020340.051
27	300.000	-0.022	300.000	0.751	1.177	1.991	1783020340.274
28	300.000	0.020	300.001	0.651	0.212	1.991	1783020340.561
29	300.000	-0.015	299.999	0.731	4.811	1.991	1783020340.797
30	300.000	0.004	300.001	0.650	3.748	1.991	1783020341.067
