Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
1	100.000	0.018	99.999	6.339	0.863	0.664	1771450456.015	1771450456.015	1771450456.015	1771450456.015	1771450456.015	1771450456.015
2	100.000	0.011	100.002	6.970	0.736	0.664	1771450456.251	1771450456.251	1771450456.251	1771450456.251	1771450456.251	1771450456.251
3	100.000	0.019	100.000	9.460	1.048	0.664	1771450456.497	1771450456.497	1771450456.497	1771450456.497	1771450456.497	1771450456.497
4	100.000	-0.020	99.999	7.078	0.938	0.664	1771450456.761	1771450456.761	1771450456.761	1771450456.761	1771450456.761	1771450456.761
5	100.000	0.034	100.003	7.002	0.895	0.664	1771450457.004	1771450457.004	1771450457.004	1771450457.004	1771450457.004	1771450457.004
6	100.000	-0.014	100.003	7.839	0.734	0.664	1771450457.266	1771450457.266	1771450457.266	1771450457.266	1771450457.266	1771450457.266
7	100.000	-0.027	100.001	10.895	0.628	0.664	1771450457.495	1771450457.495	1771450457.495	1771450457.495	1771450457.495	1771450457.495
8	100.000	-0.031	100.000	6.262	0.586	0.664	1771450457.754	1771450457.754	1771450457.754	1771450457.754	1771450457.754	1771450457.754
9	100.000	0.021	99.999	7.415	0.785	0.664	1771450457.984	1771450457.984	1771450457.984	1771450457.984	1771450457.984	1771450457.984
10	100.000	0.013	100.002	5.848	0.766	0.664	1771450458.264	1771450458.264	1771450458.264	1771450458.264	1771450458.264	1771450458.264
11	100.000	0.000	100.001	7.932	0.650	0.664	1771450458.486	1771450458.486	1771450458.486	1771450458.486	1771450458.486	1771450458.486
12	100.000	0.047	100.002	7.621	0.973	0.664	1771450458.696	1771450458.696	1771450458.696	1771450458.696	1771450458.696	1771450458.696
13	100.000	-0.014	100.001	7.562	0.658	0.664	1771450458.974	1771450458.974	1771450458.974	1771450458.974	1771450458.974	1771450458.974
14	100.000	-0.028	100.001	3.339	0.472	0.664	1771450459.180	1771450459.180	1771450459.180	1771450459.180	1771450459.180	1771450459.180
15	100.000	-0.032	100.000	7.050	0.692	0.664	1771450459.415	1771450459.415	1771450459.415	1771450459.415	1771450459.415	1771450459.415
16	100.000	-0.008	100.002	7.385	0.829	0.664	1771450459.682	1771450459.682	1771450459.682	1771450459.682	1771450459.682	1771450459.682
17	100.000	0.004	99.996	7.695	0.799	0.664	1771450459.928	1771450459.928	1771450459.928	1771450459.928	1771450459.928	1771450459.928
18	100.000	-0.003	99.998	7.796	0.819	0.664	1771450460.181	1771450460.181	1771450460.181	1771450460.181	1771450460.181	1771450460.181
19	100.000	0.012	99.999	7.000	0.787	0.664	1771450460.431	1771450460.431	1771450460.431	1771450460.431	1771450460.431	1771450460.431
20	100.000	0.090	99.998	8.154	0.724	0.664	1771450460.726	1771450460.726	1771450460.726	1771450460.726	1771450460.726	1771450460.726
21	100.000	-0.016	99.998	3.958	0.945	0.664	1771450460.933	1771450460.933	1771450460.933	1771450460.933	1771450460.933	1771450460.933
22	100.000	-0.011	99.999	6.469	0.582	0.664	1771450461.195	1771450461.195	1771450461.195	1771450461.195	1771450461.195	1771450461.195
23	100.000	-0.003	100.002	6.174	0.707	0.664	1771450461.452	1771450461.452	1771450461.452	1771450461.452	1771450461.452	1771450461.452
24	100.000	0.015	100.001	5.783	0.675	0.664	1771450461.697	1771450461.697	1771450461.697	1771450461.697	1771450461.697	1771450461.697
25	100.000	0.007	100.003	7.077	0.949	0.664	1771450461.956	1771450461.956	1771450461.956	1771450461.956	1771450461.956	1771450461.956
26	100.000	0.004	99.998	7.760	0.739	0.664	1771450462.198	1771450462.198	1771450462.198	1771450462.198	1771450462.198	1771450462.198
27	100.000	0.050	100.000	3.111	0.567	0.664	1771450462.428	1771450462.428	1771450462.428	1771450462.428	1771450462.428	1771450462.428
28	100.000	0.025	100.000	6.506	0.717	0.664	1771450462.697	1771450462.697	1771450462.697	1771450462.697	1771450462.697	1771450462.697
29	100.000	-0.029	100.002	8.412	0.767	0.664	1771450462.964	1771450462.964	1771450462.964	1771450462.964	1771450462.964	1771450462.964
30	100.000	-0.008	99.995	6.613	0.694	0.664	1771450463.218	1771450463.218	1771450463.218	1771450463.218	1771450463.218	1771450463.218
31	100.000	0.001	100.002	5.023	1.187	0.664	1771450463.432	1771450463.432	1771450463.432	1771450463.432	1771450463.432	1771450463.432
32	100.000	0.028	100.002	7.800	0.719	0.664	1771450463.677	1771450463.677	1771450463.677	1771450463.677	1771450463.677	1771450463.677
33	100.000	0.006	99.998	6.331	0.949	0.664	1771450463.934	1771450463.934	1771450463.934	1771450463.934	1771450463.934	1771450463.934
34	100.000	-0.024	99.999	6.953	0.826	0.664	1771450464.222	1771450464.222	1771450464.222	1771450464.222	1771450464.222	1771450464.222
35	100.000	-0.029	100.001	8.181	1.069	0.664	1771450464.447	1771450464.447	1771450464.447	1771450464.447	1771450464.447	1771450464.447
36	100.000	-0.004	99.998	6.071	0.681	0.664	1771450464.689	1771450464.689	1771450464.689	1771450464.689	1771450464.689	1771450464.689
37	100.000	-0.044	99.999	4.646	0.817	0.664	1771450464.935	1771450464.935	1771450464.935	1771450464.935	1771450464.935	1771450464.935
38	100.000	0.003	100.003	7.276	0.879	0.664	1771450465.170	1771450465.170	1771450465.170	1771450465.170	1771450465.170	1771450465.170
39	100.000	-0.024	100.002	5.115	0.832	0.664	1771450465.445	1771450465.445	1771450465.445	1771450465.445	1771450465.445	1771450465.445
40	100.000	0.025	99.999	5.135	0.769	0.664	1771450465.677	1771450465.677	1771450465.677	1771450465.677	1771450465.677	1771450465.677
41	100.000	-0.015	99.995	5.706	0.618	0.664	1771450465.968	1771450465.968	1771450465.968	1771450465.968	1771450465.968	1771450465.968
42	100.000	-0.017	100.003	5.170	0.671	0.664	1771450466.227	1771450466.227	1771450466.227	1771450466.227	1771450466.227	1771450466.227
43	100.000	-0.016	100.006	8.346	0.564	0.664	1771450466.448	1771450466.448	1771450466.448	1771450466.448	1771450466.448	1771450466.448
44	100.000	0.002	99.999	5.104	0.772	0.664	1771450466.679	1771450466.679	1771450466.679	1771450466.679	1771450466.679	1771450466.679
45	100.000	0.006	100.000	4.404	0.664	0.664	1771450466.923	1771450466.923	1771450466.923	1771450466.923	1771450466.923	1771450466.923
46	100.000	-0.035	100.001	5.029	0.940	0.664	1771450467.212	1771450467.212	1771450467.212	1771450467.212	1771450467.212	1771450467.212
47	100.000	0.015	100.000	3.527	2.502	0.664	1771450467.448	1771450467.448	1771450467.448	1771450467.448	1771450467.448	1771450467.448
48	100.000	-0.014	100.002	8.121	3.887	0.664	1771450467.706	1771450467.706	1771450467.706	1771450467.706	1771450467.706	1771450467.706
49	100.000	-0.017	100.000	7.965	3.870	0.664	1771450467.943	1771450467.943	1771450467.943	1771450467.943	1771450467.943	1771450467.943
50	100.000	-0.067	99.998	8.178	3.862	0.664	1771450468.193	1771450468.193	1771450468.193	1771450468.193	1771450468.193	1771450468.193
51	100.000	0.019	100.004	7.902	3.827	0.664	1771450468.463	1771450468.463	1771450468.463	1771450468.463	1771450468.463	1771450468.463
52	100.000	-0.073	99.999	7.871	3.825	0.664	1771450468.718	1771450468.718	1771450468.718	1771450468.718	1771450468.718	1771450468.718
53	100.000	0.024	100.001	7.884	3.849	0.664	1771450468.960	1771450468.960	1771450468.960	1771450468.960	1771450468.960	1771450468.960
54	100.000	0.002	99.998	7.871	3.866	0.664	1771450469.193	1771450469.193	1771450469.193	1771450469.193	1771450469.193	1771450469.193
55	100.000	-0.048	100.002	8.196	3.835	0.664	1771450469.449	1771450469.449	1771450469.449	1771450469.449	1771450469.449	1771450469.449
56	100.000	0.026	99.999	7.594	3.766	0.664	1771450469.671	1771450469.671	1771450469.671	1771450469.671	1771450469.671	1771450469.671
57	100.000	-0.028	100.002	4.406	2.482	0.664	1771450469.939	1771450469.939	1771450469.939	1771450469.939	1771450469.939	1771450469.939
58	100.000	0.011	100.004	11.833	0.980	0.664	1771450470.187	1771450470.187	1771450470.187	1771450470.187	1771450470.187	1771450470.187
59	100.000	-0.008	99.998	16.766	0.700	0.664	1771450470.462	1771450470.462	1771450470.462	1771450470.462	1771450470.462	1771450470.462
60	100.000	0.024	99.999	11.474	0.429	0.664	1771450470.670	1771450470.670	1771450470.670	1771450470.670	1771450470.670	1771450470.670
61	100.000	0.052	100.000	2.717	5.364	0.664	1771450470.931	1771450470.931	1771450470.931	1771450470.931	1771450470.931	1771450470.931
62	100.000	-0.018	100.000	6.318	3.629	0.664	1771450471.190	1771450471.190	1771450471.190	1771450471.190	1771450471.190	1771450471.190
63	100.000	0.007	100.000	4.401	2.270	0.664	1771450471.413	1771450471.413	1771450471.413	1771450471.413	1771450471.413	1771450471.413
64	100.000	0.073	100.000	12.778	0.955	0.664	1771450471.669	1771450471.669	1771450471.669	1771450471.669	1771450471.669	1771450471.669
65	100.000	0.031	100.000	16.683	0.694	0.664	1771450471.893	1771450471.893	1771450471.893	1771450471.893	1771450471.893	1771450471.893
66	100.000	0.011	100.000	10.945	0.378	0.664	1771450472.152	1771450472.152	1771450472.152	1771450472.152	1771450472.152	1771450472.152
67	100.000	0.004	99.999	3.241	5.170	0.664	1771450472.399	1771450472.399	1771450472.399	1771450472.399	1771450472.399	1771450472.399
68	100.000	0.003	100.003	6.947	3.612	0.664	1771450472.655	1771450472.655	1771450472.655	1771450472.655	1771450472.655	1771450472.655
69	100.000	-0.039	100.000	5.191	2.310	0.664	1771450472.880	1771450472.880	1771450472.880	1771450472.880	1771450472.880	1771450472.880
70	100.000	-0.027	100.003	12.784	1.012	0.664	1771450473.157	1771450473.157	1771450473.157	1771450473.157	1771450473.157	1771450473.157
71	100.000	0.009	100.004	16.352	0.692	0.664	1771450473.375	1771450473.375	1771450473.375	1771450473.375	1771450473.375	1771450473.375
72	100.000	-0.043	99.999	11.875	0.458	0.664	1771450473.569	1771450473.569	1771450473.569	1771450473.569	1771450473.569	1771450473.569
73	100.000	-0.030	99.997	2.988	5.505	0.664	1771450473.839	1771450473.839	1771450473.839	1771450473.839	1771450473.839	1771450473.839
74	100.000	0.001	100.000	6.011	3.661	0.664	1771450474.067	1771450474.067	1771450474.067	1771450474.067	1771450474.067	1771450474.067
75	100.000	0.031	100.002	4.783	2.597	0.664	1771450474.324	1771450474.324	1771450474.324	1771450474.324	1771450474.324	1771450474.324
76	100.000	0.030	99.999	12.883	1.068	0.664	1771450474.579	1771450474.579	1771450474.579	1771450474.579	1771450474.579	1771450474.579
77	100.000	-0.010	100.000	17.051	0.693	0.664	1771450474.831	1771450474.831	1771450474.831	1771450474.831	1771450474.831	1771450474.831
