Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
1	200.000	0.016	200.003	3.206	4.770	1.328	1771524096.550	1771524096.550	1771524096.550	1771524096.550	1771524096.550	1771524096.550
2	200.000	-0.031	200.000	3.214	4.729	1.328	1771524096.817	1771524096.817	1771524096.817	1771524096.817	1771524096.817	1771524096.817
3	200.000	0.050	199.997	3.120	4.766	1.328	1771524097.038	1771524097.038	1771524097.038	1771524097.038	1771524097.038	1771524097.038
4	200.000	0.016	200.000	3.213	4.767	1.328	1771524097.275	1771524097.275	1771524097.275	1771524097.275	1771524097.275	1771524097.275
5	200.000	-0.025	200.004	3.244	4.682	1.328	1771524097.481	1771524097.481	1771524097.481	1771524097.481	1771524097.481	1771524097.481
6	200.000	-0.028	199.997	3.060	4.729	1.328	1771524097.720	1771524097.720	1771524097.720	1771524097.720	1771524097.720	1771524097.720
7	200.000	-0.020	200.001	3.207	4.710	1.328	1771524097.972	1771524097.972	1771524097.972	1771524097.972	1771524097.972	1771524097.972
8	200.000	-0.050	200.003	3.122	4.753	1.328	1771524098.205	1771524098.205	1771524098.205	1771524098.205	1771524098.205	1771524098.205
9	200.000	-0.010	200.002	3.198	4.772	1.328	1771524098.435	1771524098.435	1771524098.435	1771524098.435	1771524098.435	1771524098.435
10	200.000	0.072	199.999	3.082	4.709	1.328	1771524098.675	1771524098.675	1771524098.675	1771524098.675	1771524098.675	1771524098.675
11	200.000	-0.001	200.001	3.222	4.704	1.328	1771524098.914	1771524098.914	1771524098.914	1771524098.914	1771524098.914	1771524098.914
12	200.000	-0.062	200.003	3.175	4.714	1.328	1771524099.147	1771524099.147	1771524099.147	1771524099.147	1771524099.147	1771524099.147
13	200.000	0.033	199.998	3.236	4.691	1.328	1771524099.362	1771524099.362	1771524099.362	1771524099.362	1771524099.362	1771524099.362
14	200.000	-0.019	199.999	3.217	4.753	1.328	1771524099.597	1771524099.597	1771524099.597	1771524099.597	1771524099.597	1771524099.597
15	200.000	-0.040	200.001	3.104	4.684	1.328	1771524099.865	1771524099.865	1771524099.865	1771524099.865	1771524099.865	1771524099.865
16	200.000	0.028	199.998	3.093	4.704	1.328	1771524100.095	1771524100.095	1771524100.095	1771524100.095	1771524100.095	1771524100.095
17	200.000	0.035	200.000	3.151	4.718	1.328	1771524100.340	1771524100.340	1771524100.340	1771524100.340	1771524100.340	1771524100.340
18	200.000	0.011	199.998	3.288	4.769	1.328	1771524100.544	1771524100.544	1771524100.544	1771524100.544	1771524100.544	1771524100.544
19	200.000	-0.010	200.005	3.218	4.727	1.328	1771524100.778	1771524100.778	1771524100.778	1771524100.778	1771524100.778	1771524100.778
20	200.000	-0.014	200.002	3.215	4.790	1.328	1771524100.964	1771524100.964	1771524100.964	1771524100.964	1771524100.964	1771524100.964
21	200.000	0.017	200.005	3.171	4.792	1.328	1771524101.173	1771524101.173	1771524101.173	1771524101.173	1771524101.173	1771524101.173
22	200.000	0.009	200.000	3.195	4.747	1.328	1771524101.445	1771524101.445	1771524101.445	1771524101.445	1771524101.445	1771524101.445
23	200.000	0.020	200.003	3.202	4.751	1.328	1771524101.664	1771524101.664	1771524101.664	1771524101.664	1771524101.664	1771524101.664
24	200.000	-0.040	199.996	3.132	4.793	1.328	1771524101.838	1771524101.838	1771524101.838	1771524101.838	1771524101.838	1771524101.838
25	200.000	0.027	199.996	3.307	4.743	1.328	1771524102.036	1771524102.036	1771524102.036	1771524102.036	1771524102.036	1771524102.036
