Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	500.000	0.011	500.000	1.885	5.153	1771616099.631
2	500.000	0.059	499.998	2.002	5.088	1771616099.843
3	500.000	-0.014	500.001	1.935	5.169	1771616100.036
4	500.000	-0.012	500.002	1.941	5.075	1771616100.235
5	500.000	-0.042	500.002	1.905	5.087	1771616100.490
6	500.000	-0.027	500.000	1.879	5.144	1771616100.729
7	500.000	0.004	500.001	1.906	5.150	1771616100.948
8	500.000	0.028	500.001	1.926	5.083	1771616101.169
9	500.000	-0.002	499.999	1.995	5.120	1771616101.419
10	500.000	-0.030	500.000	1.939	5.113	1771616101.643
11	500.000	-0.013	499.998	1.979	5.074	1771616101.870
12	500.000	0.039	500.001	1.940	5.110	1771616102.117
13	500.000	-0.031	500.005	1.948	5.085	1771616102.328
14	500.000	-0.041	499.999	1.903	5.143	1771616102.525
15	500.000	0.043	500.003	1.902	5.138	1771616102.800
16	500.000	0.023	499.997	1.909	5.148	1771616103.025
17	500.000	0.057	500.000	1.892	5.077	1771616103.226
18	500.000	-0.053	500.000	1.937	5.129	1771616103.523
19	500.000	-0.015	500.000	1.960	5.114	1771616103.737
20	500.000	0.002	500.000	1.946	5.151	1771616103.997
21	500.000	0.004	500.000	1.930	5.103	1771616104.223
22	500.000	-0.031	500.000	1.867	5.103	1771616104.413
23	500.000	0.098	500.002	1.933	5.114	1771616104.669
24	500.000	0.013	500.002	1.877	5.172	1771616104.910
25	500.000	0.033	499.999	1.937	5.090	1771616105.144
26	500.000	-0.045	500.001	1.918	5.072	1771616105.370
27	500.000	-0.048	500.001	1.877	5.097	1771616105.607
28	500.000	0.011	500.002	1.979	5.061	1771616105.838
29	500.000	0.072	500.003	1.967	5.062	1771616106.120
30	500.000	0.015	499.999	1.987	5.128	1771616106.366
31	500.000	0.039	499.998	1.981	5.124	1771616106.615
32	500.000	0.036	499.999	1.919	5.103	1771616106.879
33	500.000	0.007	500.002	1.980	5.086	1771616107.106
