Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	100.000	0.001	100.001	5.054	5.355	1771878072.667
2	100.000	0.001	100.004	5.287	5.268	1771878072.914
3	100.000	0.006	100.000	5.262	5.280	1771878073.162
4	100.000	-0.038	99.998	5.292	5.267	1771878073.425
5	100.000	0.008	100.003	5.350	5.326	1771878073.703
6	100.000	0.001	100.000	5.243	5.282	1771878073.979
7	100.000	0.027	99.998	5.402	5.232	1771878074.239
8	100.000	0.010	100.001	5.117	5.278	1771878074.480
9	100.000	-0.012	100.002	5.151	5.304	1771878074.718
10	100.000	0.001	99.998	5.140	5.324	1771878074.957
11	100.000	-0.007	100.000	5.330	5.278	1771878075.228
12	100.000	0.039	100.003	5.213	5.302	1771878075.455
13	100.000	0.027	100.003	5.428	5.249	1771878075.728
14	100.000	0.013	100.001	5.219	5.216	1771878075.960
15	100.000	0.014	100.000	5.146	5.343	1771878076.226
16	100.000	-0.011	100.001	5.271	5.241	1771878076.470
17	100.000	0.014	100.000	5.365	5.239	1771878076.679
18	100.000	-0.029	100.003	5.235	5.316	1771878076.964
19	100.000	-0.059	100.001	5.249	5.327	1771878077.212
20	100.000	-0.062	99.999	5.156	5.308	1771878077.491
21	100.000	-0.047	100.003	5.337	5.328	1771878077.741
22	100.000	0.006	100.000	5.206	5.267	1771878077.975
23	100.000	-0.021	100.001	5.372	5.319	1771878078.249
24	100.000	-0.008	99.998	5.287	5.267	1771878078.482
25	100.000	0.011	99.999	5.139	5.385	1771878078.747
26	100.000	0.004	99.997	5.250	5.302	1771878078.965
27	100.000	0.026	99.996	5.118	5.317	1771878079.249
28	100.000	-0.026	100.001	5.211	5.261	1771878079.471
29	100.000	-0.015	100.003	5.383	5.354	1771878079.746
30	100.000	-0.011	100.000	5.215	5.332	1771878079.996
31	100.000	0.036	99.999	5.356	5.401	1771878080.231
32	100.000	-0.031	99.999	5.247	5.305	1771878080.473
33	100.000	-0.007	100.000	5.361	5.322	1771878080.726
34	100.000	-0.025	99.999	5.491	5.301	1771878081.001
35	100.000	-0.007	99.997	5.335	5.357	1771878081.299
36	100.000	0.023	99.998	5.329	5.372	1771878081.547
