Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	1100.000	0.014	1100.001	0.006	5.591	1772140027.023
2	1100.000	0.010	1100.006	0.022	1.640	1772140027.521
3	1100.000	-0.006	1100.004	0.042	3.966	1772140028.021
4	1100.000	0.005	1100.000	0.004	5.161	1772140028.526
5	1100.000	0.016	1100.005	0.026	3.682	1772140029.016
6	1100.000	0.009	1100.001	0.014	1.779	1772140029.492
7	1100.000	0.004	1099.998	0.013	2.111	1772140030.009
8	1100.000	0.001	1099.998	0.010	5.957	1772140030.487
9	1100.000	-0.004	1100.001	0.023	1.447	1772140030.962
10	1100.000	-0.011	1100.003	0.021	5.025	1772140031.434
11	1100.000	0.004	1100.001	0.021	2.289	1772140031.935
12	1100.000	-0.001	1100.006	0.022	3.319	1772140032.454
13	1100.000	0.001	1099.999	0.032	1.515	1772140032.923
14	1100.000	0.004	1100.002	0.021	6.141	1772140033.432
15	1100.000	0.002	1100.001	0.022	4.946	1772140033.953
16	1100.000	0.001	1099.996	0.031	2.836	1772140034.422
17	1100.000	-0.009	1100.002	0.009	4.617	1772140034.879
18	1100.000	0.002	1099.997	0.032	1.818	1772140035.379
19	1100.000	-0.009	1100.002	0.016	5.429	1772140035.890
20	1100.000	-0.009	1099.998	0.013	2.605	1772140036.394
21	1100.000	0.003	1099.999	0.012	3.032	1772140036.865
22	1100.000	0.021	1099.998	0.014	6.031	1772140037.335
23	1100.000	0.007	1100.001	0.027	0.557	1772140037.813
24	1100.000	-0.006	1099.999	0.008	3.004	1772140038.288
25	1100.000	0.012	1100.002	0.029	3.288	1772140038.815
26	1100.000	-0.007	1100.000	0.035	3.857	1772140039.308
27	1100.000	0.001	1099.997	0.022	3.315	1772140039.760
28	1100.000	-0.015	1100.000	0.010	2.079	1772140040.277
29	1100.000	0.009	1100.000	0.015	4.717	1772140040.749
30	1100.000	-0.008	1099.998	0.026	1.494	1772140041.254
31	1100.000	0.005	1099.999	0.015	3.128	1772140041.772
32	1100.000	0.003	1099.999	0.030	4.400	1772140042.260
33	1100.000	0.002	1100.001	0.021	1.228	1772140042.753
34	1100.000	-0.006	1100.005	0.025	3.206	1772140043.251
35	1100.000	-0.007	1100.001	0.036	5.965	1772140043.767
36	1100.000	0.016	1099.997	0.033	4.279	1772140044.223
37	1100.000	0.006	1099.999	0.027	2.648	1772140044.708
38	1100.000	-0.000	1100.000	0.021	1.628	1772140045.187
39	1100.000	0.004	1099.997	0.020	6.147	1772140045.712
40	1100.000	0.004	1100.004	0.017	4.024	1772140046.182
41	1100.000	0.004	1099.998	0.029	5.686	1772140046.680
42	1100.000	-0.004	1100.002	0.011	5.069	1772140047.189
43	1100.000	-0.028	1100.000	0.009	5.940	1772140047.691
44	1100.000	-0.001	1100.002	0.004	4.224	1772140048.215
45	1100.000	0.020	1100.000	0.013	3.583	1772140048.717
46	1100.000	0.011	1099.999	0.022	5.668	1772140049.196
47	1100.000	-0.011	1099.999	0.032	6.076	1772140049.708
48	1100.000	-0.000	1100.003	0.017	2.477	1772140050.189
49	1100.000	0.008	1099.999	0.009	0.133	1772140050.671
50	1100.000	-0.005	1099.999	0.015	4.875	1772140051.140
51	1100.000	0.006	1100.000	0.026	3.695	1772140051.658
52	1100.000	0.012	1100.003	0.024	0.940	1772140052.140
53	1100.000	-0.007	1099.998	0.027	3.022	1772140052.637
54	1100.000	0.004	1099.999	0.016	5.048	1772140053.111
55	1100.000	-0.015	1099.995	0.046	2.342	1772140053.618
56	1100.000	0.001	1100.000	0.015	0.509	1772140054.078
57	1100.000	-0.010	1100.003	0.029	2.354	1772140054.571
58	1100.000	-0.002	1099.997	0.019	2.875	1772140055.068
59	1100.000	-0.004	1099.997	0.029	2.279	1772140055.569
60	1100.000	-0.003	1100.001	0.035	3.090	1772140056.061
61	1100.000	0.007	1100.000	0.049	3.606	1772140056.563
62	1100.000	0.004	1100.002	0.018	1.100	1772140057.084
63	1100.000	-0.002	1100.001	0.039	2.449	1772140057.599
64	1100.000	-0.001	1100.002	0.029	2.574	1772140058.116
65	1100.000	0.000	1100.003	0.027	2.389	1772140058.608
66	1100.000	-0.004	1100.001	0.017	3.866	1772140059.083
67	1100.000	-0.006	1100.000	0.020	5.973	1772140059.587
68	1100.000	-0.010	1100.002	0.032	4.377	1772140060.048
69	1100.000	-0.004	1099.999	0.018	0.406	1772140060.539
70	1100.000	0.009	1099.997	0.023	3.586	1772140061.059
71	1100.000	-0.008	1099.995	0.018	0.525	1772140061.522
72	1100.000	-0.005	1100.002	0.023	0.992	1772140062.031
73	1100.000	-0.009	1099.995	0.016	6.040	1772140062.527
74	1100.000	0.002	1100.000	0.020	3.132	1772140063.043
75	1100.000	0.003	1100.001	0.011	3.349	1772140063.514
76	1100.000	-0.003	1100.000	0.022	2.415	1772140063.967
77	1100.000	-0.007	1100.002	0.034	5.396	1772140064.447
78	1100.000	0.001	1099.999	0.014	6.229	1772140064.915
79	1100.000	0.009	1100.001	0.034	5.804	1772140065.397
80	1100.000	-0.009	1099.998	0.055	3.029	1772140065.852
81	1100.000	0.006	1099.999	0.024	0.108	1772140066.363
82	1100.000	-0.008	1099.998	0.026	4.547	1772140066.835
83	1100.000	-0.016	1100.002	0.027	3.453	1772140067.290
84	1100.000	0.016	1100.001	0.005	4.256	1772140067.776
85	1100.000	0.005	1099.997	0.003	1.450	1772140068.304
86	1100.000	-0.009	1099.997	0.024	1.944	1772140068.790
87	1100.000	0.005	1099.998	0.033	4.407	1772140069.303
88	1100.000	-0.010	1099.999	0.011	0.613	1772140069.798
89	1100.000	-0.016	1099.999	0.008	0.932	1772140070.276
90	1100.000	-0.008	1099.999	0.021	2.820	1772140070.739
91	1100.000	0.018	1100.003	0.028	3.134	1772140071.246
92	1100.000	-0.001	1100.000	0.054	0.760	1772140071.738
93	1100.000	-0.013	1100.001	0.016	3.707	1772140072.235
94	1100.000	-0.007	1099.998	0.038	3.613	1772140072.761
95	1100.000	-0.007	1100.000	0.005	3.373	1772140073.239
96	1100.000	0.008	1099.999	0.010	4.436	1772140073.742
97	1100.000	0.003	1099.998	0.041	3.500	1772140074.226
98	1100.000	-0.007	1099.995	0.006	0.404	1772140074.684
99	1100.000	0.009	1100.000	0.025	6.124	1772140075.205
100	1100.000	-0.023	1100.003	0.014	6.263	1772140075.682
101	1100.000	0.001	1100.001	0.020	4.561	1772140076.158
102	1100.000	0.008	1099.999	0.033	0.778	1772140076.603
103	1100.000	-0.015	1100.003	0.015	6.041	1772140077.063
104	1100.000	0.018	1100.001	0.008	3.949	1772140077.539
105	1100.000	0.003	1100.002	0.015	3.478	1772140078.022
106	1100.000	-0.013	1100.002	0.031	5.365	1772140078.499
107	1100.000	0.011	1100.000	0.043	5.549	1772140078.952
108	1100.000	0.012	1100.002	0.016	5.283	1772140079.451
109	1100.000	-0.006	1099.997	0.036	6.108	1772140079.943
110	1100.000	0.010	1100.000	0.008	4.763	1772140080.455
111	1100.000	-0.003	1099.997	0.002	1.184	1772140080.946
112	1100.000	-0.008	1099.999	0.013	3.323	1772140081.450
113	1100.000	-0.005	1099.998	0.007	0.993	1772140081.919
114	1100.000	-0.001	1099.996	0.013	0.214	1772140082.378
115	1100.000	0.002	1100.006	0.005	5.871	1772140082.899
116	1100.000	-0.002	1100.004	0.048	2.451	1772140083.416
117	1100.000	0.019	1100.000	0.027	6.076	1772140083.908
118	1100.000	-0.010	1100.001	0.032	0.037	1772140084.398
119	1100.000	0.010	1100.003	0.043	3.821	1772140084.897
120	1100.000	-0.012	1100.000	0.028	3.133	1772140085.379
121	1100.000	0.021	1100.000	0.057	3.661	1772140085.845
122	1100.000	-0.012	1099.999	0.012	3.257	1772140086.337
123	1100.000	0.009	1100.000	0.023	5.242	1772140086.826
124	1100.000	-0.008	1099.999	0.060	0.033	1772140087.308
125	1100.000	-0.003	1099.998	0.022	6.048	1772140087.780
126	1100.000	0.003	1100.001	0.028	3.305	1772140088.292
127	1100.000	0.003	1099.997	0.016	5.323	1772140088.771
128	1100.000	0.007	1100.000	0.012	3.684	1772140089.259
129	1100.000	0.004	1099.999	0.027	2.203	1772140089.762
130	1100.000	0.005	1099.998	0.012	5.226	1772140090.279
131	1100.000	0.001	1100.000	0.033	2.834	1772140090.785
132	1100.000	0.020	1100.002	0.046	6.267	1772140091.287
133	1100.000	-0.001	1099.996	0.029	3.066	1772140091.799
134	1100.000	-0.015	1099.998	0.021	5.298	1772140092.275
135	1100.000	0.004	1099.997	0.017	1.630	1772140092.747
136	1100.000	0.009	1100.000	0.029	2.910	1772140093.249
137	1100.000	-0.026	1100.001	0.002	2.451	1772140093.747
138	1100.000	-0.013	1100.003	0.007	5.662	1772140094.227
139	1100.000	0.003	1099.998	0.011	4.815	1772140094.729
140	1100.000	0.007	1100.001	0.036	3.825	1772140095.248
141	1100.000	-0.019	1100.001	0.008	6.079	1772140095.708
142	1100.000	0.004	1099.996	0.008	4.417	1772140096.228
143	1100.000	0.011	1100.003	0.023	4.242	1772140096.702
144	1100.000	-0.008	1100.000	0.026	3.326	1772140097.226
145	1100.000	0.002	1100.000	0.023	3.660	1772140097.734
146	1100.000	0.002	1100.000	0.056	3.217	1772140098.252
147	1100.000	-0.011	1100.003	0.029	1.806	1772140098.745
148	1100.000	-0.009	1100.001	0.044	3.431	1772140099.237
149	1100.000	0.009	1099.997	0.006	0.236	1772140099.717
150	1100.000	0.007	1100.002	0.010	5.193	1772140100.210
151	1100.000	0.002	1099.997	0.045	2.989	1772140100.730
152	1100.000	0.009	1100.001	0.008	5.641	1772140101.248
153	1100.000	-0.012	1099.999	0.021	1.006	1772140101.756
154	1100.000	-0.009	1100.000	0.010	5.638	1772140102.255
155	1100.000	-0.002	1100.000	0.011	2.978	1772140102.760
156	1100.000	-0.007	1100.002	0.013	5.497	1772140103.236
157	1100.000	-0.001	1099.998	0.022	6.122	1772140103.740
158	1100.000	0.006	1100.005	0.031	5.233	1772140104.239
159	1100.000	-0.008	1100.002	0.016	2.277	1772140104.738
160	1100.000	0.007	1100.000	0.018	4.855	1772140105.229
161	1100.000	0.004	1100.000	0.031	0.602	1772140105.754
162	1100.000	0.022	1100.000	0.025	3.058	1772140106.238
163	1100.000	-0.003	1099.999	0.007	3.463	1772140106.754
164	1100.000	0.009	1100.000	0.039	1.714	1772140107.220
165	1100.000	0.016	1099.998	0.016	3.557	1772140107.741
166	1100.000	0.010	1100.000	0.015	3.215	1772140108.229
167	1100.000	0.003	1100.000	0.031	5.770	1772140108.701
168	1100.000	-0.013	1099.999	0.044	0.727	1772140109.215
169	1100.000	-0.009	1100.002	0.023	1.265	1772140109.682
170	1100.000	0.004	1100.001	0.027	5.904	1772140110.167
171	1100.000	-0.007	1100.003	0.022	6.249	1772140110.629
172	1100.000	-0.011	1100.000	0.031	5.476	1772140111.149
173	1100.000	-0.005	1100.001	0.027	2.218	1772140111.641
174	1100.000	0.012	1099.999	0.013	4.753	1772140112.152
175	1100.000	-0.004	1099.998	0.013	0.527	1772140112.627
176	1100.000	-0.010	1099.997	0.012	0.852	1772140113.149
177	1100.000	0.013	1100.002	0.011	0.522	1772140113.644
178	1100.000	-0.016	1100.003	0.048	4.648	1772140114.128
179	1100.000	-0.011	1099.998	0.014	2.971	1772140114.646
180	1100.000	0.001	1100.000	0.006	1.149	1772140115.130
181	1100.000	-0.011	1100.001	0.028	5.827	1772140115.601
182	1100.000	-0.002	1100.000	0.026	3.092	1772140116.108
183	1100.000	-0.018	1099.998	0.012	0.175	1772140116.599
184	1100.000	-0.005	1099.998	0.024	2.067	1772140117.114
185	1100.000	-0.000	1100.001	0.013	5.802	1772140117.603
186	1100.000	-0.004	1100.000	0.031	1.601	1772140118.113
187	1100.000	-0.007	1100.001	0.011	0.717	1772140118.614
188	1100.000	0.003	1100.001	0.018	4.104	1772140119.131
189	1100.000	0.002	1100.004	0.007	1.796	1772140119.600
190	1100.000	-0.002	1100.000	0.011	1.968	1772140120.118
191	1100.000	-0.009	1099.998	0.023	1.581	1772140120.616
192	1100.000	-0.006	1100.001	0.030	3.081	1772140121.129
193	1100.000	0.008	1100.002	0.009	4.040	1772140121.612
194	1100.000	0.005	1099.999	0.022	0.439	1772140122.116
195	1100.000	0.004	1099.999	0.010	2.606	1772140122.629
196	1100.000	0.012	1099.999	0.009	2.850	1772140123.088
197	1100.000	0.002	1100.000	0.013	0.736	1772140123.552
198	1100.000	0.001	1100.001	0.022	5.693	1772140124.054
199	1100.000	-0.006	1099.995	0.043	2.565	1772140124.561
200	1100.000	-0.006	1099.998	0.016	2.057	1772140125.051
201	1100.000	-0.014	1100.001	0.030	0.464	1772140125.542
202	1100.000	0.006	1100.000	0.011	3.369	1772140126.047
203	1100.000	-0.021	1100.001	0.030	5.683	1772140126.514
