Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	399.996	0.855	2.244
400.000	400.001	0.986	2.126
400.000	399.997	0.970	2.280
400.000	400.001	0.943	2.370
400.000	400.000	0.956	2.124
400.000	400.002	1.012	2.067
400.000	400.000	0.974	2.365
400.000	399.998	0.864	2.202
400.000	400.000	0.974	2.242
400.000	399.999	0.867	2.229
400.000	399.999	0.988	2.307
400.000	399.998	0.963	2.379
400.000	400.001	0.971	2.294
400.000	399.999	0.997	2.351
400.000	400.001	0.894	2.171
400.000	399.998	0.952	2.140
400.000	400.000	0.928	2.231
400.000	399.999	0.926	2.318
400.000	400.001	0.963	2.176
400.000	400.000	1.023	2.349
400.000	400.004	0.981	2.280
400.000	399.999	0.925	2.378
400.000	400.000	0.949	2.261
400.000	399.998	0.965	2.184
400.000	399.997	0.933	2.356
400.000	399.997	0.984	2.367
400.000	400.001	0.937	2.282
400.000	400.002	0.990	2.239
400.000	399.999	0.858	2.283
400.000	400.003	1.017	2.360
400.000	399.997	0.879	2.236
400.000	399.999	0.908	2.345
400.000	399.999	0.876	2.375
400.000	400.003	0.990	2.130
400.000	400.001	0.968	2.298
400.000	400.002	0.988	2.243
400.000	400.002	0.899	2.356
400.000	400.001	0.954	2.192
400.000	400.001	1.031	2.290
400.000	399.997	1.017	2.282
400.000	400.004	0.967	2.269
400.000	399.999	0.962	2.261
400.000	400.000	0.901	2.221
400.000	400.003	0.937	2.371
400.000	399.999	0.896	2.234
400.000	400.003	0.884	2.151
400.000	400.000	0.853	2.209
400.000	399.999	1.033	2.203
400.000	400.003	0.940	2.378
400.000	400.001	0.912	2.207
400.000	400.001	1.011	2.214
400.000	400.006	0.906	2.310
400.000	400.004	0.967	2.204
400.000	400.002	0.929	2.331
400.000	400.002	0.924	2.232
400.000	400.000	0.973	1.989
400.000	400.000	0.798	2.188
400.000	400.002	0.954	2.177
400.000	400.001	0.925	2.160
400.000	400.002	0.867	2.129
400.000	400.002	0.920	2.149
400.000	400.001	0.912	2.291
400.000	399.995	0.878	2.201
400.000	399.998	0.934	2.397
400.000	399.997	0.916	2.375
400.000	400.002	0.963	2.356
400.000	400.001	0.947	2.302
400.000	399.997	0.918	2.345
400.000	400.000	0.963	2.285
400.000	400.000	0.995	2.319
400.000	399.996	0.933	2.324
400.000	399.997	0.965	2.394
400.000	399.999	0.922	2.233
400.000	400.001	0.859	2.136
400.000	400.003	1.044	2.176
400.000	399.999	0.867	2.191
400.000	400.001	0.938	2.323
400.000	399.998	0.937	2.182
400.000	400.001	1.028	2.230
400.000	400.002	0.947	2.285
400.000	399.999	0.977	2.252
400.000	400.003	0.948	2.288
400.000	400.000	0.897	2.267
400.000	400.002	0.970	2.141
400.000	400.002	0.963	2.374
400.000	399.997	1.032	2.357
400.000	400.003	0.961	2.143
400.000	399.998	0.913	2.116
400.000	400.001	0.868	2.245
400.000	400.000	0.898	2.246
400.000	400.001	0.929	2.207
400.000	400.000	0.966	2.207
400.000	399.999	0.857	2.221
400.000	400.002	0.885	2.251
400.000	399.997	1.013	2.143
400.000	399.999	0.940	2.109
400.000	399.999	0.960	2.278
400.000	399.999	0.985	2.266
400.000	400.001	0.928	2.083
400.000	399.996	0.899	2.126
400.000	400.001	0.905	2.198
400.000	399.999	0.907	2.220
400.000	399.999	1.014	2.151
400.000	400.002	0.984	2.095
400.000	400.003	0.889	2.097
400.000	400.001	0.974	2.111
400.000	399.996	0.869	2.248
400.000	400.004	0.877	2.053
400.000	399.999	0.885	2.195
400.000	400.001	0.926	2.255
400.000	399.999	0.839	2.096
400.000	400.003	0.977	2.234
400.000	400.003	0.806	2.230
400.000	400.000	0.943	2.250
400.000	399.997	0.966	2.235
400.000	400.000	0.989	2.149
400.000	399.999	0.897	2.143
400.000	400.000	1.010	2.237
400.000	400.002	0.920	2.157
400.000	399.998	0.884	2.281
400.000	400.000	0.954	2.165
400.000	400.000	1.002	2.287
400.000	400.004	0.890	2.166
400.000	400.004	1.014	2.191
400.000	400.002	1.005	2.214
400.000	399.996	0.959	2.289
400.000	400.001	0.946	2.347
400.000	399.997	0.940	2.356
400.000	400.003	0.901	2.250
400.000	400.000	0.973	2.137
400.000	399.999	0.950	2.283
400.000	399.999	0.907	2.115
400.000	400.002	0.887	2.223
400.000	399.998	0.949	2.080
400.000	400.002	0.907	2.032
400.000	399.998	0.966	2.147
400.000	400.001	0.714	2.174
400.000	399.999	0.933	2.135
400.000	399.998	0.868	2.202
400.000	400.001	0.061	0.824
400.000	400.002	0.152	5.646
400.000	399.998	0.711	2.266
400.000	400.001	0.899	2.046
400.000	400.004	0.160	5.255
400.000	399.998	0.131	3.352
400.000	400.001	0.883	2.095
400.000	400.003	0.143	1.437
400.000	399.999	0.246	4.593
400.000	399.994	0.704	2.068
400.000	400.000	0.638	2.166
400.000	400.002	0.067	0.278
400.000	400.000	0.074	2.922
400.000	399.999	0.872	2.128
400.000	400.000	0.244	1.827
400.000	400.002	0.079	4.542
400.000	400.002	0.787	2.145
400.000	400.001	0.667	2.247
400.000	400.001	0.113	5.287
400.000	400.003	0.213	2.063
400.000	400.004	0.978	2.256
400.000	399.999	0.387	2.020
400.000	400.001	0.144	5.926
400.000	400.001	0.674	2.102
400.000	400.001	0.654	2.143
400.000	400.002	0.121	3.112
400.000	399.999	0.823	2.027
400.000	400.003	0.268	1.873
400.000	400.004	0.165	4.617
400.000	399.999	0.370	1.909
400.000	399.999	0.762	2.253
400.000	399.998	0.192	1.503
400.000	399.999	0.118	3.159
400.000	399.997	0.762	2.127
400.000	399.999	0.100	1.584
400.000	399.996	0.183	4.406
400.000	399.997	0.554	1.983
400.000	399.999	0.781	2.102
400.000	400.002	0.080	1.088
400.000	399.998	0.123	3.688
400.000	400.003	0.745	2.329
