# # Date: 2026-03-03
# # RES_mm: 1.0
# # NSTEPS: 204
# Step,Encoder_Pos_mm,Unix_Time_s,Elapsed_Time_s
0.000000000000000000e+00,2.249580700000000000e+07,1.772557131847184896e+09,2.049675941467285156e+00
1.000000000000000000e+00,2.249989100000000000e+07,1.772557134133106709e+09,4.335597753524780273e+00
2.000000000000000000e+00,2.250397800000000000e+07,1.772557136412605286e+09,6.615096330642700195e+00
3.000000000000000000e+00,2.250807300000000000e+07,1.772557138702952862e+09,8.905443906784057617e+00
4.000000000000000000e+00,2.251216300000000000e+07,1.772557140991961718e+09,1.119445276260375977e+01
5.000000000000000000e+00,2.251626900000000000e+07,1.772557143265904188e+09,1.346839523315429688e+01
6.000000000000000000e+00,2.252037200000000000e+07,1.772557145544027328e+09,1.574651837348937988e+01
7.000000000000000000e+00,2.252446600000000000e+07,1.772557147830791950e+09,1.803328299522399902e+01
8.000000000000000000e+00,2.252856000000000000e+07,1.772557150115658998e+09,2.031815004348754883e+01
9.000000000000000000e+00,2.253266100000000000e+07,1.772557152403272152e+09,2.260576319694519043e+01
1.000000000000000000e+01,2.253674500000000000e+07,1.772557154688838005e+09,2.489132905006408691e+01
1.100000000000000000e+01,2.254083900000000000e+07,1.772557156974765778e+09,2.717725682258605957e+01
1.200000000000000000e+01,2.254492000000000000e+07,1.772557159263332605e+09,2.946582365036010742e+01
1.300000000000000000e+01,2.254902200000000000e+07,1.772557161550472260e+09,3.175296330451965332e+01
1.400000000000000000e+01,2.255312300000000000e+07,1.772557163840210199e+09,3.404270124435424805e+01
1.500000000000000000e+01,2.255722900000000000e+07,1.772557166124305725e+09,3.632679677009582520e+01
1.600000000000000000e+01,2.256132200000000000e+07,1.772557168410582066e+09,3.861307311058044434e+01
1.700000000000000000e+01,2.256542500000000000e+07,1.772557170697160244e+09,4.089965128898620605e+01
1.800000000000000000e+01,2.256952000000000000e+07,1.772557172983940125e+09,4.318643116950988770e+01
1.900000000000000000e+01,2.257360500000000000e+07,1.772557175273557663e+09,4.547604870796203613e+01
2.000000000000000000e+01,2.257768500000000000e+07,1.772557177551895380e+09,4.775438642501831055e+01
2.100000000000000000e+01,2.258177800000000000e+07,1.772557179836645126e+09,5.003913617134094238e+01
2.200000000000000000e+01,2.258586500000000000e+07,1.772557182122595549e+09,5.232508659362792969e+01
2.300000000000000000e+01,2.258996700000000000e+07,1.772557184404284716e+09,5.460677576065063477e+01
2.400000000000000000e+01,2.259405600000000000e+07,1.772557186692228556e+09,5.689471960067749023e+01
2.500000000000000000e+01,2.259815200000000000e+07,1.772557188967541218e+09,5.917003226280212402e+01
2.600000000000000000e+01,2.260225200000000000e+07,1.772557191244015932e+09,6.144650697708129883e+01
2.700000000000000000e+01,2.260632700000000000e+07,1.772557193527837038e+09,6.373032808303833008e+01
2.800000000000000000e+01,2.261037300000000000e+07,1.772557195805667400e+09,6.600815844535827637e+01
2.900000000000000000e+01,2.261449200000000000e+07,1.772557198089372635e+09,6.829186367988586426e+01
3.000000000000000000e+01,2.261861200000000000e+07,1.772557200378900290e+09,7.058139133453369141e+01
3.100000000000000000e+01,2.262270500000000000e+07,1.772557202659364700e+09,7.286185574531555176e+01
3.200000000000000000e+01,2.262681000000000000e+07,1.772557204948431730e+09,7.515092277526855469e+01
3.300000000000000000e+01,2.263092400000000000e+07,1.772557207235466480e+09,7.743795752525329590e+01
3.400000000000000000e+01,2.263500700000000000e+07,1.772557209525327444e+09,7.972781848907470703e+01
3.500000000000000000e+01,2.263910200000000000e+07,1.772557211812802076e+09,8.201529312133789062e+01
3.600000000000000000e+01,2.264320400000000000e+07,1.772557214101438522e+09,8.430392956733703613e+01
3.700000000000000000e+01,2.264729100000000000e+07,1.772557216379037142e+09,8.658152818679809570e+01
3.800000000000000000e+01,2.265135500000000000e+07,1.772557218657150984e+09,8.885964202880859375e+01
3.900000000000000000e+01,2.265546800000000000e+07,1.772557220943289995e+09,9.114578104019165039e+01
4.000000000000000000e+01,2.265958300000000000e+07,1.772557223234990120e+09,9.343748116493225098e+01
4.100000000000000000e+01,2.266365800000000000e+07,1.772557225507748604e+09,9.571023964881896973e+01
4.200000000000000000e+01,2.266772200000000000e+07,1.772557227794482946e+09,9.799697399139404297e+01
4.300000000000000000e+01,2.267184000000000000e+07,1.772557230079995394e+09,1.002824864387512207e+02
4.400000000000000000e+01,2.267594400000000000e+07,1.772557232365337133e+09,1.025678281784057617e+02
4.500000000000000000e+01,2.268003100000000000e+07,1.772557234645900011e+09,1.048483910560607910e+02
4.600000000000000000e+01,2.268412900000000000e+07,1.772557236934159279e+09,1.071366503238677979e+02
4.700000000000000000e+01,2.268824600000000000e+07,1.772557239223673582e+09,1.094261646270751953e+02
4.800000000000000000e+01,2.269233200000000000e+07,1.772557241511179209e+09,1.117136702537536621e+02
4.900000000000000000e+01,2.269642900000000000e+07,1.772557243796791792e+09,1.139992828369140625e+02
5.000000000000000000e+01,2.270052800000000000e+07,1.772557246083770514e+09,1.162862615585327148e+02
5.100000000000000000e+01,2.270461700000000000e+07,1.772557248364584446e+09,1.185670754909515381e+02
5.200000000000000000e+01,2.270870500000000000e+07,1.772557250653327465e+09,1.208558185100555420e+02
