Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	400.001	0.951	2.425
400.000	399.999	0.947	2.326
400.000	400.006	0.859	2.355
400.000	399.998	0.937	2.353
400.000	400.001	1.003	2.425
400.000	400.001	0.939	2.356
400.000	400.001	0.965	2.451
400.000	399.999	0.951	2.469
400.000	400.001	0.897	2.375
400.000	400.002	1.001	2.384
400.000	400.000	0.967	2.334
400.000	400.004	0.920	2.456
400.000	400.001	0.932	2.504
400.000	399.999	0.945	2.549
400.000	399.999	0.911	2.482
400.000	399.999	0.907	2.462
400.000	400.002	1.009	2.446
400.000	399.999	0.913	2.473
400.000	399.999	0.945	2.478
400.000	400.001	0.905	2.381
400.000	400.002	0.940	2.374
400.000	400.000	0.920	2.417
400.000	400.001	0.960	2.383
400.000	399.998	0.971	2.484
400.000	400.000	0.994	2.368
400.000	400.000	0.903	2.411
400.000	399.998	0.958	2.457
400.000	400.004	0.958	2.426
400.000	400.001	0.890	2.430
400.000	400.001	0.897	2.511
400.000	400.001	0.949	2.526
400.000	399.997	0.991	2.432
400.000	400.000	0.948	2.467
400.000	400.000	0.985	2.523
400.000	400.000	1.024	2.544
400.000	400.001	0.935	2.447
400.000	399.998	0.951	2.575
400.000	399.999	0.980	2.417
400.000	399.999	0.899	2.417
400.000	399.999	0.963	2.620
400.000	399.998	1.023	2.473
400.000	399.999	0.922	2.576
400.000	400.001	0.979	2.421
400.000	400.002	0.904	2.455
400.000	399.999	0.999	2.442
400.000	399.999	0.922	2.473
400.000	400.003	0.937	2.491
400.000	400.003	0.996	2.651
400.000	399.999	0.998	2.495
400.000	400.000	0.925	2.386
400.000	400.002	1.002	2.485
400.000	400.000	0.928	2.410
400.000	399.999	0.973	2.514
400.000	400.002	0.942	2.344
400.000	400.000	0.888	2.471
400.000	399.999	0.950	2.453
400.000	400.001	0.846	2.364
400.000	400.001	0.950	2.456
400.000	400.001	1.019	2.394
400.000	400.001	0.944	2.549
400.000	399.999	0.948	2.483
400.000	400.001	0.972	2.483
400.000	400.002	0.972	2.399
400.000	399.999	0.929	2.445
400.000	400.003	0.985	2.504
400.000	399.999	0.949	2.446
400.000	400.001	0.962	2.472
400.000	400.000	0.986	2.420
400.000	400.000	0.992	2.408
400.000	400.001	0.985	2.435
400.000	400.000	0.984	2.358
400.000	400.002	0.955	2.622
400.000	400.000	1.018	2.599
400.000	399.997	0.979	2.429
400.000	399.998	0.958	2.414
400.000	399.998	0.968	2.570
400.000	400.000	0.976	2.499
400.000	400.002	1.045	2.543
400.000	400.000	1.023	2.521
400.000	400.001	0.983	2.559
400.000	399.999	1.051	2.610
400.000	400.002	0.818	2.520
400.000	399.997	0.948	2.483
400.000	400.003	0.921	2.406
400.000	399.998	1.015	2.415
400.000	400.000	0.980	2.396
400.000	400.002	0.936	2.469
400.000	399.999	0.969	2.483
400.000	399.998	0.958	2.442
400.000	399.998	0.967	2.502
400.000	399.997	0.995	2.387
400.000	400.000	0.953	2.496
400.000	399.998	0.934	2.526
400.000	399.999	0.999	2.509
400.000	400.001	0.993	2.383
400.000	400.004	0.965	2.394
400.000	400.001	0.913	2.396
400.000	399.997	0.956	2.425
400.000	399.999	0.863	2.382
400.000	399.998	0.963	2.614
400.000	400.001	0.956	2.374
400.000	399.999	0.921	2.488
400.000	399.997	0.869	2.430
400.000	400.001	0.996	2.548
400.000	400.000	0.922	2.531
400.000	400.001	1.016	2.438
400.000	399.999	0.966	2.564
400.000	399.995	0.941	2.418
400.000	400.001	1.009	2.577
400.000	399.999	1.008	2.548
400.000	399.998	0.890	2.514
400.000	399.999	0.951	2.409
400.000	399.999	0.942	2.473
400.000	399.999	0.917	2.595
400.000	399.997	0.896	2.437
400.000	399.996	0.934	2.447
400.000	399.998	0.949	2.461
400.000	399.996	1.028	2.441
400.000	400.001	1.006	2.506
400.000	399.996	0.983	2.467
400.000	399.999	1.023	2.485
400.000	400.000	0.983	2.555
400.000	399.999	0.865	2.438
400.000	400.001	0.942	2.544
400.000	399.998	0.934	2.514
400.000	399.999	1.002	2.402
400.000	400.004	0.993	2.440
400.000	400.001	0.922	2.523
400.000	399.999	0.927	2.503
400.000	400.000	0.967	2.386
400.000	400.000	0.967	2.485
400.000	400.001	0.923	2.427
400.000	400.001	0.972	2.385
400.000	400.000	0.949	2.448
400.000	400.000	0.918	2.353
400.000	400.000	0.950	2.426
400.000	400.000	0.948	2.368
400.000	400.004	1.072	2.455
400.000	400.003	0.625	2.466
400.000	400.001	0.175	4.678
400.000	400.001	0.066	3.879
400.000	399.996	0.080	4.048
400.000	399.999	0.054	1.501
400.000	399.998	0.021	1.307
400.000	399.997	0.101	3.512
400.000	399.999	0.039	1.169
400.000	399.999	0.228	2.689
400.000	400.001	0.966	2.360
400.000	400.003	0.906	2.570
400.000	400.002	0.944	2.433
400.000	400.002	0.909	2.406
400.000	400.001	0.939	2.350
400.000	399.999	0.932	2.361
400.000	400.000	0.922	2.443
400.000	399.996	0.894	2.452
400.000	399.999	0.379	2.425
400.000	399.999	0.425	2.201
400.000	400.005	0.457	2.223
400.000	399.997	0.496	2.199
400.000	399.997	0.525	2.176
400.000	399.998	0.480	2.191
400.000	399.999	0.484	2.162
400.000	399.998	0.499	2.141
400.000	399.996	0.103	4.616
400.000	399.999	0.307	4.816
400.000	400.005	0.243	4.785
400.000	399.998	0.283	4.946
400.000	400.003	0.220	5.188
400.000	400.000	0.235	4.817
400.000	399.999	0.245	5.060
400.000	400.000	0.272	4.759
400.000	400.000	0.517	2.326
400.000	400.000	0.761	2.330
400.000	399.999	0.696	2.448
400.000	400.004	0.771	2.352
400.000	400.002	0.648	2.303
400.000	400.002	0.674	2.221
400.000	400.000	0.635	2.197
400.000	400.000	0.649	2.384
400.000	400.000	0.650	2.238
400.000	400.000	0.622	2.220
400.000	399.998	0.628	2.353
400.000	399.999	0.631	2.380
400.000	400.002	0.696	2.400
400.000	400.002	0.708	2.248
400.000	399.999	0.676	2.412
400.000	400.004	0.669	2.358
400.000	399.998	0.712	2.310
400.000	400.000	0.364	2.439
