Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
100.000	99.994	1.341	1.045
100.000	100.000	1.387	1.090
100.000	99.995	1.165	1.283
100.000	99.997	1.293	1.153
100.000	99.998	1.452	1.241
100.000	99.999	1.609	1.184
100.000	100.005	1.415	1.141
100.000	100.000	1.139	1.050
100.000	100.004	1.192	0.947
100.000	100.002	1.116	0.901
100.000	100.004	0.987	0.752
100.000	99.997	1.028	1.010
100.000	99.999	1.212	0.946
100.000	100.000	1.162	0.997
100.000	100.005	1.116	0.811
100.000	99.998	1.046	1.073
100.000	100.000	1.018	1.032
100.000	100.001	1.164	1.302
100.000	100.002	1.190	0.997
100.000	100.002	1.317	1.190
100.000	100.005	0.919	0.594
100.000	100.002	0.987	0.856
100.000	100.002	0.942	1.125
100.000	99.997	1.962	1.075
100.000	99.999	1.142	0.940
100.000	99.997	1.066	0.877
100.000	99.997	1.197	0.944
100.000	100.000	1.164	0.920
100.000	100.002	1.211	0.882
100.000	100.002	1.127	0.720
100.000	100.000	1.268	0.962
100.000	99.999	0.991	0.819
100.000	99.997	1.270	0.805
100.000	99.999	0.880	0.521
100.000	100.003	0.977	0.649
100.000	100.003	1.067	0.878
100.000	100.000	1.083	0.801
100.000	100.000	1.140	0.789
100.000	100.004	1.040	0.811
100.000	99.996	1.140	0.831
100.000	100.004	0.877	0.732
100.000	99.997	1.255	0.902
100.000	100.003	1.297	0.901
100.000	100.003	1.218	0.808
100.000	100.000	1.031	0.998
100.000	99.997	1.122	0.812
100.000	100.004	0.860	0.805
100.000	100.001	0.892	0.595
100.000	100.000	1.322	0.898
100.000	99.999	1.131	0.853
100.000	99.999	0.981	0.947
100.000	99.999	0.932	0.830
100.000	100.000	1.120	0.750
100.000	99.998	1.205	0.913
100.000	100.000	1.157	0.835
100.000	99.998	1.219	0.765
100.000	99.998	1.399	0.868
100.000	100.001	1.208	0.890
100.000	100.000	1.112	0.799
100.000	99.998	1.074	0.780
100.000	100.000	0.902	0.842
100.000	100.004	0.945	0.689
100.000	100.002	0.865	0.688
100.000	100.001	1.053	0.892
100.000	100.001	1.071	0.853
100.000	100.003	0.978	0.649
100.000	99.999	1.040	0.947
100.000	100.001	1.032	0.845
100.000	99.997	1.026	0.900
100.000	100.001	1.189	0.868
100.000	100.000	1.264	0.979
100.000	99.998	0.960	0.752
100.000	100.000	1.250	0.962
100.000	100.004	1.236	0.906
100.000	99.997	1.283	0.929
100.000	100.001	1.100	0.941
100.000	99.999	1.053	0.778
100.000	100.000	1.300	0.962
100.000	100.000	1.050	0.855
100.000	100.000	0.946	0.912
100.000	100.000	1.131	0.844
100.000	100.004	1.252	0.958
100.000	100.003	1.110	0.709
100.000	99.998	1.258	0.923
100.000	99.997	1.193	1.017
100.000	100.001	1.157	1.104
100.000	100.001	1.996	1.294
100.000	100.003	1.181	0.805
100.000	100.003	1.015	0.693
100.000	99.997	1.047	0.816
100.000	100.003	1.454	0.994
100.000	100.004	1.228	0.886
100.000	100.000	1.118	0.798
100.000	100.004	0.997	0.674
100.000	99.999	1.425	1.008
100.000	99.999	1.180	0.879
100.000	99.998	1.081	0.803
100.000	100.000	0.948	0.831
100.000	99.998	1.024	0.838
100.000	100.002	1.488	0.842
100.000	99.999	1.202	0.962
100.000	99.999	1.135	0.846
100.000	100.000	0.909	0.527
100.000	99.998	1.066	0.780
100.000	99.999	1.174	0.798
100.000	100.000	1.023	0.782
100.000	100.000	1.047	0.876
100.000	99.999	0.908	0.582
100.000	100.004	1.145	0.746
100.000	99.999	0.976	0.649
100.000	100.001	0.926	0.762
100.000	99.998	1.061	0.728
100.000	100.000	0.929	0.870
100.000	100.004	1.063	0.695
100.000	100.000	1.142	0.669
100.000	100.001	1.086	0.900
100.000	99.998	1.292	1.108
100.000	100.000	1.125	1.000
100.000	100.000	0.962	0.910
100.000	99.997	1.004	0.915
100.000	99.998	1.073	0.880
100.000	100.000	0.993	0.917
100.000	100.000	1.160	0.883
100.000	100.000	1.129	0.814
100.000	99.998	0.898	0.805
100.000	99.997	1.171	0.884
100.000	100.001	0.686	1.236
100.000	99.998	1.157	2.788
100.000	100.002	1.099	3.043
100.000	100.002	1.593	3.054
100.000	100.001	1.824	3.037
100.000	100.002	1.648	3.477
100.000	100.002	1.668	3.731
100.000	100.002	1.676	3.276
100.000	99.998	2.292	3.505
100.000	99.996	2.633	3.161
100.000	100.000	2.586	3.592
100.000	100.003	2.450	3.202
100.000	100.000	1.773	3.492
100.000	100.001	1.832	3.425
100.000	100.004	2.590	3.599
100.000	100.002	3.201	3.676
100.000	99.999	2.779	3.622
100.000	100.003	2.270	3.676
100.000	100.001	2.254	3.623
100.000	99.999	3.122	3.505
100.000	100.002	2.165	3.342
100.000	100.001	2.455	3.614
100.000	100.000	2.171	3.770
100.000	100.001	2.320	3.503
100.000	99.998	1.544	3.576
100.000	99.997	1.995	3.320
100.000	99.999	2.386	3.539
100.000	100.000	2.839	3.277
100.000	100.003	2.677	3.574
100.000	99.996	2.563	3.576
100.000	100.000	2.872	3.579
100.000	100.000	1.877	3.328
100.000	99.999	1.730	3.655
100.000	100.002	2.456	3.342
100.000	100.001	2.549	3.336
100.000	100.003	2.908	3.223
100.000	99.998	2.051	3.230
100.000	99.999	2.633	3.132
100.000	100.004	2.627	3.047
100.000	100.001	2.223	2.874
100.000	100.007	2.621	2.841
100.000	100.000	2.857	2.869
100.000	99.998	2.708	3.120
100.000	100.001	2.672	3.086
100.000	99.997	2.519	2.765
100.000	100.001	2.637	3.231
100.000	100.005	2.791	3.092
100.000	100.001	2.413	3.130
100.000	100.001	2.852	3.279
100.000	100.000	1.704	3.214
100.000	100.001	2.295	3.207
100.000	100.001	2.692	2.963
100.000	100.001	2.554	2.241
