Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	400.000	0.576	2.323
400.000	400.002	0.575	2.295
400.000	399.996	0.643	2.356
400.000	399.998	0.597	2.070
400.000	400.001	0.557	2.432
400.000	399.999	0.606	2.357
400.000	399.998	0.606	2.417
400.000	400.002	0.601	2.231
400.000	400.000	0.581	2.315
400.000	399.998	0.645	2.300
400.000	400.002	0.631	2.367
400.000	400.001	0.623	2.238
400.000	400.000	0.598	2.167
400.000	400.003	0.587	2.302
400.000	400.002	0.558	2.261
400.000	400.000	0.597	2.339
400.000	399.998	0.596	2.221
400.000	400.000	0.543	2.290
400.000	400.003	0.630	2.156
400.000	400.002	0.578	2.160
400.000	400.001	0.560	2.319
400.000	400.001	0.498	2.138
400.000	400.002	0.567	2.304
400.000	400.001	0.554	2.111
400.000	399.999	0.585	2.349
400.000	399.999	0.650	2.242
400.000	399.999	0.659	2.288
400.000	400.001	0.601	2.251
400.000	400.003	0.584	2.315
400.000	400.002	0.644	2.213
400.000	399.998	0.621	2.275
400.000	400.000	0.565	2.124
400.000	400.001	0.561	2.278
400.000	399.998	0.605	2.317
400.000	400.002	0.562	2.304
400.000	399.997	0.616	2.329
400.000	400.001	0.547	2.310
400.000	400.002	0.565	2.324
400.000	400.000	0.523	2.284
400.000	400.001	0.576	2.393
400.000	400.000	0.605	2.341
400.000	400.001	0.587	2.310
400.000	399.999	0.604	2.344
400.000	400.000	0.538	2.480
400.000	400.000	0.571	2.237
400.000	399.997	0.623	2.304
400.000	400.000	0.530	2.288
400.000	400.000	0.539	2.271
400.000	399.998	0.485	2.341
400.000	400.000	0.595	2.249
400.000	399.999	0.554	2.252
400.000	400.001	0.539	2.227
400.000	400.000	0.573	2.326
400.000	399.998	0.605	2.231
400.000	400.002	0.578	2.353
400.000	399.997	0.609	2.427
400.000	399.999	0.600	2.244
400.000	399.994	0.571	2.333
400.000	400.000	0.584	2.269
400.000	400.000	0.626	2.336
400.000	400.002	0.569	2.110
400.000	399.999	0.636	2.210
400.000	400.003	0.605	2.373
400.000	400.001	0.574	2.326
400.000	399.998	0.512	2.267
400.000	400.002	0.619	2.413
400.000	400.002	0.577	2.388
400.000	399.998	0.595	2.460
400.000	400.001	0.601	2.324
400.000	400.001	0.585	2.294
400.000	400.001	0.619	2.307
400.000	400.002	0.494	2.471
400.000	400.000	0.033	1.502
400.000	400.002	0.337	5.791
400.000	400.000	0.607	0.084
400.000	399.999	0.629	0.011
400.000	400.003	0.556	6.202
400.000	400.000	0.625	6.227
400.000	400.000	0.598	0.055
400.000	400.004	0.597	0.045
400.000	400.001	0.526	0.305
400.000	400.002	0.559	0.366
400.000	399.999	0.574	0.126
400.000	399.999	0.720	5.787
400.000	400.001	0.723	5.321
400.000	399.998	0.646	4.573
400.000	399.999	0.620	3.894
400.000	400.003	0.609	3.155
400.000	399.998	0.599	2.735
400.000	399.997	0.684	2.374
400.000	399.998	0.509	2.280
400.000	399.999	0.451	1.937
400.000	400.001	0.469	1.265
400.000	399.997	0.501	0.619
400.000	400.000	0.568	0.185
400.000	399.999	0.696	5.783
400.000	400.000	0.602	5.282
400.000	400.002	0.726	4.768
400.000	399.998	0.710	4.046
400.000	399.997	0.641	3.444
400.000	399.996	0.612	2.944
400.000	399.999	0.601	2.494
400.000	400.000	0.574	2.281
400.000	399.999	0.514	2.038
400.000	400.000	0.551	1.379
400.000	400.000	0.491	0.684
400.000	400.002	0.612	0.245
400.000	400.000	0.641	5.943
400.000	400.001	0.726	5.425
400.000	399.999	0.775	4.931
400.000	399.998	0.629	4.408
400.000	400.000	0.558	3.639
400.000	399.998	0.714	2.998
400.000	400.001	0.638	2.603
400.000	399.995	0.623	2.263
400.000	400.001	0.558	1.921
400.000	400.001	0.510	1.426
400.000	400.000	0.531	0.769
400.000	399.997	0.547	0.110
400.000	400.000	0.641	5.922
400.000	400.003	0.644	5.120
400.000	399.996	0.651	4.671
400.000	400.004	0.602	3.875
400.000	400.001	0.534	3.208
400.000	400.000	0.604	2.730
400.000	399.999	0.565	2.373
400.000	400.000	0.600	2.101
400.000	400.003	0.520	1.814
400.000	400.001	0.521	1.230
400.000	399.997	0.502	0.513
400.000	400.000	0.675	5.992
400.000	400.000	0.683	5.460
400.000	399.999	0.625	4.911
400.000	399.999	0.638	4.345
400.000	400.001	0.574	3.607
400.000	400.000	0.626	2.902
400.000	400.002	0.593	2.420
400.000	400.000	0.577	2.190
400.000	399.998	0.536	2.029
400.000	400.000	0.502	1.538
400.000	399.997	0.605	0.915
400.000	399.998	0.563	0.504
400.000	400.005	0.534	6.021
400.000	399.997	0.697	5.657
400.000	399.998	0.700	5.091
400.000	399.996	0.683	4.324
400.000	399.999	0.622	3.950
400.000	400.000	0.532	3.085
400.000	400.001	0.526	2.475
400.000	399.999	0.589	2.164
400.000	399.999	0.600	1.888
400.000	399.999	0.559	1.472
400.000	399.998	0.486	1.244
400.000	400.000	0.583	0.827
400.000	400.000	0.621	0.143
400.000	399.999	0.702	5.870
400.000	399.997	0.723	5.363
400.000	400.001	0.725	4.650
400.000	400.000	0.631	3.929
400.000	399.999	0.569	3.456
400.000	399.998	0.550	2.753
400.000	400.001	0.643	2.561
400.000	399.996	0.609	2.224
400.000	400.001	0.571	1.785
400.000	399.998	0.521	1.194
400.000	399.999	0.571	0.718
400.000	400.000	0.680	0.148
400.000	399.999	0.770	5.867
400.000	399.999	0.680	5.319
400.000	400.001	0.698	4.710
400.000	400.005	0.622	4.081
400.000	399.999	0.655	3.411
400.000	399.999	0.538	2.965
400.000	400.004	0.608	2.437
400.000	399.997	0.565	2.138
400.000	400.000	0.533	1.878
400.000	399.999	0.436	1.161
400.000	400.002	0.521	0.518
400.000	400.001	0.558	6.261
400.000	400.001	0.725	5.636
400.000	400.003	0.679	5.180
400.000	400.002	0.788	4.685
400.000	400.001	0.634	4.072
400.000	399.998	0.606	3.331
400.000	400.001	0.589	2.649
400.000	399.998	0.578	2.568
400.000	399.999	0.579	2.123
400.000	400.001	0.580	1.922
400.000	400.000	0.517	1.363
400.000	400.001	0.613	0.732
400.000	400.001	0.545	0.416
400.000	400.000	0.686	6.147
400.000	399.999	0.694	5.467
400.000	400.001	0.693	4.835
400.000	400.000	0.690	4.249
400.000	399.999	0.597	3.594
400.000	400.001	0.617	3.026
400.000	400.002	0.612	2.696
400.000	399.999	0.570	2.312
400.000	399.996	0.499	2.005
400.000	399.999	0.597	1.422
400.000	399.998	0.514	0.966
400.000	399.999	0.671	0.274
400.000	400.000	0.750	6.038
400.000	399.998	0.745	5.109
400.000	400.000	0.653	4.583
400.000	399.998	0.601	3.955
400.000	400.001	0.595	3.273
400.000	400.003	0.660	2.684
400.000	399.999	0.575	2.476
400.000	399.997	0.591	1.988
400.000	400.001	0.524	1.641
400.000	399.998	0.521	1.261
400.000	400.000	0.562	0.719
400.000	400.002	0.734	0.221
400.000	399.997	0.738	6.028
400.000	399.997	0.744	5.350
400.000	400.002	0.722	4.747
400.000	400.002	0.694	4.054
400.000	400.001	0.748	3.565
400.000	399.999	0.574	3.089
400.000	399.998	0.681	2.734
400.000	400.003	0.651	2.404
400.000	400.000	0.632	2.010
400.000	399.999	0.552	1.628
400.000	399.999	0.516	1.160
400.000	399.999	0.664	0.643
400.000	399.998	0.629	6.097
400.000	400.000	0.772	5.497
400.000	400.002	0.741	4.718
400.000	399.998	0.666	4.280
400.000	399.997	0.654	3.695
400.000	400.001	0.602	2.951
