Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	100.000	-0.008	99.998	1.209	6.063	1772751720.810
2	100.000	0.023	99.996	1.185	6.038	1772751721.218
3	100.000	0.007	100.000	1.216	6.056	1772751721.589
4	100.000	-0.005	100.001	1.199	5.903	1772751721.963
5	100.000	-0.013	99.998	1.225	6.180	1772751722.332
6	100.000	-0.003	100.000	1.209	6.098	1772751722.733
7	100.000	0.014	100.000	1.330	6.102	1772751723.146
8	100.000	-0.005	99.997	1.260	6.110	1772751723.509
9	100.000	0.013	100.003	1.333	6.038	1772751723.868
10	100.000	0.001	100.007	1.271	6.140	1772751724.271
11	100.000	-0.024	99.997	1.270	6.104	1772751724.628
12	100.000	-0.015	100.003	1.245	6.142	1772751725.019
13	100.000	-0.003	99.998	1.247	6.052	1772751725.404
14	100.000	0.030	100.004	1.197	6.173	1772751725.783
15	100.000	0.015	100.001	1.222	6.151	1772751726.123
16	100.000	0.008	99.997	1.286	6.166	1772751726.513
17	100.000	0.009	99.999	1.243	6.110	1772751726.877
18	100.000	0.016	100.001	1.265	6.213	1772751727.271
19	100.000	-0.011	100.000	1.250	6.188	1772751727.661
20	100.000	0.015	100.002	1.309	6.134	1772751728.035
21	100.000	-0.031	100.001	1.253	6.076	1772751728.376
22	100.000	-0.019	100.000	1.273	6.125	1772751728.769
23	100.000	0.015	100.001	1.350	6.159	1772751729.144
24	100.000	0.013	99.997	1.162	6.096	1772751729.515
25	100.000	-0.007	100.000	1.291	6.134	1772751729.859
26	100.000	-0.012	99.999	1.176	6.050	1772751730.211
27	100.000	0.002	100.001	1.300	6.099	1772751730.590
28	100.000	-0.001	99.996	1.349	6.126	1772751730.961
29	100.000	0.016	99.999	1.339	6.078	1772751731.366
30	100.000	-0.015	100.000	1.271	6.203	1772751731.710
31	100.000	0.005	100.001	1.298	6.135	1772751732.098
32	100.000	0.011	100.003	1.187	6.013	1772751732.448
33	100.000	0.001	100.000	1.202	6.117	1772751732.825
34	100.000	-0.003	100.000	1.318	6.116	1772751733.223
35	100.000	-0.027	100.001	1.236	6.157	1772751733.616
36	100.000	-0.008	100.002	1.292	6.101	1772751733.956
37	100.000	0.001	100.001	1.270	6.171	1772751734.324
38	100.000	-0.017	100.001	1.280	6.034	1772751734.720
39	100.000	0.018	99.995	1.281	6.135	1772751735.087
40	100.000	0.024	100.000	1.222	6.178	1772751735.471
41	100.000	-0.011	99.999	1.231	6.209	1772751735.864
42	100.000	0.003	100.003	1.290	6.201	1772751736.277
43	100.000	-0.001	100.001	1.238	6.106	1772751736.646
44	100.000	-0.002	100.002	1.234	6.064	1772751736.999
45	100.000	0.004	100.002	1.328	6.089	1772751737.382
46	100.000	-0.007	99.998	1.269	6.074	1772751737.803
47	100.000	-0.010	100.002	1.322	6.116	1772751738.195
48	100.000	0.020	99.998	1.266	6.172	1772751738.547
49	100.000	-0.004	100.001	1.305	6.128	1772751738.930
50	100.000	0.027	100.002	1.226	6.066	1772751739.295
51	100.000	-0.013	100.003	1.300	6.200	1772751739.700
52	100.000	0.001	99.998	1.258	6.125	1772751740.044
53	100.000	0.011	99.998	1.358	6.270	1772751740.419
54	100.000	-0.019	100.005	1.191	6.128	1772751740.810
55	100.000	0.026	99.998	1.155	6.121	1772751741.199
56	100.000	-0.004	100.001	1.230	6.134	1772751741.618
57	100.000	0.011	99.996	1.320	6.178	1772751742.009
58	100.000	-0.008	100.001	1.297	6.066	1772751742.364
59	100.000	-0.012	99.996	1.352	6.211	1772751742.743
60	100.000	0.008	100.002	1.243	6.134	1772751743.098
61	100.000	0.015	100.002	1.175	6.157	1772751743.477
62	100.000	0.013	100.002	1.377	6.091	1772751743.864
63	100.000	-0.014	100.004	1.318	6.185	1772751744.237
64	100.000	-0.030	100.002	1.289	6.204	1772751744.622
65	100.000	0.017	100.000	1.396	6.188	1772751744.975
66	100.000	0.021	100.002	1.275	6.173	1772751745.364
67	100.000	0.024	100.003	1.286	6.109	1772751745.715
68	100.000	0.009	100.000	1.316	6.147	1772751746.078
69	100.000	0.006	100.004	1.290	6.146	1772751746.482
70	100.000	-0.022	100.002	1.312	6.175	1772751746.887
71	100.000	0.021	100.002	1.241	6.126	1772751747.263
72	100.000	0.006	100.000	1.332	6.115	1772751747.650
73	100.000	-0.024	100.003	1.359	6.133	1772751748.014
74	100.000	-0.019	100.005	1.258	6.240	1772751748.403
75	100.000	0.003	99.999	1.227	6.283	1772751748.775
76	100.000	-0.001	100.001	1.245	6.157	1772751749.160
77	100.000	0.012	99.998	1.357	6.139	1772751749.545
78	100.000	-0.005	100.000	1.327	6.203	1772751749.908
79	100.000	0.006	100.001	1.312	6.182	1772751750.307
80	100.000	0.005	100.002	1.260	6.186	1772751750.707
81	100.000	-0.010	100.002	1.364	6.200	1772751751.105
82	100.000	0.025	99.998	1.381	6.265	1772751751.470
83	100.000	0.021	100.001	1.327	6.193	1772751751.858
84	100.000	0.009	100.002	1.315	6.274	1772751752.212
85	100.000	0.001	100.001	1.334	6.061	1772751752.589
86	100.000	0.008	99.999	1.340	6.205	1772751752.970
87	100.000	-0.004	100.001	1.222	6.215	1772751753.351
88	100.000	0.024	100.002	1.241	6.222	1772751753.710
89	100.000	0.025	99.998	1.287	0.061	1772751754.080
90	100.000	0.013	100.003	1.313	6.281	1772751754.463
91	100.000	0.001	100.001	1.259	0.112	1772751754.856
92	100.000	0.007	99.998	1.345	6.258	1772751755.220
93	100.000	0.001	100.001	1.353	6.243	1772751755.599
94	100.000	0.008	99.997	1.251	6.233	1772751755.988
95	100.000	-0.023	100.001	1.253	6.079	1772751756.336
96	100.000	-0.019	99.999	1.264	6.247	1772751756.715
97	100.000	0.004	99.997	1.311	6.182	1772751757.088
98	100.000	-0.023	100.000	1.330	6.120	1772751757.473
99	100.000	-0.009	100.003	1.359	6.226	1772751757.834
100	100.000	-0.012	100.001	1.330	6.187	1772751758.216
101	100.000	0.003	100.001	1.313	6.156	1772751758.569
102	100.000	-0.011	99.995	1.264	0.015	1772751759.003
103	100.000	0.012	99.998	1.408	6.191	1772751759.401
104	100.000	-0.005	100.003	1.270	6.213	1772751759.791
105	100.000	0.009	99.998	1.382	6.061	1772751760.139
106	100.000	-0.004	99.996	1.268	6.226	1772751760.511
107	100.000	0.008	100.001	1.270	0.018	1772751760.920
108	100.000	0.001	99.999	1.332	6.175	1772751761.286
109	100.000	-0.015	100.004	1.328	0.001	1772751761.654
110	100.000	-0.003	100.001	1.234	6.174	1772751762.023
111	100.000	-0.010	100.001	1.329	6.176	1772751762.408
112	100.000	-0.004	100.000	1.280	6.222	1772751762.759
113	100.000	-0.005	100.002	1.368	6.244	1772751763.122
114	100.000	-0.015	99.997	1.253	6.191	1772751763.483
115	100.000	0.007	99.996	1.293	0.036	1772751763.894
116	100.000	-0.002	100.003	1.293	6.094	1772751764.258
117	100.000	0.008	99.998	1.384	6.123	1772751764.639
118	100.000	0.006	99.995	1.271	6.179	1772751764.999
119	100.000	-0.011	100.000	1.263	6.231	1772751765.385
120	100.000	0.003	99.999	1.311	6.104	1772751765.732
121	100.000	0.002	100.000	1.248	6.230	1772751766.127
122	100.000	0.017	100.003	1.320	6.184	1772751766.513
123	100.000	0.030	99.999	1.313	6.226	1772751766.895
124	100.000	-0.011	99.997	1.303	6.202	1772751767.253
125	100.000	-0.006	100.002	1.263	6.248	1772751767.635
126	100.000	-0.009	99.997	1.297	0.001	1772751768.019
127	100.000	0.015	100.000	1.329	6.245	1772751768.437
128	100.000	0.005	100.000	1.348	6.205	1772751768.828
129	100.000	-0.007	99.999	1.317	6.242	1772751769.189
130	100.000	-0.028	99.997	1.300	6.239	1772751769.576
131	100.000	-0.012	99.996	1.309	6.188	1772751769.919
132	100.000	0.032	100.002	1.274	6.152	1772751770.283
133	100.000	0.000	99.999	1.349	6.274	1772751770.682
134	100.000	-0.009	99.997	1.344	6.252	1772751771.061
135	100.000	0.009	99.999	1.284	6.185	1772751771.444
136	100.000	0.030	99.999	1.346	6.139	1772751771.819
137	100.000	0.011	99.998	1.196	0.035	1772751772.214
138	100.000	0.005	100.003	1.263	6.224	1772751772.605
139	100.000	0.003	99.998	1.341	6.261	1772751772.999
140	100.000	-0.010	100.002	1.390	6.182	1772751773.359
141	100.000	-0.018	99.999	1.300	6.197	1772751773.730
142	100.000	-0.024	99.997	1.345	6.223	1772751774.084
143	100.000	-0.008	100.003	1.344	6.240	1772751774.454
144	100.000	0.018	100.001	1.401	6.129	1772751774.807
145	100.000	-0.016	99.997	1.301	6.232	1772751775.142
146	100.000	0.005	100.003	1.319	6.212	1772751775.511
147	100.000	0.024	100.003	1.369	0.002	1772751775.916
148	100.000	0.002	100.002	1.312	6.210	1772751776.276
149	100.000	-0.011	99.997	1.457	6.213	1772751776.642
150	100.000	0.002	100.001	1.319	0.039	1772751777.028
151	100.000	-0.004	100.001	1.379	0.004	1772751777.405
152	100.000	-0.004	100.002	1.277	6.093	1772751777.756
153	100.000	-0.002	99.998	1.366	6.114	1772751778.148
154	100.000	0.011	100.003	1.397	6.102	1772751778.536
155	100.000	-0.007	99.997	1.291	6.151	1772751778.919
156	100.000	0.009	100.000	1.253	6.267	1772751779.284
157	100.000	-0.019	100.000	1.303	6.202	1772751779.642
158	100.000	-0.005	99.998	1.344	6.194	1772751780.070
159	100.000	0.000	99.998	1.366	6.236	1772751780.478
160	100.000	0.016	99.999	1.249	6.157	1772751780.856
161	100.000	-0.004	99.997	1.341	6.119	1772751781.241
162	100.000	0.024	99.997	1.246	6.148	1772751781.592
163	100.000	-0.001	99.998	1.212	6.165	1772751781.966
164	100.000	-0.003	100.000	1.239	6.250	1772751782.357
165	100.000	-0.014	100.000	1.313	6.236	1772751782.744
166	100.000	0.015	99.997	1.206	6.265	1772751783.138
167	100.000	-0.001	100.000	1.344	6.245	1772751783.522
168	100.000	-0.014	100.001	1.283	6.243	1772751783.877
169	100.000	0.005	100.001	1.267	6.260	1772751784.241
170	100.000	-0.006	100.000	1.300	6.116	1772751784.632
171	100.000	-0.007	99.998	1.303	6.091	1772751785.007
172	100.000	-0.008	99.999	1.331	6.282	1772751785.387
173	100.000	0.001	100.000	1.277	0.001	1772751785.755
174	100.000	-0.013	99.998	1.370	6.136	1772751786.135
175	100.000	-0.002	100.002	1.349	6.208	1772751786.494
176	100.000	-0.009	100.001	1.307	6.275	1772751786.858
177	100.000	0.005	100.003	1.315	6.238	1772751787.233
178	100.000	-0.004	100.004	1.596	0.133	1772751787.640
179	100.000	-0.013	100.005	1.609	0.535	1772751788.019
180	100.000	-0.019	100.005	1.724	0.685	1772751788.379
181	100.000	-0.009	100.002	1.449	0.226	1772751788.775
182	100.000	0.028	99.999	1.319	6.228	1772751789.137
183	100.000	0.003	100.006	1.362	6.245	1772751789.497
184	100.000	-0.005	100.004	1.445	0.078	1772751789.869
185	100.000	-0.023	99.995	1.519	0.277	1772751790.245
186	100.000	0.010	100.004	1.485	0.573	1772751790.641
187	100.000	0.009	99.997	1.736	0.420	1772751791.019
188	100.000	0.011	99.997	1.531	6.252	1772751791.379
189	100.000	0.006	100.000	1.429	6.099	1772751791.735
190	100.000	-0.006	99.997	1.412	6.182	1772751792.151
191	100.000	0.005	100.002	1.506	0.202	1772751792.556
192	100.000	0.010	100.000	1.724	0.563	1772751792.941
193	100.000	0.001	99.997	1.635	0.511	1772751793.295
194	100.000	-0.018	99.997	1.840	0.180	1772751793.682
195	100.000	-0.024	100.001	1.673	6.186	1772751794.046
196	100.000	-0.008	99.999	1.819	6.155	1772751794.429
197	100.000	-0.004	100.003	1.717	0.077	1772751794.822
198	100.000	-0.021	100.001	1.797	0.297	1772751795.197
199	100.000	-0.016	99.999	1.400	0.343	1772751795.551
200	100.000	0.002	100.002	1.476	0.415	1772751795.936
201	100.000	-0.002	100.003	1.539	6.023	1772751796.314
202	100.000	0.007	100.001	1.545	5.943	1772751796.690
203	100.000	-0.015	100.006	1.894	6.139	1772751797.068
204	100.000	-0.002	100.001	2.027	0.145	1772751797.462
205	100.000	-0.003	99.997	1.508	0.305	1772751797.810
206	100.000	0.020	100.002	1.065	0.438	1772751798.173
207	100.000	0.015	99.998	1.131	0.132	1772751798.532
208	100.000	-0.009	99.998	1.357	6.106	1772751798.964
209	100.000	-0.004	99.998	1.602	6.034	1772751799.355
210	100.000	-0.003	100.001	2.033	0.036	1772751799.713
211	100.000	0.019	99.998	1.846	0.281	1772751800.079
212	100.000	-0.011	99.997	1.584	0.538	1772751800.444
213	100.000	-0.002	99.999	1.374	0.426	1772751800.830
214	100.000	0.009	100.002	1.539	6.217	1772751801.219
215	100.000	0.004	100.000	1.529	5.956	1772751801.596
216	100.000	-0.005	99.994	1.611	6.080	1772751801.958
217	100.000	-0.007	100.001	1.993	0.140	1772751802.315
218	100.000	-0.045	100.004	1.825	0.287	1772751802.706
219	100.000	-0.020	99.999	1.424	0.451	1772751803.090
220	100.000	-0.015	99.999	1.366	0.239	1772751803.442
221	100.000	-0.004	99.998	1.210	6.117	1772751803.815
222	100.000	-0.007	99.995	1.387	6.261	1772751804.198
223	100.000	0.003	100.000	2.061	0.117	1772751804.599
224	100.000	-0.019	99.998	2.062	0.268	1772751804.957
225	100.000	0.019	100.002	1.648	0.511	1772751805.369
226	100.000	-0.007	100.001	1.412	0.545	1772751805.715
227	100.000	0.004	100.000	1.208	6.152	1772751806.113
228	100.000	0.009	100.001	1.079	6.061	1772751806.466
229	100.000	0.001	100.002	1.446	0.070	1772751806.839
230	100.000	0.008	99.999	1.919	0.342	1772751807.214
231	100.000	-0.003	99.999	1.854	0.325	1772751807.604
232	100.000	-0.006	99.999	1.246	0.477	1772751807.978
233	100.000	-0.004	100.000	1.135	0.225	1772751808.332
234	100.000	0.014	100.001	1.308	6.054	1772751808.740
235	100.000	-0.002	99.995	1.190	6.236	1772751809.136
236	100.000	0.013	100.000	1.865	0.186	1772751809.541
237	100.000	0.009	100.000	2.117	0.098	1772751809.927
238	100.000	-0.008	100.004	1.597	0.129	1772751810.288
239	100.000	-0.017	100.006	1.246	0.132	1772751810.646
240	100.000	-0.005	99.999	1.477	6.189	1772751811.023
241	100.000	-0.011	100.000	1.487	5.890	1772751811.427
242	100.000	-0.014	99.998	1.679	0.018	1772751811.852
243	100.000	0.003	99.998	2.167	0.319	1772751812.224
244	100.000	-0.015	100.000	1.837	0.327	1772751812.583
245	100.000	-0.020	99.994	1.291	0.318	1772751812.964
246	100.000	-0.012	99.997	1.390	0.392	1772751813.355
247	100.000	0.017	99.999	1.526	6.272	1772751813.720
248	100.000	0.010	100.001	1.558	0.007	1772751814.112
249	100.000	0.020	100.001	1.932	0.258	1772751814.489
250	100.000	0.014	100.002	2.061	0.263	1772751814.857
251	100.000	-0.005	100.005	1.400	0.212	1772751815.232
252	100.000	0.004	99.998	0.983	0.143	1772751815.588
253	100.000	0.047	100.005	1.276	6.242	1772751815.965
254	100.000	-0.017	99.998	1.483	6.209	1772751816.349
255	100.000	-0.004	99.995	1.847	0.076	1772751816.724
256	100.000	0.016	100.004	2.226	0.240	1772751817.101
257	100.000	-0.017	100.000	1.856	0.220	1772751817.496
258	100.000	-0.007	100.000	1.141	0.085	1772751817.848
259	100.000	0.010	100.001	1.009	6.187	1772751818.206
260	100.000	0.005	100.002	1.292	6.099	1772751818.572
261	100.000	-0.003	100.002	1.540	0.101	1772751818.969
262	100.000	0.008	99.997	1.962	0.208	1772751819.365
263	100.000	0.032	99.999	2.116	0.398	1772751819.717
264	100.000	-0.035	100.003	1.431	0.233	1772751820.100
265	100.000	0.002	99.999	0.995	6.231	1772751820.460
266	100.000	-0.013	100.001	1.014	5.935	1772751820.843
267	100.000	0.010	100.001	1.292	6.093	1772751821.182
268	100.000	0.003	99.997	1.852	0.172	1772751821.599
269	100.000	0.006	99.998	2.353	0.261	1772751821.999
270	100.000	0.010	99.999	2.106	0.377	1772751822.387
271	100.000	0.006	99.998	1.396	0.119	1772751822.765
272	100.000	-0.001	99.998	1.132	6.040	1772751823.169
273	100.000	0.001	99.999	1.255	6.037	1772751823.537
274	100.000	-0.019	100.004	1.729	0.100	1772751823.909
275	100.000	-0.023	99.999	2.569	0.217	1772751824.270
276	100.000	0.015	99.998	2.564	0.271	1772751824.666
277	100.000	-0.006	100.000	1.986	0.268	1772751825.040
278	100.000	0.001	100.002	1.204	0.071	1772751825.430
279	100.000	-0.009	100.000	1.073	6.036	1772751825.809
280	100.000	-0.004	100.001	1.402	6.127	1772751826.192
281	100.000	-0.005	100.002	2.004	0.202	1772751826.560
282	100.000	-0.003	99.998	2.400	0.297	1772751826.917
283	100.000	0.008	100.001	2.098	0.319	1772751827.301
284	100.000	0.011	100.002	1.531	0.358	1772751827.659
285	100.000	-0.010	99.998	1.148	6.137	1772751828.052
286	100.000	-0.011	100.000	1.249	6.081	1772751828.424
287	100.000	-0.015	100.002	1.651	6.252	1772751828.811
288	100.000	-0.004	99.998	2.520	0.286	1772751829.167
289	100.000	-0.020	100.003	2.431	0.401	1772751829.545
290	100.000	-0.014	99.996	1.989	0.558	1772751829.932
291	100.000	0.021	99.997	1.456	0.338	1772751830.326
292	100.000	0.007	100.001	1.297	5.953	1772751830.724
293	100.000	-0.006	100.005	1.341	6.098	1772751831.093
294	100.000	0.001	99.996	1.947	0.358	1772751831.456
295	100.000	0.011	99.997	2.506	0.331	1772751831.838
296	100.000	-0.008	99.998	2.108	0.418	1772751832.182
297	100.000	-0.027	100.001	1.487	0.489	1772751832.578
298	100.000	0.018	99.998	0.938	0.023	1772751832.956
299	100.000	0.007	99.994	1.095	6.093	1772751833.334
300	100.000	-0.008	100.003	1.438	0.031	1772751833.703
301	100.000	0.005	100.001	2.233	0.313	1772751834.091
302	100.000	-0.007	100.002	2.431	0.490	1772751834.453
303	100.000	-0.023	100.001	2.021	0.605	1772751834.811
304	100.000	0.004	100.000	1.320	0.345	1772751835.212
305	100.000	0.029	100.001	1.317	6.031	1772751835.602
306	100.000	-0.003	100.002	1.331	6.087	1772751835.983
307	100.000	0.005	100.001	2.058	0.106	1772751836.374
308	100.000	-0.005	99.999	2.769	0.369	1772751836.771
309	100.000	-0.015	100.001	2.399	0.416	1772751837.140
310	100.000	-0.014	100.002	1.774	0.447	1772751837.536
311	100.000	0.001	100.006	1.384	5.987	1772751837.883
312	100.000	0.030	99.998	1.479	5.799	1772751838.272
313	100.000	-0.003	99.997	1.866	6.174	1772751838.624
314	100.000	-0.009	99.999	2.460	0.229	1772751839.005
315	100.000	-0.008	100.002	2.899	0.379	1772751839.371
316	100.000	-0.004	100.001	2.301	0.395	1772751839.790
317	100.000	0.005	100.001	1.634	0.125	1772751840.157
