Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	400.000	-0.006	400.388	0.352	2.070	1773084654.560
2	400.000	0.025	400.267	0.559	6.105	1773084654.878
3	400.000	0.002	400.188	0.681	2.859	1773084655.180
4	400.000	0.005	400.143	0.763	4.359	1773084655.456
5	400.000	0.035	400.107	1.029	5.464	1773084655.762
6	400.000	0.004	400.084	1.025	0.045	1773084656.035
7	400.000	-0.012	400.067	1.117	0.711	1773084656.351
8	400.000	-0.014	400.060	1.069	1.077	1773084656.633
9	400.000	-0.006	400.050	1.124	1.349	1773084656.901
10	400.000	0.015	400.047	1.051	1.526	1773084657.171
11	400.000	-0.008	400.038	0.994	1.694	1773084657.423
12	400.000	-0.010	400.038	1.005	1.854	1773084657.738
13	400.000	-0.026	400.032	1.007	1.888	1773084658.012
14	400.000	0.005	400.028	0.927	2.002	1773084658.294
15	400.000	-0.009	400.028	1.009	1.984	1773084658.582
16	400.000	0.010	400.024	1.013	2.051	1773084658.900
17	400.000	0.018	400.023	1.017	2.211	1773084659.219
18	400.000	-0.003	400.015	0.961	2.211	1773084659.498
19	400.000	-0.039	400.017	1.033	2.254	1773084659.774
20	400.000	0.011	400.016	0.982	2.264	1773084660.020
21	400.000	0.029	400.015	1.002	2.281	1773084660.290
22	400.000	0.005	400.013	0.895	2.336	1773084660.591
23	400.000	0.024	400.013	0.934	2.326	1773084660.914
24	400.000	-0.006	400.013	1.055	2.415	1773084661.225
25	400.000	0.006	400.010	0.977	2.415	1773084661.536
26	400.000	-0.024	400.009	0.959	2.558	1773084661.863
27	400.000	0.013	400.008	0.981	2.466	1773084662.197
28	400.000	-0.007	400.007	0.949	2.474	1773084662.467
29	400.000	-0.012	400.009	0.897	2.536	1773084662.749
30	400.000	-0.008	400.008	0.882	2.495	1773084663.051
31	400.000	0.017	400.006	0.987	2.535	1773084663.298
32	400.000	-0.004	400.006	0.937	2.530	1773084663.628
33	400.000	0.013	400.009	0.906	2.636	1773084663.936
34	400.000	0.011	400.002	0.919	2.570	1773084664.225
35	400.000	0.011	400.006	0.938	2.657	1773084664.531
36	400.000	0.002	400.004	0.980	2.640	1773084664.799
37	400.000	-0.005	400.005	0.910	2.687	1773084665.074
38	400.000	-0.044	400.008	0.911	2.591	1773084665.368
39	400.000	0.003	400.001	0.884	2.677	1773084665.672
40	400.000	-0.032	400.002	0.928	2.697	1773084665.984
41	400.000	0.017	400.000	0.935	2.764	1773084666.297
42	400.000	0.027	400.000	0.873	2.652	1773084666.621
43	400.000	0.002	400.002	0.928	2.666	1773084666.899
44	400.000	0.022	400.005	0.960	2.780	1773084667.201
45	400.000	-0.026	400.010	0.965	2.547	1773084667.480
46	400.000	0.025	400.001	0.934	2.736	1773084667.768
47	400.000	-0.010	400.002	0.964	2.713	1773084668.050
48	400.000	-0.025	400.004	0.913	2.672	1773084668.359
49	400.000	-0.023	400.001	0.868	2.588	1773084668.666
50	400.000	0.014	400.000	0.941	2.711	1773084668.912
51	400.000	0.016	400.004	0.927	2.688	1773084669.179
52	400.000	0.004	400.000	0.921	2.745	1773084669.507
53	400.000	-0.017	400.004	0.881	2.721	1773084669.793
54	400.000	-0.011	400.001	0.924	2.790	1773084670.114
55	400.000	-0.013	400.006	0.887	2.629	1773084670.409
56	400.000	0.014	400.002	0.934	2.732	1773084670.666
57	400.000	0.031	399.999	0.899	2.746	1773084670.923
58	400.000	0.004	399.998	0.945	2.812	1773084671.252
59	400.000	-0.032	399.999	0.893	2.700	1773084671.528
60	400.000	-0.025	400.000	0.872	2.751	1773084671.804
61	400.000	-0.015	399.998	0.884	2.841	1773084672.114
62	400.000	0.037	400.003	0.875	2.817	1773084672.419
63	400.000	0.010	400.002	0.926	2.830	1773084672.753
64	400.000	0.030	400.004	0.851	2.818	1773084673.041
65	400.000	-0.035	400.000	0.927	2.873	1773084673.366
66	400.000	0.013	399.999	0.902	2.794	1773084673.658
67	400.000	0.005	400.000	0.947	2.903	1773084673.971
68	400.000	0.037	400.000	0.894	2.815	1773084674.231
69	400.000	-0.001	400.000	0.144	2.055	1773084674.532
70	400.000	-0.004	400.001	0.102	4.739	1773084674.812
71	400.000	-0.026	400.000	0.188	5.140	1773084675.112
72	400.000	0.009	399.999	0.244	4.777	1773084675.406
73	400.000	-0.004	400.001	0.117	5.065	1773084675.691
74	400.000	0.005	400.003	0.240	5.122	1773084675.976
75	400.000	0.014	400.000	0.148	4.618	1773084676.291
76	400.000	0.008	400.003	0.225	4.959	1773084676.607
77	400.000	-0.011	400.001	0.273	4.473	1773084676.911
78	400.000	0.006	400.000	0.111	3.748	1773084677.160
79	400.000	0.015	400.001	0.188	4.383	1773084677.477
80	400.000	-0.012	400.002	0.108	5.416	1773084677.739
81	400.000	-0.029	400.000	0.180	5.520	1773084678.011
82	400.000	-0.001	400.001	0.084	4.073	1773084678.335
83	400.000	0.016	399.999	0.183	5.024	1773084678.647
84	400.000	-0.012	399.998	0.098	4.541	1773084678.976
85	400.000	0.028	400.001	0.178	4.766	1773084679.261
86	400.000	-0.021	400.003	0.123	4.543	1773084679.577
87	400.000	-0.008	400.004	0.138	4.963	1773084679.883
88	400.000	0.012	400.000	0.167	4.467	1773084680.185
