Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	400.000	-0.007	400.001	0.032	5.806	1773085202.496
2	400.000	0.013	400.001	0.047	6.250	1773085202.805
3	400.000	0.030	400.000	0.089	1.015	1773085203.113
4	400.000	0.013	400.002	0.023	4.841	1773085203.435
5	400.000	-0.004	400.002	0.061	2.140	1773085203.747
6	400.000	-0.028	399.999	0.038	3.757	1773085204.048
7	400.000	-0.026	399.999	0.007	4.307	1773085204.361
8	400.000	0.054	400.001	0.121	0.219	1773085204.667
9	400.000	0.003	399.998	0.126	0.303	1773085204.910
10	400.000	0.027	399.997	0.022	5.577	1773085205.173
11	400.000	0.013	400.001	0.012	0.520	1773085205.490
12	400.000	-0.011	400.001	0.099	2.276	1773085205.783
13	400.000	-0.008	400.002	0.082	0.784	1773085206.068
14	400.000	0.010	400.001	0.019	0.098	1773085206.381
15	400.000	-0.020	400.000	0.121	1.367	1773085206.670
16	400.000	-0.008	400.002	0.068	3.207	1773085207.003
17	400.000	-0.000	399.997	0.077	1.804	1773085207.287
18	400.000	-0.010	399.998	0.078	6.134	1773085207.605
19	400.000	-0.036	400.003	0.080	1.408	1773085207.913
20	400.000	-0.012	400.000	0.029	3.780	1773085208.184
21	400.000	0.040	399.999	0.053	2.348	1773085208.487
22	400.000	-0.023	400.003	0.028	2.083	1773085208.793
23	400.000	-0.015	399.999	0.048	1.505	1773085209.041
24	400.000	-0.024	400.003	0.076	0.130	1773085209.311
25	400.000	0.019	400.000	0.037	0.706	1773085209.625
26	400.000	-0.026	400.000	0.126	0.876	1773085209.936
27	400.000	0.001	400.001	0.004	2.161	1773085210.252
28	400.000	0.029	399.998	0.016	1.870	1773085210.552
29	400.000	0.008	400.000	0.024	5.252	1773085210.850
30	400.000	-0.001	399.997	0.060	0.028	1773085211.178
31	400.000	0.028	399.999	0.057	5.998	1773085211.512
32	400.000	-0.000	400.000	0.097	1.220	1773085211.809
33	400.000	0.010	399.997	0.035	2.134	1773085212.127
34	400.000	0.012	400.002	0.036	2.862	1773085212.396
35	400.000	-0.005	400.000	0.023	0.674	1773085212.670
36	400.000	0.009	400.001	0.054	0.053	1773085212.972
37	400.000	0.028	400.001	0.051	0.548	1773085213.238
38	400.000	-0.033	400.000	0.096	1.455	1773085213.552
39	400.000	0.029	400.000	0.065	1.758	1773085213.843
40	400.000	-0.011	399.998	0.039	1.847	1773085214.159
41	400.000	-0.011	400.001	0.011	4.851	1773085214.486
42	400.000	-0.005	400.002	0.056	0.921	1773085214.811
43	400.000	-0.040	399.999	0.051	1.264	1773085215.117
44	400.000	-0.003	400.000	0.104	0.325	1773085215.407
45	400.000	-0.015	399.997	0.062	4.791	1773085215.722
46	400.000	-0.018	400.002	0.045	0.400	1773085215.989
47	400.000	-0.016	400.001	0.082	0.830	1773085216.234
48	400.000	-0.011	400.001	0.061	1.412	1773085216.534
49	400.000	0.002	399.997	0.096	0.504	1773085216.799
50	400.000	0.001	400.001	0.031	0.505	1773085217.113
51	400.000	0.002	400.000	0.033	0.175	1773085217.423
52	400.000	0.006	399.999	0.083	0.961	1773085217.757
53	400.000	-0.001	400.003	0.084	2.745	1773085218.026
54	400.000	0.001	400.000	0.037	5.797	1773085218.301
55	400.000	0.036	400.001	0.044	0.671	1773085218.598
56	400.000	-0.017	400.001	0.039	1.166	1773085218.882
57	400.000	0.001	400.003	0.061	0.821	1773085219.163
58	400.000	0.022	400.003	0.037	5.685	1773085219.480
59	400.000	-0.011	399.998	0.095	1.662	1773085219.750
60	400.000	0.008	399.999	0.030	2.029	1773085220.069
61	400.000	0.005	399.999	0.035	1.236	1773085220.401
62	400.000	0.009	400.001	0.030	1.184	1773085220.670
63	400.000	-0.014	400.004	0.028	0.917	1773085220.935
64	400.000	0.010	399.997	0.033	4.203	1773085221.262
65	400.000	0.022	400.001	0.072	1.542	1773085221.599
66	400.000	0.005	400.000	0.038	5.596	1773085221.869
67	400.000	0.018	399.995	0.015	4.384	1773085222.116
68	400.000	-0.034	399.998	0.069	5.193	1773085222.384
69	400.000	-0.015	399.999	0.108	1.182	1773085222.700
70	400.000	-0.001	400.001	0.035	6.143	1773085223.015
71	400.000	-0.030	400.000	0.072	0.936	1773085223.334
72	400.000	0.006	400.001	0.101	0.541	1773085223.618
73	400.000	0.006	400.001	0.044	1.656	1773085223.879
74	400.000	0.033	399.999	0.081	1.254	1773085224.166
75	400.000	0.001	400.002	0.038	0.606	1773085224.433
76	400.000	0.020	400.002	0.083	0.695	1773085224.672
77	400.000	-0.024	400.001	0.041	0.645	1773085224.948
78	400.000	-0.002	400.001	0.066	0.225	1773085225.249
79	400.000	0.015	400.002	0.088	1.060	1773085225.565
80	400.000	0.004	399.999	0.019	5.942	1773085225.878
81	400.000	-0.010	400.000	0.086	0.253	1773085226.194
82	400.000	-0.005	400.003	0.137	0.582	1773085226.503
83	400.000	0.002	400.002	0.013	5.456	1773085226.838
84	400.000	0.002	400.003	0.075	0.854	1773085227.108
85	400.000	0.011	399.998	0.089	1.401	1773085227.371
86	400.000	-0.012	400.002	0.111	0.785	1773085227.622
87	400.000	-0.006	400.001	0.087	1.285	1773085227.892
88	400.000	0.014	400.001	0.035	3.069	1773085228.171
89	400.000	-0.018	400.004	0.043	2.509	1773085228.453
90	400.000	0.008	400.002	0.093	1.074	1773085228.743
91	400.000	-0.021	400.002	0.098	0.750	1773085229.040
92	400.000	0.002	400.000	0.045	3.981	1773085229.307
93	400.000	0.035	399.998	0.082	2.091	1773085229.559
94	400.000	-0.012	399.997	0.040	0.664	1773085229.875
95	400.000	-0.015	399.999	0.081	1.039	1773085230.188
96	400.000	0.020	400.003	0.020	3.419	1773085230.503
97	400.000	0.009	400.002	0.029	1.450	1773085230.833
98	400.000	-0.001	399.999	0.030	1.978	1773085231.118
99	400.000	-0.007	399.999	0.087	0.885	1773085231.397
100	400.000	0.012	400.002	0.126	0.742	1773085231.699
101	400.000	-0.005	399.999	0.040	2.728	1773085231.981
102	400.000	0.007	399.999	0.074	3.878	1773085232.251
103	400.000	-0.045	400.002	0.082	1.126	1773085232.539
104	400.000	-0.037	399.998	0.067	1.296	1773085232.814
105	400.000	0.008	399.999	0.057	1.200	1773085233.142
106	400.000	0.019	400.002	0.022	0.840	1773085233.457
107	400.000	-0.010	400.002	0.044	0.993	1773085233.758
108	400.000	0.011	400.001	0.065	5.056	1773085234.091
109	400.000	-0.003	400.000	0.033	5.718	1773085234.406
110	400.000	-0.013	399.998	0.064	0.049	1773085234.712
111	400.000	-0.026	400.001	0.015	1.351	1773085235.006
112	400.000	0.009	400.002	0.060	3.525	1773085235.263
113	400.000	-0.010	400.001	0.053	0.610	1773085235.586
114	400.000	0.023	400.001	0.059	3.413	1773085235.903
115	400.000	0.008	399.998	0.044	0.897	1773085236.175
116	400.000	0.021	399.999	0.057	0.883	1773085236.451
117	400.000	-0.011	399.998	0.065	1.199	1773085236.764
118	400.000	0.012	399.999	0.012	2.077	1773085237.060
119	400.000	0.043	399.998	0.047	0.908	1773085237.400
120	400.000	0.013	400.002	0.079	1.996	1773085237.669
121	400.000	0.013	399.998	0.059	1.821	1773085237.954
122	400.000	-0.005	400.000	0.014	1.323	1773085238.267
123	400.000	-0.021	400.000	0.028	4.797	1773085238.536
124	400.000	0.014	399.999	0.053	0.929	1773085238.851
125	400.000	0.005	400.001	0.054	2.725	1773085239.151
126	400.000	0.022	400.001	0.070	0.829	1773085239.395
127	400.000	0.008	400.001	0.055	3.698	1773085239.662
128	400.000	0.006	399.998	0.065	1.979	1773085239.970
129	400.000	-0.008	399.998	0.037	5.160	1773085240.269
130	400.000	0.033	400.000	0.109	0.269	1773085240.526
131	400.000	-0.004	399.999	0.025	5.112	1773085240.841
132	400.000	0.020	400.001	0.035	1.957	1773085241.085
133	400.000	0.023	400.000	0.098	6.001	1773085241.403
134	400.000	-0.002	399.997	0.062	3.620	1773085241.676
135	400.000	-0.022	400.001	0.062	0.120	1773085241.960
136	400.000	-0.020	400.003	0.052	0.352	1773085242.237
137	400.000	0.013	399.999	0.019	1.289	1773085242.552
138	400.000	-0.037	400.004	0.022	0.432	1773085242.825
139	400.000	-0.029	399.999	0.032	1.865	1773085243.096
140	400.000	-0.025	400.001	0.039	2.330	1773085243.334
141	400.000	0.041	399.997	0.132	0.954	1773085243.590
142	400.000	-0.028	399.998	0.101	1.272	1773085243.848
143	400.000	-0.004	400.002	0.036	3.509	1773085244.166
144	400.000	0.018	399.999	0.085	1.366	1773085244.493
145	400.000	-0.005	400.001	0.034	2.628	1773085244.787
146	400.000	-0.013	399.998	0.044	4.153	1773085245.094
147	400.000	-0.014	400.001	0.041	1.680	1773085245.394
148	400.000	0.008	400.004	0.062	1.498	1773085245.656
149	400.000	-0.008	400.002	0.059	0.822	1773085245.953
150	400.000	-0.008	400.000	0.016	6.209	1773085246.232
151	400.000	0.001	400.002	0.111	0.477	1773085246.547
152	400.000	0.007	400.000	0.105	6.243	1773085246.814
153	400.000	-0.004	400.001	0.076	1.100	1773085247.113
154	400.000	-0.022	400.001	0.058	0.718	1773085247.447
155	400.000	-0.007	399.999	0.087	1.436	1773085247.731
156	400.000	-0.034	400.002	0.075	1.797	1773085248.061
157	400.000	0.039	400.000	0.005	2.560	1773085248.363
158	400.000	0.006	400.000	0.099	0.891	1773085248.696
159	400.000	-0.041	399.999	0.038	1.968	1773085248.988
160	400.000	0.001	400.001	0.057	4.971	1773085249.280
161	400.000	0.015	399.999	0.119	1.270	1773085249.561
162	400.000	-0.025	400.001	0.073	0.499	1773085249.844
163	400.000	0.016	400.001	0.082	6.214	1773085250.124
164	400.000	-0.001	400.002	0.075	0.866	1773085250.436
165	400.000	-0.014	400.002	0.034	1.318	1773085250.731
166	400.000	0.025	400.000	0.090	2.058	1773085250.982
167	400.000	0.000	399.998	0.029	1.315	1773085251.259
168	400.000	0.000	400.000	0.025	1.974	1773085251.531
169	400.000	0.003	400.003	0.064	0.150	1773085251.798
170	400.000	0.014	399.999	0.074	0.988	1773085252.050
171	400.000	-0.014	400.000	0.107	1.645	1773085252.370
172	400.000	-0.008	400.002	0.041	0.290	1773085252.665
173	400.000	0.032	400.000	0.069	3.494	1773085252.917
174	400.000	-0.007	399.999	0.146	0.932	1773085253.227
175	400.000	0.009	400.004	0.055	1.447	1773085253.469
176	400.000	0.005	399.999	0.028	5.906	1773085253.724
177	400.000	-0.018	400.001	0.117	0.148	1773085253.986
178	400.000	0.007	399.998	0.063	1.100	1773085254.296
179	400.000	0.002	400.000	0.073	0.475	1773085254.621
180	400.000	-0.017	400.001	0.036	3.862	1773085254.923
181	400.000	0.010	400.000	0.058	0.707	1773085255.184
182	400.000	0.004	400.003	0.013	0.958	1773085255.486
183	400.000	-0.037	399.998	0.041	3.917	1773085255.712
184	400.000	0.015	400.000	0.052	1.428	1773085256.018
185	400.000	-0.016	399.998	0.039	5.624	1773085256.321
186	400.000	0.013	400.002	0.165	0.437	1773085256.607
187	400.000	-0.042	400.000	0.071	1.218	1773085256.931
188	400.000	0.032	400.002	0.109	1.528	1773085257.236
189	400.000	-0.036	399.999	0.050	0.645	1773085257.556
190	400.000	-0.010	400.000	0.072	0.376	1773085257.887
191	400.000	0.009	400.001	0.075	0.557	1773085258.175
192	400.000	-0.003	399.999	0.028	0.217	1773085258.496
193	400.000	0.009	399.997	0.087	0.492	1773085258.809
194	400.000	-0.001	399.999	0.055	1.551	1773085259.107
195	400.000	0.015	399.997	0.065	6.143	1773085259.393
196	400.000	0.027	400.002	0.112	0.424	1773085259.668
197	400.000	0.029	399.999	0.081	1.754	1773085259.988
198	400.000	0.002	400.001	0.082	0.186	1773085260.273
199	400.000	-0.013	399.998	0.119	0.682	1773085260.553
200	400.000	0.003	399.999	0.109	0.689	1773085260.864
201	400.000	0.008	400.001	0.044	1.451	1773085261.181
202	400.000	0.035	399.997	0.058	5.757	1773085261.455
203	400.000	0.012	399.998	0.041	5.760	1773085261.743
204	400.000	0.014	400.000	0.022	0.300	1773085262.032
205	400.000	-0.002	400.000	0.055	5.308	1773085262.287
206	400.000	-0.009	400.002	0.010	4.336	1773085262.545
207	400.000	0.001	400.001	0.029	1.685	1773085262.819
208	400.000	0.007	399.999	0.052	3.919	1773085263.144
209	400.000	-0.016	400.003	0.112	0.945	1773085263.451
210	400.000	-0.009	400.003	0.087	5.616	1773085263.747
211	400.000	0.014	400.001	0.058	0.062	1773085264.010
212	400.000	0.027	399.998	0.022	0.241	1773085264.334
213	400.000	-0.008	400.001	0.089	0.839	1773085264.616
214	400.000	0.027	399.998	0.083	0.777	1773085264.948
215	400.000	0.004	400.003	0.012	4.156	1773085265.258
216	400.000	-0.007	400.002	0.039	2.392	1773085265.550
217	400.000	-0.015	399.999	0.050	2.408	1773085265.829
218	400.000	-0.016	400.002	0.049	0.496	1773085266.137
219	400.000	-0.002	400.002	0.122	1.188	1773085266.457
220	400.000	-0.005	399.998	0.038	3.288	1773085266.774
221	400.000	0.005	400.001	0.107	1.163	1773085267.057
222	400.000	-0.003	399.999	0.035	6.093	1773085267.388
223	400.000	-0.007	399.998	0.035	1.093	1773085267.680
224	400.000	-0.019	399.999	0.062	3.402	1773085267.931
225	400.000	0.001	399.999	0.048	1.080	1773085268.278
226	400.000	0.011	399.998	0.086	0.320	1773085268.568
227	400.000	0.014	399.999	0.042	3.229	1773085268.882
228	400.000	-0.047	400.000	0.113	5.179	1773085269.161
229	400.000	0.010	400.002	0.053	1.211	1773085269.430
230	400.000	0.010	399.998	0.039	0.701	1773085269.677
231	400.000	-0.001	399.998	0.182	0.242	1773085270.005
232	400.000	-0.018	400.000	0.050	1.423	1773085270.310
233	400.000	-0.000	399.999	0.022	1.858	1773085270.623
234	400.000	-0.013	400.003	0.080	5.819	1773085270.959
235	400.000	-0.007	399.999	0.101	1.104	1773085271.240
236	400.000	-0.005	400.004	0.090	1.847	1773085271.567
237	400.000	0.022	400.001	0.060	0.660	1773085271.872
238	400.000	-0.008	399.998	0.027	1.172	1773085272.107
239	400.000	-0.013	400.002	0.060	0.605	1773085272.395
240	400.000	0.001	400.002	0.037	2.401	1773085272.701
241	400.000	0.001	400.002	0.077	0.762	1773085273.003
242	400.000	0.008	399.999	0.068	5.121	1773085273.260
243	400.000	0.013	400.000	0.060	0.486	1773085273.512
244	400.000	-0.034	400.000	0.044	0.948	1773085273.830
245	400.000	-0.013	400.000	0.051	0.213	1773085274.095
246	400.000	-0.021	399.999	0.092	0.621	1773085274.366
247	400.000	-0.010	399.999	0.086	0.477	1773085274.645
248	400.000	0.008	400.004	0.087	1.045	1773085274.963
249	400.000	0.004	399.998	0.040	6.218	1773085275.282
250	400.000	0.008	400.001	0.076	0.896	1773085275.573
251	400.000	0.003	400.000	0.045	0.384	1773085275.889
252	400.000	0.049	400.001	0.015	4.603	1773085276.205
253	400.000	-0.025	400.001	0.079	0.545	1773085276.510
254	400.000	0.006	400.003	0.074	1.295	1773085276.772
255	400.000	0.003	400.000	0.029	0.502	1773085277.092
256	400.000	0.008	400.002	0.096	0.920	1773085277.387
257	400.000	0.023	399.997	0.075	6.262	1773085277.681
258	400.000	-0.005	400.000	0.027	0.350	1773085277.948
259	400.000	0.021	400.000	0.037	1.988	1773085278.264
260	400.000	-0.009	400.000	0.118	1.082	1773085278.555
261	400.000	0.037	400.005	0.037	1.158	1773085278.849
262	400.000	0.018	400.002	0.044	1.836	1773085279.147
263	400.000	0.006	399.999	0.027	1.159	1773085279.427
264	400.000	0.006	400.002	0.058	1.259	1773085279.723
265	400.000	-0.022	400.001	0.020	0.752	1773085280.028
266	400.000	0.030	399.999	0.030	1.784	1773085280.361
267	400.000	0.006	400.001	0.044	1.947	1773085280.626
268	400.000	0.034	399.999	0.129	1.543	1773085280.903
269	400.000	-0.000	400.001	0.091	1.518	1773085281.209
270	400.000	0.001	400.001	0.020	1.589	1773085281.518
271	400.000	-0.028	399.999	0.025	0.682	1773085281.833
272	400.000	0.006	399.997	0.057	0.817	1773085282.137
273	400.000	-0.023	400.000	0.093	5.021	1773085282.376
274	400.000	-0.022	399.998	0.047	0.751	1773085282.715
275	400.000	0.010	400.000	0.115	0.342	1773085283.019
276	400.000	-0.000	399.998	0.033	2.566	1773085283.328
277	400.000	0.007	400.000	0.097	1.007	1773085283.645
278	400.000	0.007	399.999	0.037	2.962	1773085283.928
279	400.000	0.022	400.004	0.126	0.938	1773085284.191
280	400.000	-0.031	399.998	0.093	0.719	1773085284.473
281	400.000	-0.038	399.999	0.159	0.720	1773085284.764
282	400.000	-0.013	400.002	0.060	6.166	1773085285.074
283	400.000	0.027	400.002	0.074	0.859	1773085285.396
284	400.000	-0.023	399.999	0.039	4.635	1773085285.690
285	400.000	0.012	400.003	0.067	1.403	1773085286.005
286	400.000	0.011	399.999	0.074	1.633	1773085286.270
287	400.000	0.006	400.002	0.057	1.152	1773085286.561
288	400.000	0.005	399.998	0.079	1.431	1773085286.808
289	400.000	-0.016	400.002	0.055	0.338	1773085287.081
290	400.000	0.027	400.000	0.023	5.852	1773085287.397
291	400.000	0.008	400.000	0.042	5.334	1773085287.707
292	400.000	-0.034	400.000	0.109	6.205	1773085288.036
293	400.000	0.004	399.997	0.063	6.140	1773085288.304
294	400.000	0.027	399.998	0.069	1.241	1773085288.602
