Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	200.000	-0.006	200.004	0.309	0.750	1773264881.825
2	200.000	-0.011	200.000	0.384	0.904	1773264882.088
3	200.000	-0.001	200.001	0.472	1.023	1773264882.325
4	200.000	-0.016	200.002	0.419	0.995	1773264882.583
5	200.000	-0.017	200.000	0.518	1.115	1773264882.825
6	200.000	-0.025	199.999	0.438	0.977	1773264883.068
7	200.000	-0.005	200.002	0.325	1.036	1773264883.334
8	200.000	-0.023	200.000	0.397	1.014	1773264883.590
9	200.000	-0.002	200.002	0.414	0.908	1773264883.907
10	200.000	0.011	199.999	0.369	0.884	1773264884.148
11	200.000	-0.010	200.001	0.433	0.898	1773264884.390
12	200.000	0.000	200.001	0.350	1.298	1773264884.664
13	100.000	-0.024	185.732	0.106	6.087	1773264884.973
14	100.000	0.010	160.128	0.180	1.669	1773264885.216
15	100.000	-0.008	140.159	0.070	6.139	1773264885.472
16	100.000	0.009	122.848	0.085	2.634	1773264885.784
17	100.000	0.001	113.466	0.193	3.318	1773264886.015
18	100.000	0.016	107.086	0.118	1.759	1773264886.280
19	100.000	0.022	102.836	0.202	2.444	1773264886.542
20	100.000	-0.019	100.327	1.317	0.409	1773264886.844
21	100.000	-0.025	99.273	0.110	0.439	1773264887.074
22	100.000	0.025	98.854	0.174	3.419	1773264887.336
23	100.000	-0.016	98.789	1.203	0.109	1773264887.582
24	100.000	0.024	98.903	0.275	3.528	1773264887.848
25	100.000	0.003	99.147	0.147	0.126	1773264888.159
26	100.000	0.003	99.382	0.073	4.809	1773264888.478
27	100.000	0.002	99.573	1.105	2.424	1773264888.787
28	100.000	-0.004	99.716	2.152	3.818	1773264889.106
29	100.000	0.012	99.816	2.038	5.660	1773264889.403
30	100.000	0.006	99.875	0.783	1.715	1773264889.655
31	100.000	-0.017	99.908	1.039	5.985	1773264889.888
32	100.000	-0.018	99.932	0.947	4.530	1773264890.145
33	100.000	-0.021	99.948	0.953	4.181	1773264890.400
34	100.000	0.000	99.962	1.078	3.753	1773264890.712
35	100.000	0.005	99.970	1.201	3.401	1773264890.961
36	100.000	-0.022	99.971	1.197	3.596	1773264891.195
37	100.000	-0.018	99.976	1.237	3.198	1773264891.486
38	100.000	0.011	99.979	1.250	3.274	1773264891.762
39	100.000	-0.009	99.978	1.214	3.290	1773264892.030
40	100.000	-0.018	99.981	1.351	3.137	1773264892.246
41	100.000	-0.007	99.980	1.400	2.917	1773264892.540
42	100.000	0.017	99.987	1.319	2.911	1773264892.813
43	100.000	-0.015	99.983	1.386	2.825	1773264893.091
44	100.000	-0.000	99.987	1.635	2.830	1773264893.306
45	100.000	-0.010	99.985	1.334	2.848	1773264893.585
46	100.000	-0.005	99.990	1.243	2.913	1773264893.838
47	100.000	0.006	99.991	1.415	2.716	1773264894.094
48	100.000	0.030	99.987	1.249	2.609	1773264894.347
49	100.000	-0.006	99.992	1.544	2.837	1773264894.611
50	100.000	0.021	99.996	1.386	2.776	1773264894.898
51	100.000	-0.014	99.994	1.253	2.770	1773264895.161
52	100.000	0.022	99.996	1.251	2.735	1773264895.411
53	100.000	0.014	100.000	1.275	2.755	1773264895.728
54	100.000	0.016	99.992	1.313	2.705	1773264896.045
55	100.000	0.017	99.993	1.252	2.775	1773264896.345
56	100.000	0.010	99.998	1.396	2.628	1773264896.599
57	100.000	0.015	99.993	1.206	2.721	1773264896.910
