Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	400.000	-0.001	399.997	0.616	2.302	1773269457.037
2	400.000	-0.037	400.000	0.652	2.418	1773269457.286
3	400.000	-0.004	399.999	0.522	2.121	1773269457.565
4	400.000	-0.025	399.999	0.492	2.148	1773269457.882
5	400.000	0.012	399.999	0.411	2.124	1773269458.180
6	400.000	-0.016	400.001	0.555	2.221	1773269458.453
7	400.000	-0.019	400.002	0.521	2.270	1773269458.730
8	400.000	-0.005	399.998	0.639	2.048	1773269459.054
9	400.000	0.026	399.999	0.626	2.221	1773269459.333
10	400.000	-0.022	400.001	0.538	2.244	1773269459.598
11	400.000	-0.003	400.000	0.488	2.156	1773269459.919
12	400.000	0.011	400.001	0.542	2.219	1773269460.193
13	400.000	-0.010	399.999	0.415	2.401	1773269460.462
14	400.000	-0.011	399.999	0.521	2.424	1773269460.699
15	400.000	-0.009	399.997	0.600	2.321	1773269460.968
16	400.000	0.013	399.998	0.462	2.129	1773269461.204
17	400.000	-0.018	400.001	0.464	2.416	1773269461.435
18	400.000	-0.004	399.999	0.591	2.191	1773269461.709
19	400.000	0.002	400.001	0.552	2.482	1773269461.991
20	400.000	0.015	399.999	0.527	2.118	1773269462.272
21	400.000	0.002	400.002	0.518	2.273	1773269462.522
22	400.000	-0.014	400.002	0.537	2.112	1773269462.793
23	400.000	0.002	400.001	0.594	2.412	1773269463.027
24	400.000	0.014	399.999	0.613	2.293	1773269463.303
25	400.000	-0.023	400.001	0.393	2.199	1773269463.612
26	400.000	0.001	399.998	0.564	2.196	1773269463.932
27	400.000	0.023	399.997	0.513	2.266	1773269464.211
28	400.000	0.006	399.998	0.565	2.315	1773269464.481
29	400.000	0.025	400.003	0.562	2.173	1773269464.793
30	400.000	0.008	399.998	0.518	2.292	1773269465.086
31	400.000	0.013	400.000	0.435	2.087	1773269465.347
32	400.000	0.004	400.002	0.666	2.279	1773269465.592
33	400.000	-0.005	400.001	0.520	2.314	1773269465.919
34	400.000	0.026	400.000	0.523	2.317	1773269466.233
35	400.000	-0.018	400.002	0.116	5.048	1773269466.539
36	400.000	-0.020	400.001	0.545	2.196	1773269466.796
37	400.000	0.002	400.000	0.506	2.477	1773269467.034
38	400.000	0.005	399.999	0.350	2.212	1773269467.295
39	400.000	-0.018	400.000	0.443	2.664	1773269467.548
40	400.000	0.013	399.999	0.438	2.509	1773269467.833
41	400.000	0.002	400.001	0.382	2.531	1773269468.099
42	400.000	-0.010	400.000	0.386	2.305	1773269468.361
43	400.000	0.025	399.997	0.465	2.167	1773269468.672
44	400.000	-0.001	400.002	0.086	3.774	1773269468.983
45	400.000	-0.007	399.998	0.237	4.569	1773269469.228
46	400.000	-0.054	399.999	0.119	2.310	1773269469.467
47	400.000	-0.036	400.000	0.449	2.282	1773269469.746
48	400.000	-0.022	399.999	0.748	1.946	1773269470.032
49	400.000	0.012	400.000	0.731	2.070	1773269470.290
50	400.000	0.015	399.999	0.735	1.853	1773269470.555
51	400.000	-0.021	400.000	0.222	1.959	1773269470.829
52	400.000	-0.010	399.998	0.143	0.531	1773269471.102
53	400.000	0.007	400.002	0.398	5.627	1773269471.332
54	400.000	0.006	400.000	0.759	5.335	1773269471.607
55	400.000	-0.034	400.002	0.890	5.353	1773269471.884
56	400.000	-0.018	400.001	0.930	5.403	1773269472.160
57	400.000	-0.037	400.001	0.664	5.215	1773269472.390
58	400.000	-0.026	400.001	0.501	4.916	1773269472.660
59	400.000	0.005	400.000	0.328	4.856	1773269472.902
60	400.000	0.045	400.000	0.241	3.215	1773269473.177
61	400.000	-0.005	399.999	0.458	2.222	1773269473.466
62	400.000	-0.010	400.000	0.720	2.134	1773269473.732
63	400.000	0.046	400.002	0.814	1.909	1773269474.051
64	400.000	-0.014	400.001	0.496	1.795	1773269474.369
65	400.000	0.008	400.000	0.216	1.608	1773269474.651
66	400.000	0.038	400.002	0.256	5.760	1773269474.926
67	400.000	-0.050	399.999	0.513	5.266	1773269475.217
68	400.000	0.014	399.999	0.860	5.378	1773269475.475
69	400.000	-0.024	400.002	1.004	5.302	1773269475.739
70	400.000	-0.024	400.007	0.900	5.244	1773269476.017
71	400.000	-0.012	399.999	0.594	5.267	1773269476.293
72	400.000	-0.020	399.996	0.327	5.252	1773269476.609
73	400.000	-0.015	399.999	0.296	3.231	1773269476.924
74	400.000	0.013	399.999	0.603	2.213	1773269477.229
75	400.000	-0.003	400.004	0.753	1.907	1773269477.553
76	400.000	0.016	400.001	0.749	1.997	1773269477.847
77	400.000	0.005	400.000	0.501	1.875	1773269478.094
78	400.000	-0.002	399.996	0.111	0.574	1773269478.362
79	400.000	0.013	400.000	0.152	5.189	1773269478.666
80	400.000	0.033	400.000	0.601	5.482	1773269478.974
81	400.000	0.002	400.001	0.780	5.118	1773269479.214
82	400.000	-0.013	400.001	0.867	5.237	1773269479.478
83	400.000	-0.006	400.002	0.848	5.189	1773269479.775
84	400.000	-0.017	399.999	0.611	5.201	1773269480.010
85	400.000	0.015	399.998	0.236	4.737	1773269480.278
86	400.000	-0.008	400.003	0.186	3.448	1773269480.530
87	400.000	-0.022	400.000	0.435	2.226	1773269480.784
88	400.000	-0.001	399.999	0.767	2.104	1773269481.039
89	400.000	0.022	399.999	0.628	1.878	1773269481.279
90	400.000	0.031	400.002	0.670	1.982	1773269481.545
91	400.000	-0.014	400.001	0.452	1.743	1773269481.821
92	400.000	-0.002	399.998	0.142	1.220	1773269482.091
93	400.000	-0.033	400.002	0.314	5.333	1773269482.333
94	400.000	0.010	399.998	0.375	5.530	1773269482.589
95	400.000	-0.008	399.999	0.739	5.278	1773269482.839
96	400.000	-0.021	400.000	0.905	5.206	1773269483.108
97	400.000	0.010	400.003	0.793	5.120	1773269483.428
98	400.000	-0.016	400.001	0.705	5.054	1773269483.700
99	400.000	0.022	399.998	0.351	4.912	1773269483.969
100	400.000	-0.001	400.003	0.213	3.394	1773269484.221
101	400.000	-0.008	400.003	0.337	2.187	1773269484.497
102	400.000	0.011	400.000	0.698	2.211	1773269484.748
103	400.000	-0.004	399.998	0.764	2.000	1773269485.069
104	400.000	-0.018	400.001	0.602	1.884	1773269485.395
105	400.000	0.004	400.002	0.412	1.868	1773269485.671
106	400.000	-0.013	400.001	0.212	0.124	1773269485.935
107	400.000	0.019	400.000	0.236	5.208	1773269486.166
108	400.000	-0.002	399.999	0.667	5.060	1773269486.446
109	400.000	-0.022	399.999	0.880	5.182	1773269486.742
110	400.000	0.012	400.001	0.821	5.041	1773269486.982
111	400.000	-0.023	399.999	0.869	4.957	1773269487.246
112	400.000	-0.018	400.001	0.562	4.912	1773269487.549
113	400.000	0.013	399.998	0.341	4.232	1773269487.805
114	400.000	-0.010	400.003	0.181	3.139	1773269488.051
115	400.000	-0.037	400.000	0.326	2.309	1773269488.295
116	400.000	0.005	400.004	0.644	2.032	1773269488.572
117	400.000	-0.001	400.001	0.822	2.016	1773269488.818
118	400.000	0.005	399.998	0.644	1.883	1773269489.093
119	400.000	-0.010	399.998	0.363	1.791	1773269489.389
120	400.000	0.014	400.001	0.166	0.860	1773269489.617
121	400.000	-0.013	399.999	0.326	5.346	1773269489.883
122	400.000	-0.039	399.998	0.450	5.307	1773269490.126
