Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	400.000	0.020	400.001	0.160	4.975	1773259046.459
2	400.000	0.007	399.999	0.148	4.124	1773259046.690
3	400.000	0.021	400.000	0.169	0.759	1773259046.968
4	400.000	0.005	399.999	0.260	4.391	1773259047.198
5	400.000	-0.010	400.000	0.049	5.177	1773259047.478
6	400.000	0.008	399.999	0.112	0.630	1773259047.718
7	400.000	-0.028	399.999	0.143	3.648	1773259047.975
8	400.000	0.001	399.996	0.075	0.913	1773259048.217
9	400.000	0.001	400.001	0.187	4.967	1773259048.462
10	400.000	0.026	400.003	0.295	1.945	1773259048.724
11	400.000	0.021	399.998	0.178	1.839	1773259048.956
12	400.000	-0.015	400.003	0.187	2.235	1773259049.230
13	400.000	0.010	400.001	0.136	3.079	1773259049.464
14	400.000	-0.015	399.998	0.139	3.003	1773259049.725
15	400.000	-0.003	399.999	0.285	2.050	1773259049.989
16	400.000	-0.000	400.001	0.245	2.067	1773259050.237
17	400.000	-0.004	400.000	0.202	1.610	1773259050.494
18	400.000	-0.011	399.999	0.267	2.301	1773259050.769
19	400.000	-0.023	400.002	0.198	1.745	1773259051.016
20	400.000	-0.006	400.000	0.220	2.886	1773259051.268
21	400.000	-0.004	400.002	0.232	1.832	1773259051.507
22	400.000	0.048	400.002	0.259	2.467	1773259051.764
23	400.000	0.036	399.999	0.198	2.512	1773259052.063
24	400.000	0.007	400.002	0.323	2.059	1773259052.324
25	400.000	-0.002	400.001	0.341	2.745	1773259052.564
26	400.000	0.004	400.000	0.153	1.849	1773259052.798
27	400.000	-0.002	399.998	0.247	2.530	1773259053.069
28	400.000	-0.005	400.000	0.266	2.918	1773259053.314
29	400.000	0.013	400.001	0.145	2.412	1773259053.599
30	400.000	-0.002	400.002	0.308	2.370	1773259053.891
31	400.000	-0.008	400.001	0.230	2.146	1773259054.168
32	400.000	0.006	400.002	0.238	2.273	1773259054.453
33	400.000	-0.020	400.003	0.061	2.918	1773259054.691
34	400.000	0.020	400.001	0.263	2.071	1773259054.955
35	400.000	0.015	399.999	0.497	1.878	1773259055.194
36	400.000	-0.003	400.001	0.152	3.081	1773259055.464
37	400.000	-0.017	399.999	0.222	3.330	1773259055.702
38	400.000	-0.040	400.001	0.376	2.133	1773259055.945
39	400.000	-0.008	400.002	0.182	2.870	1773259056.215
40	400.000	-0.000	400.000	0.105	3.692	1773259056.428
41	400.000	-0.028	399.999	0.334	2.231	1773259056.712
42	400.000	-0.009	399.999	0.246	2.456	1773259056.950
43	400.000	-0.004	399.999	0.055	1.998	1773259057.206
44	400.000	-0.020	399.999	0.217	2.337	1773259057.450
45	400.000	-0.013	399.998	0.225	2.038	1773259057.701
46	400.000	0.021	400.000	0.105	2.416	1773259057.953
47	400.000	-0.002	400.003	0.234	2.685	1773259058.216
48	400.000	-0.028	400.000	0.355	2.416	1773259058.465
49	400.000	-0.020	400.003	0.419	2.610	1773259058.707
50	400.000	-0.004	400.001	0.156	3.951	1773259058.972
51	400.000	-0.022	399.999	0.208	3.434	1773259059.216
52	400.000	-0.045	400.000	0.160	1.534	1773259059.455
53	400.000	-0.009	399.997	0.213	1.852	1773259059.693
54	400.000	-0.003	400.001	0.231	2.522	1773259059.946
55	400.000	0.009	399.999	0.210	2.226	1773259060.220
56	400.000	0.017	400.000	0.170	1.769	1773259060.454
57	400.000	0.000	399.998	0.139	2.389	1773259060.723
58	400.000	-0.014	399.998	0.112	2.513	1773259061.011
59	400.000	0.004	400.003	0.150	3.037	1773259061.288
60	400.000	0.001	400.001	0.178	2.328	1773259061.576
61	400.000	0.001	399.998	0.201	2.994	1773259061.815
62	400.000	0.017	399.998	0.033	2.166	1773259062.078
63	400.000	-0.013	399.998	0.087	0.971	1773259062.316
64	400.000	0.003	400.001	0.208	2.328	1773259062.602
65	400.000	-0.015	400.001	0.173	1.950	1773259062.843
66	400.000	0.020	400.001	0.106	1.912	1773259063.121
67	400.000	0.009	400.001	0.123	2.655	1773259063.400
68	400.000	-0.005	400.000	0.094	1.864	1773259063.708
69	400.000	-0.022	400.001	0.223	4.134	1773259063.977
70	400.000	-0.018	399.999	0.217	3.963	1773259064.244
71	400.000	0.016	399.999	0.303	3.874	1773259064.525
72	400.000	-0.008	400.001	0.195	3.375	1773259064.808
73	400.000	0.017	400.002	0.212	4.347	1773259065.060
74	400.000	0.006	399.999	0.174	2.229	1773259065.313
75	400.000	-0.006	400.000	0.147	1.457	1773259065.569
76	400.000	0.009	399.998	0.261	4.219	1773259065.810
77	400.000	0.002	400.003	0.256	1.934	1773259066.070
78	400.000	0.026	400.000	0.169	1.884	1773259066.324
79	400.000	-0.022	400.001	0.164	6.232	1773259066.563
80	400.000	0.004	400.001	0.190	3.627	1773259066.827
81	400.000	-0.004	399.998	0.250	2.246	1773259067.130
82	400.000	-0.002	400.002	0.137	3.239	1773259067.375
83	400.000	0.017	400.000	0.242	2.253	1773259067.634
84	400.000	-0.013	400.000	0.273	4.035	1773259067.882
85	400.000	-0.011	399.997	0.205	3.168	1773259068.158
86	400.000	0.021	400.002	0.258	4.605	1773259068.414
87	400.000	-0.017	400.001	0.352	5.394	1773259068.697
88	400.000	-0.020	399.999	0.266	5.238	1773259069.002
89	400.000	-0.040	400.000	0.337	5.765	1773259069.269
90	400.000	-0.007	400.004	0.291	5.528	1773259069.562
91	400.000	0.002	400.001	0.346	5.591	1773259069.780
92	400.000	0.017	400.002	0.257	5.513	1773259070.063
93	400.000	0.043	400.001	0.345	5.225	1773259070.297
94	400.000	0.036	400.000	0.377	4.808	1773259070.553
95	400.000	-0.029	400.003	0.374	5.157	1773259070.792
96	400.000	0.007	400.004	0.436	5.495	1773259071.031
97	400.000	-0.004	399.998	0.568	5.645	1773259071.292
98	400.000	0.031	399.999	0.575	5.969	1773259071.540
99	400.000	-0.012	400.001	0.453	5.479	1773259071.829
100	400.000	-0.010	399.998	0.283	6.145	1773259072.114
101	400.000	-0.008	400.002	0.071	1.445	1773259072.374
102	400.000	0.017	400.000	0.233	2.555	1773259072.644
103	400.000	0.021	399.998	0.530	2.382	1773259072.920
104	400.000	-0.016	399.999	0.663	2.383	1773259073.182
105	400.000	0.004	400.002	0.811	2.547	1773259073.436
106	400.000	-0.004	399.997	0.696	2.636	1773259073.656
107	400.000	0.027	400.000	0.571	2.980	1773259073.935
108	400.000	0.005	399.999	0.428	2.763	1773259074.165
109	400.000	-0.029	399.998	0.090	3.766	1773259074.448
110	400.000	0.016	399.999	0.280	5.285	1773259074.745
111	400.000	-0.014	400.003	0.363	5.428	1773259074.992
112	400.000	-0.015	400.002	0.613	5.274	1773259075.231
113	400.000	0.037	399.999	0.542	5.513	1773259075.492
114	400.000	0.009	399.999	0.395	5.467	1773259075.737
115	400.000	0.002	400.002	0.183	5.558	1773259075.992
116	400.000	0.010	400.000	0.095	2.653	1773259076.235
117	400.000	-0.001	399.999	0.363	2.221	1773259076.492
118	400.000	-0.013	399.999	0.727	2.589	1773259076.738
119	400.000	-0.013	399.999	0.629	2.550	1773259076.990
120	400.000	-0.008	399.999	0.739	2.376	1773259077.236
121	400.000	0.023	400.001	0.733	2.554	1773259077.483
122	400.000	0.027	400.000	0.506	3.002	1773259077.755
123	400.000	-0.010	399.997	0.349	3.262	1773259077.994
124	400.000	-0.004	399.999	0.222	5.272	1773259078.254
125	400.000	0.025	400.000	0.441	5.127	1773259078.496
126	400.000	0.030	400.003	0.479	5.306	1773259078.753
127	400.000	-0.015	400.001	0.657	5.276	1773259078.995
128	400.000	-0.022	399.999	0.600	5.259	1773259079.237
129	400.000	0.026	400.002	0.278	6.259	1773259079.496
130	400.000	0.049	399.997	0.221	4.210	1773259079.743
131	400.000	-0.031	399.997	0.241	1.835	1773259080.007
132	400.000	-0.006	399.999	0.412	2.159	1773259080.286
133	400.000	0.009	399.996	0.554	2.463	1773259080.551
134	400.000	-0.007	399.999	0.723	2.499	1773259080.795
135	400.000	0.039	400.000	0.753	2.702	1773259081.060
136	400.000	-0.013	400.004	0.616	2.572	1773259081.283
137	400.000	-0.000	399.998	0.418	2.949	1773259081.564
138	400.000	0.003	400.004	0.238	3.187	1773259081.804
139	400.000	0.007	400.000	0.239	4.837	1773259082.067
140	400.000	0.004	400.001	0.400	5.597	1773259082.328
141	400.000	-0.015	400.001	0.571	5.531	1773259082.589
142	400.000	0.018	400.002	0.543	5.172	1773259082.859
143	400.000	-0.025	400.000	0.297	5.756	1773259083.151
144	400.000	0.024	400.000	0.112	5.789	1773259083.430
145	400.000	0.014	399.997	0.233	2.637	1773259083.697
146	400.000	0.004	399.999	0.496	2.639	1773259083.921
147	400.000	0.001	400.004	0.612	2.224	1773259084.212
148	400.000	0.046	399.999	0.668	2.425	1773259084.452
149	400.000	-0.009	400.001	0.861	2.391	1773259084.756
150	400.000	0.018	400.001	0.595	2.568	1773259085.005
151	400.000	0.005	400.000	0.255	2.470	1773259085.295
152	400.000	-0.032	399.998	0.058	2.808	1773259085.601
153	400.000	0.019	399.998	0.426	5.270	1773259085.895
154	400.000	0.037	400.000	0.492	5.548	1773259086.168
155	400.000	-0.007	399.998	0.492	5.456	1773259086.457
156	400.000	0.001	400.003	0.416	5.783	1773259086.696
157	400.000	-0.018	400.001	0.295	5.007	1773259086.950
