Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	400.000	0.023	399.996	1.292	0.287	1773263333.804
2	400.000	0.001	400.001	1.356	0.363	1773263334.064
3	400.000	-0.009	400.002	1.361	0.220	1773263334.337
4	400.000	0.000	399.999	1.400	0.319	1773263334.640
5	400.000	0.029	399.999	1.455	0.364	1773263334.884
6	400.000	-0.014	400.000	1.203	0.265	1773263335.182
7	400.000	-0.039	400.000	1.396	0.275	1773263335.448
8	400.000	-0.003	400.000	1.322	0.323	1773263335.720
9	400.000	0.004	400.000	1.266	0.108	1773263336.006
10	400.000	-0.035	400.003	1.311	0.252	1773263336.258
11	400.000	-0.012	400.000	1.408	0.338	1773263336.512
12	400.000	0.019	399.998	1.348	0.362	1773263336.767
13	400.000	0.002	399.998	1.322	0.272	1773263337.023
14	400.000	-0.006	399.996	1.309	0.238	1773263337.260
15	400.000	0.001	400.002	1.264	0.164	1773263337.526
16	400.000	-0.028	399.999	1.327	0.282	1773263337.834
17	400.000	0.005	399.998	1.289	0.309	1773263338.147
18	400.000	0.015	400.002	1.217	0.211	1773263338.457
19	400.000	0.010	400.000	1.331	0.341	1773263338.772
20	400.000	-0.000	399.996	1.215	0.226	1773263339.011
21	400.000	0.009	399.996	1.404	0.304	1773263339.280
22	400.000	0.034	400.002	1.478	0.307	1773263339.536
23	400.000	0.002	399.997	1.347	0.320	1773263339.799
24	400.000	-0.006	400.000	1.326	0.319	1773263340.098
25	400.000	0.045	400.001	1.275	0.355	1773263340.359
26	400.000	0.012	400.002	1.340	0.230	1773263340.671
27	400.000	0.004	400.001	1.215	0.273	1773263340.977
28	400.000	-0.008	399.999	1.306	0.226	1773263341.270
29	400.000	0.039	399.998	1.378	0.310	1773263341.518
30	400.000	0.029	400.001	1.432	0.303	1773263341.797
31	400.000	0.014	400.000	1.247	0.142	1773263342.092
32	400.000	-0.014	399.999	1.284	0.304	1773263342.346
33	400.000	-0.010	400.004	1.227	0.251	1773263342.661
34	400.000	-0.022	400.002	1.371	0.325	1773263342.887
35	400.000	0.018	400.000	1.335	0.386	1773263343.151
36	400.000	0.007	400.000	1.389	0.359	1773263343.395
37	400.000	0.022	400.003	1.377	0.266	1773263343.710
38	400.000	0.013	400.001	1.228	0.238	1773263343.967
39	400.000	0.017	400.004	1.132	0.225	1773263344.210
40	400.000	-0.008	399.998	1.247	0.278	1773263344.463
41	400.000	-0.041	399.997	1.270	0.307	1773263344.735
42	400.000	-0.007	399.994	1.452	0.326	1773263344.973
43	400.000	0.000	400.001	1.396	0.301	1773263345.297
44	400.000	0.029	400.004	1.247	0.143	1773263345.579
45	400.000	-0.018	400.001	1.198	0.194	1773263345.906
46	400.000	-0.006	399.999	1.353	0.222	1773263346.180
47	400.000	-0.015	399.999	1.302	0.289	1773263346.445
48	400.000	0.031	399.998	1.404	0.306	1773263346.688
49	400.000	0.001	399.999	1.270	0.273	1773263346.942
50	400.000	0.020	400.001	1.307	0.325	1773263347.260
51	400.000	0.028	400.001	1.251	0.309	1773263347.562
52	400.000	-0.005	399.998	1.214	0.255	1773263347.848
53	400.000	0.004	399.996	1.278	0.201	1773263348.128
54	400.000	0.010	399.997	1.284	0.204	1773263348.382
55	400.000	-0.003	400.000	1.249	0.196	1773263348.605
56	400.000	-0.031	400.001	1.363	0.193	1773263348.878
57	400.000	-0.029	400.001	1.330	0.304	1773263349.133
58	400.000	-0.046	399.998	1.243	0.170	1773263349.447
59	400.000	-0.041	400.000	1.262	0.257	1773263349.766
60	400.000	0.012	400.001	1.239	0.303	1773263350.061
61	400.000	0.015	399.997	1.450	0.302	1773263350.309
62	400.000	0.000	400.001	1.235	0.386	1773263350.571
63	400.000	0.012	399.998	1.345	0.305	1773263350.869
64	400.000	-0.004	399.999	1.296	0.259	1773263351.181
65	400.000	-0.002	399.996	1.155	0.239	1773263351.453
66	400.000	-0.048	400.000	1.300	0.293	1773263351.707
67	400.000	-0.015	399.999	1.230	0.238	1773263351.965
68	400.000	-0.013	400.001	1.271	0.312	1773263352.221
69	400.000	0.035	399.999	1.409	0.389	1773263352.482
70	400.000	0.008	400.000	1.325	0.223	1773263352.775
71	400.000	0.010	399.998	1.169	0.283	1773263353.060
72	400.000	-0.045	400.001	1.143	0.188	1773263353.361
73	400.000	-0.030	400.000	1.210	0.267	1773263353.627
74	400.000	-0.017	400.001	1.223	0.290	1773263353.909
75	400.000	-0.044	400.003	1.280	0.276	1773263354.146
76	400.000	0.019	399.999	1.396	0.240	1773263354.403
77	400.000	0.017	400.001	1.405	0.384	1773263354.642
78	400.000	-0.011	399.998	1.393	0.342	1773263354.907
79	400.000	0.020	400.004	1.280	0.382	1773263355.168
80	400.000	0.021	400.000	1.296	0.351	1773263355.435
81	400.000	-0.015	400.002	1.354	0.409	1773263355.714
82	400.000	-0.011	400.000	1.259	0.272	1773263355.991
83	400.000	0.023	400.000	1.281	0.250	1773263356.288
84	400.000	0.005	400.001	1.349	0.209	1773263356.556
85	400.000	-0.009	399.999	1.227	0.295	1773263356.839
86	400.000	0.013	400.002	1.224	0.331	1773263357.115
87	400.000	-0.002	399.999	1.379	0.312	1773263357.419
88	400.000	0.024	400.001	1.328	0.287	1773263357.687
89	400.000	-0.002	400.002	1.364	0.321	1773263357.991
90	400.000	0.009	399.996	1.253	0.294	1773263358.319
91	400.000	0.015	400.001	1.289	0.285	1773263358.621
