Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	400.000	-0.015	400.002	0.162	2.485	1773267010.239
2	400.000	0.002	400.001	0.128	3.669	1773267010.549
3	400.000	-0.004	400.000	0.061	3.070	1773267010.777
4	400.000	-0.056	399.999	0.081	1.349	1773267011.047
5	400.000	-0.022	399.999	0.094	4.142	1773267011.278
6	400.000	0.013	400.000	0.078	3.138	1773267011.551
7	400.000	-0.000	400.000	0.101	3.593	1773267011.836
8	400.000	-0.009	399.998	0.141	3.597	1773267012.100
9	400.000	0.039	400.002	0.158	3.781	1773267012.342
10	400.000	-0.011	399.996	0.073	0.461	1773267012.658
11	400.000	-0.019	399.997	0.082	3.494	1773267012.918
12	400.000	-0.004	400.000	0.230	4.033	1773267013.159
13	400.000	-0.037	400.000	0.132	3.019	1773267013.410
14	400.000	-0.018	400.002	0.067	3.835	1773267013.721
15	400.000	0.031	399.998	0.095	4.041	1773267013.983
16	400.000	0.009	399.997	0.151	5.832	1773267014.301
17	400.000	0.012	399.999	0.001	3.799	1773267014.557
18	400.000	-0.013	399.996	0.114	4.940	1773267014.868
19	400.000	0.037	400.001	0.067	4.145	1773267015.116
20	400.000	-0.024	400.002	0.077	3.176	1773267015.421
21	400.000	-0.008	399.997	0.060	4.548	1773267015.666
22	400.000	0.015	400.001	0.111	4.048	1773267015.930
23	400.000	0.009	400.000	0.140	5.005	1773267016.246
24	400.000	-0.007	399.998	0.161	4.591	1773267016.553
25	400.000	0.024	400.003	0.084	1.466	1773267016.846
26	400.000	0.002	399.998	0.092	6.166	1773267017.106
27	400.000	0.012	399.997	0.119	4.327	1773267017.351
28	400.000	0.013	399.999	0.068	5.158	1773267017.618
29	400.000	-0.033	399.999	0.088	4.648	1773267017.893
30	400.000	0.019	399.998	0.071	4.100	1773267018.176
31	400.000	-0.016	400.001	0.007	5.905	1773267018.394
32	400.000	0.020	400.000	0.056	5.390	1773267018.671
33	400.000	-0.005	399.998	0.140	5.573	1773267018.919
34	400.000	-0.007	400.001	0.027	5.447	1773267019.181
35	400.000	-0.022	399.999	0.084	5.103	1773267019.488
36	400.000	0.031	400.003	0.072	4.891	1773267019.772
37	400.000	0.019	400.002	0.093	5.049	1773267020.043
38	400.000	0.020	400.000	0.057	5.648	1773267020.281
39	400.000	-0.003	400.004	0.094	3.362	1773267020.509
40	400.000	-0.019	400.000	0.124	4.767	1773267020.794
41	400.000	0.014	399.999	0.122	5.214	1773267021.038
42	400.000	-0.003	400.003	0.125	4.985	1773267021.317
43	400.000	-0.001	400.000	0.115	5.963	1773267021.622
44	400.000	0.033	399.998	0.034	3.576	1773267021.870
45	400.000	0.024	400.000	0.102	5.608	1773267022.090
46	400.000	0.015	400.000	0.053	3.725	1773267022.354
47	400.000	-0.022	399.996	0.024	5.544	1773267022.590
48	400.000	-0.029	400.001	0.100	0.577	1773267022.867
49	400.000	-0.011	399.998	0.170	5.907	1773267023.104
50	400.000	0.020	400.000	0.202	4.495	1773267023.371
51	400.000	-0.007	400.004	0.092	6.195	1773267023.630
52	400.000	0.013	399.999	0.116	4.387	1773267023.926
53	400.000	0.004	400.002	0.047	2.468	1773267024.181
54	400.000	0.006	400.002	0.088	0.513	1773267024.494
55	400.000	-0.030	399.999	0.114	5.057	1773267024.729
56	400.000	-0.015	399.998	0.062	5.531	1773267025.005
57	400.000	-0.000	400.000	0.046	3.539	1773267025.294
58	400.000	-0.028	399.998	0.132	6.085	1773267025.538
59	400.000	-0.009	399.997	0.258	5.123	1773267025.796
60	400.000	-0.026	399.998	0.119	4.928	1773267026.044
61	400.000	0.009	400.000	0.083	5.462	1773267026.315
62	400.000	0.025	399.997	0.131	5.198	1773267026.609
63	400.000	0.000	400.000	0.115	3.626	1773267026.845
64	400.000	-0.006	399.997	0.143	5.149	1773267027.109
65	400.000	0.008	400.003	0.129	4.633	1773267027.376
66	400.000	0.034	399.998	0.173	5.666	1773267027.627
67	400.000	0.005	400.000	0.085	1.012	1773267027.897
68	400.000	0.014	399.998	0.077	4.967	1773267028.170
69	400.000	0.005	400.000	0.123	4.838	1773267028.441
70	400.000	0.037	399.999	0.144	6.138	1773267028.662
71	400.000	0.014	400.003	0.003	0.345	1773267028.950
72	400.000	0.006	400.002	0.139	5.133	1773267029.240
73	400.000	-0.014	400.002	0.072	5.085	1773267029.502
74	400.000	-0.002	400.001	0.160	4.345	1773267029.831
75	400.000	-0.003	400.002	0.045	4.124	1773267030.129
76	400.000	-0.021	399.998	0.177	5.720	1773267030.430
77	400.000	-0.009	400.001	0.141	5.117	1773267030.768
78	400.000	-0.018	400.001	0.112	0.512	1773267031.063
79	400.000	0.036	399.997	0.083	5.092	1773267031.386
80	400.000	0.031	399.998	0.174	4.892	1773267031.660
81	400.000	0.026	399.999	0.110	0.093	1773267031.922
82	400.000	-0.026	400.001	0.038	1.812	1773267032.168
83	400.000	-0.006	400.003	0.040	0.223	1773267032.445
84	400.000	0.016	400.000	0.051	6.062	1773267032.698
85	400.000	0.025	400.000	0.154	5.659	1773267032.968
86	400.000	0.020	399.999	0.131	4.713	1773267033.214
87	400.000	-0.002	399.998	0.023	4.134	1773267033.477
88	400.000	-0.005	399.998	0.077	0.008	1773267033.804
89	400.000	-0.020	400.003	0.114	4.508	1773267034.081
90	400.000	0.009	400.003	0.017	0.288	1773267034.346
91	400.000	0.009	399.999	0.125	4.340	1773267034.642
92	400.000	0.026	399.999	0.047	5.700	1773267034.898
93	400.000	0.013	400.000	0.127	5.129	1773267035.144
94	400.000	0.009	400.003	0.072	5.129	1773267035.455
95	400.000	-0.003	399.998	0.048	1.467	1773267035.726
96	400.000	-0.005	400.000	0.098	6.002	1773267035.979
97	400.000	0.024	399.999	0.098	4.708	1773267036.282
98	400.000	0.021	399.999	0.103	4.635	1773267036.528
99	400.000	0.024	399.998	0.012	1.624	1773267036.790
100	400.000	-0.008	400.000	0.062	5.058	1773267037.107
101	400.000	-0.003	399.999	0.137	5.808	1773267037.405
102	400.000	0.000	400.002	0.020	4.215	1773267037.739
103	400.000	-0.004	399.999	0.075	3.466	1773267038.038
104	400.000	-0.013	400.001	0.087	3.392	1773267038.336
105	400.000	0.001	400.001	0.048	5.323	1773267038.622
106	400.000	0.025	400.004	0.150	5.121	1773267038.905
107	400.000	0.015	399.999	0.075	4.100	1773267039.156
108	400.000	0.007	399.998	0.176	5.730	1773267039.471
109	400.000	0.013	400.001	0.156	5.015	1773267039.774
110	400.000	0.024	399.998	0.148	4.581	1773267040.020
111	400.000	0.026	399.999	0.032	5.110	1773267040.340
112	400.000	0.006	400.001	0.149	5.157	1773267040.592
113	400.000	0.014	400.000	0.114	4.690	1773267040.903
114	400.000	-0.000	400.002	0.079	5.216	1773267041.224
115	400.000	-0.006	400.003	0.137	5.822	1773267041.522
116	400.000	0.018	400.000	0.040	2.572	1773267041.837
117	400.000	-0.003	399.997	0.090	5.521	1773267042.088
118	400.000	-0.012	399.999	0.035	6.270	1773267042.317
119	400.000	0.011	399.999	0.072	4.849	1773267042.585
120	400.000	0.008	399.999	0.112	0.131	1773267042.840
121	400.000	-0.003	400.002	0.141	5.471	1773267043.134
122	400.000	-0.031	400.002	0.165	5.657	1773267043.392
123	400.000	0.007	400.001	0.095	5.281	1773267043.639
124	400.000	-0.003	399.998	0.114	5.344	1773267043.900
125	400.000	0.015	399.998	0.078	1.319	1773267044.153
126	400.000	0.026	400.001	0.164	4.604	1773267044.403
127	400.000	0.008	400.002	0.120	5.958	1773267044.669
128	400.000	-0.008	399.997	0.051	6.040	1773267044.907
129	400.000	-0.037	400.001	0.013	5.716	1773267045.211
130	400.000	-0.005	399.998	0.087	5.341	1773267045.473
131	400.000	-0.005	400.004	0.125	5.792	1773267045.742
132	400.000	-0.026	400.000	0.146	5.788	1773267045.983
133	400.000	0.002	400.005	0.047	6.266	1773267046.218
134	400.000	-0.009	400.001	0.090	0.915	1773267046.479
135	400.000	0.004	399.995	0.186	6.201	1773267046.788
136	400.000	0.030	399.998	0.109	4.861	1773267047.044
137	400.000	0.020	400.003	0.069	5.866	1773267047.291
138	400.000	0.003	399.998	0.073	3.935	1773267047.523
139	400.000	0.035	400.002	0.153	5.476	1773267047.796
140	400.000	-0.023	399.999	0.110	5.817	1773267048.009
141	400.000	-0.017	400.000	0.070	0.575	1773267048.286
142	400.000	0.002	400.002	0.074	4.611	1773267048.528
143	400.000	0.013	399.997	0.173	6.274	1773267048.785
144	400.000	0.023	400.001	0.058	3.880	1773267049.045
145	400.000	0.005	400.003	0.042	3.445	1773267049.301
146	400.000	0.038	400.001	0.011	6.234	1773267049.568
147	400.000	0.028	400.000	0.042	3.986	1773267049.872
148	400.000	0.039	400.001	0.090	6.180	1773267050.130
149	400.000	0.005	399.999	0.098	3.826	1773267050.434
150	400.000	0.026	400.000	0.110	4.524	1773267050.702
151	400.000	-0.008	399.998	0.095	5.895	1773267050.953
152	400.000	-0.008	400.002	0.088	4.866	1773267051.218
153	400.000	-0.002	400.001	0.054	3.497	1773267051.496
154	400.000	-0.018	400.002	0.092	4.440	1773267051.754
155	400.000	0.017	399.996	0.149	6.006	1773267052.004
156	400.000	-0.006	400.000	0.100	5.826	1773267052.260
157	400.000	-0.007	400.002	0.186	4.932	1773267052.505
158	400.000	-0.002	399.999	0.073	0.054	1773267052.738
159	400.000	-0.008	400.003	0.050	5.178	1773267053.016
160	400.000	0.048	400.000	0.135	5.309	1773267053.264
161	400.000	0.013	400.001	0.187	4.219	1773267053.518
162	400.000	0.035	399.998	0.007	1.502	1773267053.775
163	400.000	0.009	400.001	0.038	4.615	1773267054.034
164	400.000	0.002	400.000	0.054	4.184	1773267054.312
165	400.000	0.028	399.997	0.116	6.024	1773267054.593
166	400.000	-0.000	400.000	0.159	4.738	1773267054.836
167	400.000	0.025	400.003	0.098	5.711	1773267055.145
168	400.000	-0.006	400.002	0.042	5.227	1773267055.398
169	400.000	0.007	400.001	0.095	5.124	1773267055.660
170	400.000	-0.005	399.998	0.104	4.849	1773267055.985
171	400.000	0.002	400.002	0.123	5.763	1773267056.283
172	400.000	0.020	399.997	0.123	5.219	1773267056.572
173	400.000	-0.003	399.999	0.160	5.479	1773267056.865
174	400.000	0.009	399.999	0.098	5.889	1773267057.159
175	400.000	-0.026	399.998	0.112	5.153	1773267057.445
176	400.000	-0.001	399.998	0.095	3.859	1773267057.723
177	400.000	-0.008	400.002	0.116	3.959	1773267057.971
178	400.000	-0.027	399.998	0.092	5.130	1773267058.242
179	400.000	0.016	399.998	0.076	4.643	1773267058.579
180	400.000	0.041	400.001	0.069	3.907	1773267058.856
181	400.000	-0.007	400.000	0.048	4.168	1773267059.162
182	400.000	0.019	399.999	0.063	0.665	1773267059.434
183	400.000	0.024	400.002	0.051	0.499	1773267059.710
184	400.000	0.007	399.999	0.140	0.208	1773267059.975
185	400.000	-0.018	399.997	0.149	0.682	1773267060.223
186	400.000	0.007	400.000	0.066	6.040	1773267060.544
187	400.000	0.031	400.003	0.138	5.610	1773267060.815
188	400.000	-0.022	400.001	0.104	5.917	1773267061.095
189	400.000	-0.040	400.004	0.032	1.382	1773267061.353
190	400.000	0.013	400.001	0.137	6.083	1773267061.597
191	400.000	0.034	399.999	0.104	5.228	1773267061.882
192	400.000	-0.009	399.997	0.084	6.278	1773267062.137
193	400.000	-0.012	400.000	0.065	2.285	1773267062.443
194	400.000	-0.017	399.999	0.043	2.537	1773267062.764
195	400.000	-0.008	399.999	0.037	2.094	1773267063.061
196	400.000	-0.009	400.003	0.107	2.292	1773267063.349
197	400.000	0.023	399.999	0.203	2.005	1773267063.614
198	400.000	-0.017	399.999	0.103	1.841	1773267063.864
199	400.000	0.039	400.002	0.012	2.697	1773267064.123
200	400.000	-0.003	400.002	0.038	4.071	1773267064.421
201	400.000	-0.016	400.002	0.067	0.748	1773267064.730
