Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	400.000	0.017	400.000	0.912	2.250	1773333435.336
2	400.000	-0.045	400.000	0.760	2.355	1773333435.587
3	400.000	-0.028	400.001	0.892	2.241	1773333435.835
4	400.000	0.026	400.000	0.806	2.299	1773333436.130
5	400.000	-0.000	399.998	0.897	2.285	1773333436.449
6	400.000	0.009	399.998	0.726	2.257	1773333436.664
7	400.000	-0.011	399.998	0.968	2.410	1773333436.932
8	400.000	0.027	399.996	0.936	2.406	1773333437.170
9	400.000	0.036	399.998	0.823	2.399	1773333437.427
10	400.000	0.006	399.995	0.830	2.222	1773333437.691
11	400.000	0.007	400.001	0.814	2.267	1773333437.925
12	400.000	-0.020	400.002	0.972	2.341	1773333438.185
13	400.000	0.040	400.003	0.907	2.262	1773333438.435
14	400.000	-0.017	400.002	0.839	2.302	1773333438.707
15	400.000	-0.007	400.001	0.868	2.380	1773333439.035
16	400.000	0.024	399.999	0.961	2.375	1773333439.360
17	400.000	0.006	400.001	0.894	2.251	1773333439.635
18	400.000	-0.016	400.002	0.955	2.211	1773333439.890
19	400.000	-0.040	400.001	0.993	2.234	1773333440.132
20	400.000	0.023	399.998	0.908	2.297	1773333440.398
21	400.000	0.015	400.002	0.999	2.285	1773333440.691
22	400.000	0.019	400.001	0.967	2.385	1773333440.953
23	400.000	0.017	399.999	1.008	2.263	1773333441.188
24	400.000	-0.001	400.001	0.953	2.146	1773333441.452
25	400.000	-0.028	400.003	0.939	2.331	1773333441.696
26	400.000	0.010	400.000	0.789	2.216	1773333441.967
27	400.000	0.010	400.002	0.808	2.330	1773333442.210
28	400.000	0.027	400.001	0.904	2.306	1773333442.469
29	400.000	-0.011	400.000	0.882	2.304	1773333442.740
30	400.000	-0.003	399.998	0.914	2.224	1773333443.046
31	400.000	-0.003	400.000	0.891	2.360	1773333443.277
32	400.000	0.001	400.000	0.884	2.307	1773333443.546
33	400.000	0.034	400.000	0.906	2.302	1773333443.860
34	400.000	-0.008	400.002	0.954	2.221	1773333444.159
35	400.000	0.006	399.997	0.769	2.251	1773333444.410
36	400.000	0.000	400.000	0.906	2.317	1773333444.687
37	400.000	0.029	400.003	0.841	2.322	1773333444.980
38	400.000	-0.008	400.001	0.942	2.157	1773333445.297
39	400.000	-0.000	400.003	1.013	2.295	1773333445.608
40	400.000	0.004	399.997	0.944	2.204	1773333445.898
41	400.000	0.012	400.004	0.946	2.322	1773333446.152
42	400.000	0.003	400.004	1.016	2.366	1773333446.403
43	400.000	-0.013	400.003	0.921	2.239	1773333446.669
44	400.000	-0.005	399.998	0.873	2.239	1773333446.917
45	400.000	0.016	400.002	0.819	2.200	1773333447.169
46	400.000	-0.046	399.998	0.937	2.386	1773333447.431
47	400.000	0.030	399.999	0.858	2.362	1773333447.687
48	400.000	0.005	399.998	0.949	2.207	1773333447.937
49	400.000	0.030	399.996	0.909	2.213	1773333448.191
50	400.000	0.003	400.003	0.938	2.278	1773333448.505
51	400.000	0.001	400.000	0.902	2.304	1773333448.814
