Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	400.000	0.009	399.999	0.866	4.517	1773331350.965
2	400.000	-0.009	399.999	0.784	4.438	1773331351.274
3	400.000	-0.004	399.999	0.822	4.416	1773331351.520
4	400.000	-0.012	400.000	0.909	4.460	1773331351.766
5	400.000	0.001	399.999	0.947	4.563	1773331351.999
6	400.000	-0.007	400.005	0.942	4.536	1773331352.248
7	400.000	-0.032	399.998	0.895	4.478	1773331352.520
8	400.000	0.004	400.000	0.813	4.381	1773331352.751
9	400.000	0.017	399.999	0.818	4.551	1773331353.017
10	400.000	-0.024	400.000	0.955	4.545	1773331353.262
11	400.000	0.031	400.001	0.873	4.358	1773331353.538
12	400.000	-0.018	400.000	0.820	4.517	1773331353.820
13	400.000	-0.006	400.002	0.750	4.227	1773331354.144
14	400.000	0.007	399.996	0.844	4.476	1773331354.412
15	400.000	-0.007	399.998	0.907	4.364	1773331354.672
16	400.000	0.025	399.999	0.777	4.533	1773331354.951
17	400.000	-0.005	400.001	0.914	4.565	1773331355.181
18	400.000	0.025	400.001	0.802	4.554	1773331355.464
19	400.000	-0.004	400.002	0.835	4.451	1773331355.698
20	400.000	-0.002	400.000	0.789	4.452	1773331355.957
21	400.000	-0.008	400.001	0.737	4.369	1773331356.196
22	400.000	0.012	399.999	0.842	4.365	1773331356.461
23	400.000	-0.006	400.000	0.805	4.488	1773331356.705
24	400.000	-0.022	399.998	0.837	4.515	1773331356.943
25	400.000	0.016	400.000	0.822	4.433	1773331357.204
26	400.000	0.006	400.001	0.801	4.404	1773331357.440
27	400.000	-0.006	399.996	0.750	4.396	1773331357.721
28	400.000	-0.031	400.001	0.801	4.589	1773331357.989
29	400.000	-0.008	399.999	0.854	4.456	1773331358.279
30	400.000	-0.021	399.996	0.852	4.493	1773331358.498
31	400.000	0.017	400.000	1.002	4.371	1773331358.783
32	400.000	0.029	400.000	0.787	4.560	1773331359.000
33	400.000	0.006	400.000	0.782	4.424	1773331359.276
34	400.000	-0.044	399.999	0.840	4.520	1773331359.511
35	400.000	0.010	399.996	0.873	4.468	1773331359.783
36	400.000	0.011	400.002	0.814	4.208	1773331360.032
37	400.000	0.024	400.004	0.830	4.447	1773331360.297
38	400.000	0.020	399.997	0.809	4.456	1773331360.563
39	400.000	-0.007	400.000	0.784	4.542	1773331360.850
40	400.000	-0.026	400.002	0.880	4.540	1773331361.072
41	400.000	0.012	399.999	0.821	4.400	1773331361.342
42	400.000	-0.020	400.000	0.765	4.427	1773331361.593
