Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	100.000	-0.005	99.996	5.480	4.499	1783098431.393
2	100.000	0.001	99.998	5.415	4.477	1783098431.641
3	100.000	0.022	99.999	5.486	4.517	1783098431.907
4	100.000	-0.012	100.000	5.438	4.512	1783098432.137
5	100.000	0.020	99.996	5.510	4.489	1783098432.408
6	100.000	-0.025	99.999	5.510	4.495	1783098432.661
7	100.000	0.028	100.001	5.408	4.496	1783098432.896
8	100.000	0.000	100.001	5.378	4.493	1783098433.142
9	100.000	0.023	100.001	5.569	4.487	1783098433.406
10	100.000	0.039	100.003	5.381	4.482	1783098433.641
11	100.000	-0.016	99.998	5.508	4.473	1783098433.880
12	100.000	-0.004	99.997	5.508	4.463	1783098434.173
13	100.000	0.009	99.999	5.542	4.503	1783098434.429
14	100.000	-0.015	100.002	5.516	4.480	1783098434.735
15	100.000	-0.012	100.002	5.406	4.460	1783098435.028
16	100.000	-0.015	99.999	5.429	4.459	1783098435.274
17	100.000	-0.002	100.002	5.376	4.473	1783098435.564
18	100.000	-0.015	100.001	5.360	4.465	1783098435.789
19	100.000	0.010	99.998	5.370	4.465	1783098436.053
20	100.000	-0.005	100.002	5.228	4.471	1783098436.301
21	100.000	0.059	100.006	5.444	4.456	1783098436.537
22	100.000	0.020	100.001	5.574	4.466	1783098436.795
23	100.000	0.017	100.002	5.517	4.452	1783098437.064
24	100.000	-0.022	100.001	5.354	4.463	1783098437.311
25	100.000	0.021	99.998	5.461	4.469	1783098437.528
26	100.000	0.000	100.002	5.408	4.460	1783098437.815
27	100.000	0.035	100.000	5.426	4.501	1783098438.059
28	100.000	-0.035	99.998	5.442	4.487	1783098438.290
29	100.000	-0.022	99.999	5.531	4.489	1783098438.544
30	100.000	0.006	100.003	5.407	4.475	1783098438.803
31	100.000	-0.006	100.002	5.662	4.482	1783098439.073
32	100.000	0.021	100.002	5.393	4.494	1783098439.296
33	100.000	0.004	99.998	5.371	4.492	1783098439.557
34	100.000	0.024	100.001	5.526	4.487	1783098439.795
35	100.000	0.022	99.999	5.460	4.498	1783098440.049
