Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
200.000	200.030	2.655	4.019
200.000	200.026	2.683	3.998
200.000	200.024	2.714	3.998
200.000	200.023	2.762	4.001
200.000	200.019	2.772	3.996
200.000	200.019	2.731	3.998
200.000	200.018	2.807	3.986
200.000	200.016	2.848	4.001
200.000	200.009	2.805	3.985
200.000	200.011	2.868	4.007
200.000	200.008	2.869	3.991
200.000	200.011	2.852	4.017
200.000	200.011	2.867	3.999
200.000	200.005	2.869	3.969
200.000	200.006	2.806	4.014
200.000	200.008	2.877	4.001
200.000	200.010	2.838	3.997
200.000	200.007	2.785	3.982
200.000	200.007	2.886	3.979
200.000	200.002	2.987	3.991
200.000	200.003	2.928	3.968
200.000	200.004	2.778	3.981
200.000	200.002	2.899	3.991
200.000	200.003	2.934	3.969
200.000	200.001	2.968	3.974
200.000	200.004	2.904	3.979
200.000	199.998	2.997	3.984
200.000	200.001	2.866	3.968
200.000	200.005	2.875	3.975
200.000	200.002	2.938	3.957
200.000	200.000	2.890	4.009
200.000	200.001	2.902	3.964
200.000	200.001	3.019	3.975
200.000	200.005	2.971	3.949
200.000	199.998	2.900	3.985
200.000	200.000	2.989	3.962
200.000	200.002	2.947	3.962
200.000	200.000	2.910	3.944
200.000	199.995	2.855	3.967
200.000	200.002	2.896	3.968
200.000	200.001	2.935	3.969
200.000	200.000	2.949	3.965
200.000	200.002	3.038	3.975
200.000	199.998	2.987	3.947
200.000	200.001	2.880	3.951
200.000	199.999	2.906	3.982
200.000	200.002	2.865	3.955
200.000	200.002	2.941	3.960
200.000	199.998	2.937	3.978
200.000	199.997	2.978	3.977
200.000	200.007	2.992	3.959
200.000	199.997	2.950	3.974
200.000	199.999	2.980	3.955
200.000	199.999	2.833	3.964
200.000	200.001	2.915	3.972
200.000	200.001	2.940	3.984
200.000	200.000	2.970	3.983
200.000	199.999	2.979	3.973
200.000	200.001	2.902	3.963
200.000	200.001	2.896	3.966
200.000	200.001	2.923	3.960
200.000	199.999	2.893	3.971
200.000	199.999	2.947	3.971
200.000	199.997	2.922	3.989
200.000	200.000	2.896	3.984
200.000	200.002	2.885	3.976
200.000	200.000	2.823	3.958
200.000	199.999	2.957	3.978
200.000	199.999	2.917	3.994
